"symbol","date","open","high","low","close","volume"
"KR","1977-01-03","23.88","23.88","23.62","0.13","78400"
"KR","1977-01-04","23.75","24.0","23.62","0.13","110400"
"KR","1977-01-05","24.0","24.25","24.0","0.13","67200"
"KR","1977-01-06","24.25","24.75","24.25","0.13","134400"
"KR","1977-01-07","24.5","24.5","24.38","0.13","84800"
"KR","1977-01-10","24.38","24.5","24.0","0.13","148800"
"KR","1977-01-11","24.25","24.5","24.12","0.13","80000"
"KR","1977-01-12","24.25","24.25","24.12","0.13","44800"
"KR","1977-01-13","24.25","24.38","24.12","0.13","88000"
"KR","1977-01-14","24.12","24.38","24.0","0.13","478400"
"KR","1977-01-17","24.25","24.5","24.25","0.13","81600"
"KR","1977-01-18","24.38","24.5","24.12","0.13","89600"
"KR","1977-01-19","24.25","24.25","24.0","0.13","68800"
"KR","1977-01-20","24.12","24.25","23.88","0.13","144000"
"KR","1977-01-21","23.88","24.38","23.88","0.13","280000"
"KR","1977-01-24","24.12","24.12","23.88","0.13","347200"
"KR","1977-01-25","24.0","24.12","23.88","0.13","368000"
"KR","1977-01-26","24.0","24.12","24.0","0.13","147200"
"KR","1977-01-27","24.0","24.25","24.0","0.13","256000"
"KR","1977-01-28","24.12","24.12","24.0","0.13","62400"
"KR","1977-01-31","24.0","24.38","24.0","0.13","195200"
"KR","1977-02-01","24.25","24.38","24.25","0.13","88000"
"KR","1977-02-02","24.25","24.38","24.25","0.13","65600"
"KR","1977-02-03","24.25","24.62","24.12","0.13","332800"
"KR","1977-02-04","24.5","24.62","24.38","0.13","782400"
"KR","1977-02-07","24.62","24.62","24.38","0.13","67200"
"KR","1977-02-08","24.5","24.5","24.25","0.13","62400"
"KR","1977-02-09","24.25","24.38","24.25","0.13","81600"
"KR","1977-02-10","24.38","24.75","24.38","0.13","214400"
"KR","1977-02-11","24.62","25.0","24.5","0.14","622400"
"KR","1977-02-14","24.88","25.5","24.88","0.14","270400"
"KR","1977-02-15","25.5","25.75","25.25","0.14","219200"
"KR","1977-02-16","25.5","25.75","25.38","0.14","940800"
"KR","1977-02-17","25.5","25.5","25.38","0.14","75200"
"KR","1977-02-18","25.5","25.75","25.25","0.14","198400"
"KR","1977-02-22","25.75","25.88","25.5","0.14","276800"
"KR","1977-02-23","25.62","26.25","25.5","0.14","657600"
"KR","1977-02-24","26.0","27.5","25.88","0.15","2201600"
"KR","1977-02-25","27.0","27.0","26.38","0.15","217600"
"KR","1977-02-28","26.62","26.62","26.5","0.14","264000"
"KR","1977-03-01","26.5","26.75","26.25","0.15","499200"
"KR","1977-03-02","26.75","26.75","26.25","0.14","120000"
"KR","1977-03-03","26.25","26.5","26.25","0.14","140800"
"KR","1977-03-04","26.25","26.5","26.12","0.14","188800"
"KR","1977-03-07","26.38","26.62","26.25","0.14","92800"
"KR","1977-03-08","26.25","26.5","26.0","0.14","94400"
"KR","1977-03-09","26.12","26.12","25.88","0.14","574400"
"KR","1977-03-10","26.12","26.25","25.75","0.14","105600"
"KR","1977-03-11","26.12","26.5","26.12","0.14","137600"
"KR","1977-03-14","26.25","26.5","26.0","0.14","145600"
"KR","1977-03-15","26.12","26.25","26.0","0.14","73600"
"KR","1977-03-16","25.88","25.88","25.5","0.14","240000"
"KR","1977-03-17","25.62","25.88","25.5","0.14","169600"
"KR","1977-03-18","25.75","26.38","25.75","0.14","137600"
"KR","1977-03-21","26.12","26.25","26.0","0.14","228800"
"KR","1977-03-22","26.25","26.38","26.0","0.14","108800"
"KR","1977-03-23","26.0","26.25","25.75","0.14","588800"
"KR","1977-03-24","25.75","25.88","25.5","0.14","86400"
"KR","1977-03-25","25.38","25.38","25.12","0.14","86400"
"KR","1977-03-28","25.38","25.62","24.88","0.14","94400"
"KR","1977-03-29","25.0","25.38","25.0","0.14","179200"
"KR","1977-03-30","25.38","25.38","25.12","0.14","65600"
"KR","1977-03-31","25.25","25.38","25.12","0.14","57600"
"KR","1977-04-01","25.12","25.25","25.12","0.14","48000"
"KR","1977-04-04","25.25","25.38","25.12","0.14","56000"
"KR","1977-04-05","25.12","25.25","25.12","0.14","67200"
"KR","1977-04-06","25.12","25.5","25.12","0.14","180800"
"KR","1977-04-07","25.5","25.62","25.25","0.14","57600"
"KR","1977-04-11","25.5","25.62","25.25","0.14","30400"
"KR","1977-04-12","25.25","26.12","25.12","0.14","137600"
"KR","1977-04-13","26.12","26.12","25.62","0.14","152000"
"KR","1977-04-14","26.12","26.25","25.88","0.14","105600"
"KR","1977-04-15","26.0","26.12","25.75","0.14","305600"
"KR","1977-04-18","26.0","26.0","25.75","0.14","128000"
"KR","1977-04-19","25.75","25.75","25.75","0.14","254400"
"KR","1977-04-20","25.75","25.88","25.62","0.14","38400"
"KR","1977-04-21","25.62","25.88","25.5","0.14","51200"
"KR","1977-04-22","25.5","25.62","25.38","0.14","145600"
"KR","1977-04-25","25.25","25.25","25.12","0.14","81600"
"KR","1977-04-26","25.12","25.12","24.88","0.14","126400"
"KR","1977-04-27","24.88","25.0","24.62","0.14","94400"
"KR","1977-04-28","25.0","25.0","24.75","0.14","102400"
"KR","1977-04-29","25.0","25.25","25.0","0.14","68800"
"KR","1977-05-02","25.12","25.5","25.12","0.14","110400"
"KR","1977-05-03","25.5","25.62","25.5","0.14","25600"
"KR","1977-05-04","25.62","25.62","25.38","0.14","51200"
"KR","1977-05-05","25.38","26.0","25.38","0.14","163200"
"KR","1977-05-06","25.38","25.38","25.38","0.14","68800"
"KR","1977-05-09","25.38","25.5","25.25","0.14","430400"
"KR","1977-05-10","25.5","25.75","25.5","0.14","113600"
"KR","1977-05-11","25.75","26.25","25.75","0.14","364800"
"KR","1977-05-12","25.88","26.12","25.75","0.14","105600"
"KR","1977-05-13","25.75","26.25","25.75","0.14","70400"
