"symbol","date","open","high","low","close","volume"
"L","1987-07-10","68.87","69.13","68.25","4.36","957600"
"L","1987-07-13","68.5","69.0","68.25","4.37","1594800"
"L","1987-07-14","69.0","70.5","68.75","4.46","4358400"
"L","1987-07-15","70.25","72.25","69.75","4.51","2156400"
"L","1987-07-16","71.0","72.38","71.0","4.54","1923600"
"L","1987-07-17","71.75","72.25","71.38","4.54","2070000"
"L","1987-07-20","71.38","71.38","70.75","4.5","684000"
"L","1987-07-21","70.75","70.75","68.75","4.4","2196000"
"L","1987-07-22","70.0","70.0","69.5","4.45","614400"
"L","1987-07-23","70.5","70.75","69.62","4.44","2032800"
"L","1987-07-24","69.75","70.0","69.62","4.45","1882800"
"L","1987-07-27","70.25","70.5","69.88","4.45","696000"
"L","1987-07-28","70.25","70.63","69.75","4.43","1741200"
"L","1987-07-29","69.62","70.0","69.13","4.42","2161200"
"L","1987-07-30","69.75","71.75","69.75","4.49","3844800"
"L","1987-07-31","70.75","71.38","70.63","4.51","1734000"
"L","1987-08-03","70.25","70.88","69.75","4.43","1092000"
"L","1987-08-04","69.88","70.75","69.88","4.49","1263600"
"L","1987-08-05","71.0","71.5","70.37","4.48","909600"
"L","1987-08-06","70.75","73.25","70.75","4.65","2288400"
"L","1987-08-07","74.25","74.75","73.0","4.73","3746400"
"L","1987-08-10","74.38","75.13","74.12","4.78","1398000"
"L","1987-08-11","74.5","75.5","73.37","4.72","2870400"
"L","1987-08-12","74.25","75.0","74.0","4.76","2709600"
"L","1987-08-13","75.0","76.12","74.87","4.84","2834400"
"L","1987-08-14","75.25","75.75","74.75","4.79","1087200"
"L","1987-08-17","75.0","76.5","75.0","4.86","1090800"
"L","1987-08-18","75.75","75.88","73.75","4.74","2288400"
"L","1987-08-19","74.0","74.38","73.63","4.72","867600"
"L","1987-08-20","74.0","76.75","74.0","4.88","2577600"
"L","1987-08-21","76.0","78.75","75.88","5.02","3776400"
"L","1987-08-24","79.0","79.75","77.87","4.96","3210000"
"L","1987-08-25","78.0","82.25","77.62","5.13","10524000"
"L","1987-08-26","85.0","87.88","83.75","5.55","16680000"
"L","1987-08-27","86.25","86.62","83.75","5.34","8080800"
"L","1987-08-28","84.25","84.38","82.88","5.33","2193600"
"L","1987-08-31","83.0","85.25","82.0","5.41","3120000"
"L","1987-09-01","86.5","86.5","82.88","5.29","1722000"
"L","1987-09-02","82.0","82.37","79.0","5.13","8438400"
"L","1987-09-03","80.87","81.13","78.75","5.03","5149200"
"L","1987-09-04","79.37","79.37","77.62","4.95","2616000"
"L","1987-09-08","77.87","79.75","77.62","5.07","2473200"
"L","1987-09-09","79.75","81.88","79.63","5.16","4220400"
"L","1987-09-10","81.75","82.0","81.13","5.2","3552000"
"L","1987-09-11","81.5","84.75","81.5","5.38","4532400"
"L","1987-09-14","86.0","86.12","84.75","5.45","2685600"
"L","1987-09-15","85.5","85.5","84.0","5.37","2992800"
"L","1987-09-16","84.0","84.25","82.88","5.3","2104800"
"L","1987-09-17","83.75","84.25","83.38","5.36","1897200"
"L","1987-09-18","85.12","86.0","84.75","5.4","3620400"
"L","1987-09-21","85.5","85.88","83.38","5.32","2038800"
"L","1987-09-22","83.5","85.75","82.5","5.43","2112000"
"L","1987-09-23","85.88","87.88","85.88","5.6","3729600"
"L","1987-09-24","87.62","90.25","87.13","5.71","3472800"
"L","1987-09-25","89.5","89.87","89.25","5.69","2136000"
"L","1987-09-28","90.0","91.75","90.0","5.82","3129600"
"L","1987-09-29","91.5","92.38","91.37","5.86","4005600"
"L","1987-09-30","91.63","96.25","91.25","6.07","3945600"
"L","1987-10-01","95.12","95.62","92.5","5.97","7237200"
"L","1987-10-02","93.5","94.75","93.25","6.02","4032000"
"L","1987-10-05","94.75","94.75","93.88","6.01","2641200"
"L","1987-10-06","94.0","94.0","89.5","5.7","2926800"
"L","1987-10-07","88.5","89.87","87.62","5.73","4008000"
"L","1987-10-08","89.62","90.62","86.12","5.55","2802000"
"L","1987-10-09","87.38","87.75","86.62","5.52","1515600"
"L","1987-10-12","86.38","87.0","85.88","5.55","1520400"
"L","1987-10-13","88.0","88.12","86.62","5.61","4840800"
"L","1987-10-14","86.5","87.13","85.5","5.51","3177600"
"L","1987-10-15","84.5","84.75","83.25","5.31","3441600"
"L","1987-10-16","82.5","83.0","78.0","5.16","5534400"
"L","1987-10-19","78.0","78.13","69.5","4.5","8551200"
"L","1987-10-20","71.25","75.0","61.75","4.32","8745600"
"L","1987-10-21","73.5","74.0","71.25","4.59","8599200"
"L","1987-10-22","63.5","69.88","63.5","4.4","8056800"
"L","1987-10-23","67.25","69.75","67.12","4.29","3409200"
"L","1987-10-26","65.25","66.0","60.0","3.83","4344000"
"L","1987-10-27","65.0","65.25","63.25","4.08","3088800"
"L","1987-10-28","62.25","69.0","62.0","4.35","2931600"
"L","1987-10-29","67.0","76.5","67.0","4.88","5628000"
"L","1987-10-30","80.5","80.5","77.5","5.0","4359600"
"L","1987-11-02","76.0","78.25","75.88","4.94","3284400"
"L","1987-11-03","76.75","76.75","73.0","4.75","7491600"
"L","1987-11-04","71.5","75.5","71.5","4.72","4616400"
"L","1987-11-05","73.75","76.5","73.63","4.81","4620000"
"L","1987-11-06","75.25","76.75","75.25","4.82","2190000"
"L","1987-11-09","73.63","73.88","72.0","4.65","2240400"
"L","1987-11-10","71.25","71.25","69.0","4.51","2960400"
"L","1987-11-11","70.75","72.5","68.5","4.49","2941200"
"L","1987-11-12","73.0","73.0","71.5","4.6","3000000"
"L","1987-11-13","72.13","73.25","71.0","4.57","3394800"
"L","1987-11-16","72.0","72.25","70.5","4.57","1761600"
"L","1987-11-17","70.0","70.88","69.62","4.5","1893600"
"L","1987-11-18","70.63","74.25","68.62","4.71","4726800"
"L","1987-11-19","73.88","73.88","68.75","4.45","3022800"
"L","1987-11-20","69.38","70.88","68.87","4.52","1888800"
"L","1987-11-23","70.5","70.88","70.12","4.52","632400"
"L","1987-11-24","71.62","72.5","71.5","4.58","1033200"
"L","1987-11-25","72.25","72.25","69.5","4.46","1748400"
"L","1987-11-27","69.62","69.62","68.5","4.38","1332000"
"L","1987-11-30","66.25","66.25","64.0","4.17","3414000"
"L","1987-12-01","66.0","66.62","64.0","4.19","4422000"
"L","1987-12-02","65.5","65.75","64.75","4.18","1353600"
"L","1987-12-03","65.5","65.62","63.5","4.06","2809200"
"L","1987-12-04","63.38","63.5","62.38","4.05","4231200"
"L","1987-12-07","63.13","65.0","63.13","4.14","1551600"
"L","1987-12-08","65.0","66.38","64.63","4.25","1904400"
"L","1987-12-09","66.38","69.38","66.25","4.33","2638800"
"L","1987-12-10","66.25","68.75","66.13","4.35","2654400"
"L","1987-12-11","67.75","68.62","67.75","4.37","829200"
"L","1987-12-14","68.12","69.38","67.88","4.41","1179600"
"L","1987-12-15","69.5","70.0","68.5","4.4","1618800"
"L","1987-12-16","68.62","70.25","68.62","4.49","1639200"
"L","1987-12-17","70.5","70.63","69.13","4.42","3511200"
"L","1987-12-18","69.25","70.37","69.13","4.42","2028000"
"L","1987-12-21","69.38","71.87","69.38","4.58","2640000"
"L","1987-12-22","71.75","71.75","69.62","4.5","1862400"
"L","1987-12-23","70.5","71.5","70.25","4.53","1573200"
"L","1987-12-24","70.88","70.88","70.0","4.5","452400"
"L","1987-12-28","69.5","69.62","68.75","4.41","1087200"
"L","1987-12-29","69.25","69.88","68.25","4.39","883200"
"L","1987-12-30","68.38","69.25","68.0","4.35","1240800"
"L","1987-12-31","67.0","67.37","66.0","4.26","2212800"
"L","1988-01-04","67.63","68.5","67.25","4.37","3199200"
"L","1988-01-05","69.0","69.5","68.75","4.41","3512400"
"L","1988-01-06","69.13","70.5","68.87","4.5","1644000"
"L","1988-01-07","70.12","70.25","69.25","4.49","2446800"
"L","1988-01-08","70.0","70.12","66.62","4.26","999600"
"L","1988-01-11","66.62","67.12","65.62","4.22","2168400"
"L","1988-01-12","66.0","66.0","62.75","4.19","2905200"
"L","1988-01-13","65.0","65.87","64.12","4.19","1555200"
"L","1988-01-14","65.5","65.75","65.12","4.21","1111200"
"L","1988-01-15","67.25","67.75","66.5","4.29","1887600"
"L","1988-01-18","67.0","67.37","66.88","4.29","578400"
"L","1988-01-19","66.75","67.0","66.13","4.23","656400"
"L","1988-01-20","65.87","66.0","63.38","4.09","3644400"
"L","1988-01-21","64.37","64.5","63.5","4.07","2924400"
"L","1988-01-22","63.88","65.12","63.88","4.14","2476800"
"L","1988-01-25","65.0","67.37","64.88","4.31","3552000"
"L","1988-01-26","67.12","67.88","66.88","4.29","1797600"
"L","1988-01-27","67.0","67.63","66.5","4.29","1699200"
"L","1988-01-28","67.25","68.12","67.0","4.32","1449600"
"L","1988-01-29","67.75","69.88","67.63","4.47","2725200"
"L","1988-02-01","71.75","71.87","70.0","4.48","2853600"
"L","1988-02-02","69.88","70.37","69.25","4.46","3037200"
"L","1988-02-03","69.75","70.5","68.87","4.44","3199200"
"L","1988-02-04","69.0","69.5","68.75","4.42","782400"
"L","1988-02-05","68.87","69.62","68.75","4.43","1190400"
"L","1988-02-08","68.5","68.75","67.88","4.39","740400"
"L","1988-02-09","68.38","69.0","68.12","4.42","1006800"
"L","1988-02-10","69.0","70.5","69.0","4.5","1185600"
"L","1988-02-11","70.25","70.25","69.5","4.47","1255200"
"L","1988-02-12","70.0","70.37","69.62","4.47","943200"
"L","1988-02-16","69.75","70.37","69.25","4.48","1096800"
"L","1988-02-17","69.5","70.37","69.25","4.48","1852800"
"L","1988-02-18","70.0","71.25","70.0","4.57","2581200"
"L","1988-02-19","71.38","73.88","71.12","4.74","2286000"
"L","1988-02-22","74.5","74.75","73.25","4.77","2608800"
"L","1988-02-23","74.25","75.0","74.0","4.77","1760400"
"L","1988-02-24","74.12","74.62","73.88","4.78","1714800"
"L","1988-02-25","74.75","75.75","74.0","4.75","1834800"
"L","1988-02-26","74.0","74.0","73.25","4.73","1154400"
"L","1988-02-29","74.0","75.75","73.88","4.86","1220400"
"L","1988-03-01","75.0","75.38","74.12","4.79","1519200"
"L","1988-03-02","75.0","75.88","74.75","4.85","2331600"
"L","1988-03-03","75.5","75.62","74.75","4.83","1534800"
"L","1988-03-04","75.0","75.75","74.62","4.85","1233600"
"L","1988-03-07","75.38","75.88","75.25","4.87","1184400"
"L","1988-03-08","75.88","76.63","75.62","4.86","1344000"
"L","1988-03-09","75.5","76.5","75.5","4.88","1134000"
"L","1988-03-10","76.5","76.5","74.0","4.77","3051600"
"L","1988-03-11","74.38","74.5","72.62","4.73","1617600"
"L","1988-03-14","73.63","74.62","73.25","4.78","1117200"
"L","1988-03-15","74.12","74.62","74.12","4.79","1081200"
"L","1988-03-16","74.62","75.38","74.38","4.83","1436400"
"L","1988-03-17","75.0","76.0","75.0","4.87","1819200"
"L","1988-03-18","75.75","75.88","74.62","4.81","1416000"
"L","1988-03-21","74.0","74.12","73.12","4.7","1804800"
"L","1988-03-22","73.25","73.25","72.62","4.68","2674800"
"L","1988-03-23","73.0","73.0","72.0","4.64","2025600"
"L","1988-03-24","71.5","71.87","70.12","4.54","2658000"
"L","1988-03-25","70.75","71.12","69.88","4.49","1299600"
"L","1988-03-28","69.5","71.25","69.0","4.57","1586400"
"L","1988-03-29","72.0","72.5","71.62","4.61","1342800"
"L","1988-03-30","72.0","72.25","71.0","4.57","1116000"
"L","1988-03-31","70.63","71.5","70.5","4.59","958800"
"L","1988-04-04","71.0","71.12","70.12","4.51","1274400"
"L","1988-04-05","70.25","70.63","69.5","4.49","1267200"
"L","1988-04-06","70.0","71.25","70.0","4.57","2984400"
"L","1988-04-07","71.0","71.25","70.12","4.55","2862000"
"L","1988-04-08","70.88","71.0","70.0","4.55","2436000"
"L","1988-04-11","71.12","71.12","70.25","4.53","1670400"
"L","1988-04-12","70.88","71.62","70.75","4.59","3242400"
"L","1988-04-13","70.75","71.38","70.5","4.57","1849200"
"L","1988-04-14","70.5","71.0","70.0","4.49","2691600"
"L","1988-04-15","69.75","70.0","69.0","4.45","2198400"
"L","1988-04-18","68.87","69.25","68.75","4.43","1018800"
"L","1988-04-19","69.0","70.25","69.0","4.43","1682400"
"L","1988-04-20","69.0","69.0","68.25","4.38","979200"
