"symbol","date","open","high","low","close","volume"
"LAD","1996-12-18","11.5","11.5","10.94","8.97","804200"
"LAD","1996-12-19","11.0","11.5","11.0","8.97","124200"
"LAD","1996-12-20","11.0","11.38","11.0","8.97","185900"
"LAD","1996-12-23","11.0","11.38","11.0","9.17","20800"
"LAD","1996-12-24","11.38","11.38","11.0","8.97","35700"
"LAD","1996-12-26","11.0","11.0","11.0","8.87","21100"
"LAD","1996-12-27","11.0","11.0","11.0","8.87","27800"
"LAD","1996-12-30","11.0","11.25","11.0","8.87","84200"
"LAD","1996-12-31","11.0","11.12","11.0","8.97","12700"
"LAD","1997-01-02","11.0","11.25","11.0","9.07","12800"
"LAD","1997-01-03","11.0","11.25","11.0","8.97","17200"
"LAD","1997-01-06","11.0","11.23","11.0","8.97","17200"
"LAD","1997-01-07","11.12","11.25","11.0","8.97","64100"
"LAD","1997-01-08","11.0","11.12","11.0","8.97","35800"
"LAD","1997-01-09","11.0","11.25","11.0","8.97","36300"
"LAD","1997-01-10","11.0","11.25","11.0","9.07","574900"
"LAD","1997-01-13","11.0","11.75","11.0","9.47","321400"
"LAD","1997-01-14","11.75","12.38","11.75","9.88","394800"
"LAD","1997-01-15","12.12","12.5","12.0","9.78","103300"
"LAD","1997-01-16","12.38","12.5","12.0","9.88","66200"
"LAD","1997-01-17","12.19","12.38","12.0","9.98","5800"
"LAD","1997-01-20","12.38","12.38","12.0","9.78","62100"
"LAD","1997-01-21","12.0","12.38","12.0","9.88","44600"
"LAD","1997-01-22","12.25","12.38","12.0","9.78","30800"
"LAD","1997-01-23","12.0","12.25","12.0","9.68","89100"
"LAD","1997-01-24","12.25","12.25","12.0","9.78","50800"
"LAD","1997-01-27","12.12","12.12","11.5","9.47","22600"
"LAD","1997-01-28","11.5","12.12","11.5","9.68","67000"
"LAD","1997-01-29","11.88","12.0","11.75","9.58","57800"
"LAD","1997-01-30","11.88","12.0","11.75","9.58","11000"
"LAD","1997-01-31","11.75","12.0","11.75","9.68","62200"
"LAD","1997-02-03","12.0","12.62","11.88","10.08","47200"
"LAD","1997-02-04","12.12","12.75","12.0","10.28","31800"
"LAD","1997-02-05","13.0","13.12","12.62","10.28","22400"
"LAD","1997-02-06","12.88","13.12","12.75","10.43","115200"
"LAD","1997-02-07","12.88","13.12","12.38","9.98","7200"
"LAD","1997-02-10","12.38","12.38","12.0","9.98","4700"
"LAD","1997-02-11","12.38","12.38","12.0","9.98","500"
"LAD","1997-02-12","12.0","12.38","11.88","9.88","18800"
"LAD","1997-02-13","12.75","12.75","11.62","9.37","56100"
"LAD","1997-02-14","12.5","12.5","12.0","9.68","6700"
"LAD","1997-02-18","11.88","12.0","11.5","9.27","3000"
"LAD","1997-02-19","11.38","11.88","11.38","9.58","1200"
"LAD","1997-02-20","11.38","11.75","11.12","9.47","13900"
"LAD","1997-02-21","11.75","11.75","11.38","9.27","8600"
"LAD","1997-02-24","11.38","11.75","11.38","9.47","10700"
"LAD","1997-02-25","11.5","11.5","11.0","8.87","26000"
"LAD","1997-02-26","10.88","11.0","10.75","8.77","27800"
"LAD","1997-02-27","10.75","10.88","10.5","8.57","3300"
"LAD","1997-02-28","10.5","10.88","10.5","8.77","21400"
"LAD","1997-03-03","10.88","11.25","10.88","9.07","13800"
"LAD","1997-03-04","11.25","11.5","11.0","8.97","16600"
"LAD","1997-03-05","11.06","11.06","11.0","8.87","3000"
"LAD","1997-03-06","11.0","11.0","10.88","8.77","10900"
"LAD","1997-03-07","11.0","11.12","10.62","8.97","63000"
"LAD","1997-03-10","10.75","10.88","10.75","8.67","16000"
"LAD","1997-03-11","10.75","11.0","10.75","8.87","700"
"LAD","1997-03-12","10.88","11.0","10.88","8.87","24400"
"LAD","1997-03-13","10.75","11.0","10.75","8.87","85000"
"LAD","1997-03-14","11.06","11.25","10.88","8.87","140000"
"LAD","1997-03-17","10.88","11.25","10.88","8.82","7700"
"LAD","1997-03-18","10.88","10.88","10.88","8.77","1800"
"LAD","1997-03-19","11.0","11.0","10.88","8.77","9800"
"LAD","1997-03-20","10.88","11.06","10.88","8.92","3100"
"LAD","1997-03-21","10.88","11.0","10.88","8.77","27000"
"LAD","1997-03-24","10.88","11.0","10.88","8.87","14900"
"LAD","1997-03-25","10.88","11.06","10.88","8.87","21400"
"LAD","1997-03-26","11.12","11.31","11.12","8.97","7000"
"LAD","1997-03-27","11.38","11.5","11.25","9.27","7000"
"LAD","1997-03-31","11.25","11.75","11.25","9.47","14700"
"LAD","1997-04-01","11.5","11.75","11.5","9.47","8000"
"LAD","1997-04-02","12.12","12.12","11.62","9.78","10500"
"LAD","1997-04-03","11.88","12.0","11.88","9.68","2700"
"LAD","1997-04-04","12.0","12.25","11.75","9.88","9300"
"LAD","1997-04-07","12.12","12.12","12.12","9.78","1000"
"LAD","1997-04-08","12.12","12.38","12.12","9.83","20100"
"LAD","1997-04-09","12.0","12.12","12.0","9.78","21300"
"LAD","1997-04-10","12.0","12.12","11.75","9.68","29400"
"LAD","1997-04-11","12.12","12.12","11.88","9.78","3700"
"LAD","1997-04-14","12.0","12.0","11.88","9.58","110000"
"LAD","1997-04-15","11.88","12.0","11.88","9.58","41300"
"LAD","1997-04-16","12.0","12.0","11.88","9.58","16900"
"LAD","1997-04-17","11.94","12.0","11.94","9.68","6000"
"LAD","1997-04-18","11.94","11.94","11.88","9.58","11000"
"LAD","1997-04-21","11.88","11.88","11.88","9.58","200"
"LAD","1997-04-22","11.88","11.88","11.88","9.58","6100"
"LAD","1997-04-23","12.0","12.0","12.0","9.68","1000"
"LAD","1997-04-24","12.0","12.0","12.0","9.68","600"
"LAD","1997-04-25","11.75","11.75","11.75","9.47","1000"
"LAD","1997-04-28","11.62","11.88","11.38","9.27","6300"
"LAD","1997-04-29","11.5","11.5","11.12","8.97","2500"
"LAD","1997-04-30","11.25","11.25","11.25","9.07","7100"
"LAD","1997-05-01","11.0","11.12","10.38","8.37","17100"
"LAD","1997-05-02","10.0","10.25","9.88","7.96","120700"
"LAD","1997-05-05","10.0","10.5","10.0","8.26","10600"
"LAD","1997-05-06","10.5","10.62","10.5","8.47","3200"
"LAD","1997-05-07","10.38","10.5","10.0","8.06","15000"
"LAD","1997-05-08","9.88","9.88","9.88","7.96","300"
"LAD","1997-05-09","10.0","10.0","9.88","7.96","32900"
"LAD","1997-05-12","10.12","10.12","9.88","8.06","6800"
"LAD","1997-05-13","10.0","10.0","9.5","7.76","5200"
"LAD","1997-05-14","9.75","9.75","9.75","7.86","5000"
"LAD","1997-05-15","9.75","9.75","9.75","7.86","1000"
"LAD","1997-05-16","9.75","10.25","9.75","8.06","30000"
"LAD","1997-05-19","10.25","10.5","10.25","8.47","3300"
"LAD","1997-05-20","10.38","10.5","10.38","8.47","1000"
"LAD","1997-05-21","10.5","10.5","10.12","8.16","2500"
"LAD","1997-05-22","10.5","10.5","10.25","8.26","600"
"LAD","1997-05-23","10.25","10.25","10.25","8.26","0"
"LAD","1997-05-27","10.62","10.75","10.38","8.67","6000"
"LAD","1997-05-28","10.5","11.38","10.5","9.07","20100"
"LAD","1997-05-29","11.25","11.25","11.12","8.97","1600"
"LAD","1997-05-30","11.75","12.0","11.5","9.68","7400"
"LAD","1997-06-02","11.75","11.88","11.5","9.58","11600"
"LAD","1997-06-03","11.75","11.88","11.62","9.58","27400"
"LAD","1997-06-04","11.88","12.12","11.75","9.47","32900"
"LAD","1997-06-05","11.75","12.0","11.75","9.68","800"
