"symbol","date","open","high","low","close","volume"
"LANC","1990-03-26","22.5","22.75","22.5","2.93","12700"
"LANC","1990-03-27","22.5","22.75","22.5","2.93","38500"
"LANC","1990-03-28","22.5","22.75","22.5","2.91","59400"
"LANC","1990-03-29","22.5","22.75","22.5","2.93","3900"
"LANC","1990-03-30","22.5","22.75","22.5","2.93","22500"
"LANC","1990-04-02","22.25","22.25","20.5","2.67","490500"
"LANC","1990-04-03","20.5","20.75","19.75","2.54","5704200"
"LANC","1990-04-04","19.5","20.5","19.5","2.61","984700"
"LANC","1990-04-05","20.25","20.88","19.75","2.56","644100"
"LANC","1990-04-06","20.25","20.25","19.75","2.57","210300"
"LANC","1990-04-09","19.75","20.0","19.75","2.56","379300"
"LANC","1990-04-10","19.88","24.0","19.88","2.96","1133700"
"LANC","1990-04-11","23.25","23.25","22.0","2.89","591100"
"LANC","1990-04-12","22.25","22.5","21.5","2.8","386400"
"LANC","1990-04-16","22.25","22.5","22.0","2.89","945700"
"LANC","1990-04-17","22.5","22.75","22.0","2.88","2228700"
"LANC","1990-04-18","22.38","22.5","22.0","2.83","75300"
"LANC","1990-04-19","22.0","22.25","22.0","2.86","384700"
"LANC","1990-04-20","22.0","22.25","22.0","2.86","35400"
"LANC","1990-04-23","22.25","22.25","21.75","2.8","249700"
"LANC","1990-04-24","21.75","22.12","21.75","2.85","329500"
"LANC","1990-04-25","21.75","22.25","21.75","2.83","93700"
"LANC","1990-04-26","22.0","22.0","21.5","2.77","38400"
"LANC","1990-04-27","21.5","22.0","21.5","2.77","357600"
"LANC","1990-04-30","21.5","21.75","21.5","2.77","150600"
"LANC","1990-05-01","21.75","22.0","21.5","2.78","42300"
"LANC","1990-05-02","22.0","22.0","21.5","2.8","130500"
"LANC","1990-05-03","22.0","22.0","21.5","2.77","20700"
"LANC","1990-05-04","21.5","22.0","21.0","2.72","410400"
"LANC","1990-05-07","21.38","21.75","21.0","2.7","248700"
"LANC","1990-05-08","21.5","21.5","21.25","2.73","649500"
"LANC","1990-05-09","21.5","21.75","21.25","2.8","255100"
"LANC","1990-05-10","21.75","21.75","21.5","2.77","12700"
"LANC","1990-05-11","21.75","22.25","21.75","2.8","25800"
"LANC","1990-05-14","22.0","23.0","22.0","2.89","132100"
"LANC","1990-05-15","22.38","22.75","22.25","2.93","45000"
"LANC","1990-05-16","23.0","23.0","22.25","2.86","21000"
"LANC","1990-05-17","23.0","23.5","22.75","2.96","171100"
"LANC","1990-05-18","23.25","23.25","22.5","2.89","56700"
"LANC","1990-05-21","22.5","23.25","22.5","2.99","162600"
"LANC","1990-05-22","23.0","23.5","23.0","2.96","21600"
"LANC","1990-05-23","23.0","23.25","22.75","2.99","30300"
"LANC","1990-05-24","23.25","23.25","22.75","2.93","23400"
"LANC","1990-05-25","22.75","23.0","22.75","2.96","96900"
"LANC","1990-05-29","22.75","22.75","22.5","2.89","62500"
"LANC","1990-05-30","22.38","22.5","22.25","2.86","28200"
"LANC","1990-05-31","22.25","22.25","22.25","2.86","17500"
"LANC","1990-06-01","22.25","22.5","22.25","2.86","9000"
"LANC","1990-06-04","22.25","22.75","22.25","2.93","2500"
"LANC","1990-06-05","22.75","22.75","22.25","2.89","21700"
"LANC","1990-06-06","22.25","22.75","22.25","2.89","191100"
"LANC","1990-06-07","22.75","22.75","22.25","2.95","180100"
"LANC","1990-06-08","22.75","22.75","22.25","2.92","145500"
"LANC","1990-06-11","22.25","22.5","22.25","2.89","87900"
"LANC","1990-06-12","22.5","22.5","22.25","2.89","5700"
"LANC","1990-06-13","22.25","22.5","22.25","2.89","24900"
"LANC","1990-06-14","22.5","22.5","22.25","2.89","25800"
"LANC","1990-06-15","22.25","22.25","22.25","2.89","1500"
"LANC","1990-06-18","22.25","22.5","21.5","2.79","95100"
"LANC","1990-06-19","21.25","21.75","21.25","2.82","3300"
"LANC","1990-06-20","21.25","21.75","21.25","2.77","84000"
"LANC","1990-06-21","21.25","21.25","21.25","2.76","700"
"LANC","1990-06-22","21.25","21.25","21.25","2.76","100"
"LANC","1990-06-25","21.25","21.25","21.25","2.76","27900"
"LANC","1990-06-26","21.25","21.5","21.25","2.76","91900"
"LANC","1990-06-27","21.25","21.5","21.25","2.79","17500"
"LANC","1990-06-28","21.25","21.5","21.25","2.76","9600"
"LANC","1990-06-29","21.5","21.5","21.25","2.79","183900"
"LANC","1990-07-02","21.38","21.75","21.25","2.76","42600"
"LANC","1990-07-03","21.62","22.25","21.5","2.85","559200"
"LANC","1990-07-05","22.0","22.0","21.75","2.85","62400"
"LANC","1990-07-06","22.25","22.25","22.12","2.87","31200"
"LANC","1990-07-09","22.0","22.25","21.75","2.82","151300"
"LANC","1990-07-10","21.75","22.0","21.75","2.82","21600"
"LANC","1990-07-11","21.75","21.75","21.75","2.82","100"
"LANC","1990-07-12","22.25","22.25","21.75","2.89","9600"
"LANC","1990-07-13","21.75","22.75","21.75","2.95","107400"
"LANC","1990-07-16","22.5","22.5","22.5","2.92","9700"
"LANC","1990-07-17","22.5","22.75","22.5","2.92","60700"
"LANC","1990-07-18","22.5","23.0","22.5","2.92","164100"
"LANC","1990-07-19","22.5","22.75","22.5","2.92","199900"
"LANC","1990-07-20","22.5","22.75","22.5","2.95","21600"
"LANC","1990-07-23","22.5","22.62","22.25","2.92","133500"
"LANC","1990-07-24","22.25","22.75","22.0","2.95","51900"
"LANC","1990-07-25","22.75","22.75","22.75","2.95","0"
"LANC","1990-07-26","22.75","22.75","22.25","2.89","14400"
"LANC","1990-07-27","22.0","22.0","22.0","2.85","16900"
"LANC","1990-07-30","22.0","22.25","21.5","2.79","30600"
"LANC","1990-07-31","21.5","22.0","21.5","2.79","22300"
"LANC","1990-08-01","21.5","21.75","21.0","2.76","34500"
"LANC","1990-08-02","21.0","21.5","20.75","2.69","81000"
"LANC","1990-08-03","20.75","20.75","20.0","2.59","83400"
"LANC","1990-08-06","20.0","20.0","19.5","2.59","14400"
"LANC","1990-08-07","20.0","20.0","20.0","2.59","20700"
"LANC","1990-08-08","20.0","20.38","20.0","2.63","68100"
"LANC","1990-08-09","20.25","20.25","20.0","2.63","6600"
"LANC","1990-08-10","20.0","20.25","19.75","2.63","24900"
"LANC","1990-08-13","20.25","20.25","19.75","2.63","4900"
"LANC","1990-08-14","20.25","20.5","20.0","2.66","7200"
"LANC","1990-08-15","20.0","20.5","20.0","2.61","15100"
"LANC","1990-08-16","20.0","20.0","20.0","2.59","2500"
"LANC","1990-08-17","19.75","20.0","19.75","2.56","67200"
"LANC","1990-08-20","19.5","19.5","19.5","2.53","3900"
"LANC","1990-08-21","19.5","20.0","19.25","2.5","43300"
"LANC","1990-08-22","19.25","19.5","19.0","2.46","41700"
"LANC","1990-08-23","19.0","19.0","16.75","2.21","183300"
"LANC","1990-08-24","16.5","17.0","16.0","2.08","141600"
"LANC","1990-08-27","16.75","16.75","16.25","2.17","4900"
"LANC","1990-08-28","16.75","16.75","16.25","2.11","8100"
"LANC","1990-08-29","16.5","17.75","16.5","2.24","86500"
"LANC","1990-08-30","17.25","18.75","17.25","2.37","59100"
"LANC","1990-08-31","18.38","18.5","18.0","2.34","11100"
"LANC","1990-09-04","18.0","18.5","18.0","2.43","22300"
"LANC","1990-09-05","18.0","18.0","18.0","2.36","3300"
"LANC","1990-09-06","18.5","18.5","18.5","2.43","1500"
"LANC","1990-09-07","18.5","18.75","18.5","2.43","29700"
"LANC","1990-09-10","18.5","18.5","18.5","2.43","1800"
"LANC","1990-09-11","18.5","19.0","18.5","2.49","5700"
"LANC","1990-09-12","19.0","19.0","18.5","2.43","36900"
"LANC","1990-09-13","18.5","18.5","16.75","2.2","243900"
"LANC","1990-09-14","16.75","18.0","16.5","2.34","175900"
"LANC","1990-09-17","17.88","18.25","17.75","2.33","25800"
"LANC","1990-09-18","17.75","18.0","17.5","2.29","61500"
"LANC","1990-09-19","18.0","18.0","17.5","2.33","66300"
"LANC","1990-09-20","17.5","18.0","17.5","2.29","4800"
"LANC","1990-09-21","17.5","18.0","17.5","2.29","53500"
"LANC","1990-09-24","17.5","18.0","16.75","2.26","85500"
"LANC","1990-09-25","16.75","17.0","16.5","2.2","89700"
"LANC","1990-09-26","16.5","16.5","15.5","2.1","89700"
"LANC","1990-09-27","15.5","15.5","14.75","1.97","91200"
"LANC","1990-09-28","15.0","16.0","15.0","2.03","70500"
"LANC","1990-10-01","16.0","16.0","15.75","2.1","32700"
"LANC","1990-10-02","16.25","16.25","15.5","2.1","49500"
"LANC","1990-10-03","16.0","16.0","16.0","2.1","14500"
"LANC","1990-10-04","15.5","15.75","15.25","2.0","28200"
"LANC","1990-10-05","15.5","16.0","15.5","2.03","51300"
"LANC","1990-10-08","16.0","16.0","15.75","2.07","23100"
"LANC","1990-10-09","15.5","15.75","15.25","2.0","24100"
"LANC","1990-10-10","15.0","15.25","14.75","1.97","30300"
"LANC","1990-10-11","15.0","15.5","14.75","1.97","28900"
"LANC","1990-10-12","14.25","14.5","14.0","1.88","147300"
"LANC","1990-10-15","14.0","14.5","14.0","1.84","16900"
"LANC","1990-10-16","14.5","14.5","14.0","1.9","10300"
"LANC","1990-10-17","14.5","14.5","14.0","1.84","3900"
"LANC","1990-10-18","14.0","14.5","14.0","1.84","37800"
"LANC","1990-10-19","14.5","14.5","14.25","1.9","14400"
"LANC","1990-10-22","14.5","14.5","14.38","1.88","7900"
"LANC","1990-10-23","14.38","14.5","14.25","1.9","9000"
"LANC","1990-10-24","14.25","14.25","13.75","1.87","64200"
"LANC","1990-10-25","13.5","14.0","13.5","1.84","2500"
"LANC","1990-10-26","13.75","14.0","13.12","1.77","686500"
"LANC","1990-10-29","13.5","13.5","13.0","1.75","110400"
"LANC","1990-10-30","13.0","13.5","13.0","1.7","51100"
"LANC","1990-10-31","13.0","13.5","13.0","1.7","13500"
"LANC","1990-11-01","13.5","14.0","13.25","1.84","35400"
"LANC","1990-11-02","14.0","14.5","13.5","1.9","106300"
"LANC","1990-11-05","14.5","14.5","14.0","1.9","9600"
"LANC","1990-11-06","14.0","14.5","14.0","1.9","134400"
"LANC","1990-11-07","14.5","15.5","14.5","1.97","120700"
"LANC","1990-11-08","15.5","15.5","15.0","2.03","46300"
"LANC","1990-11-09","15.5","16.75","15.5","2.16","112900"
"LANC","1990-11-12","16.5","16.62","16.25","2.16","144100"
"LANC","1990-11-13","16.25","16.75","16.0","2.1","72100"
"LANC","1990-11-14","16.75","16.75","16.0","2.1","6600"
"LANC","1990-11-15","16.0","16.5","15.88","2.1","84700"
"LANC","1990-11-16","16.0","17.0","16.0","2.23","528100"
"LANC","1990-11-19","17.25","17.75","17.25","2.26","144100"
"LANC","1990-11-20","17.0","17.5","17.0","2.23","63900"
"LANC","1990-11-21","17.0","17.5","17.0","2.25","79200"
"LANC","1990-11-23","17.25","17.25","17.0","2.23","2500"
"LANC","1990-11-26","17.0","17.25","17.0","2.23","48000"
"LANC","1990-11-27","17.0","17.25","16.5","2.25","166300"
"LANC","1990-11-28","17.5","17.5","16.75","2.21","18300"
"LANC","1990-11-29","16.75","16.75","16.5","2.16","16800"
"LANC","1990-11-30","17.0","17.0","16.5","2.23","28200"
"LANC","1990-12-03","16.88","17.0","16.75","2.21","86400"
"LANC","1990-12-04","16.5","17.0","16.5","2.26","1500"
"LANC","1990-12-05","17.0","17.0","17.0","2.26","1500"
"LANC","1990-12-06","17.0","17.25","16.75","2.22","66300"
"LANC","1990-12-07","17.0","17.12","16.75","2.22","27100"
"LANC","1990-12-10","16.5","17.5","16.5","2.27","100800"
"LANC","1990-12-11","17.25","17.25","17.0","2.26","37500"
"LANC","1990-12-12","17.5","17.5","17.5","2.32","3900"
"LANC","1990-12-13","17.0","17.25","16.75","2.24","43300"
"LANC","1990-12-14","17.25","17.25","16.75","2.29","63900"
"LANC","1990-12-17","17.0","17.5","17.0","2.32","123300"
"LANC","1990-12-18","17.0","17.5","17.0","2.32","8700"
"LANC","1990-12-19","17.5","17.5","17.0","2.26","13500"
"LANC","1990-12-20","17.0","17.5","17.0","2.32","4800"
"LANC","1990-12-21","17.5","17.5","17.0","2.26","8700"
"LANC","1990-12-24","17.0","17.12","17.0","2.26","25800"
"LANC","1990-12-26","17.0","17.5","17.0","2.32","10300"
"LANC","1990-12-27","17.0","17.38","17.0","2.26","57000"
"LANC","1990-12-28","17.25","17.25","17.0","2.26","56700"
"LANC","1990-12-31","16.75","17.0","16.75","2.22","12100"
"LANC","1991-01-02","17.25","17.25","16.75","2.24","42600"
"LANC","1991-01-03","16.75","17.25","16.75","2.29","72900"
"LANC","1991-01-04","17.0","17.0","15.75","2.17","102600"
"LANC","1991-01-07","15.88","16.25","15.75","2.16","33700"
"LANC","1991-01-08","16.0","16.25","15.75","2.09","104700"
"LANC","1991-01-09","16.38","16.5","15.75","2.09","34300"
"LANC","1991-01-10","15.88","16.0","15.75","2.09","83400"
"LANC","1991-01-11","15.75","15.75","15.75","2.09","5500"
"LANC","1991-01-14","15.5","16.0","15.25","2.09","22300"
"LANC","1991-01-15","16.0","16.0","15.5","2.12","26400"
"LANC","1991-01-16","16.25","16.75","16.0","2.22","121800"
"LANC","1991-01-17","17.0","17.62","17.0","2.29","40200"
"LANC","1991-01-18","17.5","17.75","17.25","2.29","44700"
"LANC","1991-01-21","17.0","17.5","17.0","2.32","20700"
"LANC","1991-01-22","17.5","18.75","17.5","2.42","92100"
"LANC","1991-01-23","18.25","18.75","18.25","2.42","26500"
"LANC","1991-01-24","19.0","19.5","18.75","2.49","128700"
"LANC","1991-01-25","19.25","19.25","18.75","2.52","19300"
"LANC","1991-01-28","18.75","19.5","18.75","2.52","12700"
"LANC","1991-01-29","18.75","18.75","18.75","2.49","3100"
"LANC","1991-01-30","18.75","19.5","18.75","2.55","4200"
"LANC","1991-01-31","19.0","19.75","19.0","2.62","202300"
"LANC","1991-02-01","19.25","19.75","19.25","2.59","134500"
"LANC","1991-02-04","19.75","20.0","19.5","2.59","297700"
"LANC","1991-02-05","19.5","20.0","19.5","2.59","149500"
"LANC","1991-02-06","19.62","20.0","19.5","2.65","27300"
"LANC","1991-02-07","19.5","20.0","19.5","2.65","79200"
"LANC","1991-02-08","20.0","20.5","19.75","2.72","129600"
"LANC","1991-02-11","20.75","21.0","20.25","2.79","1319400"
"LANC","1991-02-12","20.25","21.0","20.25","2.69","7200"
"LANC","1991-02-13","20.25","20.88","19.5","2.59","184200"
"LANC","1991-02-14","20.25","20.5","20.25","2.72","57700"
"LANC","1991-02-15","20.5","20.5","20.25","2.69","45700"
"LANC","1991-02-19","20.25","20.5","20.0","2.65","32700"
"LANC","1991-02-20","20.0","20.5","20.0","2.72","1800"
"LANC","1991-02-21","20.0","20.0","20.0","2.65","1800"
"LANC","1991-02-22","20.0","20.0","19.75","2.65","140100"
"LANC","1991-02-25","20.0","20.0","19.75","2.65","228000"
"LANC","1991-02-26","20.25","20.25","19.5","2.62","31900"
"LANC","1991-02-27","19.62","20.0","19.5","2.62","132900"
"LANC","1991-02-28","20.25","20.25","18.75","2.59","129600"
"LANC","1991-03-01","19.5","19.5","19.0","2.59","334500"
"LANC","1991-03-04","19.62","20.0","19.5","2.62","189700"
"LANC","1991-03-05","20.0","20.0","19.5","2.68","50500"
"LANC","1991-03-06","20.25","21.25","20.0","2.81","111100"
"LANC","1991-03-07","21.5","22.25","20.75","2.78","223200"
"LANC","1991-03-08","20.75","20.75","20.5","2.78","82500"
"LANC","1991-03-11","20.25","20.75","20.25","2.78","26500"
"LANC","1991-03-12","20.5","21.0","20.5","2.81","44100"
"LANC","1991-03-13","20.25","20.75","20.25","2.78","39100"
"LANC","1991-03-14","20.25","21.0","20.25","2.81","21700"
"LANC","1991-03-15","20.75","20.75","20.25","2.78","8700"
"LANC","1991-03-18","20.5","21.75","20.38","2.85","281500"
"LANC","1991-03-19","21.25","23.0","21.25","3.08","117700"
"LANC","1991-03-20","22.25","23.0","21.75","2.97","56100"
"LANC","1991-03-21","22.0","23.0","22.0","2.98","180100"
"LANC","1991-03-22","23.0","23.0","23.0","3.08","900"
"LANC","1991-03-25","22.25","23.0","22.25","2.98","16800"
"LANC","1991-03-26","22.5","22.75","22.0","2.95","44700"
"LANC","1991-03-27","22.75","23.25","22.75","3.05","91200"
"LANC","1991-03-28","22.75","23.25","22.75","3.05","12700"
"LANC","1991-04-01","22.75","23.25","22.5","3.05","209700"
"LANC","1991-04-02","23.0","23.0","22.25","2.98","70300"
"LANC","1991-04-03","22.25","22.75","22.25","2.98","99900"
"LANC","1991-04-04","22.25","22.25","21.75","2.95","264900"
"LANC","1991-04-05","22.0","22.5","22.0","2.95","14500"
"LANC","1991-04-08","22.0","22.5","22.0","3.02","34300"
"LANC","1991-04-09","22.0","22.5","22.0","2.98","121500"
"LANC","1991-04-10","22.5","22.5","22.0","2.98","386400"
"LANC","1991-04-11","22.75","22.75","22.25","3.02","88200"
"LANC","1991-04-12","22.75","22.75","22.25","2.98","7300"
"LANC","1991-04-15","22.25","22.75","22.25","3.05","8700"
"LANC","1991-04-16","22.25","22.75","22.0","3.05","43900"
"LANC","1991-04-17","22.75","22.75","22.0","3.02","363900"
"LANC","1991-04-18","22.12","22.12","22.0","2.95","24900"
"LANC","1991-04-19","22.0","22.75","22.0","3.05","6300"
"LANC","1991-04-22","22.0","22.0","21.0","2.88","160200"
"LANC","1991-04-23","21.75","21.75","21.38","2.92","21600"
"LANC","1991-04-24","21.75","21.75","21.5","2.88","4200"
"LANC","1991-04-25","21.5","21.5","21.38","2.87","22500"
"LANC","1991-04-26","21.38","21.75","21.38","2.88","57700"
"LANC","1991-04-29","21.75","21.75","21.5","2.88","21000"
"LANC","1991-04-30","21.5","21.5","21.25","2.88","89700"
"LANC","1991-05-01","21.25","21.75","21.25","2.92","10500"
"LANC","1991-05-02","21.5","22.0","21.25","2.95","23400"
"LANC","1991-05-03","22.0","22.0","22.0","2.95","30600"
"LANC","1991-05-06","21.62","21.62","21.25","2.85","11100"
"LANC","1991-05-07","21.25","21.5","21.25","2.85","18600"
"LANC","1991-05-08","21.25","21.75","21.25","2.92","39300"
"LANC","1991-05-09","21.25","22.0","21.25","2.95","7300"
"LANC","1991-05-10","21.5","22.25","21.5","2.95","155400"
"LANC","1991-05-13","22.5","22.5","21.25","2.92","138300"
"LANC","1991-05-14","21.25","21.25","21.25","2.85","5700"
"LANC","1991-05-15","21.25","21.25","20.75","2.78","81700"
"LANC","1991-05-16","21.0","21.0","20.75","2.78","31200"
"LANC","1991-05-17","20.5","20.5","20.5","2.75","3900"
"LANC","1991-05-20","21.25","21.25","20.5","2.85","81000"
"LANC","1991-05-21","20.75","21.25","20.75","2.85","56100"
"LANC","1991-05-22","21.25","21.25","20.75","2.78","98400"
"LANC","1991-05-23","20.75","21.25","20.75","2.85","28800"
"LANC","1991-05-24","20.75","20.75","20.75","2.78","700"
"LANC","1991-05-28","21.25","21.25","21.0","2.81","7900"
"LANC","1991-05-29","20.75","21.5","20.75","2.88","1800"
"LANC","1991-05-30","20.75","21.5","20.75","2.81","75100"
"LANC","1991-05-31","21.5","22.75","21.0","3.05","400800"
"LANC","1991-06-03","23.0","23.0","22.5","3.08","17700"
"LANC","1991-06-04","22.5","22.5","21.75","3.01","125700"
"LANC","1991-06-05","22.5","23.0","22.25","3.11","508800"
"LANC","1991-06-06","23.0","23.0","22.5","3.04","12900"
"LANC","1991-06-07","22.5","22.5","22.25","3.01","30300"
"LANC","1991-06-10","22.0","22.0","21.25","2.87","173700"
"LANC","1991-06-11","21.62","21.62","21.62","2.92","3100"
"LANC","1991-06-12","21.0","21.0","20.5","2.81","49500"
"LANC","1991-06-13","20.5","20.75","20.25","2.77","59100"
"LANC","1991-06-14","21.0","21.0","20.25","2.77","4800"
"LANC","1991-06-17","20.5","21.0","20.5","2.77","27300"
"LANC","1991-06-18","21.0","21.0","20.5","2.77","9700"
"LANC","1991-06-19","20.25","20.75","20.25","2.81","19200"
"LANC","1991-06-20","20.75","20.75","20.25","2.77","34300"
"LANC","1991-06-21","20.25","20.75","20.25","2.81","10300"
"LANC","1991-06-24","20.5","20.5","20.25","2.76","26400"
"LANC","1991-06-25","20.75","20.75","20.25","2.77","72700"
"LANC","1991-06-26","20.75","20.75","20.25","2.74","66300"
"LANC","1991-06-27","20.75","20.75","20.75","2.81","700"
"LANC","1991-06-28","20.25","20.75","20.25","2.81","74400"
"LANC","1991-07-01","20.75","20.75","20.25","2.74","24700"
"LANC","1991-07-02","20.25","20.75","20.25","2.77","31900"
"LANC","1991-07-03","21.25","21.25","20.5","2.82","14500"
"LANC","1991-07-05","20.5","20.5","20.5","2.77","1800"
"LANC","1991-07-08","21.0","21.25","20.75","2.84","60900"
"LANC","1991-07-09","21.0","23.0","21.0","3.04","383100"
"LANC","1991-07-10","23.0","23.5","22.5","3.18","859900"
"LANC","1991-07-11","23.75","23.75","23.0","3.13","132100"
"LANC","1991-07-12","23.0","23.75","23.0","3.21","769500"
"LANC","1991-07-15","23.5","24.5","23.5","3.25","397500"
"LANC","1991-07-16","24.0","24.25","23.75","3.25","84900"
"LANC","1991-07-17","24.0","24.5","24.0","3.3","53700"
"LANC","1991-07-18","24.0","24.25","24.0","3.25","21600"
"LANC","1991-07-19","24.0","24.38","24.0","3.28","159100"
"LANC","1991-07-22","24.0","24.38","24.0","3.28","175200"
"LANC","1991-07-23","24.25","24.5","24.0","3.25","63300"
"LANC","1991-07-24","24.0","24.38","24.0","3.28","67300"
"LANC","1991-07-25","24.0","24.0","23.75","3.21","3300"
"LANC","1991-07-26","23.75","24.0","23.75","3.21","4900"
"LANC","1991-07-29","24.75","24.75","23.75","3.21","4200"
"LANC","1991-07-30","23.75","24.75","23.75","3.35","5700"
"LANC","1991-07-31","23.75","24.75","23.75","3.28","24000"
"LANC","1991-08-01","23.75","25.25","23.75","3.38","159300"
"LANC","1991-08-02","24.75","25.0","24.75","3.35","24900"
"LANC","1991-08-05","24.75","24.75","24.75","3.35","5500"
"LANC","1991-08-06","24.75","25.0","24.75","3.35","12700"
"LANC","1991-08-07","24.75","25.25","24.75","3.38","114300"
"LANC","1991-08-08","25.0","25.0","24.25","3.31","84100"
"LANC","1991-08-09","24.12","24.5","24.0","3.25","32700"
"LANC","1991-08-12","23.75","24.25","23.75","3.25","28900"
"LANC","1991-08-13","24.0","24.25","23.75","3.21","116700"
"LANC","1991-08-14","23.75","23.75","23.75","3.21","16200"
"LANC","1991-08-15","23.75","24.25","23.75","3.28","7200"
"LANC","1991-08-16","23.75","24.5","23.75","3.21","36100"
"LANC","1991-08-19","23.5","23.5","22.75","3.08","65700"
"LANC","1991-08-20","22.5","24.0","22.5","3.25","185700"
"LANC","1991-08-21","24.5","25.0","24.25","3.38","47400"
"LANC","1991-08-22","24.25","25.25","24.25","3.41","10500"
"LANC","1991-08-23","24.5","25.25","24.5","3.41","23400"
"LANC","1991-08-26","25.25","25.75","24.5","3.45","138300"
"LANC","1991-08-27","25.25","26.25","25.25","3.45","72700"
"LANC","1991-08-28","25.25","25.5","24.75","3.35","131400"
"LANC","1991-08-29","25.5","26.0","25.12","3.41","474300"
"LANC","1991-08-30","26.0","26.0","25.25","3.48","281500"
"LANC","1991-09-03","26.0","26.25","25.5","3.45","64800"
"LANC","1991-09-04","25.5","26.25","25.5","3.48","24100"
"LANC","1991-09-05","26.25","27.0","25.5","3.68","345000"
"LANC","1991-09-06","26.5","27.0","25.88","3.53","372700"
"LANC","1991-09-09","26.25","26.5","25.75","3.58","193500"
"LANC","1991-09-10","26.0","27.0","26.0","3.54","84100"
"LANC","1991-09-11","26.0","27.0","26.0","3.68","67900"
"LANC","1991-09-12","26.25","27.25","26.25","3.71","106500"
"LANC","1991-09-13","26.75","27.75","26.75","3.78","124800"
"LANC","1991-09-16","28.25","28.25","27.5","3.78","84100"
"LANC","1991-09-17","28.0","28.5","27.75","3.78","28800"
"LANC","1991-09-18","27.75","28.5","27.75","3.85","99100"
"LANC","1991-09-19","28.0","29.0","28.0","3.92","233500"
