"symbol","date","open","high","low","close","volume"
"LEO","1987-09-24","9.75","9.75","9.75","1.52","2312000"
"LEO","1987-09-25","9.75","9.75","9.75","1.52","984800"
"LEO","1987-09-28","9.75","9.75","9.75","1.52","1666000"
"LEO","1987-09-29","9.75","9.88","9.75","1.54","457300"
"LEO","1987-09-30","9.75","9.88","9.75","1.52","371500"
"LEO","1987-10-01","9.75","9.75","9.12","1.48","397600"
"LEO","1987-10-02","9.25","9.38","9.12","1.44","177500"
"LEO","1987-10-05","9.25","9.25","9.0","1.42","195400"
"LEO","1987-10-06","9.12","9.25","9.0","1.44","144600"
"LEO","1987-10-07","9.25","9.25","9.12","1.44","137600"
"LEO","1987-10-08","9.25","9.25","9.12","1.42","99600"
"LEO","1987-10-09","9.25","9.25","9.12","1.42","102800"
"LEO","1987-10-12","9.12","9.12","9.0","1.4","103500"
"LEO","1987-10-13","9.12","9.12","8.75","1.4","182400"
"LEO","1987-10-14","9.0","9.0","8.88","1.4","65100"
"LEO","1987-10-15","9.0","9.0","8.88","1.4","109200"
"LEO","1987-10-16","9.0","9.0","8.38","1.34","103100"
"LEO","1987-10-19","8.0","8.0","7.38","1.25","249900"
"LEO","1987-10-20","8.0","8.62","8.0","1.31","222300"
"LEO","1987-10-21","8.75","8.88","8.5","1.34","187200"
"LEO","1987-10-22","8.0","8.88","8.0","1.34","147200"
"LEO","1987-10-23","8.75","8.88","8.62","1.38","114000"
"LEO","1987-10-26","8.75","8.88","8.38","1.31","108800"
"LEO","1987-10-27","8.75","8.75","8.5","1.36","79000"
"LEO","1987-10-28","8.88","8.88","8.38","1.33","107700"
"LEO","1987-10-29","8.62","8.75","8.38","1.36","92800"
"LEO","1987-10-30","8.75","8.75","8.5","1.36","62700"
"LEO","1987-11-02","8.75","8.88","8.75","1.36","79800"
"LEO","1987-11-03","8.75","8.88","8.62","1.37","63700"
"LEO","1987-11-04","8.88","9.0","8.75","1.41","56700"
"LEO","1987-11-05","9.0","9.38","8.88","1.47","170600"
"LEO","1987-11-06","9.38","9.38","9.12","1.47","100600"
"LEO","1987-11-09","9.38","9.38","9.12","1.45","54100"
"LEO","1987-11-10","9.12","9.25","9.12","1.45","48300"
"LEO","1987-11-11","9.12","9.25","9.12","1.45","46000"
"LEO","1987-11-12","9.25","9.25","9.12","1.45","52900"
"LEO","1987-11-13","9.0","9.25","9.0","1.43","48800"
"LEO","1987-11-16","9.0","9.12","9.0","1.43","95000"
"LEO","1987-11-17","9.25","9.25","9.12","1.45","107200"
"LEO","1987-11-18","9.12","9.25","9.12","1.45","69800"
"LEO","1987-11-19","9.25","9.25","9.12","1.45","121200"
"LEO","1987-11-20","9.25","9.38","9.12","1.47","41200"
"LEO","1987-11-23","9.25","9.25","9.0","1.41","62600"
"LEO","1987-11-24","9.12","9.12","9.0","1.43","87500"
"LEO","1987-11-25","9.0","9.25","9.0","1.43","45800"
"LEO","1987-11-27","9.25","9.38","9.25","1.47","10800"
"LEO","1987-11-30","9.25","9.25","9.0","1.43","55900"
"LEO","1987-12-01","9.0","9.12","8.88","1.4","50800"
"LEO","1987-12-02","9.0","9.0","9.0","1.42","61100"
"LEO","1987-12-03","9.12","9.12","8.88","1.42","75000"
"LEO","1987-12-04","9.0","9.0","8.88","1.4","60700"
"LEO","1987-12-07","9.0","9.12","8.75","1.42","48100"
"LEO","1987-12-08","9.0","9.0","8.75","1.42","57000"
"LEO","1987-12-09","9.0","9.0","8.75","1.38","67100"
"LEO","1987-12-10","8.75","8.88","8.62","1.38","101700"
"LEO","1987-12-11","8.75","8.88","8.62","1.38","52000"
"LEO","1987-12-14","8.88","8.88","8.62","1.4","54800"
"LEO","1987-12-15","8.88","9.12","8.75","1.44","78800"
"LEO","1987-12-16","9.0","9.12","9.0","1.44","76700"
"LEO","1987-12-17","9.25","9.25","9.12","1.46","96100"
"LEO","1987-12-18","9.25","9.25","9.12","1.44","75200"
"LEO","1987-12-21","9.25","9.25","9.0","1.44","85600"
"LEO","1987-12-22","9.12","9.12","8.88","1.4","69100"
"LEO","1987-12-23","8.88","9.12","8.88","1.44","86100"
"LEO","1987-12-24","9.12","9.12","9.0","1.42","32400"
"LEO","1987-12-28","9.0","9.12","8.88","1.42","88900"
"LEO","1987-12-29","9.12","9.12","8.88","1.44","74300"
"LEO","1987-12-30","9.0","9.12","9.0","1.44","86700"
"LEO","1987-12-31","9.12","9.25","9.0","1.42","145400"
"LEO","1988-01-04","9.0","9.25","9.0","1.43","31800"
"LEO","1988-01-05","9.12","9.38","9.12","1.49","47700"
"LEO","1988-01-06","9.38","9.38","9.25","1.49","74200"
"LEO","1988-01-07","9.38","9.5","9.25","1.51","49600"
"LEO","1988-01-08","9.38","9.38","9.25","1.47","74300"
"LEO","1988-01-11","9.25","9.38","9.12","1.49","30800"
"LEO","1988-01-12","9.38","9.38","9.25","1.49","70900"
"LEO","1988-01-13","9.38","9.38","9.25","1.49","48000"
"LEO","1988-01-14","9.38","9.38","9.25","1.49","59200"
"LEO","1988-01-15","9.38","9.5","9.38","1.49","146800"
"LEO","1988-01-18","9.5","9.5","9.38","1.51","59800"
"LEO","1988-01-19","9.5","9.62","9.38","1.51","98600"
"LEO","1988-01-20","9.38","9.62","9.38","1.53","62000"
"LEO","1988-01-21","9.5","9.75","9.5","1.55","71100"
"LEO","1988-01-22","9.88","9.88","9.62","1.53","74800"
"LEO","1988-01-25","9.75","9.75","9.5","1.51","131900"
"LEO","1988-01-26","9.5","9.62","9.38","1.51","75100"
"LEO","1988-01-27","9.62","9.88","9.5","1.53","146100"
"LEO","1988-01-28","9.75","9.88","9.62","1.57","83300"
"LEO","1988-01-29","9.75","9.88","9.75","1.57","79300"
"LEO","1988-02-01","9.88","9.88","9.75","1.55","78700"
"LEO","1988-02-02","9.75","10.0","9.75","1.57","71100"
"LEO","1988-02-03","10.0","10.0","9.88","1.57","74700"
"LEO","1988-02-04","9.88","10.0","9.88","1.57","93100"
"LEO","1988-02-05","9.88","10.0","9.88","1.59","70700"
"LEO","1988-02-08","9.88","10.0","9.88","1.58","69500"
"LEO","1988-02-09","9.88","10.0","9.88","1.58","99800"
"LEO","1988-02-10","9.88","10.0","9.75","1.58","98300"
"LEO","1988-02-11","9.88","10.0","9.88","1.6","51700"
"LEO","1988-02-12","9.88","10.0","9.88","1.58","117400"
"LEO","1988-02-16","10.0","10.0","9.88","1.6","107200"
"LEO","1988-02-17","10.0","10.0","9.88","1.6","79000"
"LEO","1988-02-18","9.88","10.0","9.75","1.58","79100"
"LEO","1988-02-19","9.88","10.0","9.75","1.6","187000"
"LEO","1988-02-22","10.0","10.0","9.88","1.58","53800"
"LEO","1988-02-23","10.0","10.0","9.88","1.6","52500"
"LEO","1988-02-24","10.0","10.0","9.88","1.6","63400"
"LEO","1988-02-25","10.0","10.0","9.88","1.6","70700"
"LEO","1988-02-26","10.0","10.0","9.88","1.6","80900"
"LEO","1988-02-29","10.0","10.0","9.88","1.6","64800"
"LEO","1988-03-01","10.0","10.0","9.88","1.58","60400"
"LEO","1988-03-02","10.0","10.0","9.88","1.58","68200"
"LEO","1988-03-03","10.0","10.0","9.88","1.6","53800"
"LEO","1988-03-04","9.88","10.12","9.88","1.6","92700"
"LEO","1988-03-07","9.88","10.0","9.88","1.61","36400"
"LEO","1988-03-08","9.88","10.0","9.88","1.61","48400"
"LEO","1988-03-09","9.88","10.0","9.75","1.57","105000"
"LEO","1988-03-10","9.88","10.0","9.75","1.59","50000"
"LEO","1988-03-11","10.0","10.0","9.88","1.59","37800"
"LEO","1988-03-14","10.0","10.0","9.88","1.59","37200"
"LEO","1988-03-15","10.0","10.0","9.88","1.59","49900"
"LEO","1988-03-16","9.88","10.0","9.88","1.59","48000"
"LEO","1988-03-17","10.0","10.0","9.88","1.61","45100"
"LEO","1988-03-18","10.0","10.0","9.88","1.61","70600"
"LEO","1988-03-21","10.0","10.12","9.88","1.61","86200"
"LEO","1988-03-22","10.12","10.12","9.88","1.59","49100"
"LEO","1988-03-23","9.88","10.0","9.88","1.59","38600"
"LEO","1988-03-24","9.88","9.88","9.75","1.59","125900"
"LEO","1988-03-25","9.88","10.0","9.88","1.61","49000"
"LEO","1988-03-28","9.88","10.0","9.88","1.59","29700"
"LEO","1988-03-29","9.75","10.0","9.75","1.61","31100"
"LEO","1988-03-30","9.88","10.0","9.88","1.59","28000"
"LEO","1988-03-31","9.88","10.0","9.88","1.61","35800"
"LEO","1988-04-04","9.88","9.88","9.75","1.6","28500"
"LEO","1988-04-05","9.75","9.88","9.75","1.6","47200"
"LEO","1988-04-06","9.88","9.88","9.75","1.6","43600"
"LEO","1988-04-07","9.88","9.88","9.75","1.6","79000"
"LEO","1988-04-08","9.75","10.0","9.75","1.62","36600"
"LEO","1988-04-11","10.0","10.0","9.88","1.62","39200"
"LEO","1988-04-12","10.0","10.0","9.88","1.62","44400"
"LEO","1988-04-13","9.88","10.0","9.88","1.62","37400"
"LEO","1988-04-14","9.75","9.88","9.62","1.56","118800"
"LEO","1988-04-15","9.75","9.88","9.62","1.6","72000"
"LEO","1988-04-18","9.75","10.0","9.62","1.62","62600"
"LEO","1988-04-19","10.0","10.0","9.88","1.62","177500"
"LEO","1988-04-20","9.88","10.0","9.75","1.6","69500"
"LEO","1988-04-21","9.88","10.0","9.75","1.6","83900"
"LEO","1988-04-22","10.0","10.0","9.88","1.62","109800"
"LEO","1988-04-25","9.88","10.0","9.75","1.6","42300"
"LEO","1988-04-26","9.88","9.88","9.75","1.6","30800"
