"symbol","date","open","high","low","close","volume"
"LLY","1972-06-01","65.03","65.12","64.38","1.09","456000"
"LLY","1972-06-02","64.88","65.5","64.88","1.1","640000"
"LLY","1972-06-05","65.38","65.38","64.38","1.09","464000"
"LLY","1972-06-06","64.62","64.62","64.0","1.08","796800"
"LLY","1972-06-07","64.0","64.88","63.88","1.09","584000"
"LLY","1972-06-08","64.75","65.0","63.88","1.08","726400"
"LLY","1972-06-09","64.12","64.88","64.12","1.09","296000"
"LLY","1972-06-12","64.75","65.25","64.25","1.09","473600"
"LLY","1972-06-13","64.75","65.5","64.75","1.1","478400"
"LLY","1972-06-14","65.5","66.88","65.5","1.12","795200"
"LLY","1972-06-15","67.0","67.75","67.0","1.13","836800"
"LLY","1972-06-16","67.0","67.12","66.0","1.12","267200"
"LLY","1972-06-19","66.25","66.62","65.0","1.11","1001600"
"LLY","1972-06-20","66.0","66.62","66.0","1.12","345600"
"LLY","1972-06-21","66.62","66.88","65.88","1.11","556800"
"LLY","1972-06-22","66.0","66.62","65.75","1.12","321600"
"LLY","1972-06-23","66.5","66.88","66.5","1.13","212800"
"LLY","1972-06-26","66.75","67.5","66.12","1.14","278400"
"LLY","1972-06-27","67.5","67.88","66.75","1.13","268800"
"LLY","1972-06-28","66.88","66.88","65.75","1.11","433600"
"LLY","1972-06-29","66.0","66.38","65.62","1.11","313600"
"LLY","1972-06-30","65.75","66.75","65.75","1.12","404800"
"LLY","1972-07-03","66.5","67.38","66.38","1.13","240000"
"LLY","1972-07-05","67.75","68.5","67.75","1.15","734400"
"LLY","1972-07-06","68.88","69.62","68.88","1.17","809600"
"LLY","1972-07-07","69.38","70.88","69.38","1.19","595200"
"LLY","1972-07-10","70.88","71.0","70.0","1.18","316800"
"LLY","1972-07-11","70.12","70.88","70.12","1.19","232000"
"LLY","1972-07-12","70.5","71.62","70.5","1.2","1132800"
"LLY","1972-07-13","71.0","71.75","70.25","1.2","790400"
"LLY","1972-07-14","71.12","72.5","71.12","1.22","950400"
"LLY","1972-07-17","72.25","72.25","71.0","1.2","187200"
"LLY","1972-07-18","70.62","70.62","70.25","1.19","385600"
"LLY","1972-07-19","70.5","72.25","70.5","1.2","636800"
"LLY","1972-07-20","71.25","72.0","71.25","1.21","326400"
"LLY","1972-07-21","72.25","73.12","72.25","1.23","340800"
"LLY","1972-07-24","73.12","75.25","73.0","1.25","811200"
"LLY","1972-07-25","74.38","75.12","73.75","1.24","312000"
"LLY","1972-07-26","75.0","75.88","75.0","1.27","816000"
"LLY","1972-07-27","75.62","76.12","75.0","1.27","422400"
"LLY","1972-07-28","75.62","75.75","75.5","1.27","208000"
"LLY","1972-07-31","75.25","75.25","74.5","1.26","174400"
"LLY","1972-08-01","74.62","75.5","74.5","1.27","368000"
"LLY","1972-08-02","75.5","75.75","75.0","1.27","384000"
"LLY","1972-08-03","75.25","75.5","74.5","1.27","355200"
"LLY","1972-08-04","75.5","75.5","75.0","1.26","193600"
"LLY","1972-08-07","75.0","75.5","75.0","1.27","204800"
"LLY","1972-08-08","75.0","75.5","74.75","1.27","243200"
"LLY","1972-08-09","75.25","75.25","74.88","1.27","126400"
"LLY","1972-08-10","75.12","75.5","75.12","1.27","184000"
"LLY","1972-08-11","75.38","75.5","75.12","1.28","180800"
"LLY","1972-08-14","75.75","77.25","75.75","1.3","308800"
"LLY","1972-08-15","76.88","76.88","74.88","1.28","420800"
"LLY","1972-08-16","75.5","75.5","74.25","1.26","268800"
"LLY","1972-08-17","74.62","74.88","74.0","1.26","348800"
"LLY","1972-08-18","74.62","76.0","74.62","1.28","185600"
"LLY","1972-08-21","76.25","77.88","76.25","1.31","316800"
"LLY","1972-08-22","77.25","78.0","77.0","1.31","580800"
"LLY","1972-08-23","77.5","77.5","76.88","1.3","353600"
"LLY","1972-08-24","77.0","77.5","76.12","1.29","179200"
"LLY","1972-08-25","75.75","75.75","74.62","1.26","371200"
"LLY","1972-08-28","74.62","75.5","74.38","1.26","177600"
"LLY","1972-08-29","74.38","75.0","74.12","1.27","238400"
