"symbol","date","open","high","low","close","volume"
"LMFAW","2015-12-10","0.77","0.77","0.75","0.75","11100"
"LMFAW","2015-12-11","0.68","0.76","0.68","0.76","4542"
"LMFAW","2015-12-14","0.76","1.0","0.76","0.86","3798"
"LMFAW","2015-12-15","0.88","1.0","0.88","1.0","1613"
"LMFAW","2015-12-16","1.0","1.0","0.5","0.5","3500"
"LMFAW","2015-12-17","0.75","0.8","0.75","0.75","6374"
"LMFAW","2015-12-18","1.2","1.2","0.76","1.14","9511"
"LMFAW","2015-12-24","1.2","1.98","1.2","1.5","1600"
"LMFAW","2015-12-28","0.85","0.88","0.85","0.86","450"
"LMFAW","2015-12-29","1.1","1.1","1.1","1.1","1500"
"LMFAW","2015-12-30","1.2","1.5","1.2","1.25","9900"
"LMFAW","2015-12-31","1.01","1.01","1.0","1.0","650"
"LMFAW","2016-01-05","0.55","0.55","0.55","0.55","400"
"LMFAW","2016-01-06","1.0","1.0","0.9","0.8965","4600"
"LMFAW","2016-01-07","0.9","0.9","0.8","0.81","3500"
"LMFAW","2016-01-08","1.98","1.98","1.01","1.24","16200"
"LMFAW","2016-01-11","1.75","1.75","1.75","1.75","200"
"LMFAW","2016-01-12","1.2","1.2","0.95","0.95","200"
"LMFAW","2016-01-20","1.05","1.25","0.74","0.9501","42756"
"LMFAW","2016-01-29","1.01","1.01","1.01","1.01","175"
"LMFAW","2016-02-04","0.7","0.73","0.7","0.73","3800"
"LMFAW","2016-02-11","0.6","0.69","0.6","0.6939","1525"
"LMFAW","2016-02-19","0.36","1.19","0.36","0.9567","310"
"LMFAW","2016-03-07","1.12","1.14","0.69","0.6911","2133"
"LMFAW","2016-03-16","0.7","0.7","0.7","0.7","1599"
"LMFAW","2016-03-31","0.91","0.91","0.91","0.91","310"
"LMFAW","2016-04-29","0.91","0.91","0.91","0.91","357"
"LMFAW","2016-05-05","0.6","0.6","0.6","0.599","100"
"LMFAW","2016-05-12","0.42","0.46","0.42","0.416","200"
"LMFAW","2016-05-16","0.43","0.43","0.43","0.43","200"
"LMFAW","2016-05-20","0.5","0.5","0.5","0.5","100"
"LMFAW","2016-05-27","0.65","0.85","0.63","0.85","3900"
"LMFAW","2016-05-31","1.1","1.1","0.52","0.5207","29401"
"LMFAW","2016-06-01","1.0","1.0","1.0","0.9994","200"
