"symbol","date","open","high","low","close","volume"
"LPTH","1996-02-28","4.5","4.5","4.5","36.0","100"
"LPTH","1996-02-29","4.5","4.5","4.5","36.0","0"
"LPTH","1996-03-01","4.5","4.5","4.5","36.0","0"
"LPTH","1996-03-04","4.5","4.5","4.5","36.0","0"
"LPTH","1996-03-05","4.5","4.5","4.5","36.0","0"
"LPTH","1996-03-06","4.5","4.5","4.5","36.0","0"
"LPTH","1996-03-07","4.5","4.5","4.5","36.0","0"
"LPTH","1996-03-08","4.5","4.5","4.5","36.0","200"
"LPTH","1996-03-11","4.0","4.0","4.0","32.0","100"
"LPTH","1996-03-12","4.0","4.0","4.0","32.0","0"
"LPTH","1996-03-13","4.0","4.0","4.0","32.0","0"
"LPTH","1996-03-14","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-15","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-18","4.38","4.38","4.38","35.0","100"
"LPTH","1996-03-19","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-20","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-21","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-22","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-25","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-26","4.38","4.38","4.38","35.0","0"
"LPTH","1996-03-27","4.75","4.75","4.75","38.0","100"
"LPTH","1996-03-28","4.75","4.75","4.75","38.0","0"
"LPTH","1996-03-29","4.75","4.75","4.75","38.0","100"
"LPTH","1996-04-01","4.75","4.75","4.75","38.0","0"
"LPTH","1996-04-02","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-03","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-04","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-08","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-09","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-10","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-11","5.0","5.0","4.5","37.0","100"
"LPTH","1996-04-12","4.62","4.62","4.62","37.0","0"
"LPTH","1996-04-15","5.0","5.0","5.0","40.0","0"
"LPTH","1996-04-16","5.0","5.0","5.0","40.0","100"
"LPTH","1996-04-17","5.25","5.25","5.25","42.0","100"
"LPTH","1996-04-18","5.25","5.25","5.25","42.0","0"
"LPTH","1996-04-19","5.25","5.25","5.25","42.0","0"
"LPTH","1996-04-22","5.5","5.5","5.5","44.0","0"
"LPTH","1996-04-23","5.5","5.5","5.5","44.0","0"
"LPTH","1996-04-24","5.5","5.5","5.5","44.0","0"
"LPTH","1996-04-25","6.5","6.5","6.5","52.0","0"
"LPTH","1996-04-26","6.5","6.5","6.5","52.0","0"
"LPTH","1996-04-29","6.5","6.5","6.5","52.0","0"
"LPTH","1996-04-30","6.5","6.5","6.5","52.0","0"
"LPTH","1996-05-01","6.5","6.5","6.5","52.0","0"
"LPTH","1996-05-02","6.5","6.5","6.5","52.0","100"
"LPTH","1996-05-03","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-06","6.38","6.38","6.38","51.0","100"
"LPTH","1996-05-07","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-08","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-09","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-10","5.25","5.5","5.25","44.0","100"
"LPTH","1996-05-13","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-14","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-15","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-16","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-17","6.38","6.38","6.38","51.0","0"
"LPTH","1996-05-20","5.25","5.5","5.25","44.0","200"
"LPTH","1996-05-21","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-22","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-23","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-24","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-28","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-29","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-30","5.5","5.5","5.5","44.0","0"
"LPTH","1996-05-31","5.5","5.5","5.5","44.0","0"
"LPTH","1996-06-03","5.5","5.5","5.5","44.0","0"
"LPTH","1996-06-04","5.25","5.38","5.25","43.0","100"
"LPTH","1996-06-05","6.38","6.38","6.38","51.0","0"
"LPTH","1996-06-06","6.38","6.38","6.38","51.0","0"
"LPTH","1996-06-07","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-10","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-11","5.38","6.38","5.38","51.0","300"
"LPTH","1996-06-12","6.38","6.38","6.38","51.0","0"
"LPTH","1996-06-13","6.38","6.38","6.38","51.0","0"
"LPTH","1996-06-14","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-17","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-18","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-19","5.5","5.5","5.5","44.0","100"
"LPTH","1996-06-20","5.5","5.5","5.5","44.0","0"
"LPTH","1996-06-21","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-24","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-25","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-26","5.38","5.38","5.38","43.0","100"
"LPTH","1996-06-27","5.38","5.38","5.38","43.0","0"
"LPTH","1996-06-28","5.38","5.38","5.38","43.0","0"
"LPTH","1996-07-01","5.38","5.38","5.38","43.0","0"
"LPTH","1996-07-02","5.38","5.38","5.38","43.0","0"
"LPTH","1996-07-03","5.38","5.38","5.38","43.0","0"
"LPTH","1996-07-05","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-08","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-09","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-10","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-11","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-12","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-15","6.38","6.38","6.38","51.0","0"
"LPTH","1996-07-16","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-17","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-18","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-19","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-22","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-23","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-24","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-25","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-26","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-29","6.25","6.25","6.25","50.0","0"
"LPTH","1996-07-30","5.5","5.5","5.5","44.0","0"
"LPTH","1996-07-31","4.75","4.75","4.75","38.0","100"
"LPTH","1996-08-01","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-02","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-05","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-06","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-07","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-08","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-09","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-12","4.75","4.75","4.75","38.0","0"
"LPTH","1996-08-13","5.5","5.5","5.5","44.0","100"
"LPTH","1996-08-14","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-15","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-16","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-19","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-20","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-21","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-22","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-23","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-26","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-27","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-28","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-29","5.5","5.5","5.5","44.0","0"
"LPTH","1996-08-30","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-03","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-04","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-05","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-06","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-09","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-10","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-11","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-12","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-13","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-16","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-17","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-18","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-19","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-20","5.5","5.5","5.5","44.0","100"
"LPTH","1996-09-23","5.5","5.5","5.5","44.0","0"
"LPTH","1996-09-24","5.5","6.5","5.5","52.0","900"
"LPTH","1996-09-25","6.5","6.5","6.5","52.0","0"
"LPTH","1996-09-26","6.5","6.5","6.5","52.0","0"
"LPTH","1996-09-27","6.5","6.5","6.5","52.0","0"
"LPTH","1996-09-30","6.5","6.5","6.5","52.0","0"
"LPTH","1996-10-01","6.5","6.5","6.5","52.0","0"
"LPTH","1996-10-02","6.5","6.5","6.5","52.0","0"
"LPTH","1996-10-03","6.5","6.5","6.5","52.0","0"
"LPTH","1996-10-04","6.5","6.5","6.5","52.0","0"
"LPTH","1996-10-07","7.0","7.0","7.0","56.0","0"
"LPTH","1996-10-08","7.0","7.0","7.0","56.0","0"
"LPTH","1996-10-09","7.0","7.0","7.0","56.0","0"
"LPTH","1996-10-10","7.0","7.0","7.0","56.0","0"
"LPTH","1996-10-11","7.0","7.0","7.0","56.0","0"
"LPTH","1996-10-14","7.0","7.0","7.0","56.0","0"
"LPTH","1996-10-15","5.5","6.0","5.5","48.0","100"
"LPTH","1996-10-16","6.0","6.0","6.0","48.0","0"
"LPTH","1996-10-17","6.0","6.0","6.0","48.0","0"
"LPTH","1996-10-18","6.0","6.0","6.0","48.0","0"
"LPTH","1996-10-21","6.0","6.0","6.0","48.0","0"
"LPTH","1996-10-22","6.0","6.0","6.0","48.0","0"
"LPTH","1996-10-23","5.75","5.75","5.75","46.0","0"
"LPTH","1996-10-24","5.75","5.75","5.75","46.0","0"
"LPTH","1996-10-25","5.75","5.75","5.75","46.0","0"
"LPTH","1996-10-28","5.75","5.75","5.75","46.0","0"
"LPTH","1996-10-29","5.75","5.75","5.75","46.0","0"
"LPTH","1996-10-30","5.75","5.75","5.75","46.0","0"
"LPTH","1996-10-31","5.75","5.75","5.75","46.0","0"
"LPTH","1996-11-01","5.75","5.75","5.75","46.0","0"
"LPTH","1996-11-04","5.75","5.75","5.75","46.0","0"
"LPTH","1996-11-05","5.75","5.75","5.75","46.0","0"
"LPTH","1996-11-06","5.75","5.75","5.75","46.0","0"
