"symbol","date","open","high","low","close","volume"
"LSXMA","2016-04-18","28.0","34.0","28.0","31.2","4358740"
"LSXMA","2016-04-19","30.74","32.83","30.74","32.53","3124046"
"LSXMA","2016-04-20","32.25","33.16","32.13","32.58","1522457"
"LSXMA","2016-04-21","32.05","33.0","32.05","32.79","973798"
"LSXMA","2016-04-22","32.91","33.24","32.42","32.68","850277"
"LSXMA","2016-04-25","32.52","33.08","32.34","33.05","1082235"
"LSXMA","2016-04-26","33.08","33.45","32.73","33.3","494835"
"LSXMA","2016-04-27","33.63","33.63","32.87","33.37","394419"
"LSXMA","2016-04-28","33.65","34.0","32.63","32.72","424699"
"LSXMA","2016-04-29","32.84","32.94","32.31","32.77","467266"
"LSXMA","2016-05-02","32.4","33.19","32.4","32.96","198913"
"LSXMA","2016-05-03","32.22","33.13","32.22","32.87","240303"
"LSXMA","2016-05-04","32.35","33.32","32.15","32.25","275552"
"LSXMA","2016-05-05","32.16","32.57","32.07","32.3","388141"
"LSXMA","2016-05-06","31.85","32.83","31.85","32.7","317756"
"LSXMA","2016-05-09","32.05","32.75","31.47","32.41","289884"
"LSXMA","2016-05-10","32.27","32.73","32.14","32.69","344343"
"LSXMA","2016-05-11","32.94","32.94","32.16","32.27","424365"
"LSXMA","2016-05-12","32.02","32.37","31.8","32.18","345024"
"LSXMA","2016-05-13","32.01","32.27","31.56","31.74","329766"
"LSXMA","2016-05-16","31.8","32.21","31.49","31.95","336037"
"LSXMA","2016-05-17","31.57","31.71","31.15","31.31","483392"
"LSXMA","2016-05-18","31.13","31.6","30.95","31.5","786841"
"LSXMA","2016-05-19","31.62","31.62","30.89","31.21","1979205"
"LSXMA","2016-05-20","31.15","31.79","31.11","31.51","427191"
"LSXMA","2016-05-23","31.43","31.58","31.19","31.27","259415"
"LSXMA","2016-05-24","31.29","31.88","31.21","31.84","470404"
"LSXMA","2016-05-25","31.81","32.47","31.52","31.9","537665"
"LSXMA","2016-05-26","31.83","32.18","31.66","31.72","313919"
"LSXMA","2016-05-27","31.69","32.02","31.5","31.99","305129"
"LSXMA","2016-05-31","31.96","32.1","31.61","31.89","479426"
"LSXMA","2016-06-01","31.92","32.47","31.58","32.42","660981"
"LSXMA","2016-06-02","32.29","32.58","31.99","32.18","708426"
"LSXMA","2016-06-03","32.06","32.2","31.8","32.15","368360"
"LSXMA","2016-06-06","32.13","32.48","31.77","31.8","281595"
"LSXMA","2016-06-07","31.73","31.98","31.52","31.74","95396"
