"symbol","date","open","high","low","close","volume"
"LTXB","2015-01-02","26.83","27.55","23.87","25.09","185670"
"LTXB","2015-01-05","25.0","25.0","23.2","23.6","222136"
"LTXB","2015-01-06","23.6","24.25","22.53","22.58","306704"
"LTXB","2015-01-07","22.68","23.33","22.3","22.56","172709"
"LTXB","2015-01-08","22.7","22.89","21.89","22.34","340817"
"LTXB","2015-01-09","22.27","22.27","21.4","21.49","204049"
"LTXB","2015-01-12","21.39","21.42","20.71","20.82","109944"
"LTXB","2015-01-13","20.98","21.23","20.26","20.8","240645"
"LTXB","2015-01-14","20.55","20.71","20.04","20.46","208230"
"LTXB","2015-01-15","20.5","20.51","19.74","19.85","244185"
"LTXB","2015-01-16","19.78","20.22","19.72","20.22","661077"
"LTXB","2015-01-20","20.22","20.22","19.87","19.995","249115"
"LTXB","2015-01-21","20.02","20.38","19.88","20.23","263024"
"LTXB","2015-01-22","20.41","20.6","20.19","20.33","269830"
"LTXB","2015-01-23","20.33","20.71","20.12","20.35","132812"
"LTXB","2015-01-26","20.32","20.88","20.0","20.425","124533"
"LTXB","2015-01-27","20.25","20.63","19.96","20.31","173244"
"LTXB","2015-01-28","20.3","20.3","19.34","19.86","629504"
"LTXB","2015-01-29","19.84","20.12","19.67","20.04","156840"
"LTXB","2015-01-30","20.05","20.49","19.75","19.82","199226"
"LTXB","2015-02-02","19.96","20.93","19.86","20.83","201200"
"LTXB","2015-02-03","21.1","22.16","21.1","22.1","273444"
"LTXB","2015-02-04","21.95","22.16","21.33","21.39","202459"
"LTXB","2015-02-05","21.45","22.44","21.45","22.36","168982"
"LTXB","2015-02-06","22.59","23.38","22.53","23.23","246093"
"LTXB","2015-02-09","23.1","23.28","22.91","22.92","200629"
"LTXB","2015-02-10","23.15","23.26","22.77","23.23","207567"
"LTXB","2015-02-11","23.21","23.21","22.54","22.63","148540"
"LTXB","2015-02-12","22.72","23.11","22.52","22.59","179840"
"LTXB","2015-02-13","22.67","23.07","22.55","22.68","130589"
"LTXB","2015-02-17","22.59","23.21","22.42","23.18","112831"
"LTXB","2015-02-18","23.0","23.1","22.41","22.57","105855"
"LTXB","2015-02-19","22.4","22.88","22.13","22.5","97219"
"LTXB","2015-02-20","22.4","22.69","22.0","22.5","142194"
"LTXB","2015-02-23","22.35","22.48","22.02","22.33","97000"
"LTXB","2015-02-24","22.46","22.77","22.39","22.77","127362"
"LTXB","2015-02-25","22.74","23.17","22.67","23.04","91676"
"LTXB","2015-02-26","23.01","23.22","22.85","23.19","106485"
"LTXB","2015-02-27","23.17","23.37","23.0","23.0","80729"
"LTXB","2015-03-02","23.06","23.38","23.0","23.16","129261"
"LTXB","2015-03-03","23.16","23.33","23.0","23.16","67845"
"LTXB","2015-03-04","23.08","23.08","22.86","23.01","94083"
"LTXB","2015-03-05","22.99","23.31","22.85","23.19","123015"
"LTXB","2015-03-06","23.1","23.92","23.1","23.37","138013"
"LTXB","2015-03-09","23.55","24.46","23.49","24.15","368756"
"LTXB","2015-03-10","23.87","23.87","23.33","23.35","103006"
"LTXB","2015-03-11","23.4","24.01","23.4","23.95","136244"
"LTXB","2015-03-12","24.0","24.71","23.7","24.69","217656"
"LTXB","2015-03-13","24.49","24.52","23.58","24.28","133188"
"LTXB","2015-03-16","24.34","24.64","24.07","24.44","148864"
"LTXB","2015-03-17","24.23","24.43","23.94","23.965","170814"
"LTXB","2015-03-18","23.78","24.16","23.43","23.72","216014"
"LTXB","2015-03-19","23.58","23.87","23.49","23.82","110215"
"LTXB","2015-03-20","23.98","24.4","23.85","24.29","947132"
"LTXB","2015-03-23","24.2","24.69","24.18","24.63","175734"
"LTXB","2015-03-24","24.68","24.68","24.21","24.36","168361"
"LTXB","2015-03-25","24.4","24.4","23.36","23.46","290742"
"LTXB","2015-03-26","23.42","23.42","22.91","23.09","409553"
"LTXB","2015-03-27","23.02","23.06","22.62","22.73","211077"
"LTXB","2015-03-30","22.84","23.19","22.67","22.94","270507"
"LTXB","2015-03-31","22.75","23.04","22.6","22.73","401811"
"LTXB","2015-04-01","22.66","23.2","22.43","22.8","240266"
"LTXB","2015-04-02","22.81","23.42","22.81","23.04","185940"
"LTXB","2015-04-06","22.91","23.25","22.59","22.76","301299"
"LTXB","2015-04-07","22.74","23.0","22.42","22.67","198639"
"LTXB","2015-04-08","22.62","22.91","22.54","22.88","161750"
"LTXB","2015-04-09","22.93","23.26","22.53","23.13","197168"
"LTXB","2015-04-10","23.31","23.31","22.7","22.85","118591"
"LTXB","2015-04-13","23.1","23.43","22.96","23.41","228422"
"LTXB","2015-04-14","23.34","23.34","22.26","22.915","304813"
"LTXB","2015-04-15","23.03","23.97","22.85","23.65","247677"
"LTXB","2015-04-16","23.57","24.0","23.32","24.0","179531"
"LTXB","2015-04-17","23.73","23.8","23.28","23.55","206379"
"LTXB","2015-04-20","23.61","24.12","23.45","23.97","145149"
"LTXB","2015-04-21","24.02","24.19","23.12","23.89","122310"
"LTXB","2015-04-22","24.1","25.44","23.79","25.29","536111"
"LTXB","2015-04-23","24.73","25.78","24.59","25.63","281317"
"LTXB","2015-04-24","25.66","25.71","24.64","25.15","184648"
"LTXB","2015-04-27","25.15","25.46","25.01","25.31","199436"
"LTXB","2015-04-28","25.34","26.35","25.29","26.27","240753"
"LTXB","2015-04-29","26.0","26.59","25.89","26.11","310274"
"LTXB","2015-04-30","25.84","26.09","25.24","25.45","255185"
"LTXB","2015-05-01","25.52","25.92","24.72","24.99","242935"
"LTXB","2015-05-04","25.25","25.8","25.06","25.62","169666"
"LTXB","2015-05-05","25.51","25.8","24.99","25.36","152287"
"LTXB","2015-05-06","25.49","25.49","24.87","25.32","106805"
"LTXB","2015-05-07","25.15","25.29","24.82","24.92","118220"
"LTXB","2015-05-08","25.18","25.18","24.53","24.86","182527"
"LTXB","2015-05-11","24.74","25.29","24.74","25.16","138911"
"LTXB","2015-05-12","25.03","25.28","24.71","25.12","107526"
"LTXB","2015-05-13","25.15","25.23","24.81","25.09","144639"
"LTXB","2015-05-14","25.11","26.29","25.1","25.59","267158"
"LTXB","2015-05-15","25.45","25.56","24.05","24.64","176392"
"LTXB","2015-05-18","24.6","25.01","24.5","25.0","400601"
"LTXB","2015-05-19","25.0","25.46","24.8","25.4","416765"
"LTXB","2015-05-20","25.48","25.48","25.1","25.3","363803"
"LTXB","2015-05-21","25.1","25.68","25.1","25.53","177013"
"LTXB","2015-05-22","25.51","25.75","25.13","25.21","106512"
"LTXB","2015-05-26","24.97","25.3","24.88","25.25","135025"
"LTXB","2015-05-27","25.36","25.98","25.05","25.97","161211"
"LTXB","2015-05-28","25.93","26.03","25.74","25.96","122721"
"LTXB","2015-05-29","25.9","26.06","25.61","25.94","194763"
