"symbol","date","open","high","low","close","volume"
"LXFR","2012-10-03","11.0","11.92","10.73","10.49","3497100"
"LXFR","2012-10-04","11.2","11.5","11.1","10.76","196900"
"LXFR","2012-10-05","11.28","11.34","11.02","10.51","60600"
"LXFR","2012-10-08","11.1","11.23","10.5","10.26","118000"
"LXFR","2012-10-09","10.75","10.75","10.16","9.94","159800"
"LXFR","2012-10-10","10.69","10.69","10.4","9.92","71100"
"LXFR","2012-10-11","10.4","10.49","10.25","9.92","57900"
"LXFR","2012-10-12","10.35","10.56","10.25","9.99","33100"
"LXFR","2012-10-15","10.5","10.54","10.37","10.01","16200"
"LXFR","2012-10-16","10.5","10.66","10.37","9.9","53500"
"LXFR","2012-10-17","10.18","10.46","10.05","9.95","52100"
"LXFR","2012-10-18","10.31","11.04","10.31","10.51","51200"
"LXFR","2012-10-19","11.0","11.0","10.9","10.46","12300"
"LXFR","2012-10-22","10.9","10.9","10.71","10.21","7800"
"LXFR","2012-10-23","10.65","10.79","10.35","10.17","101600"
"LXFR","2012-10-24","10.66","10.89","10.5","10.23","12400"
"LXFR","2012-10-25","10.8","10.8","10.46","10.12","12400"
"LXFR","2012-10-26","10.55","10.7","10.55","10.2","4000"
"LXFR","2012-10-31","11.05","11.29","10.6","10.48","38300"
"LXFR","2012-11-01","11.06","11.46","10.8","10.71","193300"
"LXFR","2012-11-02","11.5","11.54","11.15","10.81","23800"
"LXFR","2012-11-05","11.23","11.48","11.15","10.95","18600"
"LXFR","2012-11-06","11.62","11.62","11.18","10.92","10400"
"LXFR","2012-11-07","11.27","11.47","11.27","10.78","4900"
"LXFR","2012-11-08","11.04","11.61","11.04","11.07","6300"
"LXFR","2012-11-09","11.49","11.53","11.45","10.97","8800"
"LXFR","2012-11-12","11.26","11.5","11.15","10.82","20000"
"LXFR","2012-11-13","11.12","11.57","10.95","11.03","10400"
"LXFR","2012-11-14","11.45","11.45","11.13","10.61","6400"
"LXFR","2012-11-15","11.2","11.2","11.0","10.54","2600"
"LXFR","2012-11-16","11.03","11.1","11.0","10.59","13000"
"LXFR","2012-11-19","11.07","11.08","11.0","10.54","17000"
"LXFR","2012-11-20","11.13","11.57","11.0","10.68","43400"
"LXFR","2012-11-21","11.3","11.5","11.25","10.82","10700"
"LXFR","2012-11-23","11.3","11.33","11.09","10.81","300"
"LXFR","2012-11-26","11.4","11.4","11.09","10.58","88900"
"LXFR","2012-11-27","10.99","11.32","10.99","10.5","30400"
"LXFR","2012-11-28","11.0","11.04","11.0","10.49","2200"
"LXFR","2012-11-29","11.05","11.11","11.0","10.49","7000"
"LXFR","2012-11-30","11.0","11.26","11.0","10.74","44600"
"LXFR","2012-12-03","11.35","11.51","11.3","10.98","13900"
"LXFR","2012-12-04","11.5","11.5","11.16","10.9","12300"
"LXFR","2012-12-05","11.41","11.41","11.01","10.53","4700"
"LXFR","2012-12-06","11.01","11.09","11.0","10.52","4500"
"LXFR","2012-12-07","11.13","11.16","11.0","10.49","3800"
"LXFR","2012-12-10","11.02","11.07","11.0","10.52","5300"
"LXFR","2012-12-11","11.05","11.05","10.22","10.49","1700"
"LXFR","2012-12-12","11.0","11.07","11.0","10.5","4800"
"LXFR","2012-12-13","11.0","11.11","11.0","10.59","4400"
"LXFR","2012-12-14","11.13","12.05","11.13","11.39","21700"
"LXFR","2012-12-17","11.88","11.9","11.34","10.82","7100"
"LXFR","2012-12-18","11.37","11.6","11.37","11.06","27100"
"LXFR","2012-12-19","11.53","11.67","11.53","11.06","5200"
"LXFR","2012-12-20","11.62","11.7","11.5","11.13","12600"
"LXFR","2012-12-21","11.62","11.72","11.62","11.18","700"
"LXFR","2012-12-24","11.68","11.69","11.65","11.15","500"
"LXFR","2012-12-26","11.72","11.89","11.69","11.34","1500"
"LXFR","2012-12-27","11.89","12.74","11.89","11.5","17300"
"LXFR","2012-12-28","12.0","12.04","11.93","11.45","40400"
"LXFR","2012-12-31","12.03","12.31","12.03","11.7","12600"
"LXFR","2013-01-02","12.78","13.41","12.25","11.97","47600"
"LXFR","2013-01-03","12.42","12.6","12.12","12.02","22300"
"LXFR","2013-01-04","12.66","12.93","12.31","12.17","13500"
"LXFR","2013-01-07","12.67","13.27","12.67","12.66","24000"
"LXFR","2013-01-08","13.27","13.75","13.27","12.87","27300"
"LXFR","2013-01-09","13.41","13.41","12.9","12.59","11000"
"LXFR","2013-01-10","13.15","13.15","12.96","12.4","4000"
"LXFR","2013-01-11","12.98","13.24","12.95","12.38","21700"
"LXFR","2013-01-14","13.0","13.09","12.78","12.29","12100"
"LXFR","2013-01-15","12.88","12.99","12.85","12.32","6500"
"LXFR","2013-01-16","12.88","12.88","12.36","12.1","36500"
"LXFR","2013-01-17","12.65","12.8","12.55","12.05","23900"
"LXFR","2013-01-18","12.6","12.7","12.27","12.1","27300"
"LXFR","2013-01-22","12.6","13.08","12.6","12.47","23600"
"LXFR","2013-01-23","12.89","13.14","12.79","12.49","5800"
"LXFR","2013-01-24","12.95","13.0","12.84","12.34","2600"
"LXFR","2013-01-25","12.89","13.18","12.48","12.33","35200"
"LXFR","2013-01-28","12.78","13.02","12.75","12.41","9900"
"LXFR","2013-01-29","12.93","13.19","12.93","12.49","17000"
"LXFR","2013-01-30","13.05","13.05","12.81","12.42","9700"
"LXFR","2013-01-31","12.98","13.0","12.89","12.41","12600"
"LXFR","2013-02-01","12.95","13.34","12.91","12.54","25500"
"LXFR","2013-02-04","13.0","13.05","13.0","12.54","600"
"LXFR","2013-02-05","12.99","13.11","12.68","12.52","175000"
"LXFR","2013-02-06","13.03","13.53","12.93","12.94","14900"
"LXFR","2013-02-07","13.52","13.69","13.23","12.71","9600"
"LXFR","2013-02-08","13.34","13.66","13.14","12.63","41500"
"LXFR","2013-02-11","13.19","13.3","13.05","12.54","20700"
"LXFR","2013-02-12","13.1","13.59","13.1","12.89","5600"
"LXFR","2013-02-13","13.46","13.9","13.37","13.26","134400"
"LXFR","2013-02-14","13.75","13.75","13.63","13.15","47500"
"LXFR","2013-02-15","13.69","13.85","13.5","13.19","94400"
"LXFR","2013-02-19","13.81","14.39","13.55","13.55","38200"
"LXFR","2013-02-20","14.08","14.28","13.93","13.43","12100"
"LXFR","2013-02-21","13.94","13.94","13.82","13.28","8700"
"LXFR","2013-02-22","13.83","13.83","13.5","13.0","2500"
"LXFR","2013-02-25","13.55","13.57","13.1","12.7","29400"
"LXFR","2013-02-26","13.22","13.34","13.18","12.67","5500"
"LXFR","2013-02-27","13.1","13.69","12.98","12.68","26800"
"LXFR","2013-02-28","13.06","13.06","13.06","12.55","100"
"LXFR","2013-03-01","13.14","13.33","12.79","12.81","8300"
"LXFR","2013-03-04","13.37","13.85","13.37","12.98","12800"
"LXFR","2013-03-05","13.9","13.9","13.25","12.98","9300"
"LXFR","2013-03-06","13.46","13.55","13.04","12.6","36900"
"LXFR","2013-03-07","13.06","13.25","12.03","12.73","49800"
"LXFR","2013-03-08","13.19","13.51","13.18","12.87","4900"
"LXFR","2013-03-11","13.52","13.85","13.27","13.06","6700"
"LXFR","2013-03-12","13.71","14.2","13.4","13.41","48300"
"LXFR","2013-03-13","14.01","14.69","14.01","14.03","10100"
"LXFR","2013-03-14","14.79","15.19","14.68","14.54","10300"
"LXFR","2013-03-15","15.27","15.73","15.27","14.98","11200"
"LXFR","2013-03-18","15.55","16.36","14.78","14.77","83700"
"LXFR","2013-03-19","15.37","15.66","15.26","14.91","6200"
"LXFR","2013-03-20","15.52","16.15","15.5","15.24","72500"
"LXFR","2013-03-21","15.9","15.99","15.38","14.82","11000"
"LXFR","2013-03-22","15.4","15.5","15.3","14.7","6400"
"LXFR","2013-03-25","15.1","15.31","14.91","14.71","27700"
"LXFR","2013-03-26","15.1","15.75","15.1","15.14","9000"
"LXFR","2013-03-27","15.49","15.8","15.18","14.75","48300"
"LXFR","2013-03-28","15.1","15.66","15.0","14.89","29600"
"LXFR","2013-04-01","15.55","16.13","15.43","15.35","47500"
"LXFR","2013-04-02","15.95","16.4","15.85","15.36","30200"
"LXFR","2013-04-03","15.59","16.01","15.51","15.32","49200"
"LXFR","2013-04-04","15.65","16.09","15.65","15.46","62300"
"LXFR","2013-04-05","15.5","16.05","15.5","15.1","49900"
"LXFR","2013-04-08","15.81","16.09","15.5","15.14","15000"
"LXFR","2013-04-09","15.95","16.06","15.3","14.99","20700"
"LXFR","2013-04-10","15.25","15.92","15.25","14.9","26600"
"LXFR","2013-04-11","15.54","15.66","15.41","14.82","10600"
"LXFR","2013-04-12","15.26","15.57","15.26","14.9","7700"
"LXFR","2013-04-15","15.44","15.49","15.2","14.64","20900"
"LXFR","2013-04-16","15.37","15.62","14.62","14.76","34900"
"LXFR","2013-04-17","15.61","15.75","14.99","15.24","9200"
"LXFR","2013-04-18","15.91","16.42","15.09","14.75","14800"
"LXFR","2013-04-19","15.3","15.56","15.25","14.94","4900"
"LXFR","2013-04-22","15.35","15.84","15.3","15.18","9600"
"LXFR","2013-04-23","15.76","16.18","15.6","15.65","3800"
"LXFR","2013-04-24","16.07","16.41","16.0","15.72","25500"
"LXFR","2013-04-25","16.41","17.45","16.07","16.44","135700"
"LXFR","2013-04-26","17.14","17.36","17.06","16.64","5900"
"LXFR","2013-04-29","17.43","18.26","17.12","17.31","184800"
"LXFR","2013-04-30","18.01","18.17","17.0","17.11","56600"
