"symbol","date","open","high","low","close","volume"
"LYG","2001-11-27","40.24","41.07","40.24","41.0","81488"
"LYG","2001-11-28","41.6","41.85","41.6","15.12","52300"
"LYG","2001-11-29","42.0","42.0","41.85","15.21","130700"
"LYG","2001-11-30","41.95","42.0","41.8","15.19","125400"
"LYG","2001-12-03","41.59","41.59","41.18","15.05","227700"
"LYG","2001-12-04","40.75","41.35","40.75","14.98","204200"
"LYG","2001-12-05","41.0","41.4","41.0","14.96","47600"
"LYG","2001-12-06","42.1","42.65","42.1","15.41","228800"
"LYG","2001-12-07","42.2","42.5","42.0","15.39","279900"
"LYG","2001-12-10","41.0","42.1","41.0","15.25","325100"
"LYG","2001-12-11","41.85","42.1","41.71","15.14","63900"
"LYG","2001-12-12","41.8","42.15","41.5","15.25","250200"
"LYG","2001-12-13","41.1","41.49","41.0","14.99","105900"
"LYG","2001-12-14","41.85","41.91","41.7","15.17","85800"
"LYG","2001-12-17","43.0","43.05","42.65","15.57","45200"
"LYG","2001-12-18","43.1","43.23","42.6","15.55","43900"
"LYG","2001-12-19","42.1","42.75","42.1","15.46","13200"
"LYG","2001-12-20","42.2","42.75","42.2","15.48","32900"
"LYG","2001-12-21","42.6","43.1","42.6","15.57","16200"
"LYG","2001-12-24","43.4","43.6","43.35","15.77","17200"
"LYG","2001-12-26","43.6","43.95","43.6","15.84","31200"
"LYG","2001-12-27","43.75","44.5","43.75","16.08","10800"
"LYG","2001-12-28","44.15","44.55","43.85","16.08","55200"
"LYG","2001-12-31","44.5","45.0","44.5","16.29","19300"
"LYG","2002-01-02","43.25","43.75","43.25","15.83","24400"
"LYG","2002-01-03","43.5","44.1","43.5","15.95","28100"
"LYG","2002-01-04","44.0","44.0","43.61","15.92","96000"
"LYG","2002-01-07","44.0","44.08","43.75","15.85","206700"
"LYG","2002-01-08","43.25","43.61","43.15","15.79","60200"
"LYG","2002-01-09","43.2","43.2","42.65","15.52","162400"
"LYG","2002-01-10","43.1","43.33","42.9","15.69","106700"
"LYG","2002-01-11","42.8","42.95","42.6","15.55","79700"
"LYG","2002-01-14","42.3","42.8","41.9","15.47","87100"
