"symbol","date","open","high","low","close","volume"
"LYTS","1990-03-26","9.87","9.87","9.62","2.01","19600"
"LYTS","1990-03-27","9.75","9.87","9.75","2.07","3300"
"LYTS","1990-03-28","9.5","9.87","9.5","2.07","1600"
"LYTS","1990-03-29","9.5","9.87","9.5","1.99","6300"
"LYTS","1990-03-30","9.5","9.75","9.25","1.99","68600"
"LYTS","1990-04-02","9.25","9.75","9.25","1.99","13600"
"LYTS","1990-04-03","9.25","9.25","9.25","1.94","1100"
"LYTS","1990-04-04","9.75","9.75","9.5","1.99","24700"
"LYTS","1990-04-05","9.75","9.75","9.5","2.04","101700"
"LYTS","1990-04-06","9.75","10.25","9.5","2.14","423100"
"LYTS","1990-04-09","9.87","9.87","9.75","2.04","6700"
"LYTS","1990-04-10","10.25","10.25","10.0","2.14","241500"
"LYTS","1990-04-11","10.5","10.5","10.0","2.2","150800"
"LYTS","1990-04-12","10.0","10.5","10.0","2.2","3300"
"LYTS","1990-04-16","10.0","10.25","10.0","2.14","78800"
"LYTS","1990-04-17","10.25","10.25","10.0","2.14","14000"
"LYTS","1990-04-18","10.0","10.25","10.0","2.09","51100"
"LYTS","1990-04-19","10.25","10.25","9.75","2.04","2700"
"LYTS","1990-04-20","9.75","9.75","9.75","2.04","100"
"LYTS","1990-04-23","10.25","10.25","9.75","2.04","10600"
"LYTS","1990-04-24","10.25","10.25","10.25","2.14","500"
"LYTS","1990-04-25","9.75","9.75","9.75","2.04","500"
"LYTS","1990-04-26","9.75","9.75","9.75","2.04","0"
"LYTS","1990-04-27","10.25","10.25","10.25","2.14","2200"
"LYTS","1990-04-30","10.25","10.25","9.75","2.14","27700"
"LYTS","1990-05-01","9.75","10.25","9.75","2.12","49100"
"LYTS","1990-05-02","10.25","10.25","9.75","2.12","107000"
"LYTS","1990-05-03","10.25","10.25","9.75","2.12","99000"
"LYTS","1990-05-04","9.75","10.25","9.75","2.09","9000"
"LYTS","1990-05-07","9.75","10.12","9.75","2.12","77600"
"LYTS","1990-05-08","10.0","10.25","9.75","2.12","574200"
"LYTS","1990-05-09","9.75","10.25","9.75","2.14","700"
