"symbol","date","open","high","low","close","volume"
"MBRG","2001-01-02","10.88","10.88","10.62","10.62","2000"
"MBRG","2001-01-03","21.25","22.0","21.0","7.92","5200"
"MBRG","2001-01-04","22.0","22.0","22.0","7.92","200"
"MBRG","2001-01-05","22.0","22.0","22.0","7.92","0"
"MBRG","2001-01-08","22.0","22.0","22.0","7.92","0"
"MBRG","2001-01-09","22.0","22.0","22.0","7.92","0"
"MBRG","2001-01-10","22.0","22.0","22.0","7.92","600"
"MBRG","2001-01-11","22.0","22.0","22.0","7.92","1800"
"MBRG","2001-01-12","21.75","21.75","21.75","7.83","800"
"MBRG","2001-01-16","22.0","22.0","22.0","7.92","400"
"MBRG","2001-01-17","22.0","22.0","22.0","7.92","0"
"MBRG","2001-01-18","22.0","22.0","22.0","7.92","2000"
"MBRG","2001-01-19","22.0","23.0","22.0","8.28","5400"
"MBRG","2001-01-22","23.0","23.0","23.0","8.28","0"
"MBRG","2001-01-23","23.0","23.0","23.0","8.28","0"
"MBRG","2001-01-24","23.0","23.0","23.0","8.28","400"
"MBRG","2001-01-25","23.0","23.0","22.0","7.92","1000"
"MBRG","2001-01-26","23.0","23.0","23.0","8.28","1000"
"MBRG","2001-01-29","23.0","23.38","23.0","8.42","10000"
"MBRG","2001-01-30","23.38","23.38","22.88","8.24","1200"
"MBRG","2001-01-31","23.0","24.0","23.0","8.28","12400"
"MBRG","2001-02-01","24.0","24.0","24.0","8.64","6000"
"MBRG","2001-02-02","24.0","24.0","23.5","8.46","2400"
"MBRG","2001-02-05","24.25","24.25","24.25","8.73","600"
"MBRG","2001-02-06","24.75","24.75","24.75","8.92","200"
"MBRG","2001-02-07","24.88","25.0","24.0","8.64","600"
"MBRG","2001-02-08","25.0","25.25","25.0","9.1","5800"
"MBRG","2001-02-09","25.25","25.25","25.25","9.1","0"
"MBRG","2001-02-12","25.25","25.25","25.25","9.1","0"
"MBRG","2001-02-13","25.75","26.0","25.75","9.37","600"
"MBRG","2001-02-14","26.0","26.25","26.0","9.46","3600"
"MBRG","2001-02-15","26.5","26.5","26.5","9.55","400"
"MBRG","2001-02-16","26.25","26.25","26.0","9.37","2600"
"MBRG","2001-02-20","26.0","26.0","26.0","9.37","0"
"MBRG","2001-02-21","25.5","25.5","25.0","9.01","1400"
"MBRG","2001-02-22","25.5","25.5","25.5","9.19","3400"
"MBRG","2001-02-23","25.5","25.75","25.5","9.28","5200"
"MBRG","2001-02-26","25.75","25.75","25.75","9.28","5600"
"MBRG","2001-02-27","25.75","25.75","25.75","9.28","4000"
"MBRG","2001-02-28","25.75","25.75","25.75","9.28","0"
"MBRG","2001-03-01","25.75","26.0","25.75","9.37","1200"
"MBRG","2001-03-02","26.0","26.0","26.0","9.37","400"
"MBRG","2001-03-05","26.5","26.62","26.5","9.59","1600"
"MBRG","2001-03-06","26.62","26.62","26.5","9.55","1600"
"MBRG","2001-03-07","26.75","27.5","26.75","9.91","5400"
"MBRG","2001-03-08","27.88","28.5","27.88","10.09","1000"
"MBRG","2001-03-09","29.0","30.0","29.0","10.81","2400"
"MBRG","2001-03-12","30.0","30.0","30.0","10.81","1000"
"MBRG","2001-03-13","30.0","33.0","29.5","10.81","13800"
"MBRG","2001-03-14","30.0","30.0","26.88","10.09","16600"
"MBRG","2001-03-15","27.25","29.5","27.25","10.63","2400"
"MBRG","2001-03-16","28.0","28.0","28.0","10.09","600"
"MBRG","2001-03-19","28.0","29.0","28.0","10.33","1400"
"MBRG","2001-03-20","30.0","30.0","28.5","10.27","1400"
"MBRG","2001-03-21","30.0","30.0","28.5","10.27","600"
"MBRG","2001-03-22","29.75","29.75","28.0","10.09","1200"
"MBRG","2001-03-23","28.0","28.0","28.0","10.09","0"
"MBRG","2001-03-26","28.0","28.0","28.0","10.09","0"
"MBRG","2001-03-27","28.0","28.0","28.0","10.09","0"
"MBRG","2001-03-28","29.5","29.75","29.5","10.72","1400"
"MBRG","2001-03-29","30.0","30.0","28.5","10.27","1800"
"MBRG","2001-03-30","28.31","29.0","28.0","10.45","14200"
"MBRG","2001-04-02","29.38","29.38","29.0","10.54","2400"
"MBRG","2001-04-03","28.5","28.5","28.0","10.17","2200"
"MBRG","2001-04-04","28.75","28.75","28.75","10.45","600"
"MBRG","2001-04-05","29.0","29.5","29.0","10.72","1200"
"MBRG","2001-04-06","29.5","29.5","29.5","10.72","0"
"MBRG","2001-04-09","29.49","29.49","29.49","10.71","200"
"MBRG","2001-04-10","29.49","29.49","29.49","10.71","0"
"MBRG","2001-04-11","28.38","28.38","27.0","9.81","4800"
"MBRG","2001-04-12","28.5","28.5","28.5","10.36","600"
"MBRG","2001-04-16","28.5","28.5","28.5","10.36","0"
"MBRG","2001-04-17","29.49","29.49","29.49","10.71","400"
"MBRG","2001-04-18","29.45","29.45","29.45","10.7","400"
"MBRG","2001-04-19","29.45","29.45","29.0","10.54","4800"
"MBRG","2001-04-20","29.0","29.95","29.0","10.88","2600"
"MBRG","2001-04-23","29.95","29.95","29.32","10.65","1600"
"MBRG","2001-04-24","29.32","29.32","29.32","10.65","0"
"MBRG","2001-04-25","29.2","29.2","28.01","10.18","8800"
"MBRG","2001-04-26","28.01","28.01","28.01","10.18","0"
"MBRG","2001-04-27","28.01","28.01","28.01","10.18","0"
"MBRG","2001-04-30","28.25","28.25","28.25","10.26","800"
"MBRG","2001-05-01","29.0","29.0","29.0","10.54","1200"
