"symbol","date","open","high","low","close","volume"
"MET","2000-04-05","14.5","15.75","14.31","12.35","68703000"
"MET","2000-04-06","15.38","15.88","15.25","12.4","15301000"
"MET","2000-04-07","15.38","15.56","15.12","12.2","13486200"
"MET","2000-04-10","15.44","15.5","15.25","12.3","5637200"
"MET","2000-04-11","15.31","15.38","15.06","12.05","5425900"
"MET","2000-04-12","15.25","16.75","15.12","12.9","10846600"
"MET","2000-04-13","16.25","17.25","15.94","13.55","10626100"
"MET","2000-04-14","16.94","17.0","15.81","12.65","9500300"
"MET","2000-04-17","16.0","16.44","16.0","12.85","3522200"
"MET","2000-04-18","16.19","16.31","15.5","12.85","5422400"
"MET","2000-04-19","16.19","16.19","15.75","12.75","5348800"
"MET","2000-04-20","15.75","15.94","15.38","12.3","6912000"
"MET","2000-04-24","15.5","16.0","15.44","12.7","3114800"
"MET","2000-04-25","15.94","16.19","15.88","12.75","7407400"
"MET","2000-04-26","15.94","16.06","15.88","12.8","5941700"
"MET","2000-04-27","15.94","16.0","15.5","12.7","2484900"
"MET","2000-04-28","15.94","16.88","15.38","13.2","6218800"
"MET","2000-05-01","17.12","18.0","16.88","14.34","5887100"
"MET","2000-05-02","17.62","17.94","17.38","14.19","3132600"
"MET","2000-05-03","17.75","17.81","17.25","13.94","1981800"
"MET","2000-05-04","17.38","17.5","16.19","13.94","3429800"
"MET","2000-05-05","17.25","17.81","17.06","13.99","1821500"
"MET","2000-05-08","17.88","18.56","17.81","14.34","2897500"
"MET","2000-05-09","18.19","18.38","16.75","13.65","4234300"
"MET","2000-05-10","17.0","17.81","17.0","13.99","3283500"
"MET","2000-05-11","17.62","18.31","17.38","14.34","2997400"
"MET","2000-05-12","18.12","18.56","18.06","14.69","1927200"
"MET","2000-05-15","19.0","19.25","18.62","15.09","2696800"
"MET","2000-05-16","19.0","19.56","18.81","15.19","4982700"
"MET","2000-05-17","19.06","19.69","18.38","15.19","1577200"
"MET","2000-05-18","19.0","19.12","18.69","15.08","2858600"
"MET","2000-05-19","18.5","18.5","17.88","14.49","3832600"
"MET","2000-05-22","18.25","18.38","17.38","14.54","1712700"
"MET","2000-05-23","18.25","19.0","18.25","15.04","2093900"
"MET","2000-05-24","18.88","19.5","18.62","15.44","1573100"
"MET","2000-05-25","19.31","19.38","18.75","15.29","1732700"
"MET","2000-05-26","19.12","19.81","18.94","15.74","2644600"
"MET","2000-05-30","19.94","20.12","19.5","15.84","3229000"
"MET","2000-05-31","19.88","20.5","19.38","16.33","3549600"
"MET","2000-06-01","20.44","20.5","19.94","15.94","2878400"
"MET","2000-06-02","21.0","21.06","20.38","16.73","3446100"
"MET","2000-06-05","20.5","20.88","20.38","16.38","2376300"
"MET","2000-06-06","20.88","20.88","20.38","16.28","2953900"
"MET","2000-06-07","20.5","20.69","20.31","16.48","922400"
"MET","2000-06-08","20.56","20.62","20.25","16.28","965300"
"MET","2000-06-09","20.5","21.0","20.5","16.73","1196800"
"MET","2000-06-12","20.75","20.81","19.69","16.28","1072600"
"MET","2000-06-13","20.69","20.81","20.19","16.58","974900"
"MET","2000-06-14","20.56","20.62","19.81","15.94","2310400"
"MET","2000-06-15","20.0","20.25","19.88","15.94","2504400"
"MET","2000-06-16","20.19","20.25","19.75","15.99","3202100"
"MET","2000-06-19","20.0","20.12","19.75","15.94","1275500"
"MET","2000-06-20","19.88","20.06","18.56","14.99","2922100"
"MET","2000-06-21","18.81","19.12","18.12","14.74","2443500"
"MET","2000-06-22","18.69","19.5","18.5","15.29","1963300"
"MET","2000-06-23","19.0","19.5","18.75","15.39","2161600"
"MET","2000-06-26","20.0","20.12","19.12","15.29","1691700"
"MET","2000-06-27","19.44","20.5","19.19","15.84","2042300"
"MET","2000-06-28","20.25","20.44","19.38","15.64","3522900"
"MET","2000-06-29","19.88","21.56","19.62","16.98","4914700"
"MET","2000-06-30","21.75","21.94","19.0","16.71","4415400"
"MET","2000-07-03","20.75","21.5","20.69","17.03","822000"
"MET","2000-07-05","21.25","21.25","20.5","16.83","2048000"
"MET","2000-07-06","20.62","22.0","20.56","17.43","1572300"
"MET","2000-07-07","21.75","22.06","21.69","17.43","1490500"
"MET","2000-07-10","21.75","21.88","21.44","17.08","822700"
"MET","2000-07-11","21.31","21.38","20.5","16.58","1453500"
"MET","2000-07-12","20.75","20.88","20.06","16.28","1984300"
"MET","2000-07-13","20.44","20.44","19.81","15.79","1893400"
"MET","2000-07-14","19.81","21.12","19.81","16.63","1291500"
"MET","2000-07-17","20.75","20.75","20.19","16.18","558300"
"MET","2000-07-18","20.06","20.44","20.06","16.23","2396300"
"MET","2000-07-19","20.44","20.81","20.12","16.28","1351900"
"MET","2000-07-20","20.56","21.19","20.56","16.38","2199800"
"MET","2000-07-21","20.75","21.0","20.56","16.53","793500"
"MET","2000-07-24","20.31","20.5","20.0","16.33","766500"
"MET","2000-07-25","20.38","21.19","20.25","16.73","1307300"
"MET","2000-07-26","21.0","21.25","20.69","16.58","1239700"
"MET","2000-07-27","20.81","21.25","20.25","16.28","1393200"
"MET","2000-07-28","20.06","20.44","20.0","16.18","812800"
"MET","2000-07-31","20.5","21.12","20.19","16.73","2433200"
"MET","2000-08-01","20.94","21.25","20.75","16.83","2038800"
"MET","2000-08-02","21.0","21.12","20.69","16.63","1364300"
"MET","2000-08-03","20.88","20.94","19.81","16.04","3358100"
"MET","2000-08-04","20.12","20.31","19.38","16.18","4205200"
"MET","2000-08-07","20.69","22.38","20.62","17.83","3796400"
"MET","2000-08-08","23.88","24.38","23.25","18.58","10165000"
"MET","2000-08-09","23.25","23.75","22.62","18.13","3494400"
"MET","2000-08-10","23.0","24.0","22.75","18.33","4341200"
"MET","2000-08-11","24.0","24.25","23.44","19.12","2278400"
"MET","2000-08-14","24.0","24.12","23.0","18.33","1313700"
"MET","2000-08-15","23.94","24.06","23.56","18.97","1556700"
"MET","2000-08-16","23.94","24.0","23.19","18.72","808500"
"MET","2000-08-17","23.88","24.12","23.5","19.07","939400"
"MET","2000-08-18","23.56","24.06","23.5","19.07","1061700"
"MET","2000-08-21","23.81","24.06","23.12","18.72","918600"
"MET","2000-08-22","23.88","24.19","23.38","19.12","1839100"
"MET","2000-08-23","23.75","25.0","23.69","19.87","1360600"
"MET","2000-08-24","24.88","25.12","24.12","19.32","1484000"
"MET","2000-08-25","24.31","24.31","23.56","18.82","720600"
"MET","2000-08-28","23.5","23.75","23.38","18.72","908800"
"MET","2000-08-29","23.62","24.25","23.5","19.12","1240200"
"MET","2000-08-30","24.0","24.88","23.94","19.77","1845700"
"MET","2000-08-31","24.81","24.94","24.19","19.37","1176800"
"MET","2000-09-01","24.5","25.19","24.0","19.82","1658600"
"MET","2000-09-05","24.38","24.94","23.75","19.32","1913700"
"MET","2000-09-06","24.5","24.75","24.44","19.52","1245000"
"MET","2000-09-07","24.75","24.94","24.38","19.62","1393900"
"MET","2000-09-08","24.69","25.31","24.56","19.97","428000"
"MET","2000-09-11","25.25","25.44","24.25","19.77","1526700"
"MET","2000-09-12","24.94","24.94","23.88","19.62","1965600"
"MET","2000-09-13","24.62","25.94","24.25","20.32","2426700"
"MET","2000-09-14","25.25","25.25","24.56","19.92","1826800"
"MET","2000-09-15","24.94","25.0","24.44","19.57","924600"
"MET","2000-09-18","24.75","24.81","24.0","19.32","1357300"
"MET","2000-09-19","24.38","24.94","23.81","19.67","1371100"
"MET","2000-09-20","24.81","25.0","23.38","19.32","2080100"
"MET","2000-09-21","24.19","24.19","23.69","19.17","1942200"
"MET","2000-09-22","23.88","24.94","23.75","19.72","944000"
"MET","2000-09-25","25.44","25.69","24.56","19.57","2317500"
"MET","2000-09-26","24.88","25.38","24.75","20.17","1278900"
"MET","2000-09-27","25.56","26.75","25.0","21.02","3770600"
"MET","2000-09-28","26.5","27.62","26.38","21.66","1946400"
"MET","2000-09-29","27.0","27.38","26.19","20.92","1419700"
"MET","2000-10-02","25.5","26.75","25.12","21.02","1665800"
"MET","2000-10-03","26.38","26.56","25.5","20.32","1185400"
"MET","2000-10-04","25.62","25.69","24.75","19.82","1486200"
"MET","2000-10-05","24.69","26.44","24.62","20.87","2225600"
"MET","2000-10-06","26.69","26.75","25.0","20.87","1450500"
"MET","2000-10-09","26.12","26.5","25.75","20.72","454200"
"MET","2000-10-10","25.88","26.06","25.19","20.42","982700"
"MET","2000-10-11","25.56","25.94","25.19","20.12","1349300"
"MET","2000-10-12","25.5","25.56","24.12","19.27","2150100"
"MET","2000-10-13","24.38","25.0","24.31","19.92","1727700"
"MET","2000-10-16","25.38","26.0","24.88","20.22","1232100"
"MET","2000-10-17","25.5","26.0","25.44","20.52","682900"
"MET","2000-10-18","25.5","25.75","24.38","20.52","3042700"
"MET","2000-10-19","25.62","26.0","24.81","19.82","2009100"
"MET","2000-10-20","24.75","25.06","24.0","19.22","1304600"
"MET","2000-10-23","24.0","24.19","23.38","18.92","2005900"
"MET","2000-10-24","23.62","24.75","23.56","19.52","1337200"
"MET","2000-10-25","24.44","25.94","24.38","19.72","1445900"
"MET","2000-10-26","25.0","25.31","24.0","19.32","1601400"
"MET","2000-10-27","24.5","25.0","24.5","19.77","1075000"
"MET","2000-10-30","25.0","27.25","25.0","21.21","2772100"
"MET","2000-10-31","27.0","27.88","26.44","22.01","2858200"
"MET","2000-11-01","27.44","29.0","27.44","22.71","2488000"
"MET","2000-11-02","28.12","29.0","27.25","22.01","3142600"
"MET","2000-11-03","27.5","27.69","26.25","21.17","5610500"
"MET","2000-11-06","25.88","26.44","25.81","20.92","1684700"
"MET","2000-11-07","26.06","27.94","26.0","21.77","2926100"
"MET","2000-11-08","27.25","28.69","27.19","22.37","1257100"
"MET","2000-11-09","28.0","29.81","28.0","23.83","2056900"
"MET","2000-11-10","29.5","30.38","29.12","23.98","2031900"
"MET","2000-11-13","29.62","29.62","28.31","22.87","2210900"
"MET","2000-11-14","28.62","29.38","28.06","22.62","1921800"
"MET","2000-11-15","28.0","30.25","28.0","23.98","4237400"
"MET","2000-11-16","29.88","30.69","29.56","24.63","2688500"
"MET","2000-11-17","30.69","30.94","29.88","24.03","1733700"
"MET","2000-11-20","29.94","29.94","28.5","23.33","1267600"
"MET","2000-11-21","28.5","28.69","28.0","22.57","877800"
"MET","2000-11-22","27.75","28.06","26.38","21.52","1773400"
"MET","2000-11-24","27.06","27.94","27.0","22.42","664000"
"MET","2000-11-27","28.19","29.12","28.19","22.92","1196200"
"MET","2000-11-28","28.38","29.0","28.0","22.52","1754300"
"MET","2000-11-29","28.06","28.38","27.56","22.37","1235700"
"MET","2000-11-30","30.19","30.5","29.5","23.78","9824900"
"MET","2000-12-01","30.62","30.62","29.44","23.93","5835700"
"MET","2000-12-04","30.75","31.88","30.19","25.53","6479600"
"MET","2000-12-05","32.25","32.38","31.06","25.78","6049500"
"MET","2000-12-06","31.94","33.31","31.75","26.64","7143900"
"MET","2000-12-07","33.56","34.62","33.44","27.59","11347800"
"MET","2000-12-08","33.75","36.5","32.25","29.3","73241700"
"MET","2000-12-11","35.52","35.56","34.31","28.29","17450500"
"MET","2000-12-12","34.56","35.19","34.25","27.94","5533800"
"MET","2000-12-13","34.81","34.88","33.5","27.04","4741900"
"MET","2000-12-14","33.31","34.38","33.12","27.29","3748200"
"MET","2000-12-15","34.5","35.12","34.0","28.09","6061600"
"MET","2000-12-18","34.25","35.69","34.25","28.19","2461600"
"MET","2000-12-19","34.62","35.0","33.56","27.19","3937400"
"MET","2000-12-20","34.0","34.19","33.31","26.84","2902600"
"MET","2000-12-21","32.12","33.25","32.12","26.39","4000500"
"MET","2000-12-22","33.0","33.94","32.69","27.24","2074300"
"MET","2000-12-26","34.0","34.31","33.5","27.19","1682600"
"MET","2000-12-27","33.88","34.5","33.81","27.49","1158000"
"MET","2000-12-28","34.62","35.44","34.56","28.19","1104700"
"MET","2000-12-29","35.62","35.88","35.0","28.09","756200"
"MET","2001-01-02","35.06","35.12","33.81","27.29","2480700"
"MET","2001-01-03","34.25","36.62","34.25","27.99","3331700"
"MET","2001-01-04","34.88","35.0","31.38","26.19","5055000"
"MET","2001-01-05","33.38","33.5","31.31","25.33","3128900"
"MET","2001-01-08","31.56","33.25","31.56","26.39","2393800"
"MET","2001-01-09","33.5","34.38","33.38","27.19","3362300"
"MET","2001-01-10","33.75","33.81","32.88","26.74","2641200"
"MET","2001-01-11","33.88","33.88","32.31","26.08","3531100"
"MET","2001-01-12","32.56","32.69","30.44","24.88","3452000"
"MET","2001-01-16","30.25","31.75","30.25","24.83","2684100"
"MET","2001-01-17","31.19","31.5","31.0","25.03","1569100"
"MET","2001-01-18","31.56","32.44","30.75","25.33","2140600"
"MET","2001-01-19","31.56","31.69","30.81","24.93","2227800"
"MET","2001-01-22","31.62","33.0","31.38","26.34","10052100"
"MET","2001-01-23","33.0","33.44","32.31","26.44","1430400"
"MET","2001-01-24","33.25","33.94","32.81","27.04","1208600"
"MET","2001-01-25","33.94","34.0","32.88","26.74","1225900"
"MET","2001-01-26","33.5","33.56","32.44","26.39","1512000"
"MET","2001-01-29","32.88","33.5","32.72","26.62","1426800"
"MET","2001-01-30","32.75","33.8","32.56","26.88","889600"
"MET","2001-01-31","33.4","33.4","32.69","26.34","2622000"
"MET","2001-02-01","32.84","33.5","32.82","26.89","1688500"
"MET","2001-02-02","33.75","33.85","33.0","26.81","1646700"
"MET","2001-02-05","33.65","33.75","32.8","27.09","973700"
"MET","2001-02-06","33.75","33.75","32.0","26.24","1147500"
"MET","2001-02-07","32.69","33.69","32.69","26.94","900300"
"MET","2001-02-08","33.1","33.34","32.3","26.08","935500"
"MET","2001-02-09","33.0","33.1","32.0","26.04","1714800"
"MET","2001-02-12","32.2","33.25","31.5","26.57","1648300"
"MET","2001-02-13","33.0","33.6","32.2","25.94","1687400"
"MET","2001-02-14","32.8","33.0","32.3","26.08","1120100"
"MET","2001-02-15","32.1","32.35","31.3","25.28","3350100"
"MET","2001-02-16","31.7","32.67","31.7","25.8","2425600"
"MET","2001-02-20","32.25","32.3","31.2","25.2","1336800"
"MET","2001-02-21","31.0","31.8","30.6","24.84","1837600"
"MET","2001-02-22","30.2","30.68","29.55","24.21","3114500"
"MET","2001-02-23","30.18","30.69","29.58","24.35","1335500"
"MET","2001-02-26","31.1","31.39","30.49","24.9","2185400"
"MET","2001-02-27","31.27","31.64","30.4","24.82","1665400"
"MET","2001-02-28","31.18","31.25","30.45","24.76","920300"
"MET","2001-03-01","30.8","31.08","30.5","24.88","1008300"
"MET","2001-03-02","30.95","32.11","30.55","25.55","1194400"
"MET","2001-03-05","31.83","32.2","31.2","25.64","1066000"
