"symbol","date","open","high","low","close","volume"
"MFRM","2011-11-18","22.0","23.0","21.55","22.0","3987700"
"MFRM","2011-11-21","22.0","22.26","21.03","22.0","242700"
"MFRM","2011-11-22","22.0","22.34","21.79","22.1","145400"
"MFRM","2011-11-23","21.76","22.15","21.5","22.04","121900"
"MFRM","2011-11-25","21.91","22.02","21.51","21.98","22400"
"MFRM","2011-11-28","22.16","22.5","21.65","21.95","142600"
"MFRM","2011-11-29","21.52","22.0","21.52","21.59","72500"
"MFRM","2011-11-30","21.97","22.22","21.66","22.09","82200"
"MFRM","2011-12-01","22.08","22.25","21.94","22.05","29300"
"MFRM","2011-12-02","22.25","22.45","22.05","22.05","28800"
"MFRM","2011-12-05","22.43","22.86","22.31","22.5","40700"
"MFRM","2011-12-06","22.25","22.59","22.0","22.19","59700"
"MFRM","2011-12-07","22.6","22.6","21.57","21.92","77800"
"MFRM","2011-12-08","22.01","22.06","21.75","21.94","155800"
"MFRM","2011-12-09","21.92","22.6","21.72","22.37","52600"
"MFRM","2011-12-12","22.49","23.0","21.99","22.8","63500"
"MFRM","2011-12-13","22.46","22.99","22.06","22.37","60800"
"MFRM","2011-12-14","22.13","22.69","22.01","22.28","155200"
"MFRM","2011-12-15","22.67","23.28","22.1","22.82","159700"
"MFRM","2011-12-16","22.68","23.2","22.26","22.93","747800"
"MFRM","2011-12-19","23.1","23.48","22.86","22.96","90600"
"MFRM","2011-12-20","23.26","24.03","22.5","23.48","102400"
"MFRM","2011-12-21","23.35","23.38","22.51","22.91","95200"
"MFRM","2011-12-22","24.08","24.08","22.25","22.81","212400"
"MFRM","2011-12-23","23.02","23.02","22.35","22.49","115600"
"MFRM","2011-12-27","21.8","22.35","21.55","22.22","181800"
"MFRM","2011-12-28","22.43","22.67","21.9","22.47","151400"
"MFRM","2011-12-29","22.5","22.97","22.29","22.86","121600"
"MFRM","2011-12-30","22.84","23.32","22.7","23.19","142600"
"MFRM","2012-01-03","23.4","25.0","23.04","24.75","253300"
"MFRM","2012-01-04","24.67","24.75","23.2","23.8","181900"
"MFRM","2012-01-05","23.64","23.75","22.69","23.72","125700"
"MFRM","2012-01-06","23.95","24.52","23.29","23.69","301400"
"MFRM","2012-01-09","24.0","24.2","23.6","23.99","47500"
"MFRM","2012-01-10","24.29","24.33","23.88","24.0","55000"
"MFRM","2012-01-11","25.5","27.0","25.32","26.06","516100"
"MFRM","2012-01-12","26.24","27.0","25.54","26.46","112900"
"MFRM","2012-01-13","26.19","27.49","26.19","27.23","205400"
"MFRM","2012-01-17","27.57","28.32","27.33","27.5","54900"
"MFRM","2012-01-18","27.66","27.66","27.0","27.09","53600"
"MFRM","2012-01-19","27.32","27.32","25.83","26.25","126500"
"MFRM","2012-01-20","26.3","26.3","25.6","25.93","100100"
"MFRM","2012-01-23","25.93","27.37","25.28","26.97","72800"
"MFRM","2012-01-24","26.72","26.98","26.54","26.61","94400"
"MFRM","2012-01-25","26.85","29.45","26.52","29.32","449200"
"MFRM","2012-01-26","29.5","30.13","29.0","29.94","284400"
"MFRM","2012-01-27","29.69","31.77","29.0","31.04","282100"
"MFRM","2012-01-30","30.82","32.09","30.34","31.97","289000"
"MFRM","2012-01-31","32.15","33.6","31.98","33.03","390200"
"MFRM","2012-02-01","33.09","34.3","31.39","31.88","507500"
"MFRM","2012-02-02","32.09","32.12","31.46","31.89","119900"
"MFRM","2012-02-03","32.59","32.59","30.88","30.97","248300"
"MFRM","2012-02-06","31.03","31.46","30.85","31.21","214100"
"MFRM","2012-02-07","31.23","31.75","31.12","31.75","186400"
"MFRM","2012-02-08","31.75","32.55","31.75","32.38","159500"
"MFRM","2012-02-09","32.6","34.19","32.38","33.68","100000"
"MFRM","2012-02-10","33.47","34.0","33.01","33.1","40000"
"MFRM","2012-02-13","32.28","33.25","31.67","33.0","153000"
"MFRM","2012-02-14","32.88","33.0","32.5","32.62","51300"
"MFRM","2012-02-15","32.65","32.65","31.28","31.72","73300"
"MFRM","2012-02-16","31.62","33.22","31.59","31.88","78300"
"MFRM","2012-02-17","32.01","32.7","30.96","31.34","102400"
"MFRM","2012-02-21","31.44","31.63","30.31","30.94","91700"
"MFRM","2012-02-22","30.75","30.75","30.3","30.67","44100"
"MFRM","2012-02-23","30.79","31.57","30.79","31.15","31200"
"MFRM","2012-02-24","31.4","31.92","30.76","30.95","55000"
"MFRM","2012-02-27","30.5","32.02","30.5","31.9","107300"
"MFRM","2012-02-28","32.5","34.18","32.3","33.15","109700"
"MFRM","2012-02-29","33.08","33.7","32.73","33.24","46500"
"MFRM","2012-03-01","33.37","35.01","32.03","33.98","132200"
"MFRM","2012-03-02","34.05","34.49","32.61","33.3","98100"
"MFRM","2012-03-05","33.02","34.06","32.92","33.95","137300"
"MFRM","2012-03-06","33.56","34.43","33.55","33.97","110100"
"MFRM","2012-03-07","34.04","35.92","34.04","35.1","223000"
"MFRM","2012-03-08","35.31","35.8","35.14","35.29","72000"
"MFRM","2012-03-09","35.32","36.24","35.32","36.18","97100"
"MFRM","2012-03-12","36.07","36.24","35.0","35.25","84200"
"MFRM","2012-03-13","35.65","35.65","33.88","34.6","114900"
"MFRM","2012-03-14","34.47","34.47","33.58","34.22","50800"
"MFRM","2012-03-15","35.25","35.25","32.93","34.22","88300"
"MFRM","2012-03-16","34.22","34.6","33.21","34.47","71400"
"MFRM","2012-03-19","34.36","36.02","34.17","34.61","33500"
"MFRM","2012-03-20","34.39","34.99","33.75","34.85","51700"
"MFRM","2012-03-21","34.89","35.26","34.25","34.7","231000"
"MFRM","2012-03-22","34.47","35.06","33.65","35.03","19900"
"MFRM","2012-03-23","34.88","35.54","34.06","35.16","18200"
"MFRM","2012-03-26","35.4","38.21","35.4","38.2","179300"
"MFRM","2012-03-27","38.35","38.83","36.5","37.76","89300"
"MFRM","2012-03-28","37.96","38.66","36.86","38.43","73300"
"MFRM","2012-03-29","38.33","38.39","37.3","38.11","27600"
"MFRM","2012-03-30","38.32","38.32","37.32","37.9","110000"
"MFRM","2012-04-02","36.94","39.76","36.78","38.75","118500"
"MFRM","2012-04-03","38.76","39.9","38.76","39.6","84300"
"MFRM","2012-04-04","39.37","39.5","38.79","39.15","43400"
