"symbol","date","open","high","low","close","volume"
"MFSF","1999-12-30","9.94","10.0","9.38","6.27","673400"
"MFSF","1999-12-31","9.75","9.88","9.62","6.35","49200"
"MFSF","2000-01-03","10.0","10.0","9.5","6.27","141200"
"MFSF","2000-01-04","9.75","9.75","9.44","6.19","72700"
"MFSF","2000-01-05","9.62","9.62","9.44","6.14","8400"
"MFSF","2000-01-06","9.44","9.5","9.38","6.1","82200"
"MFSF","2000-01-07","9.44","9.5","9.38","6.14","65500"
"MFSF","2000-01-10","9.5","9.5","9.44","6.14","51000"
"MFSF","2000-01-11","9.25","9.31","9.12","5.94","30600"
"MFSF","2000-01-12","9.0","9.12","9.0","5.86","71700"
"MFSF","2000-01-13","9.0","9.25","8.94","6.02","135300"
"MFSF","2000-01-14","9.38","9.5","9.38","6.1","47400"
"MFSF","2000-01-18","9.38","9.38","9.38","6.1","100"
"MFSF","2000-01-19","9.38","9.38","9.31","6.1","23500"
"MFSF","2000-01-20","9.25","9.38","9.19","6.02","44200"
"MFSF","2000-01-21","9.25","9.25","9.12","5.94","3200"
"MFSF","2000-01-24","9.12","9.25","9.12","5.94","12800"
"MFSF","2000-01-25","9.25","9.25","9.06","5.94","45300"
"MFSF","2000-01-26","9.19","9.19","9.0","5.86","21200"
"MFSF","2000-01-27","9.19","9.19","9.12","5.94","20000"
"MFSF","2000-01-28","9.12","9.25","9.12","5.98","22600"
"MFSF","2000-01-31","9.12","9.25","9.12","5.98","4200"
"MFSF","2000-02-01","9.25","9.25","9.19","5.98","10100"
"MFSF","2000-02-02","9.25","9.25","9.19","6.02","29600"
"MFSF","2000-02-03","9.25","9.31","9.19","6.02","68900"
"MFSF","2000-02-04","9.19","9.19","9.12","5.94","33700"
"MFSF","2000-02-07","9.25","9.25","9.12","5.98","55200"
"MFSF","2000-02-08","9.25","9.25","9.25","6.02","42900"
"MFSF","2000-02-09","9.25","9.25","9.25","6.02","17600"
"MFSF","2000-02-10","9.25","9.25","9.19","5.98","42800"
"MFSF","2000-02-11","9.25","9.25","9.06","6.02","25400"
"MFSF","2000-02-14","9.06","9.12","9.0","5.94","55300"
"MFSF","2000-02-15","9.06","9.19","9.06","5.94","122300"
"MFSF","2000-02-16","9.12","9.12","9.06","5.94","24000"
"MFSF","2000-02-17","9.12","9.12","9.06","5.94","10800"
"MFSF","2000-02-18","9.06","9.12","9.06","5.94","20100"
"MFSF","2000-02-22","9.12","9.12","9.06","5.94","58900"
"MFSF","2000-02-23","9.12","9.12","9.12","5.94","0"
"MFSF","2000-02-24","9.12","9.12","9.12","5.94","1200"
"MFSF","2000-02-25","9.06","9.19","9.06","5.94","34300"
"MFSF","2000-02-28","9.19","9.19","9.19","5.98","3400"
"MFSF","2000-02-29","9.06","9.06","9.06","5.9","12300"
"MFSF","2000-03-01","9.06","9.12","9.0","5.9","46400"
"MFSF","2000-03-02","9.06","9.12","9.06","5.94","10000"
"MFSF","2000-03-03","9.06","9.12","9.06","5.94","58600"
"MFSF","2000-03-06","9.06","9.12","9.06","5.94","29800"
"MFSF","2000-03-07","9.06","9.12","9.06","5.9","45100"
"MFSF","2000-03-08","9.12","9.12","9.06","5.99","63100"
"MFSF","2000-03-09","9.0","9.06","8.81","5.78","270700"
"MFSF","2000-03-10","8.81","8.94","8.69","5.74","52800"
"MFSF","2000-03-13","8.75","8.75","8.75","5.74","0"
"MFSF","2000-03-14","8.69","8.88","8.69","5.78","34400"
"MFSF","2000-03-15","8.81","8.88","8.69","5.78","17100"
"MFSF","2000-03-16","8.88","9.0","8.88","5.88","198200"
"MFSF","2000-03-17","9.0","9.0","8.91","5.91","58000"
"MFSF","2000-03-20","8.91","8.94","8.91","5.86","10600"
"MFSF","2000-03-21","8.91","9.06","8.75","5.95","19300"
"MFSF","2000-03-22","9.19","9.19","9.06","6.03","64500"
"MFSF","2000-03-23","9.19","9.38","9.19","6.15","7500"
"MFSF","2000-03-24","9.25","9.38","9.19","6.15","16500"
"MFSF","2000-03-27","9.19","9.31","9.12","6.03","4500"
"MFSF","2000-03-28","9.31","9.31","9.25","6.07","17700"
"MFSF","2000-03-29","9.19","9.19","9.0","5.91","10400"
"MFSF","2000-03-30","8.94","8.94","8.94","5.86","1100"
"MFSF","2000-03-31","8.94","9.12","8.81","5.78","22100"
"MFSF","2000-04-03","8.88","9.06","8.88","5.91","25500"
"MFSF","2000-04-04","9.0","9.25","8.94","5.86","12100"
"MFSF","2000-04-05","8.94","9.0","8.94","5.91","1700"
"MFSF","2000-04-06","9.19","9.25","9.12","6.03","74500"
"MFSF","2000-04-07","9.31","9.38","9.25","6.15","21100"
"MFSF","2000-04-10","9.31","9.38","9.31","6.15","6800"
"MFSF","2000-04-11","9.25","9.31","9.25","6.11","5000"
"MFSF","2000-04-12","9.31","9.38","9.31","6.15","60100"
"MFSF","2000-04-13","9.38","9.38","9.31","6.11","31000"
"MFSF","2000-04-14","9.31","9.31","9.12","5.99","24800"
"MFSF","2000-04-17","9.12","9.25","8.88","6.07","6800"
"MFSF","2000-04-18","9.25","9.25","9.25","6.07","0"
"MFSF","2000-04-19","9.0","9.0","9.0","5.91","6500"
"MFSF","2000-04-20","9.0","9.0","9.0","5.91","2800"
"MFSF","2000-04-24","9.12","9.12","9.12","5.99","1800"
"MFSF","2000-04-25","9.12","9.38","9.12","6.11","32200"
"MFSF","2000-04-26","9.25","9.44","9.25","6.19","11600"
"MFSF","2000-04-27","9.25","9.38","9.12","6.15","19100"
"MFSF","2000-04-28","9.44","9.5","9.44","6.19","18000"
"MFSF","2000-05-01","9.25","9.5","9.25","6.23","19500"
"MFSF","2000-05-02","9.5","9.5","9.38","6.19","5700"
"MFSF","2000-05-03","9.44","9.5","9.38","6.19","61000"
"MFSF","2000-05-04","9.5","9.5","9.5","6.23","6100"
"MFSF","2000-05-05","9.5","9.56","9.5","6.23","33000"
"MFSF","2000-05-08","9.56","9.56","9.5","6.23","3200"
"MFSF","2000-05-09","9.5","9.5","9.5","6.23","3400"
