"symbol","date","open","high","low","close","volume"
"MGI","2004-06-30","20.25","20.6","19.92","20.6","1351800"
"MGI","2004-07-01","20.48","21.45","20.07","21.23","692000"
"MGI","2004-07-02","21.2","22.12","21.2","22.01","800900"
"MGI","2004-07-06","21.95","22.8","21.95","22.21","380900"
"MGI","2004-07-07","22.3","22.61","22.25","22.4","471700"
"MGI","2004-07-08","22.3","22.49","22.2","22.35","405400"
"MGI","2004-07-09","22.32","22.66","22.19","22.66","223800"
"MGI","2004-07-12","22.68","22.92","22.59","22.75","215700"
"MGI","2004-07-13","22.75","22.88","22.5","22.5","323500"
"MGI","2004-07-14","22.45","22.66","22.4","22.65","640000"
"MGI","2004-07-15","22.63","22.78","22.5","22.5","342300"
"MGI","2004-07-16","22.5","22.53","22.13","22.28","152400"
"MGI","2004-07-19","22.17","22.32","22.05","22.32","216600"
"MGI","2004-07-20","22.21","22.27","22.12","22.2","119700"
"MGI","2004-07-21","22.17","22.25","21.56","21.7","106800"
"MGI","2004-07-22","21.55","21.7","20.99","21.39","119800"
"MGI","2004-07-23","21.35","21.35","21.05","21.2","270600"
"MGI","2004-07-26","21.35","21.63","21.22","21.35","202700"
"MGI","2004-07-27","21.2","21.6","21.14","21.36","272500"
"MGI","2004-07-28","21.28","21.54","20.4","21.54","450300"
"MGI","2004-07-29","21.48","21.48","18.61","19.0","2083200"
"MGI","2004-07-30","18.98","18.98","18.6","18.7","210500"
"MGI","2004-08-02","18.6","18.91","18.18","18.8","204700"
"MGI","2004-08-03","18.72","18.72","18.26","18.36","145700"
"MGI","2004-08-04","18.25","18.28","18.12","18.25","229300"
"MGI","2004-08-05","18.2","18.27","17.91","18.0","130600"
"MGI","2004-08-06","17.9","18.08","17.15","17.6","214800"
"MGI","2004-08-09","17.38","17.66","17.35","17.66","317600"
"MGI","2004-08-10","17.66","17.66","17.27","17.29","590200"
"MGI","2004-08-11","17.19","17.19","16.8","17.08","403900"
"MGI","2004-08-12","16.93","17.03","16.8","133.54","33200"
"MGI","2004-08-13","16.95","17.1","16.65","132.2","37800"
"MGI","2004-08-16","16.59","17.1","16.3","129.46","36800"
"MGI","2004-08-17","16.6","16.74","16.55","131.03","53800"
"MGI","2004-08-18","16.58","16.63","16.47","129.93","29700"
"MGI","2004-08-19","16.45","16.55","16.3","129.06","10000"
"MGI","2004-08-20","16.4","16.59","16.36","128.75","26200"
"MGI","2004-08-23","16.33","16.75","16.31","130.71","48200"
"MGI","2004-08-24","16.7","17.14","16.7","133.46","43700"
"MGI","2004-08-25","17.0","17.0","16.47","129.46","27100"
"MGI","2004-08-26","16.5","16.7","16.43","130.79","30800"
"MGI","2004-08-27","16.51","16.8","16.49","131.11","25300"
"MGI","2004-08-30","16.65","16.75","16.39","129.14","13400"
"MGI","2004-08-31","16.4","16.75","16.4","131.11","59200"
"MGI","2004-09-01","16.75","17.1","16.71","133.85","43700"
"MGI","2004-09-02","17.05","17.1","16.9","132.83","54500"
"MGI","2004-09-03","17.05","17.09","16.57","130.48","16800"
"MGI","2004-09-07","16.72","17.3","16.72","135.74","52300"
"MGI","2004-09-08","17.19","17.45","17.0","134.4","68500"
"MGI","2004-09-09","17.12","17.51","16.58","137.46","68700"
"MGI","2004-09-10","17.48","17.8","17.06","138.96","124600"
"MGI","2004-09-13","17.6","17.65","17.3","135.97","84400"
"MGI","2004-09-14","17.21","17.32","17.12","135.5","43900"
"MGI","2004-09-15","17.1","17.2","16.95","134.72","45200"
"MGI","2004-09-16","17.05","17.21","17.0","134.48","41600"
"MGI","2004-09-17","17.05","17.52","17.01","137.07","75900"
"MGI","2004-09-20","17.4","17.45","17.1","134.72","67000"
"MGI","2004-09-21","17.15","17.44","17.1","135.74","51000"
"MGI","2004-09-22","17.25","17.35","17.1","135.19","45000"
"MGI","2004-09-23","17.3","17.3","16.89","134.25","35800"
"MGI","2004-09-24","17.02","17.14","16.98","134.56","22700"
"MGI","2004-09-27","17.03","17.04","16.95","133.46","34500"
"MGI","2004-09-28","16.99","17.07","16.94","133.38","81400"
"MGI","2004-09-29","16.98","17.15","16.91","133.46","30700"
"MGI","2004-09-30","17.1","17.17","16.97","134.17","31300"
"MGI","2004-10-01","17.08","17.56","17.08","137.86","33500"
"MGI","2004-10-04","17.6","17.6","17.26","136.13","36400"
"MGI","2004-10-05","17.23","17.46","17.21","135.74","16600"
"MGI","2004-10-06","17.25","18.1","17.23","141.79","40700"
"MGI","2004-10-07","18.0","18.16","17.97","141.39","18900"
"MGI","2004-10-08","17.88","18.08","17.85","141.63","16700"
"MGI","2004-10-11","18.02","18.07","17.93","141.08","20600"
"MGI","2004-10-12","17.98","18.15","17.54","142.18","14000"
"MGI","2004-10-13","18.05","18.05","17.61","139.82","16800"
"MGI","2004-10-14","17.75","18.04","17.6","141.0","16000"
"MGI","2004-10-15","17.88","18.25","17.8","143.36","17600"
"MGI","2004-10-18","18.2","18.2","17.86","140.45","29800"
"MGI","2004-10-19","17.8","17.8","16.98","136.52","41600"
"MGI","2004-10-20","17.38","17.5","16.95","134.4","20600"
"MGI","2004-10-21","17.11","17.31","16.9","132.75","55400"
"MGI","2004-10-22","16.99","17.04","16.85","133.3","33700"
"MGI","2004-10-25","16.96","17.35","16.96","136.05","26200"
"MGI","2004-10-26","17.33","17.82","17.05","137.39","16400"
"MGI","2004-10-27","17.49","18.59","17.49","146.03","17400"
"MGI","2004-10-28","18.59","18.82","18.16","147.83","22400"
"MGI","2004-10-29","18.92","18.92","18.22","146.11","17500"
"MGI","2004-11-01","18.5","18.66","18.17","146.11","9100"
"MGI","2004-11-02","18.65","19.06","18.6","148.46","31800"
"MGI","2004-11-03","19.1","19.19","18.83","150.74","46000"
"MGI","2004-11-04","19.18","19.38","19.05","152.08","30100"
"MGI","2004-11-05","19.32","19.54","18.76","150.66","12500"
"MGI","2004-11-08","19.18","19.22","18.18","143.59","29200"
"MGI","2004-11-09","18.35","18.54","18.02","144.85","33400"
"MGI","2004-11-10","18.19","18.5","17.93","145.09","35300"
"MGI","2004-11-11","18.52","18.75","18.48","146.89","40000"
"MGI","2004-11-12","18.8","19.74","18.55","155.06","31200"
"MGI","2004-11-15","19.78","19.9","19.52","155.53","33600"
"MGI","2004-11-16","19.68","19.99","19.52","155.38","21800"
"MGI","2004-11-17","19.55","20.05","19.53","156.87","46800"
"MGI","2004-11-18","20.03","20.16","19.62","154.67","21000"
"MGI","2004-11-19","19.7","20.04","19.65","156.79","28900"
"MGI","2004-11-22","19.96","20.44","19.92","158.67","14500"
"MGI","2004-11-23","20.18","20.2","19.79","156.24","31100"
"MGI","2004-11-24","20.0","20.6","20.0","161.66","32000"
"MGI","2004-11-26","20.48","21.25","20.4","165.35","12900"
"MGI","2004-11-29","21.2","21.46","20.85","167.32","31800"
"MGI","2004-11-30","21.55","21.84","21.36","168.02","97900"
"MGI","2004-12-01","21.4","21.58","21.16","167.32","40500"
"MGI","2004-12-02","21.22","21.23","20.95","164.88","29700"
"MGI","2004-12-03","20.99","21.41","20.9","167.63","24500"
"MGI","2004-12-06","21.3","21.5","21.05","167.79","24300"
"MGI","2004-12-07","21.34","21.34","20.12","161.19","95200"
"MGI","2004-12-08","20.52","20.97","20.52","163.78","33400"
"MGI","2004-12-09","20.77","21.2","20.5","164.17","35000"
"MGI","2004-12-10","20.8","20.93","20.55","164.25","16400"
"MGI","2004-12-13","20.9","20.9","20.24","159.54","18800"
"MGI","2004-12-14","20.25","20.7","20.25","160.32","54600"
"MGI","2004-12-15","20.39","20.83","20.35","163.55","32800"
"MGI","2004-12-16","20.75","21.33","20.5","164.65","62700"
"MGI","2004-12-17","20.75","21.42","20.75","167.71","29500"
"MGI","2004-12-20","21.4","21.81","20.87","164.65","34000"
"MGI","2004-12-21","21.0","21.12","20.87","165.04","30400"
"MGI","2004-12-22","21.0","21.68","21.0","168.18","45200"
"MGI","2004-12-23","21.37","21.74","21.34","169.13","11200"
"MGI","2004-12-27","21.5","21.6","21.18","167.4","24300"
"MGI","2004-12-28","21.25","21.61","20.95","165.83","36300"
"MGI","2004-12-29","21.15","21.29","21.0","165.83","11800"
"MGI","2004-12-30","21.0","21.2","20.89","164.88","45200"
"MGI","2004-12-31","20.93","21.44","20.86","166.14","9600"
"MGI","2005-01-03","21.14","21.49","20.87","164.65","37400"
"MGI","2005-01-04","20.95","21.06","20.66","162.37","49900"
"MGI","2005-01-05","20.6","20.92","20.58","161.74","22100"
"MGI","2005-01-06","20.65","20.84","20.51","162.84","38200"
"MGI","2005-01-07","20.68","20.85","20.46","161.19","25000"
"MGI","2005-01-10","20.6","20.79","20.47","161.5","26000"
"MGI","2005-01-11","20.4","20.73","20.21","162.68","26400"
"MGI","2005-01-12","20.75","20.96","20.4","164.1","29900"
"MGI","2005-01-13","20.93","21.0","20.8","163.78","17200"
"MGI","2005-01-14","20.88","21.4","20.88","168.18","24600"
"MGI","2005-01-18","21.37","21.38","21.05","167.08","35000"
"MGI","2005-01-19","21.2","21.35","21.05","165.9","38900"
"MGI","2005-01-20","21.11","21.21","20.77","165.2","31700"
"MGI","2005-01-21","21.07","21.28","20.78","163.63","17100"
"MGI","2005-01-24","20.8","20.86","20.6","162.21","25400"
"MGI","2005-01-25","20.66","20.75","20.48","161.27","35600"
"MGI","2005-01-26","20.6","20.76","20.43","161.66","34900"
"MGI","2005-01-27","20.55","20.61","18.7","151.29","176600"
"MGI","2005-01-28","19.25","19.54","18.85","153.49","59000"
"MGI","2005-01-31","19.53","19.59","18.91","152.47","35200"
"MGI","2005-02-01","19.4","19.51","19.03","153.25","46900"
"MGI","2005-02-02","19.5","20.01","19.44","156.4","40800"
"MGI","2005-02-03","19.93","20.05","19.72","157.57","21800"
"MGI","2005-02-04","20.04","20.13","19.95","156.87","25000"
"MGI","2005-02-07","19.96","20.0","19.88","157.02","14500"
"MGI","2005-02-08","20.0","20.0","19.59","155.85","14900"
"MGI","2005-02-09","19.8","19.98","19.58","154.04","17600"
"MGI","2005-02-10","19.65","19.94","19.39","154.74","21500"
"MGI","2005-02-11","19.71","19.98","19.62","156.79","10000"
"MGI","2005-02-14","19.92","20.07","19.73","156.95","17700"
"MGI","2005-02-15","19.98","20.2","19.96","158.67","33600"
"MGI","2005-02-16","20.22","20.8","20.22","162.21","20500"
"MGI","2005-02-17","20.5","20.72","20.37","161.58","21900"
"MGI","2005-02-18","20.59","20.72","20.17","159.07","16500"
"MGI","2005-02-22","20.3","20.54","20.25","159.3","19500"
