"symbol","date","open","high","low","close","volume"
"MHE","1995-08-18","11.12","11.25","11.12","3.68","300"
"MHE","1995-08-21","11.25","11.25","11.25","3.68","0"
"MHE","1995-08-22","11.25","11.25","11.12","3.64","2100"
"MHE","1995-08-23","11.12","11.12","11.12","3.64","3400"
"MHE","1995-08-24","11.12","11.12","11.12","3.64","5300"
"MHE","1995-08-25","11.12","11.12","11.12","3.64","300"
"MHE","1995-08-28","11.12","11.12","11.12","3.64","9100"
"MHE","1995-08-29","11.12","11.12","11.0","3.6","4400"
"MHE","1995-08-30","10.88","10.88","10.88","3.56","2700"
"MHE","1995-08-31","11.0","11.12","11.0","3.64","2500"
"MHE","1995-09-01","11.0","11.25","11.0","3.68","2000"
"MHE","1995-09-05","11.25","11.38","11.25","3.72","8300"
"MHE","1995-09-06","11.38","11.38","11.38","3.72","2200"
"MHE","1995-09-07","11.25","11.25","11.0","3.6","5700"
"MHE","1995-09-08","11.0","11.0","11.0","3.6","0"
"MHE","1995-09-11","11.0","11.0","11.0","3.6","1500"
"MHE","1995-09-12","10.88","10.88","10.88","3.58","100"
"MHE","1995-09-13","11.12","11.12","11.12","3.66","1000"
"MHE","1995-09-14","11.12","11.25","11.12","3.66","4400"
"MHE","1995-09-15","11.12","11.12","11.12","3.66","1600"
"MHE","1995-09-18","11.12","11.25","10.88","3.58","4800"
"MHE","1995-09-19","11.0","11.0","10.88","3.58","1600"
"MHE","1995-09-20","11.0","11.0","10.88","3.58","3500"
"MHE","1995-09-21","10.88","10.88","10.88","3.58","100"
"MHE","1995-09-22","10.88","11.0","10.88","3.62","5400"
"MHE","1995-09-25","11.12","11.12","11.12","3.66","100"
"MHE","1995-09-26","11.12","11.12","11.12","3.66","0"
"MHE","1995-09-27","11.12","11.12","11.12","3.66","0"
"MHE","1995-09-28","11.12","11.12","11.12","3.66","500"
"MHE","1995-09-29","11.0","11.0","11.0","3.62","500"
"MHE","1995-10-02","11.12","11.25","11.12","3.7","6000"
"MHE","1995-10-03","11.0","11.12","11.0","3.66","2000"
"MHE","1995-10-04","11.12","11.12","11.12","3.66","0"
"MHE","1995-10-05","11.25","11.25","11.25","3.7","500"
"MHE","1995-10-06","11.25","11.25","11.25","3.7","0"
"MHE","1995-10-09","11.25","11.25","11.25","3.7","0"
"MHE","1995-10-10","11.0","11.0","11.0","3.62","2000"
"MHE","1995-10-11","10.88","11.0","10.88","3.6","5700"
"MHE","1995-10-12","11.12","11.25","11.0","3.72","3500"
"MHE","1995-10-13","11.12","11.12","11.12","3.68","1000"
"MHE","1995-10-16","11.0","11.12","11.0","3.68","1600"
"MHE","1995-10-17","11.0","11.12","11.0","3.68","1100"
"MHE","1995-10-18","11.0","11.0","11.0","3.64","3200"
"MHE","1995-10-19","11.12","11.12","11.0","3.64","12900"
"MHE","1995-10-20","11.0","11.0","11.0","3.64","0"
"MHE","1995-10-23","11.12","11.12","11.0","3.64","2100"
"MHE","1995-10-24","11.25","11.25","11.0","3.64","1300"
"MHE","1995-10-25","11.0","11.0","11.0","3.64","1000"
"MHE","1995-10-26","11.12","11.12","11.12","3.68","1000"
"MHE","1995-10-27","11.0","11.25","11.0","3.72","3100"
"MHE","1995-10-30","11.12","11.25","11.12","3.72","2900"
"MHE","1995-10-31","11.12","11.12","11.12","3.68","1000"
"MHE","1995-11-01","11.0","11.25","11.0","3.72","2700"
"MHE","1995-11-02","11.38","11.38","11.38","3.76","500"
"MHE","1995-11-03","11.5","11.5","11.5","3.8","2000"
"MHE","1995-11-06","11.38","11.38","11.38","3.76","500"
"MHE","1995-11-07","11.5","11.5","11.38","3.76","1500"
"MHE","1995-11-08","11.38","11.38","11.38","3.76","0"
"MHE","1995-11-09","11.25","11.25","11.12","3.72","1200"
"MHE","1995-11-10","11.38","11.5","11.38","3.76","2500"
"MHE","1995-11-13","11.5","11.5","11.25","3.72","4100"
"MHE","1995-11-14","11.12","11.25","11.12","3.72","2300"
"MHE","1995-11-15","11.25","11.38","11.25","3.76","1300"
"MHE","1995-11-16","11.25","11.5","11.25","3.76","1800"
"MHE","1995-11-17","11.5","11.5","11.25","3.72","2200"
"MHE","1995-11-20","11.25","11.25","11.12","3.68","5500"
"MHE","1995-11-21","11.25","11.25","11.12","3.68","1800"
"MHE","1995-11-22","11.0","11.0","11.0","3.64","3500"
"MHE","1995-11-24","11.0","11.0","11.0","3.66","2000"
"MHE","1995-11-27","11.0","11.25","11.0","3.74","1800"
"MHE","1995-11-28","11.25","11.25","11.25","3.74","3200"
"MHE","1995-11-29","11.25","11.25","11.25","3.74","2600"
"MHE","1995-11-30","11.38","11.38","11.38","3.78","500"
"MHE","1995-12-01","11.25","11.25","11.12","3.7","4900"
"MHE","1995-12-04","11.12","11.25","11.12","3.7","6000"
"MHE","1995-12-05","11.12","11.25","11.12","3.7","4200"
"MHE","1995-12-06","11.25","11.38","11.12","3.78","4600"
"MHE","1995-12-07","11.38","11.5","11.25","3.78","9100"
"MHE","1995-12-08","11.38","11.38","11.25","3.74","3900"
"MHE","1995-12-11","11.25","11.38","11.25","3.78","2000"
"MHE","1995-12-12","11.5","11.62","11.5","3.82","2700"
"MHE","1995-12-13","11.5","11.5","11.25","3.74","3700"
"MHE","1995-12-14","11.25","11.25","11.12","3.7","9300"
