"symbol","date","open","high","low","close","volume"
"MHNB","2012-03-29","24.8","25.1","24.8","20.98","4500"
"MHNB","2012-03-30","24.98","25.05","24.72","20.92","128300"
"MHNB","2012-04-02","24.95","24.97","24.84","20.92","66400"
"MHNB","2012-04-03","24.93","25.05","24.9","20.99","77500"
"MHNB","2012-04-04","24.9","25.04","24.76","21.01","35500"
"MHNB","2012-04-05","25.0","25.0","24.96","21.01","58200"
"MHNB","2012-04-09","24.98","25.06","24.98","21.05","54400"
"MHNB","2012-04-10","25.05","25.05","24.3","20.98","44000"
"MHNB","2012-04-11","25.1","25.1","24.97","21.01","30000"
"MHNB","2012-04-12","25.03","25.1","24.9","21.09","34300"
"MHNB","2012-04-13","25.15","25.15","25.0","21.09","6200"
"MHNB","2012-04-16","25.15","25.19","25.06","21.17","30000"
"MHNB","2012-04-17","25.15","25.4","25.08","21.2","82300"
"MHNB","2012-04-18","25.25","25.27","25.15","21.23","26600"
"MHNB","2012-04-19","25.2","25.23","25.15","21.18","24900"
"MHNB","2012-04-20","25.33","25.33","25.17","21.17","14600"
"MHNB","2012-04-23","25.16","25.25","25.16","21.18","23600"
"MHNB","2012-04-24","25.15","25.15","25.07","21.07","35400"
"MHNB","2012-04-25","25.08","25.16","25.08","21.13","10000"
"MHNB","2012-04-26","25.15","25.2","25.12","21.13","10300"
"MHNB","2012-04-27","25.24","25.25","25.22","21.22","7100"
"MHNB","2012-04-30","25.2","25.25","25.04","21.19","17000"
"MHNB","2012-05-01","25.35","25.35","25.2","21.23","13300"
"MHNB","2012-05-02","25.14","25.38","25.14","21.25","29300"
"MHNB","2012-05-03","25.21","25.35","25.21","21.23","5900"
"MHNB","2012-05-04","25.37","25.6","25.32","21.47","47200"
"MHNB","2012-05-07","25.23","25.46","25.23","21.39","12000"
"MHNB","2012-05-08","25.33","25.37","25.21","21.24","36000"
"MHNB","2012-05-09","25.12","25.22","25.1","21.18","7900"
"MHNB","2012-05-10","25.27","25.33","25.25","21.22","25200"
"MHNB","2012-05-11","25.34","25.5","25.22","21.3","13000"
"MHNB","2012-05-14","25.22","25.4","25.15","21.14","15900"
"MHNB","2012-05-15","25.16","25.22","25.1","21.14","14000"
"MHNB","2012-05-16","25.22","25.25","25.04","21.22","52200"
"MHNB","2012-05-17","25.24","25.25","24.96","21.03","21300"
"MHNB","2012-05-18","24.98","24.98","24.57","20.87","41400"
"MHNB","2012-05-21","25.16","25.16","24.92","21.04","16700"
"MHNB","2012-05-22","25.16","25.16","24.93","20.97","21000"
"MHNB","2012-05-23","24.95","25.1","24.84","21.01","15000"
"MHNB","2012-05-24","25.0","25.1","24.99","21.07","11200"
"MHNB","2012-05-25","25.15","25.2","25.02","21.13","17800"
"MHNB","2012-05-29","25.19","25.3","25.16","21.26","31300"
"MHNB","2012-05-30","25.3","25.38","25.14","21.18","17400"
"MHNB","2012-05-31","25.38","25.38","25.0","21.03","19800"
"MHNB","2012-06-01","24.78","25.2","24.78","21.12","20200"
"MHNB","2012-06-04","25.32","25.32","24.87","21.08","57800"
"MHNB","2012-06-05","25.2","25.3","25.08","21.1","42100"
"MHNB","2012-06-06","25.3","25.3","25.11","21.17","35500"
"MHNB","2012-06-07","25.3","25.3","25.1","21.17","16800"
"MHNB","2012-06-08","24.95","25.24","24.87","21.57","15900"
"MHNB","2012-06-11","25.17","25.17","24.92","21.43","15700"
"MHNB","2012-06-12","25.1","25.1","25.0","21.46","16200"
"MHNB","2012-06-13","24.67","25.05","24.67","21.48","21500"
"MHNB","2012-06-14","25.09","25.09","24.9","21.43","22100"
"MHNB","2012-06-15","25.09","25.15","25.05","21.55","26700"
"MHNB","2012-06-18","25.14","25.24","25.12","21.62","26000"
"MHNB","2012-06-19","25.22","25.3","25.15","21.69","18000"
"MHNB","2012-06-20","25.3","25.47","25.25","21.78","14000"
"MHNB","2012-06-21","25.42","25.44","25.28","21.74","12500"
"MHNB","2012-06-22","25.44","25.45","25.32","21.81","10900"
"MHNB","2012-06-25","25.45","25.45","25.3","21.7","14600"
"MHNB","2012-06-26","25.45","25.5","25.33","21.86","33100"
"MHNB","2012-06-27","25.5","25.5","25.3","21.73","21100"
"MHNB","2012-06-28","25.47","25.47","25.32","21.74","5900"
"MHNB","2012-06-29","25.5","25.6","25.39","21.95","47500"
"MHNB","2012-07-02","25.59","25.7","25.55","21.9","16000"
"MHNB","2012-07-03","25.68","25.7","25.47","22.03","15500"
"MHNB","2012-07-05","25.75","25.75","25.62","22.02","8900"
"MHNB","2012-07-06","25.7","25.75","25.43","22.08","8100"
"MHNB","2012-07-09","25.84","25.89","25.67","22.16","43200"
"MHNB","2012-07-10","25.9","26.04","25.8","22.31","34300"
"MHNB","2012-07-11","26.09","26.11","25.96","22.38","77300"
"MHNB","2012-07-12","26.13","26.15","25.96","22.41","20900"
"MHNB","2012-07-13","26.14","26.22","26.14","22.46","19000"
"MHNB","2012-07-16","26.2","26.4","26.2","22.58","20400"
"MHNB","2012-07-17","26.4","26.4","26.14","22.44","17200"
"MHNB","2012-07-18","26.25","26.25","26.05","22.39","24500"
"MHNB","2012-07-19","26.2","26.25","25.88","22.33","36500"
"MHNB","2012-07-20","26.2","26.33","25.62","22.57","77700"
"MHNB","2012-07-23","26.28","26.28","25.92","22.42","24100"
"MHNB","2012-07-24","26.15","26.38","26.15","22.62","11400"
"MHNB","2012-07-25","26.33","26.33","25.75","22.29","24700"
"MHNB","2012-07-26","26.15","26.31","25.79","22.36","12300"
"MHNB","2012-07-27","26.08","26.31","26.08","22.5","13000"
"MHNB","2012-07-30","26.25","26.6","26.14","22.77","27700"
"MHNB","2012-07-31","26.42","26.9","26.38","22.91","49700"
"MHNB","2012-08-01","26.72","26.75","26.13","22.46","44800"
"MHNB","2012-08-02","26.32","26.32","26.19","22.47","14300"
"MHNB","2012-08-03","26.34","26.4","26.34","22.63","9100"
"MHNB","2012-08-06","26.55","27.17","26.4","23.02","59500"
"MHNB","2012-08-07","26.8","27.02","26.55","23.06","101400"
"MHNB","2012-08-08","26.85","26.93","26.48","22.87","52400"
"MHNB","2012-08-09","26.8","26.8","26.25","22.72","15200"
"MHNB","2012-08-10","26.64","26.64","26.2","22.55","16800"
"MHNB","2012-08-13","26.47","26.47","26.31","22.6","11800"
"MHNB","2012-08-14","26.52","26.62","26.42","22.72","8800"
"MHNB","2012-08-15","26.36","26.6","26.36","22.76","15000"
"MHNB","2012-08-16","26.55","26.6","26.21","22.77","25600"
"MHNB","2012-08-17","26.56","26.63","26.5","22.74","14800"
"MHNB","2012-08-20","26.66","26.66","26.12","22.55","12700"
"MHNB","2012-08-21","26.38","26.45","26.29","22.54","21700"
"MHNB","2012-08-22","26.45","26.53","25.53","21.95","122800"
"MHNB","2012-08-23","25.6","25.87","25.6","22.07","128300"
"MHNB","2012-08-24","25.94","25.94","25.66","22.05","36800"
"MHNB","2012-08-27","25.75","25.88","25.7","22.08","47700"
"MHNB","2012-08-28","25.8","25.86","25.74","22.1","52500"
"MHNB","2012-08-29","25.83","25.86","25.76","22.09","29300"
"MHNB","2012-08-30","25.84","25.84","25.65","22.1","23200"
"MHNB","2012-08-31","25.82","26.09","25.78","22.25","30200"
"MHNB","2012-09-04","26.0","26.15","25.96","22.33","23600"
"MHNB","2012-09-05","26.18","26.19","26.03","22.38","7800"
"MHNB","2012-09-06","26.22","26.22","26.04","22.38","22900"
"MHNB","2012-09-07","26.22","26.23","26.12","22.41","14700"
"MHNB","2012-09-10","25.87","25.87","25.8","22.59","28300"
"MHNB","2012-09-11","25.87","26.06","25.84","22.71","20500"
"MHNB","2012-09-12","26.12","26.2","25.82","22.88","22500"
"MHNB","2012-09-13","26.19","26.25","26.15","22.9","15200"
"MHNB","2012-09-14","26.2","26.2","25.89","22.72","25100"
"MHNB","2012-09-17","26.08","26.16","25.88","22.79","6300"
"MHNB","2012-09-18","26.15","26.21","26.07","22.89","12100"
"MHNB","2012-09-19","26.25","26.25","26.19","22.94","41900"
"MHNB","2012-09-20","26.25","26.4","26.2","23.06","22900"
"MHNB","2012-09-21","26.48","26.49","26.27","23.14","28500"
"MHNB","2012-09-24","26.59","26.59","25.93","22.93","29300"
"MHNB","2012-09-25","26.39","26.39","26.24","22.99","32200"
"MHNB","2012-09-26","26.36","26.57","26.26","23.02","8800"
"MHNB","2012-09-27","26.58","26.63","26.37","23.19","5800"
"MHNB","2012-09-28","26.64","26.7","26.5","23.34","14400"
"MHNB","2012-10-01","26.75","26.77","26.55","23.39","11900"
"MHNB","2012-10-02","26.7","26.73","26.41","23.2","5600"
"MHNB","2012-10-03","26.66","26.66","26.17","23.14","8200"
"MHNB","2012-10-04","26.57","26.6","26.45","23.25","7700"
"MHNB","2012-10-05","26.75","26.8","26.11","23.0","18200"
"MHNB","2012-10-08","26.38","26.38","26.11","22.94","16200"
"MHNB","2012-10-09","26.35","26.38","26.32","23.01","10500"
"MHNB","2012-10-10","26.38","26.39","26.29","23.02","3800"
"MHNB","2012-10-11","26.3","26.38","26.29","23.05","8900"
"MHNB","2012-10-12","26.39","26.49","26.39","23.15","5700"
"MHNB","2012-10-15","26.5","26.5","26.14","23.04","16200"
"MHNB","2012-10-16","26.36","26.48","26.35","23.14","8700"
"MHNB","2012-10-17","26.5","26.75","26.5","23.37","4600"
"MHNB","2012-10-18","26.67","26.84","26.37","23.35","12400"
"MHNB","2012-10-19","26.35","27.31","26.35","23.6","6400"
"MHNB","2012-10-22","26.92","26.93","26.61","23.4","8100"
"MHNB","2012-10-23","26.75","26.79","26.51","23.31","5600"
"MHNB","2012-10-24","26.71","26.71","26.32","23.07","9300"
"MHNB","2012-10-25","26.43","26.43","26.24","22.93","8600"
"MHNB","2012-10-26","26.4","26.47","26.0","22.93","55000"
"MHNB","2012-10-31","26.23","26.57","26.23","23.11","10700"
"MHNB","2012-11-01","26.57","26.75","26.35","23.11","13200"
"MHNB","2012-11-02","26.44","26.64","26.44","23.16","1900"
"MHNB","2012-11-05","26.45","26.48","26.27","23.14","1900"
"MHNB","2012-11-06","26.65","26.69","26.41","23.32","5300"
"MHNB","2012-11-07","26.45","26.87","26.2","23.36","13500"
"MHNB","2012-11-08","26.86","26.86","26.44","23.25","9000"
"MHNB","2012-11-09","26.55","26.74","26.47","23.33","4700"
"MHNB","2012-11-12","26.75","27.25","26.2","23.12","27900"
"MHNB","2012-11-13","26.57","26.57","26.26","23.11","5500"
"MHNB","2012-11-14","26.29","26.31","25.81","22.93","55200"
"MHNB","2012-11-15","26.13","26.37","25.0","22.56","55800"
"MHNB","2012-11-16","25.81","25.98","25.5","22.7","24700"
"MHNB","2012-11-19","25.96","26.49","25.96","23.15","21500"
"MHNB","2012-11-20","26.51","26.94","26.45","23.45","12300"
"MHNB","2012-11-21","26.83","26.84","26.65","23.29","10100"
"MHNB","2012-11-23","26.49","26.63","26.49","23.28","300"
"MHNB","2012-11-26","26.66","26.84","26.6","23.3","7000"
"MHNB","2012-11-27","26.59","27.23","26.25","23.4","15700"
"MHNB","2012-11-28","26.79","26.89","26.75","23.49","5900"
"MHNB","2012-11-29","26.61","26.84","26.42","23.29","6100"
"MHNB","2012-11-30","26.7","26.76","26.68","23.39","1600"
"MHNB","2012-12-03","26.8","26.97","26.26","23.51","6700"
"MHNB","2012-12-04","26.95","26.95","26.49","23.51","9000"
"MHNB","2012-12-05","26.77","26.77","26.28","23.22","7300"
"MHNB","2012-12-06","26.69","26.69","26.51","23.31","3300"
"MHNB","2012-12-07","26.48","26.88","26.48","23.49","7600"
