"symbol","date","open","high","low","close","volume"
"MHO","1993-11-03","14.38","14.75","14.12","6.77","2423400"
"MHO","1993-11-04","14.38","14.5","14.0","6.59","379400"
"MHO","1993-11-05","14.0","14.12","13.75","6.47","633800"
"MHO","1993-11-08","13.75","13.88","13.75","6.53","86600"
"MHO","1993-11-09","13.88","14.0","13.75","6.47","179200"
"MHO","1993-11-10","13.75","14.5","13.62","6.65","151400"
"MHO","1993-11-11","14.25","14.75","14.0","6.88","287200"
"MHO","1993-11-12","14.75","14.88","14.25","6.88","155600"
"MHO","1993-11-15","14.5","14.75","14.5","6.88","139400"
"MHO","1993-11-16","14.5","14.62","14.12","6.71","89200"
"MHO","1993-11-17","14.0","14.38","14.0","6.59","33600"
"MHO","1993-11-18","14.12","14.12","13.75","6.59","50400"
"MHO","1993-11-19","13.88","14.0","13.62","6.41","37000"
"MHO","1993-11-22","13.75","13.75","13.0","6.18","137400"
"MHO","1993-11-23","13.25","13.75","13.12","6.47","75800"
"MHO","1993-11-24","13.88","14.0","13.75","6.59","131200"
"MHO","1993-11-26","14.12","14.12","14.12","6.65","11600"
"MHO","1993-11-29","14.12","14.5","14.0","6.65","51000"
"MHO","1993-11-30","14.25","15.25","14.25","7.12","197600"
"MHO","1993-12-01","15.25","15.25","14.62","6.94","116800"
"MHO","1993-12-02","14.88","15.12","14.75","7.0","120000"
"MHO","1993-12-03","14.88","15.0","14.88","7.06","28200"
"MHO","1993-12-06","14.88","15.38","14.75","7.24","101800"
"MHO","1993-12-07","15.62","15.88","15.25","7.41","96600"
"MHO","1993-12-08","15.75","16.25","15.75","7.65","189600"
"MHO","1993-12-09","16.12","16.25","16.12","7.59","74200"
"MHO","1993-12-10","16.12","16.12","15.5","7.3","61000"
"MHO","1993-12-13","15.5","15.62","15.25","7.3","158800"
"MHO","1993-12-14","15.62","16.5","15.5","7.59","184800"
"MHO","1993-12-15","16.12","16.88","16.12","7.88","138200"
"MHO","1993-12-16","17.0","17.25","17.0","8.12","92200"
"MHO","1993-12-17","17.25","18.25","17.12","8.47","202600"
"MHO","1993-12-20","18.25","18.5","17.5","8.3","270400"
"MHO","1993-12-21","17.75","17.75","17.5","8.24","27400"
"MHO","1993-12-22","17.5","17.75","17.38","8.35","27400"
"MHO","1993-12-23","17.75","18.0","17.62","8.35","113400"
"MHO","1993-12-27","17.75","18.0","17.75","8.47","11800"
"MHO","1993-12-28","17.88","17.88","17.88","8.41","1400"
"MHO","1993-12-29","17.75","18.0","17.75","8.41","43000"
"MHO","1993-12-30","18.0","18.12","17.88","8.47","28400"
"MHO","1993-12-31","18.12","18.25","18.12","8.59","10000"
"MHO","1994-01-03","18.0","18.25","17.88","8.53","48000"
"MHO","1994-01-04","18.0","18.12","17.5","8.24","40200"
"MHO","1994-01-05","17.38","17.38","16.88","8.06","19000"
"MHO","1994-01-06","17.0","17.5","17.0","8.24","6400"
"MHO","1994-01-07","17.25","17.5","17.25","8.18","18200"
"MHO","1994-01-10","17.5","17.5","17.38","8.24","18600"
"MHO","1994-01-11","17.25","17.25","17.0","8.06","8000"
"MHO","1994-01-12","17.0","17.5","17.0","8.18","20200"
"MHO","1994-01-13","17.38","17.38","17.0","8.12","19800"
"MHO","1994-01-14","16.88","17.0","16.88","8.0","38400"
"MHO","1994-01-17","17.0","17.12","16.88","8.0","54800"
"MHO","1994-01-18","17.12","17.5","17.0","8.18","46800"
"MHO","1994-01-19","17.5","17.5","17.0","8.0","47000"
"MHO","1994-01-20","17.25","17.62","17.25","8.3","120200"
"MHO","1994-01-21","17.62","17.62","17.25","8.12","90600"
"MHO","1994-01-24","17.38","17.38","17.0","8.0","16200"
"MHO","1994-01-25","17.0","17.12","17.0","8.0","15200"
"MHO","1994-01-26","16.88","16.88","16.75","7.94","11200"
"MHO","1994-01-27","16.88","17.0","16.88","8.0","25200"
"MHO","1994-01-28","16.88","17.12","16.62","8.06","58600"
"MHO","1994-01-31","17.12","17.12","17.0","8.06","31800"
"MHO","1994-02-01","16.88","17.0","16.75","8.0","16800"
"MHO","1994-02-02","16.75","17.12","16.75","8.0","43800"
"MHO","1994-02-03","16.75","16.75","16.5","7.83","25400"
"MHO","1994-02-04","16.38","16.62","16.12","7.65","38200"
"MHO","1994-02-07","16.0","16.0","15.5","7.3","41400"
"MHO","1994-02-08","15.5","16.12","15.5","7.59","76000"
"MHO","1994-02-09","16.0","16.38","16.0","7.71","62400"
"MHO","1994-02-10","16.38","16.38","16.25","7.65","30400"
"MHO","1994-02-11","16.12","16.38","16.12","7.59","22400"
"MHO","1994-02-14","16.12","16.25","16.0","7.65","6400"
"MHO","1994-02-15","16.25","16.25","16.0","7.59","39200"
"MHO","1994-02-16","16.12","16.25","16.12","7.59","50600"
"MHO","1994-02-17","16.25","16.25","16.12","7.59","19400"
"MHO","1994-02-18","16.12","16.25","16.12","7.59","26600"
"MHO","1994-02-22","16.0","16.12","16.0","7.53","15400"
"MHO","1994-02-23","16.0","16.0","16.0","7.53","112600"
"MHO","1994-02-24","15.88","15.88","15.62","7.41","40000"
"MHO","1994-02-25","15.62","15.75","15.5","7.35","18000"
"MHO","1994-02-28","15.5","15.62","15.5","7.35","33200"
"MHO","1994-03-01","15.75","16.62","15.62","7.53","279600"
"MHO","1994-03-02","16.12","16.12","15.75","7.59","184800"
"MHO","1994-03-03","16.25","16.5","16.12","7.59","223400"
"MHO","1994-03-04","16.0","16.38","16.0","7.65","35800"
"MHO","1994-03-07","16.38","16.38","16.0","7.53","4200"
"MHO","1994-03-08","16.0","16.0","15.88","7.47","14000"
"MHO","1994-03-09","15.75","16.0","15.75","7.41","22200"
"MHO","1994-03-10","15.62","15.75","15.38","7.24","10800"
"MHO","1994-03-11","15.38","15.5","15.25","7.3","45400"
"MHO","1994-03-14","15.38","15.5","15.25","7.18","18600"
"MHO","1994-03-15","15.25","15.5","15.25","7.3","7200"
"MHO","1994-03-16","15.25","15.5","15.25","7.3","50800"
"MHO","1994-03-17","15.75","16.62","15.75","7.65","145400"
"MHO","1994-03-18","16.0","16.25","16.0","7.53","17400"
"MHO","1994-03-21","16.12","16.12","15.75","7.41","4200"
"MHO","1994-03-22","15.62","15.62","15.62","7.35","1200"
"MHO","1994-03-23","15.88","16.25","15.88","7.53","36600"
"MHO","1994-03-24","16.0","16.12","15.88","7.59","23600"
"MHO","1994-03-25","16.0","16.25","15.88","7.53","133400"
"MHO","1994-03-28","15.75","15.75","15.62","7.41","20400"
"MHO","1994-03-29","15.62","15.62","15.38","7.24","6800"
"MHO","1994-03-30","15.12","15.12","14.75","7.0","160000"
"MHO","1994-03-31","15.0","15.0","14.75","6.94","43800"
"MHO","1994-04-04","14.5","14.62","14.12","6.71","76400"
