"symbol","date","open","high","low","close","volume"
"MIE","2013-03-26","20.0","20.02","20.0","18.38","0"
"MIE","2013-03-27","20.01","20.25","20.0","18.61","246500"
"MIE","2013-03-28","20.03","20.25","20.03","18.56","83900"
"MIE","2013-04-01","20.24","20.33","20.22","18.64","24700"
"MIE","2013-04-02","20.2","20.48","20.2","18.79","52100"
"MIE","2013-04-03","20.48","20.6","20.31","18.69","63200"
"MIE","2013-04-04","20.5","20.94","20.18","18.61","107700"
"MIE","2013-04-05","20.5","20.5","20.25","18.79","69600"
"MIE","2013-04-08","20.57","20.57","20.18","18.65","28400"
"MIE","2013-04-09","20.4","20.45","20.31","18.74","19600"
"MIE","2013-04-10","20.44","20.45","20.35","18.74","44100"
"MIE","2013-04-11","20.4","20.45","20.35","18.75","29300"
"MIE","2013-04-12","20.47","20.64","20.36","18.79","113100"
"MIE","2013-04-15","20.55","20.6","20.36","18.72","47000"
"MIE","2013-04-16","20.45","20.78","20.44","19.04","55600"
"MIE","2013-04-17","20.64","20.87","20.55","19.16","44500"
"MIE","2013-04-18","20.72","20.83","20.7","19.06","25300"
"MIE","2013-04-19","20.85","20.85","20.33","18.73","50200"
"MIE","2013-04-22","20.66","20.66","20.26","18.62","60500"
"MIE","2013-04-23","20.36","20.36","20.19","18.63","23500"
"MIE","2013-04-24","20.17","20.22","20.02","18.42","54300"
"MIE","2013-04-25","20.05","20.1","20.0","18.38","61800"
"MIE","2013-04-26","20.01","20.09","20.0","18.42","27900"
"MIE","2013-04-29","20.0","20.03","20.0","18.38","298400"
"MIE","2013-04-30","20.0","20.06","20.0","18.39","60000"
"MIE","2013-05-01","20.05","20.09","20.01","18.44","27700"
"MIE","2013-05-02","20.02","20.29","20.02","18.64","37800"
"MIE","2013-05-03","20.29","20.48","20.15","18.82","22100"
"MIE","2013-05-06","20.48","20.7","20.41","19.02","63800"
"MIE","2013-05-07","20.5","20.54","20.25","18.61","91500"
"MIE","2013-05-08","20.4","20.48","20.33","18.82","55300"
"MIE","2013-05-09","20.47","20.7","20.1","18.84","70600"
"MIE","2013-05-10","20.4","20.54","20.16","18.66","96600"
"MIE","2013-05-13","20.44","20.55","20.3","18.84","20500"
"MIE","2013-05-14","20.5","20.73","20.37","18.72","64200"
"MIE","2013-05-15","20.47","20.6","20.4","18.9","25900"
"MIE","2013-05-16","20.62","20.8","20.51","18.87","88200"
"MIE","2013-05-17","20.68","20.73","20.4","18.78","70600"
"MIE","2013-05-20","20.58","20.69","20.47","18.84","26000"
"MIE","2013-05-21","20.61","20.62","20.51","18.87","60400"
"MIE","2013-05-22","20.64","20.82","20.56","19.08","64900"
"MIE","2013-05-23","20.69","20.85","20.66","19.14","47300"
"MIE","2013-05-24","20.85","21.11","20.76","19.34","57200"
"MIE","2013-05-28","21.05","21.18","20.25","18.92","73700"
"MIE","2013-05-29","20.49","20.86","20.49","19.09","28500"
"MIE","2013-05-30","20.85","20.9","20.31","18.68","35300"
"MIE","2013-05-31","20.43","20.45","20.07","18.44","26900"
"MIE","2013-06-03","20.03","20.2","19.7","18.27","40700"
"MIE","2013-06-04","19.81","19.97","19.41","18.17","51000"
"MIE","2013-06-05","19.88","19.9","19.7","18.21","10500"
"MIE","2013-06-06","19.85","20.08","19.52","18.39","29600"
"MIE","2013-06-07","19.87","20.05","19.86","18.42","16300"
"MIE","2013-06-10","19.94","20.42","19.94","18.45","51600"
"MIE","2013-06-11","20.08","20.08","19.54","18.14","45400"
"MIE","2013-06-12","19.7","20.0","19.52","18.33","25700"
"MIE","2013-06-13","20.0","20.18","19.8","18.47","25900"
"MIE","2013-06-14","20.0","20.1","19.92","18.46","21900"
"MIE","2013-06-17","20.25","20.51","20.07","18.5","50500"
"MIE","2013-06-18","20.06","20.1","19.73","18.46","5000"
"MIE","2013-06-19","19.85","20.09","19.8","18.71","33000"
"MIE","2013-06-20","20.0","20.0","18.98","17.94","70000"
"MIE","2013-06-21","19.08","19.35","18.68","17.79","37200"
"MIE","2013-06-24","18.84","19.29","18.0","17.78","40200"
"MIE","2013-06-25","19.36","19.57","18.65","17.46","41800"
"MIE","2013-06-26","18.95","19.46","18.95","18.13","32400"
"MIE","2013-06-27","19.62","19.82","19.12","17.87","17600"
"MIE","2013-06-28","19.62","19.8","19.46","18.3","58300"
"MIE","2013-07-01","19.61","19.76","19.44","18.35","25400"
"MIE","2013-07-02","19.66","19.75","19.46","18.21","16000"
"MIE","2013-07-03","19.68","19.92","19.6","18.44","10200"
"MIE","2013-07-05","19.75","19.83","19.46","18.34","11000"
"MIE","2013-07-08","19.73","19.85","19.6","18.41","19900"
"MIE","2013-07-09","19.82","19.83","19.33","18.11","38100"
"MIE","2013-07-10","19.36","19.72","19.3","18.34","21600"
"MIE","2013-07-11","19.6","20.15","19.4","18.67","39700"
"MIE","2013-07-12","19.91","20.0","19.74","18.58","27600"
"MIE","2013-07-15","19.95","19.97","19.52","18.6","25000"
"MIE","2013-07-16","19.83","19.89","19.44","18.52","38300"
"MIE","2013-07-17","19.88","19.99","19.7","18.62","56600"
"MIE","2013-07-18","19.82","19.93","19.41","18.48","41200"
"MIE","2013-07-19","19.87","19.95","19.67","18.36","63000"
"MIE","2013-07-22","19.65","19.88","19.41","18.21","29100"
"MIE","2013-07-23","19.48","19.8","19.48","18.27","33500"
"MIE","2013-07-24","19.8","19.8","19.55","18.48","45500"
"MIE","2013-07-25","19.8","19.8","19.55","18.3","25100"
"MIE","2013-07-26","19.56","19.8","19.56","18.35","27800"
"MIE","2013-07-29","19.76","19.93","19.6","18.39","8400"
"MIE","2013-07-30","19.66","19.69","19.55","18.31","5400"
"MIE","2013-07-31","19.62","19.81","19.37","18.37","63300"
"MIE","2013-08-01","19.69","19.86","19.53","18.43","52100"
"MIE","2013-08-02","19.75","19.8","19.57","18.27","30700"
"MIE","2013-08-05","19.69","19.8","19.5","18.22","31400"
"MIE","2013-08-06","19.64","19.75","19.5","18.32","39300"
"MIE","2013-08-07","19.6","19.72","19.51","18.23","37100"
"MIE","2013-08-08","19.63","19.71","19.51","18.3","23900"
"MIE","2013-08-09","19.54","19.78","19.5","18.33","34400"
"MIE","2013-08-12","19.5","19.62","19.17","18.06","51500"
"MIE","2013-08-13","19.25","19.31","19.08","17.87","27000"
"MIE","2013-08-14","19.19","19.56","18.71","17.96","33500"
"MIE","2013-08-15","19.25","19.25","18.41","17.34","97000"
"MIE","2013-08-16","19.03","19.19","18.51","17.28","55400"
"MIE","2013-08-19","18.47","18.71","18.15","16.94","56200"
"MIE","2013-08-20","18.05","18.05","17.47","16.53","117900"
"MIE","2013-08-21","17.88","18.0","17.53","16.78","49400"
"MIE","2013-08-22","17.81","18.15","17.71","16.94","99500"
"MIE","2013-08-23","18.23","18.61","18.23","17.16","40900"
"MIE","2013-08-26","18.5","18.65","18.3","17.1","38800"
"MIE","2013-08-27","18.44","18.53","17.51","16.72","126600"
"MIE","2013-08-28","17.89","18.5","17.81","17.16","61700"
"MIE","2013-08-29","18.48","18.5","18.2","17.13","25300"
"MIE","2013-08-30","18.4","18.69","18.35","17.4","16900"
"MIE","2013-09-03","18.65","18.65","18.27","17.26","50900"
"MIE","2013-09-04","18.59","18.65","18.02","16.99","66100"
"MIE","2013-09-05","18.26","18.26","17.51","16.52","113600"
"MIE","2013-09-06","17.98","18.04","17.58","16.67","59600"
"MIE","2013-09-09","17.72","17.96","17.7","16.75","69700"
"MIE","2013-09-10","18.05","18.05","17.64","16.78","63500"
"MIE","2013-09-11","18.0","18.23","17.83","16.69","39900"
"MIE","2013-09-12","17.81","17.99","17.72","16.62","71700"
"MIE","2013-09-13","17.89","17.92","17.68","16.61","57500"
"MIE","2013-09-16","17.97","18.15","17.68","16.69","67500"
"MIE","2013-09-17","17.91","18.14","17.69","16.61","107600"
"MIE","2013-09-18","17.87","17.97","17.54","16.75","73000"
"MIE","2013-09-19","17.78","17.97","17.58","17.07","81700"
"MIE","2013-09-20","17.97","17.97","17.51","16.75","72400"
"MIE","2013-09-23","17.64","17.69","17.42","16.64","93000"
"MIE","2013-09-24","17.52","17.54","17.23","16.47","96800"
"MIE","2013-09-25","17.36","17.44","17.26","16.52","75200"
"MIE","2013-09-26","17.5","17.6","17.33","16.55","73000"
"MIE","2013-09-27","17.49","17.49","17.26","16.52","65900"
"MIE","2013-09-30","17.4","17.4","17.18","16.33","73000"
"MIE","2013-10-01","17.18","17.5","17.04","16.63","159500"
"MIE","2013-10-02","17.41","17.63","17.21","16.67","96700"
"MIE","2013-10-03","17.65","17.95","17.27","16.49","54500"
"MIE","2013-10-04","17.44","17.44","17.13","16.32","58800"
"MIE","2013-10-07","17.16","17.29","17.06","16.29","59800"
"MIE","2013-10-08","17.2","17.2","16.68","15.96","82400"
"MIE","2013-10-09","16.89","16.9","16.47","15.85","150800"
"MIE","2013-10-10","16.75","17.03","16.53","15.89","179800"
"MIE","2013-10-11","16.8","16.8","16.58","15.94","82700"
"MIE","2013-10-14","16.88","16.88","16.52","15.9","104500"
"MIE","2013-10-15","16.73","16.75","15.92","15.21","210900"
"MIE","2013-10-16","16.07","16.42","15.92","15.38","362900"
"MIE","2013-10-17","16.11","17.4","16.11","16.52","240000"
"MIE","2013-10-18","17.38","17.38","17.04","16.34","74000"
"MIE","2013-10-21","17.2","17.98","17.0","16.96","190000"
"MIE","2013-10-22","18.0","18.0","17.36","16.7","129100"
"MIE","2013-10-23","17.6","17.99","17.37","17.0","98900"
