"symbol","date","open","high","low","close","volume"
"MJCO","2015-06-29","4.44","5.27","4.44","4.92","4961"
"MJCO","2015-06-30","5.41","5.6","5.26","5.26","8999"
"MJCO","2015-07-01","5.9","5.9","5.3","5.45","17424"
"MJCO","2015-07-02","5.35","5.39","5.05","5.16","3345"
"MJCO","2015-07-06","5.09","5.09","5.05","5.05","1100"
"MJCO","2015-07-07","5.01","5.01","4.84","4.84","2922"
"MJCO","2015-07-08","4.75","4.75","4.61","4.65","6555"
"MJCO","2015-07-09","4.64","4.75","4.45","4.74","12406"
"MJCO","2015-07-10","4.75","5.15","4.74","5.05","7835"
"MJCO","2015-07-13","5.02","5.17","5.02","5.05","1093"
"MJCO","2015-07-14","5.18","5.18","5.18","5.18","740"
"MJCO","2015-07-15","5.1","5.19","5.1","5.19","1148"
"MJCO","2015-07-16","5.05","5.05","5.05","5.05","216"
"MJCO","2015-07-17","5.03","5.03","5.0","5.01","23777"
"MJCO","2015-07-20","4.65","4.65","4.5","4.5","3333"
"MJCO","2015-07-21","4.6","4.63","4.57","4.6","2848"
"MJCO","2015-07-22","4.63","4.63","4.63","4.63","1157"
"MJCO","2015-07-23","4.52","5.3","4.52","5.3","8759"
"MJCO","2015-07-24","4.85","4.86","4.85","4.86","1530"
"MJCO","2015-07-27","5.01","5.01","4.7","5.0","2844"
"MJCO","2015-07-28","4.73","5.0","4.73","5.0","1456"
"MJCO","2015-07-29","5.01","5.01","4.91","5.01","3279"
"MJCO","2015-07-30","5.01","5.01","5.01","5.01","200"
"MJCO","2015-07-31","4.94","5.0","4.92","4.92","2411"
"MJCO","2015-08-03","4.91","4.91","4.91","4.91","174"
"MJCO","2015-08-04","4.93","4.93","4.91","4.91","1814"
"MJCO","2015-08-05","5.0","5.05","4.94","5.05","3905"
"MJCO","2015-08-07","5.14","5.14","5.1","5.1","691"
"MJCO","2015-08-10","4.9","4.9","4.9","4.9","400"
"MJCO","2015-08-11","4.85","4.86","4.85","4.85","1665"
"MJCO","2015-08-12","4.97","4.97","4.92","4.92","617"
"MJCO","2015-08-13","4.91","4.91","4.86","4.86","548"
"MJCO","2015-08-14","4.86","4.86","4.86","4.86","481"
"MJCO","2015-08-17","4.85","4.85","4.75","4.75","2241"
"MJCO","2015-08-18","4.73","5.0","4.7","5.0","18510"
"MJCO","2015-08-19","4.86","5.0","4.86","4.9","3253"
"MJCO","2015-08-20","4.87","4.87","4.6","4.7","13294"
"MJCO","2015-08-21","4.7","4.71","4.58","4.7","2810"
"MJCO","2015-08-24","4.71","4.71","4.5","4.5","4808"
"MJCO","2015-08-25","4.7","5.1","4.7","5.0","16283"
"MJCO","2015-08-26","4.91","4.91","4.85","4.9","2200"
"MJCO","2015-08-27","4.98","5.02","4.9","4.9","200"
"MJCO","2015-08-28","4.9","5.0","4.85","4.85","391"
"MJCO","2015-08-31","4.9","4.9","4.72","4.83","1027"
"MJCO","2015-09-01","4.9","4.9","4.73","4.9","6342"
"MJCO","2015-09-02","4.9","4.95","4.9","4.91","3869"
"MJCO","2015-09-03","4.97","4.97","4.94","4.95","1301"
"MJCO","2015-09-04","4.95","4.95","4.82","4.95","746"
"MJCO","2015-09-08","4.82","4.86","4.7","4.7","2997"
"MJCO","2015-09-09","4.83","4.83","4.56","4.56","3409"
"MJCO","2015-09-10","4.53","4.69","4.53","4.61","2850"
"MJCO","2015-09-11","4.55","4.69","4.55","4.6","7776"
"MJCO","2015-09-14","4.68","4.72","4.67","4.67","5918"
"MJCO","2015-09-15","4.85","4.87","4.8","4.8","6300"
"MJCO","2015-09-16","4.94","4.95","4.82","4.93","2818"
"MJCO","2015-09-17","4.82","5.0","4.82","4.9","4868"
"MJCO","2015-09-18","4.84","6.08","4.6","6.08","122628"
"MJCO","2015-09-21","5.88","5.88","5.4","5.55","23232"
"MJCO","2015-09-22","5.45","5.6","5.33","5.33","11277"
"MJCO","2015-09-23","5.3","5.4","4.71","4.86","15162"
"MJCO","2015-09-24","4.7","4.8","4.7","4.76","8411"
"MJCO","2015-09-25","4.74","4.89","4.74","4.75","4439"
"MJCO","2015-09-29","4.85","4.85","4.71","4.71","500"
"MJCO","2015-09-30","4.84","4.84","4.73","4.73","4055"
"MJCO","2015-10-01","4.86","4.86","4.7","4.7","2050"
"MJCO","2015-10-02","4.84","4.84","4.72","4.74","593"
"MJCO","2015-10-05","4.77","4.77","4.59","4.65","4773"
"MJCO","2015-10-06","4.8","4.81","4.73","4.81","1805"
"MJCO","2015-10-08","4.9","4.9","4.9","4.9","517"
"MJCO","2015-10-09","4.92","4.92","4.92","4.92","200"
"MJCO","2015-10-12","4.8","4.8","4.65","4.78","2239"
"MJCO","2015-10-13","4.79","4.79","4.79","4.79","2080"
"MJCO","2015-10-16","4.65","4.67","4.65","4.67","2319"
"MJCO","2015-10-20","4.82","4.82","4.82","4.82","116"
"MJCO","2015-10-21","4.81","4.81","4.81","4.81","1054"
"MJCO","2015-10-22","4.83","4.86","4.83","4.86","1195"
"MJCO","2015-10-26","4.81","4.81","4.8","4.8","509"
