"symbol","date","open","high","low","close","volume"
"MMS","1997-06-13","19.25","19.75","18.0","4.11","16082400"
"MMS","1997-06-16","18.25","18.38","18.0","4.11","1424000"
"MMS","1997-06-17","18.0","18.12","17.62","4.14","1881600"
"MMS","1997-06-18","18.0","18.12","17.62","4.11","636800"
"MMS","1997-06-19","17.75","17.75","17.25","3.97","927600"
"MMS","1997-06-20","17.62","18.12","17.5","4.14","598000"
"MMS","1997-06-23","18.0","18.0","17.62","4.02","293600"
"MMS","1997-06-24","17.75","17.75","17.38","3.97","184000"
"MMS","1997-06-25","17.5","17.88","17.38","4.05","531200"
"MMS","1997-06-26","17.75","17.88","17.5","4.02","118400"
"MMS","1997-06-27","17.62","17.88","17.5","4.08","388400"
"MMS","1997-06-30","17.62","18.0","17.0","4.08","455600"
"MMS","1997-07-01","17.88","18.56","17.88","4.2","117600"
"MMS","1997-07-02","18.62","19.25","18.62","4.4","576800"
"MMS","1997-07-03","19.12","19.12","19.0","4.37","500000"
"MMS","1997-07-07","19.12","19.25","19.06","4.37","174400"
"MMS","1997-07-08","19.5","19.75","19.5","4.48","392000"
"MMS","1997-07-09","19.88","20.62","19.88","4.71","470000"
"MMS","1997-07-10","20.75","23.25","20.75","5.02","925600"
"MMS","1997-07-11","22.0","22.0","21.5","4.91","140800"
"MMS","1997-07-14","21.75","22.0","21.62","5.02","589600"
"MMS","1997-07-15","22.0","22.5","22.0","5.11","124400"
"MMS","1997-07-16","22.56","22.62","22.25","5.14","773600"
"MMS","1997-07-17","22.62","23.75","22.5","5.37","556800"
"MMS","1997-07-18","23.25","23.25","22.88","5.28","180400"
"MMS","1997-07-21","23.12","23.25","23.0","5.28","132800"
"MMS","1997-07-22","23.06","23.06","22.81","5.24","262400"
"MMS","1997-07-23","22.88","24.5","22.81","5.48","252000"
"MMS","1997-07-24","24.25","24.38","24.06","5.49","96000"
"MMS","1997-07-25","24.06","24.19","23.75","5.52","49600"
"MMS","1997-07-28","24.25","24.25","23.75","5.42","14400"
"MMS","1997-07-29","23.62","23.62","23.38","5.34","8400"
"MMS","1997-07-30","23.25","23.31","22.94","5.24","27200"
"MMS","1997-07-31","22.88","23.12","22.62","5.28","432400"
"MMS","1997-08-01","23.25","23.25","22.75","5.28","160000"
"MMS","1997-08-04","23.0","23.38","23.0","5.34","78800"
"MMS","1997-08-05","23.44","23.62","23.38","5.39","22000"
