"symbol","date","open","high","low","close","volume"
"MMU","1992-07-17","12.0","12.0","11.62","2.56","180600"
"MMU","1992-07-20","11.88","12.0","11.88","2.56","96800"
"MMU","1992-07-21","12.0","12.0","11.88","2.59","73300"
"MMU","1992-07-22","12.0","12.0","11.88","2.56","84300"
"MMU","1992-07-23","11.88","12.0","11.88","2.59","43500"
"MMU","1992-07-24","12.0","12.0","11.88","2.59","73600"
"MMU","1992-07-27","12.0","12.0","11.88","2.56","37500"
"MMU","1992-07-28","11.88","12.0","11.88","2.59","84100"
"MMU","1992-07-29","12.0","12.25","11.88","2.64","119800"
"MMU","1992-07-30","12.12","12.25","12.12","2.64","85100"
"MMU","1992-07-31","12.12","12.25","12.12","2.64","103900"
"MMU","1992-08-03","12.25","12.38","12.12","2.64","37800"
"MMU","1992-08-04","12.25","12.38","12.25","2.67","65000"
"MMU","1992-08-05","12.38","12.38","12.25","2.67","49500"
"MMU","1992-08-06","12.38","12.38","12.25","2.67","77500"
"MMU","1992-08-07","12.38","12.5","12.38","2.69","36200"
"MMU","1992-08-10","12.38","12.5","12.38","2.67","59200"
"MMU","1992-08-11","12.5","12.5","12.38","2.67","60100"
"MMU","1992-08-12","12.38","12.5","12.38","2.69","79100"
"MMU","1992-08-13","12.5","12.5","12.38","2.67","33900"
"MMU","1992-08-14","12.5","12.5","12.38","2.67","104700"
"MMU","1992-08-17","12.25","12.38","12.25","2.64","39600"
"MMU","1992-08-18","12.38","12.38","12.25","2.64","56900"
"MMU","1992-08-19","12.38","12.38","12.25","2.64","47300"
"MMU","1992-08-20","12.25","12.38","12.25","2.67","27400"
"MMU","1992-08-21","12.38","12.38","12.25","2.67","55700"
"MMU","1992-08-24","12.38","12.38","12.25","2.64","15700"
"MMU","1992-08-25","12.38","12.38","12.25","2.67","102800"
"MMU","1992-08-26","12.38","12.38","12.25","2.67","55000"
"MMU","1992-08-27","12.38","12.38","12.25","2.67","41300"
"MMU","1992-08-28","12.38","12.38","12.25","2.64","65200"
"MMU","1992-08-31","12.38","12.38","12.25","2.67","17700"
"MMU","1992-09-01","12.25","12.25","12.12","2.64","16800"
"MMU","1992-09-02","12.25","12.25","12.12","2.61","23400"
"MMU","1992-09-03","12.12","12.25","12.12","2.64","32200"
"MMU","1992-09-04","12.25","12.25","12.12","2.64","16200"
"MMU","1992-09-08","12.12","12.25","12.12","2.61","18200"
"MMU","1992-09-09","12.25","12.25","12.12","2.64","16400"
"MMU","1992-09-10","12.25","12.25","12.12","2.61","16600"
"MMU","1992-09-11","12.25","12.25","12.12","2.64","20700"
"MMU","1992-09-14","12.25","12.25","12.12","2.64","24500"
"MMU","1992-09-15","12.25","12.25","12.12","2.64","25600"
"MMU","1992-09-16","12.25","12.25","12.12","2.61","28600"
"MMU","1992-09-17","12.12","12.25","12.0","2.63","56800"
"MMU","1992-09-18","12.12","12.12","12.0","2.63","40000"
"MMU","1992-09-21","12.0","12.12","11.88","2.63","37700"
"MMU","1992-09-22","12.0","12.12","11.88","2.57","19200"
"MMU","1992-09-23","11.88","11.88","11.88","2.57","23000"
"MMU","1992-09-24","11.88","12.0","11.75","2.6","22500"
"MMU","1992-09-25","11.88","12.0","11.75","2.57","17100"
"MMU","1992-09-28","12.0","12.0","11.88","2.6","31000"
"MMU","1992-09-29","12.0","12.0","11.88","2.6","19200"
"MMU","1992-09-30","12.0","12.0","12.0","2.6","23300"
"MMU","1992-10-01","11.88","12.12","11.88","2.6","71000"
"MMU","1992-10-02","12.0","12.12","12.0","2.6","120500"
"MMU","1992-10-05","12.12","12.25","12.0","2.63","75800"
"MMU","1992-10-06","12.12","12.25","12.0","2.6","36600"
"MMU","1992-10-07","12.12","12.12","12.0","2.6","24200"
"MMU","1992-10-08","12.12","12.12","12.0","2.63","49500"
"MMU","1992-10-09","12.12","12.12","12.0","2.63","32300"
"MMU","1992-10-12","12.12","12.12","12.0","2.63","37700"
"MMU","1992-10-13","12.12","12.12","12.0","2.6","13300"
"MMU","1992-10-14","12.12","12.12","11.38","2.63","24200"
"MMU","1992-10-15","12.12","12.12","11.88","2.63","29900"
"MMU","1992-10-16","12.12","12.12","12.0","2.63","27700"
"MMU","1992-10-19","12.0","12.12","11.88","2.64","57300"
"MMU","1992-10-20","12.0","12.0","11.88","2.64","58900"
"MMU","1992-10-21","11.88","12.0","11.88","2.61","32300"
"MMU","1992-10-22","11.88","11.88","11.62","2.58","34000"
"MMU","1992-10-23","11.75","11.88","11.62","2.56","23400"
"MMU","1992-10-26","11.75","11.75","11.5","2.56","36100"
"MMU","1992-10-27","11.62","11.75","11.62","2.56","15600"
