"symbol","date","open","high","low","close","volume"
"MNGA","2008-11-19","0.08","0.08","0.08","0.8","800"
"MNGA","2008-11-20","0.08","0.08","0.08","0.8","0"
"MNGA","2008-11-21","0.06","0.06","0.06","0.6","2000"
"MNGA","2008-11-24","0.08","0.08","0.08","0.8","700"
"MNGA","2008-11-25","0.06","0.06","0.06","0.6","200"
"MNGA","2008-11-26","0.06","0.06","0.06","0.6","1400"
"MNGA","2008-11-28","0.06","0.06","0.06","0.6","0"
"MNGA","2008-12-01","0.06","0.06","0.05","0.6","2500"
"MNGA","2008-12-02","0.05","0.05","0.05","0.5","1500"
"MNGA","2008-12-03","0.05","0.05","0.05","0.5","500"
"MNGA","2008-12-04","0.05","0.06","0.05","0.6","1200"
"MNGA","2008-12-05","0.06","0.06","0.06","0.6","1000"
"MNGA","2008-12-08","0.06","0.06","0.06","0.6","0"
"MNGA","2008-12-09","0.06","0.06","0.05","0.5","4300"
"MNGA","2008-12-10","0.05","0.06","0.05","0.6","2100"
"MNGA","2008-12-11","0.06","0.06","0.06","0.6","2300"
"MNGA","2008-12-12","0.05","0.05","0.05","0.5","9800"
"MNGA","2008-12-15","0.05","0.05","0.05","0.5","0"
"MNGA","2008-12-16","0.05","0.05","0.05","0.5","500"
"MNGA","2008-12-17","0.05","0.05","0.05","0.5","0"
"MNGA","2008-12-18","0.05","0.05","0.05","0.5","500"
"MNGA","2008-12-19","0.05","0.05","0.05","0.5","2700"
"MNGA","2008-12-22","0.05","0.05","0.05","0.5","500"
"MNGA","2008-12-23","0.05","0.05","0.05","0.5","2500"
"MNGA","2008-12-24","0.05","0.05","0.05","0.5","0"
"MNGA","2008-12-26","0.05","0.05","0.05","0.5","2200"
"MNGA","2008-12-29","0.05","0.05","0.04","0.4","6600"
"MNGA","2008-12-30","0.05","0.05","0.04","0.4","9100"
"MNGA","2008-12-31","0.05","0.05","0.04","0.4","8900"
"MNGA","2009-01-02","0.04","0.04","0.04","0.4","0"
"MNGA","2009-01-05","0.05","0.05","0.04","0.4","17700"
"MNGA","2009-01-06","0.05","0.05","0.05","0.5","15800"
"MNGA","2009-01-07","0.05","0.05","0.05","0.5","6500"
"MNGA","2009-01-08","0.04","0.04","0.04","0.4","500"
"MNGA","2009-01-09","0.04","0.04","0.04","0.4","500"
"MNGA","2009-01-12","0.04","0.04","0.04","0.4","15200"
"MNGA","2009-01-13","0.04","0.04","0.04","0.4","0"
"MNGA","2009-01-14","0.04","0.04","0.04","0.4","0"
"MNGA","2009-01-15","0.04","0.04","0.04","0.4","1000"
"MNGA","2009-01-16","0.05","0.05","0.04","0.4","2100"
"MNGA","2009-01-20","0.04","0.04","0.04","0.4","8700"
"MNGA","2009-01-21","0.04","0.04","0.04","0.4","0"
"MNGA","2009-01-22","0.04","0.04","0.04","0.4","1000"
"MNGA","2009-01-23","0.04","0.05","0.04","0.4","13100"
"MNGA","2009-01-26","0.04","0.04","0.04","0.4","0"
"MNGA","2009-01-27","0.05","0.05","0.05","0.5","200"
"MNGA","2009-01-28","0.05","0.05","0.05","0.5","1200"
"MNGA","2009-01-29","0.05","0.05","0.05","0.5","200"
"MNGA","2009-01-30","0.05","0.05","0.05","0.5","1400"
"MNGA","2009-02-02","0.05","0.05","0.05","0.5","0"
"MNGA","2009-02-03","0.05","0.05","0.05","0.5","0"
"MNGA","2009-02-04","0.05","0.05","0.05","0.5","0"
"MNGA","2009-02-05","0.05","0.05","0.05","0.5","0"
"MNGA","2009-02-06","0.05","0.05","0.05","0.5","0"
"MNGA","2009-02-09","0.04","0.04","0.04","0.4","600"
"MNGA","2009-02-10","0.04","0.04","0.04","0.4","1000"
"MNGA","2009-02-11","0.04","0.04","0.04","0.4","0"
"MNGA","2009-02-12","0.04","0.04","0.04","0.4","0"
"MNGA","2009-02-13","0.04","0.04","0.04","0.4","500"
"MNGA","2009-02-17","0.04","0.04","0.04","0.4","1800"
"MNGA","2009-02-18","0.04","0.05","0.04","0.5","3500"
"MNGA","2009-02-19","0.05","0.05","0.05","0.5","600"
"MNGA","2009-02-20","0.06","0.07","0.06","0.7","1500"
"MNGA","2009-02-23","0.07","0.07","0.07","0.7","1500"
"MNGA","2009-02-24","0.07","0.07","0.07","0.7","0"
"MNGA","2009-02-25","0.07","0.07","0.07","0.7","4800"
"MNGA","2009-02-26","0.07","0.07","0.07","0.7","2500"
"MNGA","2009-02-27","0.07","0.07","0.07","0.7","5000"
"MNGA","2009-03-02","0.07","0.07","0.07","0.7","0"
"MNGA","2009-03-03","0.07","0.07","0.07","0.7","200"
"MNGA","2009-03-04","0.07","0.07","0.07","0.7","500"
"MNGA","2009-03-05","0.07","0.07","0.07","0.7","2000"
"MNGA","2009-03-06","0.07","0.08","0.07","0.7","3300"
"MNGA","2009-03-09","0.07","0.09","0.07","0.9","800"
"MNGA","2009-03-10","0.09","0.09","0.09","0.9","1900"
"MNGA","2009-03-11","0.1","0.11","0.1","1.0","7700"
"MNGA","2009-03-12","0.13","0.13","0.1","1.2","4900"
"MNGA","2009-03-13","0.14","0.14","0.13","1.3","5100"
"MNGA","2009-03-16","0.14","0.15","0.13","1.3","5200"
"MNGA","2009-03-17","0.13","0.14","0.13","1.4","3200"
"MNGA","2009-03-18","0.13","0.14","0.13","1.4","2000"
"MNGA","2009-03-19","0.14","0.14","0.14","1.4","500"
"MNGA","2009-03-20","0.12","0.12","0.12","1.2","1500"
"MNGA","2009-03-23","0.12","0.12","0.12","1.2","0"
"MNGA","2009-03-24","0.12","0.12","0.12","1.2","100"
"MNGA","2009-03-25","0.12","0.12","0.12","1.2","0"
"MNGA","2009-03-26","0.13","0.13","0.1","1.0","2500"
"MNGA","2009-03-27","0.11","0.12","0.11","1.2","1000"
"MNGA","2009-03-30","0.12","0.12","0.12","1.2","0"
"MNGA","2009-03-31","0.12","0.12","0.12","1.2","1100"
"MNGA","2009-04-01","0.12","0.12","0.12","1.2","0"
"MNGA","2009-04-02","0.12","0.12","0.12","1.2","400"
"MNGA","2009-04-03","0.12","0.12","0.12","1.2","1300"
"MNGA","2009-04-06","0.1","0.1","0.1","1.0","0"
"MNGA","2009-04-07","0.1","0.1","0.1","1.0","100"
"MNGA","2009-04-08","0.11","0.11","0.11","1.1","200"
"MNGA","2009-04-09","0.11","0.11","0.11","1.1","2000"
"MNGA","2009-04-13","0.12","0.12","0.12","1.2","1000"
"MNGA","2009-04-14","0.12","0.12","0.12","1.2","0"
"MNGA","2009-04-15","0.12","0.12","0.12","1.2","200"
"MNGA","2009-04-16","0.1","0.1","0.09","0.9","2900"
"MNGA","2009-04-17","0.07","0.12","0.07","1.2","1000"
"MNGA","2009-04-20","0.12","0.12","0.12","1.2","0"
"MNGA","2009-04-21","0.12","0.12","0.12","1.2","0"
"MNGA","2009-04-22","0.07","0.1","0.07","0.9","900"
"MNGA","2009-04-23","0.09","0.09","0.09","0.9","0"
"MNGA","2009-04-24","0.11","0.12","0.11","1.2","1900"
"MNGA","2009-04-27","0.11","0.11","0.11","1.1","100"
"MNGA","2009-04-28","0.12","0.13","0.12","1.3","2200"
"MNGA","2009-04-29","0.13","0.13","0.13","1.3","8000"
"MNGA","2009-04-30","0.14","0.14","0.14","1.4","700"
"MNGA","2009-05-01","0.2","0.2","0.2","2.0","1000"
"MNGA","2009-05-04","0.2","0.2","0.2","2.0","0"
"MNGA","2009-05-05","0.21","0.23","0.2","2.1","21800"
"MNGA","2009-05-06","0.25","0.25","0.21","2.1","12300"
"MNGA","2009-05-07","0.21","0.21","0.21","2.1","0"
"MNGA","2009-05-08","0.21","0.21","0.21","2.1","4000"
"MNGA","2009-05-11","0.2","0.2","0.2","2.0","200"
"MNGA","2009-05-12","0.2","0.2","0.2","2.0","0"
"MNGA","2009-05-13","0.2","0.2","0.2","2.0","0"
"MNGA","2009-05-14","0.25","0.25","0.2","2.0","5900"
"MNGA","2009-05-15","0.24","0.24","0.21","2.1","600"
"MNGA","2009-05-18","0.23","0.25","0.1","2.5","3200"
"MNGA","2009-05-19","0.21","0.21","0.21","2.1","700"
"MNGA","2009-05-20","0.18","0.18","0.15","1.5","1200"
"MNGA","2009-05-21","0.18","0.25","0.18","2.4","3700"
"MNGA","2009-05-22","0.2","0.2","0.2","2.0","500"
"MNGA","2009-05-26","0.2","0.2","0.2","2.0","0"
"MNGA","2009-05-27","0.24","0.33","0.22","3.3","3400"
"MNGA","2009-05-28","0.35","0.35","0.33","3.3","400"
"MNGA","2009-05-29","0.35","0.35","0.25","2.8","2300"
"MNGA","2009-06-01","0.35","0.35","0.34","3.4","3700"
"MNGA","2009-06-02","0.35","0.35","0.25","2.7","200"
"MNGA","2009-06-03","0.27","0.27","0.27","2.7","0"
"MNGA","2009-06-04","0.32","0.32","0.25","2.5","3800"
"MNGA","2009-06-05","0.22","0.3","0.22","3.0","600"
"MNGA","2009-06-08","0.31","0.31","0.31","3.1","5100"
"MNGA","2009-06-09","0.32","0.32","0.32","3.2","3100"
"MNGA","2009-06-10","0.32","0.32","0.32","3.2","400"
"MNGA","2009-06-11","0.32","0.35","0.32","3.2","4600"
"MNGA","2009-06-12","0.32","0.32","0.32","3.2","10500"
"MNGA","2009-06-15","0.32","0.32","0.32","3.2","1200"
"MNGA","2009-06-16","0.35","0.39","0.32","3.9","8700"
"MNGA","2009-06-17","0.4","0.51","0.4","4.0","1500"
"MNGA","2009-06-18","0.49","0.49","0.36","3.6","2100"
"MNGA","2009-06-19","0.38","0.4","0.33","3.3","3300"
"MNGA","2009-06-22","0.33","0.42","0.33","4.2","1400"
"MNGA","2009-06-23","0.42","0.42","0.42","4.2","500"
"MNGA","2009-06-24","0.33","0.44","0.33","4.4","700"
"MNGA","2009-06-25","0.35","0.35","0.35","3.5","700"
"MNGA","2009-06-26","0.4","0.4","0.35","4.0","1100"
"MNGA","2009-06-29","0.4","0.4","0.32","3.2","6400"
"MNGA","2009-06-30","0.35","0.35","0.31","3.1","1800"
"MNGA","2009-07-01","0.34","0.34","0.22","3.2","4300"
"MNGA","2009-07-02","0.32","0.41","0.25","4.1","500"
"MNGA","2009-07-06","0.26","0.35","0.26","3.5","10900"
"MNGA","2009-07-07","0.35","0.35","0.35","3.5","0"
"MNGA","2009-07-08","0.35","0.35","0.35","3.5","0"
"MNGA","2009-07-09","0.35","0.35","0.35","3.5","0"
"MNGA","2009-07-10","0.25","0.3","0.24","2.5","2600"
"MNGA","2009-07-13","0.25","0.25","0.25","2.5","300"
"MNGA","2009-07-14","0.18","0.24","0.12","2.1","3600"
"MNGA","2009-07-15","0.2","0.2","0.19","1.9","300"
"MNGA","2009-07-16","0.18","0.18","0.18","1.8","300"
"MNGA","2009-07-17","0.18","0.18","0.18","1.8","200"
"MNGA","2009-07-20","0.18","0.18","0.15","1.5","500"
"MNGA","2009-07-21","0.18","0.18","0.18","1.8","200"
"MNGA","2009-07-22","0.2","0.2","0.2","2.0","600"
"MNGA","2009-07-23","0.2","0.2","0.2","2.0","600"
"MNGA","2009-07-24","0.2","0.2","0.2","2.0","1200"
"MNGA","2009-07-27","0.16","0.37","0.16","3.7","700"
"MNGA","2009-07-28","0.35","0.35","0.33","3.3","300"
"MNGA","2009-07-29","0.33","0.33","0.33","3.3","100"
"MNGA","2009-07-30","0.24","0.25","0.24","2.5","300"
"MNGA","2009-07-31","0.16","0.16","0.16","1.6","2000"
"MNGA","2009-08-03","0.16","0.25","0.16","2.5","1100"
"MNGA","2009-08-04","0.24","0.24","0.17","2.0","3700"
"MNGA","2009-08-05","0.18","0.2","0.17","2.0","1700"
"MNGA","2009-08-06","0.17","0.18","0.16","1.8","3300"
"MNGA","2009-08-07","0.16","0.2","0.16","1.8","11400"
"MNGA","2009-08-10","0.18","0.22","0.18","2.2","8700"
"MNGA","2009-08-11","0.22","0.22","0.18","2.0","4700"
"MNGA","2009-08-12","0.2","0.21","0.16","1.9","4900"
"MNGA","2009-08-13","0.21","0.21","0.19","1.9","700"
"MNGA","2009-08-14","0.2","0.2","0.19","1.9","600"
"MNGA","2009-08-17","0.21","0.22","0.09","2.2","4900"
"MNGA","2009-08-18","0.21","0.22","0.21","2.1","5100"
"MNGA","2009-08-19","0.22","0.22","0.2","2.1","2200"
"MNGA","2009-08-20","0.17","0.22","0.17","2.2","2400"
"MNGA","2009-08-21","0.22","0.29","0.21","2.9","14600"
"MNGA","2009-08-24","0.29","0.45","0.26","4.4","25700"
