"symbol","date","open","high","low","close","volume"
"MNRK","2003-07-16","14.0","14.25","13.35","4.23","117400"
"MNRK","2003-07-17","13.4","13.4","13.4","4.23","0"
"MNRK","2003-07-18","14.0","14.0","13.3","4.19","800"
"MNRK","2003-07-21","13.95","13.95","13.95","4.4","100"
"MNRK","2003-07-22","13.8","14.0","13.8","4.41","3600"
"MNRK","2003-07-23","14.0","14.0","13.8","4.41","8700"
"MNRK","2003-07-24","14.0","14.0","14.0","4.41","0"
"MNRK","2003-07-25","14.25","14.25","13.95","4.41","4600"
"MNRK","2003-07-28","14.25","15.0","14.21","4.48","2600"
"MNRK","2003-07-29","14.15","14.15","14.15","4.46","200"
"MNRK","2003-07-30","14.15","14.15","14.15","4.46","0"
"MNRK","2003-07-31","14.15","14.15","14.15","4.46","0"
"MNRK","2003-08-01","13.76","13.9","13.6","4.34","8600"
"MNRK","2003-08-04","13.85","13.85","13.0","4.1","6000"
"MNRK","2003-08-05","13.75","13.75","13.75","4.34","300"
"MNRK","2003-08-06","14.0","14.0","13.1","4.34","4600"
"MNRK","2003-08-07","13.5","13.5","13.4","4.23","300"
"MNRK","2003-08-08","13.75","13.75","13.75","4.34","100"
"MNRK","2003-08-11","13.4","13.4","13.4","4.23","100"
"MNRK","2003-08-12","13.4","13.4","13.4","4.23","0"
"MNRK","2003-08-13","13.4","13.4","13.4","4.23","0"
"MNRK","2003-08-14","14.0","14.0","14.0","4.41","100"
"MNRK","2003-08-15","13.6","13.75","13.6","4.34","7300"
"MNRK","2003-08-18","13.75","13.75","13.75","4.34","0"
"MNRK","2003-08-19","13.75","13.75","13.75","4.34","0"
"MNRK","2003-08-20","13.75","13.75","13.75","4.34","100"
"MNRK","2003-08-21","13.75","13.75","13.75","4.34","0"
"MNRK","2003-08-22","13.75","13.75","13.75","4.34","0"
"MNRK","2003-08-25","13.6","13.6","13.5","4.26","3300"
"MNRK","2003-08-26","13.5","13.5","13.5","4.26","0"
"MNRK","2003-08-27","13.6","13.75","13.6","4.34","57100"
"MNRK","2003-08-28","13.75","13.75","13.75","4.34","0"
"MNRK","2003-08-29","13.65","13.65","13.65","4.3","12400"
"MNRK","2003-09-02","14.0","14.0","14.0","4.41","2100"
"MNRK","2003-09-03","14.25","14.25","14.25","4.49","100"
"MNRK","2003-09-04","14.25","14.25","14.25","4.49","0"
"MNRK","2003-09-05","14.5","14.5","14.0","4.41","12200"
"MNRK","2003-09-08","13.75","13.76","13.75","4.34","800"
"MNRK","2003-09-09","13.8","13.8","13.8","4.35","1000"
"MNRK","2003-09-10","13.8","13.8","13.8","4.35","0"
"MNRK","2003-09-11","14.55","14.55","13.95","4.4","5100"
"MNRK","2003-09-12","14.0","14.0","13.9","4.41","5100"
"MNRK","2003-09-15","14.0","14.0","14.0","4.41","0"
"MNRK","2003-09-16","14.0","14.0","14.0","4.41","0"
"MNRK","2003-09-17","14.0","14.0","14.0","4.41","0"
"MNRK","2003-09-18","14.0","14.0","14.0","4.41","0"
"MNRK","2003-09-19","14.0","14.0","14.0","4.41","0"
"MNRK","2003-09-22","14.0","14.0","14.0","4.41","0"
"MNRK","2003-09-23","14.0","14.0","14.0","4.41","7900"
"MNRK","2003-09-24","14.25","14.25","14.2","4.48","14800"
"MNRK","2003-09-25","14.0","14.6","14.0","4.57","43300"
"MNRK","2003-09-26","14.5","14.5","14.5","4.57","0"
"MNRK","2003-09-29","14.25","14.5","14.25","4.57","6000"
"MNRK","2003-09-30","14.5","14.5","14.25","4.49","47700"
"MNRK","2003-10-01","14.4","14.4","14.4","4.54","3000"
"MNRK","2003-10-02","14.5","14.5","14.5","4.57","4300"
"MNRK","2003-10-03","14.4","14.5","14.4","4.57","6200"
"MNRK","2003-10-06","14.5","14.5","14.5","4.57","5400"
"MNRK","2003-10-07","14.85","14.85","14.85","4.68","100"
"MNRK","2003-10-08","15.0","15.75","14.95","4.73","15600"
"MNRK","2003-10-09","15.0","15.0","15.0","4.73","0"
"MNRK","2003-10-10","15.0","15.0","15.0","4.73","0"
"MNRK","2003-10-13","15.0","15.0","15.0","4.73","1600"
"MNRK","2003-10-14","15.5","15.5","15.5","4.89","100"
"MNRK","2003-10-15","15.5","15.5","15.5","4.89","800"
"MNRK","2003-10-16","15.5","15.5","15.5","4.89","200"
"MNRK","2003-10-17","15.5","15.5","15.5","4.89","300"
"MNRK","2003-10-20","15.5","15.5","15.5","4.89","0"
"MNRK","2003-10-21","16.0","16.0","16.0","5.05","3300"
"MNRK","2003-10-22","16.0","16.0","16.0","5.05","100"
"MNRK","2003-10-23","15.75","15.75","15.5","4.89","1200"
"MNRK","2003-10-24","15.5","15.5","15.5","4.89","3000"
"MNRK","2003-10-27","15.5","15.5","15.5","4.89","0"
"MNRK","2003-10-28","15.66","16.0","15.66","5.05","24900"
"MNRK","2003-10-29","15.45","16.0","15.45","5.05","9800"
"MNRK","2003-10-30","16.0","16.0","16.0","5.05","0"
"MNRK","2003-10-31","16.0","16.0","16.0","5.05","0"
"MNRK","2003-11-03","16.0","16.0","16.0","5.05","0"
"MNRK","2003-11-04","16.5","16.5","16.0","5.2","6200"
"MNRK","2003-11-05","16.25","16.25","16.0","5.05","2600"
"MNRK","2003-11-06","16.0","16.0","16.0","5.05","0"
"MNRK","2003-11-07","15.75","15.75","15.75","4.97","1000"
"MNRK","2003-11-10","16.0","16.0","16.0","5.05","200"
"MNRK","2003-11-11","16.0","16.0","16.0","5.05","0"
"MNRK","2003-11-12","15.75","15.75","15.75","4.97","100"
"MNRK","2003-11-13","15.75","15.75","15.75","4.97","1000"
"MNRK","2003-11-14","15.75","16.0","15.75","5.05","42700"
"MNRK","2003-11-17","16.0","16.0","16.0","5.05","22500"
"MNRK","2003-11-18","15.8","15.8","15.75","4.97","98800"
"MNRK","2003-11-19","15.91","15.91","15.63","4.93","9400"
"MNRK","2003-11-20","15.65","15.75","15.63","4.97","2600"
"MNRK","2003-11-21","15.55","15.55","15.55","4.9","100"
"MNRK","2003-11-24","15.55","15.55","15.5","4.89","10500"
"MNRK","2003-11-25","15.73","15.8","15.73","4.98","33200"
"MNRK","2003-11-26","15.8","15.8","15.8","4.98","0"
"MNRK","2003-11-28","15.8","15.8","15.8","4.98","0"
"MNRK","2003-12-01","15.7","16.15","15.6","5.09","24400"
"MNRK","2003-12-02","16.1","16.1","16.1","5.08","300"
"MNRK","2003-12-03","16.12","16.22","15.77","5.05","69900"
"MNRK","2003-12-04","15.8","16.0","15.65","5.01","241400"
"MNRK","2003-12-05","15.9","15.9","15.9","5.01","0"
"MNRK","2003-12-08","16.0","16.0","15.8","4.98","5500"
"MNRK","2003-12-09","15.75","15.75","15.75","4.97","1800"
"MNRK","2003-12-10","15.7","15.7","15.6","4.93","31200"
"MNRK","2003-12-11","15.7","15.7","15.7","4.95","100"
"MNRK","2003-12-12","15.7","15.7","15.7","4.95","0"
"MNRK","2003-12-15","15.75","15.75","15.75","4.97","800"
"MNRK","2003-12-16","15.75","15.75","15.75","4.97","0"
"MNRK","2003-12-17","15.75","15.75","15.75","4.97","0"
"MNRK","2003-12-18","16.0","16.1","15.98","5.08","4600"
"MNRK","2003-12-19","15.9","15.9","15.9","5.01","171000"
"MNRK","2003-12-22","15.9","15.9","15.9","5.01","0"
"MNRK","2003-12-23","15.9","16.0","15.75","5.05","12400"
"MNRK","2003-12-24","16.0","16.0","16.0","5.05","2800"
"MNRK","2003-12-26","16.0","16.0","16.0","5.05","0"
"MNRK","2003-12-29","16.0","16.0","16.0","5.05","0"
"MNRK","2003-12-30","16.0","16.0","16.0","5.05","0"
"MNRK","2003-12-31","16.0","16.0","16.0","5.05","0"
