"symbol","date","open","high","low","close","volume"
"MOBL","2014-06-12","10.0","11.26","9.75","11.02","12545000"
"MOBL","2014-06-13","11.39","11.74","10.2","10.3","1085200"
"MOBL","2014-06-16","10.34","10.85","10.3","10.7","463900"
"MOBL","2014-06-17","10.7","10.7","10.0","10.1","623100"
"MOBL","2014-06-18","10.01","10.23","9.85","9.97","497800"
"MOBL","2014-06-19","10.01","10.2","9.75","9.75","598200"
"MOBL","2014-06-20","9.89","10.03","9.73","9.92","268300"
"MOBL","2014-06-23","10.61","10.69","9.76","10.24","550200"
"MOBL","2014-06-24","10.26","10.26","9.9","10.05","185100"
"MOBL","2014-06-25","9.84","10.17","9.84","9.99","124500"
"MOBL","2014-06-26","9.98","9.98","8.89","9.73","744300"
"MOBL","2014-06-27","9.75","9.97","9.43","9.57","196400"
"MOBL","2014-06-30","9.96","9.96","9.37","9.52","119100"
"MOBL","2014-07-01","9.69","9.82","9.4","9.8","171600"
"MOBL","2014-07-02","9.75","10.09","9.75","9.89","164400"
"MOBL","2014-07-03","9.9","9.93","9.75","9.82","76600"
"MOBL","2014-07-07","10.4","11.11","10.01","11.05","1747000"
"MOBL","2014-07-08","10.73","10.95","10.51","10.74","454400"
"MOBL","2014-07-09","10.86","10.96","10.53","10.92","362900"
"MOBL","2014-07-10","10.3","10.6","10.0","10.52","481200"
"MOBL","2014-07-11","10.26","10.4","9.8","9.88","270000"
"MOBL","2014-07-14","9.75","10.12","9.41","9.49","393900"
"MOBL","2014-07-15","9.5","9.6","8.25","8.78","675500"
"MOBL","2014-07-16","8.8","8.98","7.8","8.3","1025900"
"MOBL","2014-07-17","8.16","8.3","8.1","8.17","272400"
"MOBL","2014-07-18","8.15","8.24","7.95","8.05","324300"
"MOBL","2014-07-21","8.02","8.07","7.64","7.75","493800"
"MOBL","2014-07-22","7.85","8.42","7.7","8.42","378400"
"MOBL","2014-07-23","8.45","8.78","8.35","8.56","169400"
"MOBL","2014-07-24","8.82","8.82","8.45","8.69","118400"
"MOBL","2014-07-25","8.87","8.87","8.26","8.4","128300"
"MOBL","2014-07-28","8.35","8.55","8.29","8.3","98400"
"MOBL","2014-07-29","8.35","8.45","8.2","8.39","189400"
"MOBL","2014-07-30","8.48","8.85","8.38","8.5","554500"
