"symbol","date","open","high","low","close","volume"
"MOCO","1989-04-05","12.25","12.25","11.88","1.76","28300"
"MOCO","1989-04-06","11.88","11.88","11.88","1.76","100"
"MOCO","1989-04-07","11.88","12.0","11.88","1.78","8200"
"MOCO","1989-04-10","11.88","12.0","11.88","1.78","25200"
"MOCO","1989-04-11","11.88","12.0","11.88","1.78","16800"
"MOCO","1989-04-12","12.25","12.25","11.88","1.76","2200"
"MOCO","1989-04-13","12.25","12.25","11.88","1.78","17100"
"MOCO","1989-04-14","11.88","12.12","11.88","1.76","2700"
"MOCO","1989-04-17","11.88","11.88","11.88","1.76","8100"
"MOCO","1989-04-18","11.88","12.12","11.88","1.8","22500"
"MOCO","1989-04-19","12.12","12.75","12.0","1.85","103500"
"MOCO","1989-04-20","12.75","12.75","12.5","1.89","37800"
"MOCO","1989-04-21","12.75","12.75","12.5","1.89","10900"
"MOCO","1989-04-24","12.87","12.87","12.5","1.89","15000"
"MOCO","1989-04-25","12.87","12.87","12.5","1.91","42700"
"MOCO","1989-04-26","12.62","13.0","12.62","1.93","30300"
"MOCO","1989-04-27","12.87","13.25","12.87","1.91","2200"
"MOCO","1989-04-28","13.25","13.25","12.87","1.91","4600"
"MOCO","1989-05-01","13.25","13.25","12.87","1.92","4000"
"MOCO","1989-05-02","13.25","13.37","12.87","1.95","37300"
"MOCO","1989-05-03","13.25","13.5","13.25","1.97","4200"
"MOCO","1989-05-04","13.5","13.5","13.13","1.99","9000"
"MOCO","1989-05-05","13.37","13.37","13.13","1.95","24300"
"MOCO","1989-05-08","13.37","13.5","13.13","1.97","40600"
"MOCO","1989-05-09","13.25","13.5","13.25","2.01","8200"
"MOCO","1989-05-10","13.5","13.5","13.25","1.97","2200"
"MOCO","1989-05-11","13.25","13.5","13.25","1.97","11400"
"MOCO","1989-05-12","13.25","13.37","13.25","1.97","21700"
"MOCO","1989-05-15","13.37","13.37","13.0","1.94","35700"
"MOCO","1989-05-16","12.75","13.0","12.75","1.9","17100"
"MOCO","1989-05-17","12.87","13.13","12.87","1.94","9600"
"MOCO","1989-05-18","12.87","13.0","12.75","1.9","7600"
"MOCO","1989-05-19","12.75","13.0","12.75","1.9","30300"
"MOCO","1989-05-22","12.75","13.25","12.75","1.95","73800"
"MOCO","1989-05-23","13.0","13.63","13.0","2.03","161500"
"MOCO","1989-05-24","13.75","14.5","13.75","2.07","161500"
"MOCO","1989-05-25","14.0","14.0","13.87","2.07","20200"
"MOCO","1989-05-26","13.87","14.0","13.63","2.03","36400"
"MOCO","1989-05-30","13.63","13.87","13.37","1.99","44700"
"MOCO","1989-05-31","13.25","13.25","13.25","1.97","31200"
"MOCO","1989-06-01","13.37","13.37","13.13","1.99","168900"
"MOCO","1989-06-02","13.13","13.37","13.13","1.97","36400"
"MOCO","1989-06-05","13.37","13.37","13.13","1.99","31200"
"MOCO","1989-06-06","13.37","14.0","13.25","2.07","107500"
"MOCO","1989-06-07","14.13","14.25","14.0","2.08","75600"
"MOCO","1989-06-08","14.25","14.25","14.0","2.08","12300"
"MOCO","1989-06-09","14.0","14.0","13.75","2.05","29200"
"MOCO","1989-06-12","13.75","13.75","13.5","2.03","85200"
"MOCO","1989-06-13","13.63","13.87","13.63","2.05","84300"
"MOCO","1989-06-14","13.87","14.25","13.87","2.12","17100"
"MOCO","1989-06-15","14.0","14.25","14.0","2.12","20400"
"MOCO","1989-06-16","14.0","14.25","14.0","2.08","6700"
"MOCO","1989-06-19","14.0","14.62","14.0","2.16","64900"
"MOCO","1989-06-20","14.38","14.62","14.38","2.14","20200"
"MOCO","1989-06-21","14.38","14.62","14.25","2.16","10900"
"MOCO","1989-06-22","14.5","14.75","14.25","2.2","54600"
"MOCO","1989-06-23","14.5","15.38","14.5","2.25","81000"
"MOCO","1989-06-26","15.38","15.38","15.12","2.25","33300"
"MOCO","1989-06-27","15.38","15.63","15.25","2.31","36600"
"MOCO","1989-06-28","15.5","15.5","15.25","2.29","77500"
"MOCO","1989-06-29","15.25","15.5","15.12","2.29","78900"
"MOCO","1989-06-30","15.38","15.5","15.38","2.31","54900"
"MOCO","1989-07-03","15.38","15.63","15.38","2.29","19500"
"MOCO","1989-07-05","15.75","15.87","15.5","2.31","22500"
"MOCO","1989-07-06","15.5","15.87","15.5","2.33","18900"
"MOCO","1989-07-07","15.63","16.0","15.63","2.36","23500"
"MOCO","1989-07-10","15.87","16.13","15.87","2.36","20200"
"MOCO","1989-07-11","16.13","16.13","15.87","2.4","52200"
"MOCO","1989-07-12","16.0","16.13","15.87","2.36","171600"
"MOCO","1989-07-13","15.87","16.13","15.87","2.36","6900"
"MOCO","1989-07-14","15.87","16.13","15.5","2.31","105300"
"MOCO","1989-07-17","15.38","15.75","15.38","2.29","4200"
"MOCO","1989-07-18","15.38","15.38","15.12","2.27","18900"
"MOCO","1989-07-19","15.38","15.5","15.12","2.31","6300"
"MOCO","1989-07-20","15.5","15.5","15.25","2.27","10000"
"MOCO","1989-07-21","15.5","15.5","15.25","2.27","20200"
"MOCO","1989-07-24","15.38","15.38","15.0","2.23","35700"
"MOCO","1989-07-25","15.0","15.12","15.0","2.25","46000"
"MOCO","1989-07-26","15.0","15.12","15.0","2.23","96000"
"MOCO","1989-07-27","15.0","15.12","15.0","2.23","8200"
"MOCO","1989-07-28","15.0","15.12","15.0","2.23","13000"
"MOCO","1989-07-31","15.0","15.12","14.62","2.18","62700"
"MOCO","1989-08-01","14.62","14.75","14.5","2.17","53200"
"MOCO","1989-08-02","14.38","14.5","14.38","2.17","30300"
"MOCO","1989-08-03","14.38","14.5","14.25","2.13","85600"
"MOCO","1989-08-04","14.25","14.25","14.25","2.13","2700"
"MOCO","1989-08-07","14.25","14.5","14.25","2.13","12700"
"MOCO","1989-08-08","14.25","14.38","14.25","2.13","10900"
"MOCO","1989-08-09","14.5","14.5","14.25","2.15","23500"
"MOCO","1989-08-10","14.25","14.5","13.75","2.05","63000"
"MOCO","1989-08-11","13.75","13.75","13.37","2.0","112200"
"MOCO","1989-08-14","13.37","13.75","13.37","2.04","119400"
"MOCO","1989-08-15","13.5","13.87","13.5","2.05","122100"
"MOCO","1989-08-16","13.87","14.0","13.75","2.05","85900"
"MOCO","1989-08-17","13.63","13.87","13.63","2.05","23800"
"MOCO","1989-08-18","13.5","13.75","13.5","2.04","81000"
"MOCO","1989-08-21","13.63","13.87","13.37","2.04","131100"
"MOCO","1989-08-22","13.5","13.63","13.37","2.02","51300"
"MOCO","1989-08-23","13.63","13.75","13.37","2.05","45100"
"MOCO","1989-08-24","13.75","13.75","13.5","2.05","11400"
"MOCO","1989-08-25","13.5","13.75","13.5","2.04","2800"
"MOCO","1989-08-28","13.37","13.5","13.13","1.96","48100"
"MOCO","1989-08-29","13.25","13.25","13.13","1.98","4000"
"MOCO","1989-08-30","13.0","13.25","13.0","1.98","29700"
"MOCO","1989-08-31","13.37","13.5","13.25","1.98","41400"
"MOCO","1989-09-01","13.37","13.63","13.37","2.02","26200"
"MOCO","1989-09-05","13.37","13.37","13.37","2.0","4000"
"MOCO","1989-09-06","13.37","13.5","13.25","2.02","6900"
"MOCO","1989-09-07","13.25","13.25","13.25","1.98","3300"
"MOCO","1989-09-08","13.5","13.5","13.25","2.02","10900"
"MOCO","1989-09-11","13.25","13.25","12.5","1.9","223600"
"MOCO","1989-09-12","12.5","13.25","12.5","1.94","94500"
"MOCO","1989-09-13","13.25","13.63","13.0","2.0","95100"
"MOCO","1989-09-14","13.5","14.13","13.25","2.05","90400"
"MOCO","1989-09-15","13.63","13.63","13.5","2.04","16200"
"MOCO","1989-09-18","13.75","13.75","13.63","2.04","10900"
"MOCO","1989-09-19","13.5","13.75","13.5","2.05","14100"
"MOCO","1989-09-20","13.75","13.75","13.75","2.05","8100"
"MOCO","1989-09-21","13.87","13.87","13.63","2.04","12100"
"MOCO","1989-09-22","13.63","13.87","13.63","2.07","13000"
"MOCO","1989-09-25","13.75","13.75","13.5","2.02","1500"
"MOCO","1989-09-26","13.5","13.75","13.5","2.02","25200"
"MOCO","1989-09-27","13.5","13.87","13.5","2.07","12700"
"MOCO","1989-09-28","13.87","13.87","13.63","2.07","20400"
"MOCO","1989-09-29","13.87","14.13","13.87","2.09","29800"
"MOCO","1989-10-02","14.0","15.12","14.0","2.26","77100"
"MOCO","1989-10-03","15.25","15.25","15.0","2.26","15000"
"MOCO","1989-10-04","15.38","15.5","15.0","2.24","41100"
"MOCO","1989-10-05","15.25","15.25","15.0","2.24","1900"
"MOCO","1989-10-06","15.0","15.25","15.0","2.24","4200"
"MOCO","1989-10-09","15.25","15.38","15.0","2.3","19500"
"MOCO","1989-10-10","15.38","15.5","15.12","2.32","9600"
"MOCO","1989-10-11","15.5","15.5","15.12","2.28","11400"
"MOCO","1989-10-12","15.25","15.38","15.25","2.3","15700"
"MOCO","1989-10-13","15.38","15.5","15.0","2.24","32400"
"MOCO","1989-10-16","14.62","14.75","13.87","2.13","128400"
"MOCO","1989-10-17","14.25","14.5","14.25","2.17","4200"
"MOCO","1989-10-18","14.5","14.88","14.38","2.18","50500"
"MOCO","1989-10-19","14.88","15.0","14.62","2.18","17100"
"MOCO","1989-10-20","15.0","15.0","14.62","2.2","48600"
"MOCO","1989-10-23","14.62","14.62","14.5","2.18","36600"
"MOCO","1989-10-24","14.38","14.5","14.25","2.15","23500"
"MOCO","1989-10-25","14.38","14.38","14.13","2.13","37800"
"MOCO","1989-10-26","14.0","14.13","14.0","2.11","10900"
"MOCO","1989-10-27","14.13","14.13","13.75","2.09","48100"
"MOCO","1989-10-30","14.0","14.0","13.75","2.06","41400"
"MOCO","1989-10-31","14.0","14.0","13.87","2.1","56700"
"MOCO","1989-11-01","14.13","14.13","13.87","2.08","2200"
"MOCO","1989-11-02","14.13","14.13","13.87","2.12","3600"
"MOCO","1989-11-03","13.87","14.13","13.87","2.12","7600"
"MOCO","1989-11-06","14.0","14.13","13.87","2.08","2800"
"MOCO","1989-11-07","13.87","14.0","13.87","2.08","4200"
"MOCO","1989-11-08","14.0","14.25","14.0","2.14","18900"
"MOCO","1989-11-09","14.25","14.25","14.0","2.12","10900"
"MOCO","1989-11-10","14.13","14.13","14.0","2.12","1300"
"MOCO","1989-11-13","14.0","14.13","14.0","2.1","8200"
"MOCO","1989-11-14","14.38","14.5","14.13","2.17","48600"
"MOCO","1989-11-15","14.5","14.5","14.5","2.17","0"
"MOCO","1989-11-16","14.5","14.62","14.5","2.17","21100"
"MOCO","1989-11-17","14.5","14.5","14.38","2.16","3600"
"MOCO","1989-11-20","14.38","14.38","14.25","2.14","4000"
"MOCO","1989-11-21","14.25","14.25","14.25","2.14","2800"
"MOCO","1989-11-22","14.25","14.25","14.25","2.14","900"
"MOCO","1989-11-24","14.25","14.25","14.25","2.14","900"
"MOCO","1989-11-27","14.38","14.75","14.38","2.21","31600"
"MOCO","1989-11-28","14.88","15.87","14.75","2.34","68800"
"MOCO","1989-11-29","15.5","15.5","15.25","2.3","68100"
"MOCO","1989-11-30","15.38","15.38","15.25","2.29","5500"
"MOCO","1989-12-01","15.25","15.63","15.25","2.29","18400"
"MOCO","1989-12-04","15.5","15.5","15.25","2.32","4200"
"MOCO","1989-12-05","15.63","15.75","15.25","2.29","17500"
"MOCO","1989-12-06","15.25","15.75","15.25","2.36","11400"
"MOCO","1989-12-07","15.25","15.75","15.0","2.25","20800"
"MOCO","1989-12-08","14.88","14.88","14.88","2.23","6700"
"MOCO","1989-12-11","14.75","15.0","14.75","2.25","4200"
"MOCO","1989-12-12","14.75","15.0","14.62","2.21","25200"
"MOCO","1989-12-13","15.0","15.0","14.62","2.25","2200"
"MOCO","1989-12-14","14.62","14.62","14.62","2.19","2200"
"MOCO","1989-12-15","14.88","15.0","14.88","2.25","600"
"MOCO","1989-12-18","14.5","14.5","14.5","2.17","9000"
"MOCO","1989-12-19","14.88","14.88","14.5","2.17","600"
"MOCO","1989-12-20","14.88","15.0","14.75","2.25","56700"
"MOCO","1989-12-21","14.88","14.88","14.75","2.21","13500"
"MOCO","1989-12-22","14.88","14.88","14.88","2.23","1300"
"MOCO","1989-12-26","14.88","14.88","14.62","2.19","2800"
"MOCO","1989-12-27","14.62","14.62","14.62","2.19","0"
"MOCO","1989-12-28","14.62","14.88","14.5","2.17","4000"
"MOCO","1989-12-29","14.5","14.5","14.5","2.17","16800"
"MOCO","1990-01-02","14.5","14.75","14.5","2.21","18900"
"MOCO","1990-01-03","14.75","14.75","14.62","2.19","4600"
"MOCO","1990-01-04","14.5","14.62","14.5","2.19","67600"
"MOCO","1990-01-05","14.75","14.75","14.75","2.21","100"
"MOCO","1990-01-08","14.75","14.88","14.62","2.21","68100"
"MOCO","1990-01-09","14.62","14.88","14.62","2.19","8100"
"MOCO","1990-01-10","14.5","14.75","14.5","2.17","44500"
"MOCO","1990-01-11","14.5","14.88","14.5","2.23","19500"
"MOCO","1990-01-12","14.75","14.75","14.38","2.16","21700"
"MOCO","1990-01-15","14.38","14.75","14.38","2.16","9400"
"MOCO","1990-01-16","14.75","14.75","14.13","2.17","19800"
"MOCO","1990-01-17","14.5","14.5","14.13","2.14","3600"
"MOCO","1990-01-18","14.5","14.5","13.87","2.08","73500"
"MOCO","1990-01-19","14.13","14.13","13.75","2.12","10300"
"MOCO","1990-01-22","13.75","13.87","13.0","1.95","78300"
"MOCO","1990-01-23","13.0","13.0","12.87","1.93","11400"
"MOCO","1990-01-24","12.62","12.75","12.0","1.86","42700"
"MOCO","1990-01-25","12.62","12.62","12.38","1.87","33000"
"MOCO","1990-01-26","12.38","12.5","12.38","1.87","84300"
"MOCO","1990-01-29","12.38","12.62","12.25","1.86","62200"
"MOCO","1990-01-30","12.38","12.62","12.38","1.9","75600"
"MOCO","1990-01-31","12.62","12.87","12.62","1.94","33000"
"MOCO","1990-02-01","12.87","12.87","12.75","1.92","7300"
"MOCO","1990-02-02","12.62","12.62","12.5","1.9","12300"
"MOCO","1990-02-05","12.5","12.75","12.5","1.88","11700"
"MOCO","1990-02-06","12.62","12.62","12.38","1.88","10000"
"MOCO","1990-02-07","12.5","13.0","12.5","1.9","45900"
"MOCO","1990-02-08","12.62","12.87","12.62","1.9","4600"
"MOCO","1990-02-09","12.87","12.87","12.87","1.94","4900"
"MOCO","1990-02-12","12.62","12.87","12.62","1.94","23800"
"MOCO","1990-02-13","12.87","12.87","12.62","1.9","21600"
"MOCO","1990-02-14","12.75","13.13","12.75","1.98","34300"
"MOCO","1990-02-15","13.13","13.13","12.87","1.94","15000"
"MOCO","1990-02-16","13.25","13.25","13.13","1.98","7300"
"MOCO","1990-02-20","12.87","13.25","12.87","1.98","23500"
"MOCO","1990-02-21","12.62","13.13","12.62","1.98","209200"
"MOCO","1990-02-22","12.87","13.37","12.87","2.01","24400"
"MOCO","1990-02-23","13.25","13.5","13.13","2.03","17700"
"MOCO","1990-02-26","13.5","13.87","13.13","2.09","29700"
"MOCO","1990-02-27","13.87","13.87","13.5","2.05","14100"
"MOCO","1990-02-28","13.63","13.63","13.5","2.03","72400"
"MOCO","1990-03-01","13.75","13.75","13.75","2.07","100"
"MOCO","1990-03-02","13.5","13.75","13.5","2.07","13000"
"MOCO","1990-03-05","13.5","13.75","13.5","2.07","1500"
"MOCO","1990-03-06","13.75","14.0","13.63","2.05","5400"
"MOCO","1990-03-07","14.0","14.38","13.87","2.13","73800"
"MOCO","1990-03-08","14.13","14.75","14.13","2.22","63400"
"MOCO","1990-03-09","15.12","15.25","14.88","2.28","25600"
"MOCO","1990-03-12","15.12","15.5","15.0","2.33","23800"
"MOCO","1990-03-13","15.5","15.5","15.12","2.28","7600"
"MOCO","1990-03-14","15.5","15.87","15.5","2.33","37900"
"MOCO","1990-03-15","15.87","15.87","15.5","2.35","17700"
"MOCO","1990-03-16","15.63","15.87","15.38","2.39","40000"
"MOCO","1990-03-19","15.5","16.0","15.5","2.39","55300"
"MOCO","1990-03-20","15.87","16.13","15.75","2.37","41400"
"MOCO","1990-03-21","16.0","16.88","16.0","2.54","66300"
"MOCO","1990-03-22","16.88","16.88","16.5","2.48","19500"
