"symbol","date","open","high","low","close","volume"
"MOKO","2010-08-11","1.87","1.87","1.87","3.74","200"
"MOKO","2010-08-12","1.87","1.87","1.87","3.74","0"
"MOKO","2010-08-13","1.87","1.87","1.87","3.74","0"
"MOKO","2010-08-16","1.6","1.6","1.6","3.2","500"
"MOKO","2010-08-17","1.6","1.6","1.6","3.2","0"
"MOKO","2010-08-18","1.55","1.55","1.55","3.1","500"
"MOKO","2010-08-19","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-20","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-23","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-24","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-25","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-26","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-27","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-30","1.55","1.55","1.55","3.1","0"
"MOKO","2010-08-31","1.25","1.25","1.25","2.5","500"
"MOKO","2010-09-01","1.25","1.25","1.25","2.5","0"
"MOKO","2010-09-02","1.25","1.25","1.25","2.5","0"
"MOKO","2010-09-03","1.25","1.25","1.25","2.5","0"
"MOKO","2010-09-07","1.25","1.25","1.25","2.5","0"
"MOKO","2010-09-08","1.25","1.25","1.25","2.5","0"
"MOKO","2010-09-09","1.25","1.25","1.25","2.5","0"
"MOKO","2010-09-10","1.54","1.54","1.54","3.08","500"
"MOKO","2010-09-13","1.54","1.54","1.54","3.08","0"
"MOKO","2010-09-14","1.54","1.54","1.54","3.08","0"
"MOKO","2010-09-15","1.54","1.54","1.54","3.08","0"
"MOKO","2010-09-16","1.81","1.81","1.81","3.62","1600"
"MOKO","2010-09-17","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-20","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-21","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-22","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-23","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-24","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-27","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-28","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-29","1.81","1.81","1.81","3.62","0"
"MOKO","2010-09-30","1.81","1.81","1.81","3.62","0"
"MOKO","2010-10-01","1.81","1.81","1.81","3.62","0"
"MOKO","2010-10-04","1.81","1.81","1.81","3.62","0"
"MOKO","2010-10-05","1.81","1.81","1.81","3.62","0"
"MOKO","2010-10-06","1.81","1.81","1.81","3.62","0"
"MOKO","2010-10-07","2.0","2.0","2.0","4.0","200"
"MOKO","2010-10-08","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-11","2.0","2.0","2.0","4.0","200"
"MOKO","2010-10-12","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-13","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-14","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-15","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-18","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-19","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-20","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-21","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-22","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-25","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-26","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-27","2.0","2.0","2.0","4.0","0"
"MOKO","2010-10-28","1.92","1.92","1.92","3.84","200"
"MOKO","2010-10-29","1.92","1.92","1.92","3.84","0"
"MOKO","2010-11-01","1.92","1.92","1.92","3.84","0"
"MOKO","2010-11-02","1.92","1.92","1.92","3.84","0"
"MOKO","2010-11-03","1.93","1.93","1.93","3.86","500"
"MOKO","2010-11-04","1.93","1.93","1.93","3.86","0"
"MOKO","2010-11-05","2.03","2.03","2.03","4.06","200"
"MOKO","2010-11-08","1.91","2.1","1.91","4.2","1300"
"MOKO","2010-11-09","1.82","2.1","1.82","4.2","800"
"MOKO","2010-11-10","2.0","2.34","2.0","4.68","500"
"MOKO","2010-11-11","2.0","2.0","2.0","4.0","200"
