"symbol","date","open","high","low","close","volume"
"MPC","2011-06-24","38.75","39.15","36.84","34.42","837700"
"MPC","2011-06-27","36.69","37.95","36.59","34.79","447600"
"MPC","2011-06-28","38.34","39.99","37.7","35.76","2075900"
"MPC","2011-06-29","39.0","40.97","38.7","37.03","1847600"
"MPC","2011-06-30","40.67","42.0","40.18","38.26","1512800"
"MPC","2011-07-01","41.2","47.43","41.0","39.0","4167100"
"MPC","2011-07-05","42.21","43.0","41.65","39.01","5911500"
"MPC","2011-07-06","41.6","42.25","41.01","38.71","5491500"
"MPC","2011-07-07","42.19","43.26","41.71","38.61","8353800"
"MPC","2011-07-08","40.8","42.6","40.52","38.27","8208500"
"MPC","2011-07-11","40.79","40.79","39.51","37.06","4747600"
"MPC","2011-07-12","39.86","40.99","39.44","37.41","4005600"
"MPC","2011-07-13","40.52","41.24","39.24","36.93","5821400"
"MPC","2011-07-14","39.97","40.02","38.21","35.71","5764200"
"MPC","2011-07-15","39.0","39.47","38.1","36.19","4969200"
"MPC","2011-07-18","38.73","39.59","37.75","36.15","4155800"
"MPC","2011-07-19","39.26","39.94","39.13","36.72","3211500"
"MPC","2011-07-20","39.79","39.94","39.4","36.53","2724500"
"MPC","2011-07-21","39.53","40.24","39.11","37.06","3624600"
"MPC","2011-07-22","40.28","40.82","39.91","37.49","3322800"
"MPC","2011-07-25","41.25","42.12","40.65","38.23","4449300"
"MPC","2011-07-26","41.39","43.72","41.27","39.78","5662100"
"MPC","2011-07-27","43.02","43.3","41.97","38.87","3499200"
"MPC","2011-07-28","42.43","42.94","42.19","39.53","3327300"
"MPC","2011-07-29","42.35","44.61","41.97","40.47","5354800"
"MPC","2011-08-01","45.04","45.38","43.99","41.56","5759200"
"MPC","2011-08-02","44.53","44.9","42.25","39.12","5497800"
"MPC","2011-08-03","43.28","45.4","39.02","38.29","6706900"
"MPC","2011-08-04","40.71","40.71","37.23","35.5","7688900"
"MPC","2011-08-05","38.91","39.22","33.44","34.48","6174300"
"MPC","2011-08-08","35.24","36.0","29.48","29.88","8271500"
"MPC","2011-08-09","33.07","36.41","32.42","33.36","6027100"
"MPC","2011-08-10","35.55","36.84","34.12","32.45","4841300"
"MPC","2011-08-11","35.9","38.6","35.43","34.51","4378200"
"MPC","2011-08-12","37.59","39.12","36.9","34.57","2953400"
"MPC","2011-08-15","37.89","39.65","37.89","36.33","2682700"
"MPC","2011-08-16","38.36","39.44","38.12","36.1","3266200"
"MPC","2011-08-17","39.63","39.96","38.81","36.33","2813800"
"MPC","2011-08-18","38.11","38.51","35.41","34.01","3750700"
"MPC","2011-08-19","35.78","36.67","34.64","32.51","4939300"
"MPC","2011-08-22","35.82","36.0","32.35","30.26","5387000"
"MPC","2011-08-23","32.63","34.7","32.05","31.82","5180000"
"MPC","2011-08-24","34.4","36.03","33.71","33.29","3361700"
"MPC","2011-08-25","36.19","36.9","33.92","31.94","3188000"
"MPC","2011-08-26","34.4","36.76","34.07","32.4","2940200"
"MPC","2011-08-29","35.27","36.36","35.04","33.45","2087500"
"MPC","2011-08-30","35.89","36.38","34.75","33.47","2192600"
"MPC","2011-08-31","36.51","37.45","36.51","34.43","2865500"
"MPC","2011-09-01","37.43","38.22","36.91","34.39","2257700"
"MPC","2011-09-02","35.83","36.99","35.12","32.91","1797100"
"MPC","2011-09-06","34.23","35.4","33.29","32.52","2861700"
"MPC","2011-09-07","35.58","36.93","35.25","33.72","2606100"
"MPC","2011-09-08","36.16","38.15","35.57","35.05","2043300"
"MPC","2011-09-09","36.62","37.78","35.93","33.77","2944500"
"MPC","2011-09-12","35.34","36.88","34.89","34.06","1959600"
"MPC","2011-09-13","36.4","36.63","34.44","32.83","3573500"
"MPC","2011-09-14","35.24","35.31","34.46","32.55","3820300"
"MPC","2011-09-15","35.88","36.96","35.23","32.91","3040700"
"MPC","2011-09-16","35.53","35.67","34.86","32.61","3597700"
"MPC","2011-09-19","34.18","34.56","33.1","31.17","2548100"
"MPC","2011-09-20","33.57","34.23","33.5","31.3","1929600"
"MPC","2011-09-21","33.35","34.46","32.34","30.1","2006500"
"MPC","2011-09-22","31.16","31.4","28.84","27.38","5536800"
"MPC","2011-09-23","29.18","30.32","29.06","27.44","3384000"
"MPC","2011-09-26","29.9","30.36","29.5","27.97","3985500"
"MPC","2011-09-27","30.83","31.82","29.7","27.71","4706200"
"MPC","2011-09-28","29.97","30.64","28.92","26.92","4422200"
"MPC","2011-09-29","29.67","29.85","26.35","25.87","5258400"
"MPC","2011-09-30","27.37","27.93","26.83","25.14","4813400"
"MPC","2011-10-03","26.91","27.8","26.61","25.22","4324100"
"MPC","2011-10-04","26.8","28.81","26.67","26.72","5100000"
"MPC","2011-10-05","29.07","31.78","28.53","29.25","5231900"
"MPC","2011-10-06","31.52","33.35","31.1","30.93","3989200"
"MPC","2011-10-07","33.72","33.98","31.25","29.36","4266400"
"MPC","2011-10-10","32.28","33.47","32.08","30.63","2502600"
"MPC","2011-10-11","32.68","33.61","32.43","30.8","3307500"
"MPC","2011-10-12","33.42","34.13","33.28","31.19","3772100"
"MPC","2011-10-13","33.33","33.89","32.83","31.37","3170600"
"MPC","2011-10-14","34.43","36.2","34.35","33.58","3369800"
"MPC","2011-10-17","36.04","36.48","34.85","32.46","2358800"
"MPC","2011-10-18","34.75","36.54","34.17","33.62","2266800"
"MPC","2011-10-19","36.19","37.06","35.45","33.08","3016900"
"MPC","2011-10-20","35.6","36.66","35.29","33.9","2337700"
"MPC","2011-10-21","36.9","37.68","36.5","34.7","3218100"
"MPC","2011-10-24","37.55","38.47","35.54","33.31","3287100"
"MPC","2011-10-25","34.65","34.65","31.41","30.63","9275300"
"MPC","2011-10-26","33.82","34.95","33.2","32.27","3738500"
"MPC","2011-10-27","35.27","37.72","35.27","34.68","3862100"
"MPC","2011-10-28","37.18","37.62","36.26","34.67","3630000"
"MPC","2011-10-31","37.01","37.01","35.42","33.35","3290600"
"MPC","2011-11-01","35.5","38.12","34.29","33.45","6594300"
"MPC","2011-11-02","36.9","38.43","36.75","35.61","4585700"
"MPC","2011-11-03","39.0","39.55","38.1","35.93","3901300"
"MPC","2011-11-04","38.2","38.72","37.49","35.88","2828800"
"MPC","2011-11-07","38.13","39.05","38.13","36.16","2055500"
"MPC","2011-11-08","39.03","39.44","37.72","35.41","2509600"
"MPC","2011-11-09","37.02","38.99","36.54","34.39","3487000"
"MPC","2011-11-10","37.69","37.89","36.0","35.03","3460400"
"MPC","2011-11-11","38.27","39.18","37.64","35.09","4018600"
"MPC","2011-11-14","37.63","37.63","35.37","34.33","4073200"
"MPC","2011-11-15","36.51","37.32","36.24","34.59","2806900"
"MPC","2011-11-16","34.74","35.06","32.2","30.53","12384700"
"MPC","2011-11-17","32.72","33.33","31.24","29.57","7821000"
"MPC","2011-11-18","31.85","32.95","31.61","30.7","3167900"
"MPC","2011-11-21","32.33","33.31","31.3","30.71","3282300"
"MPC","2011-11-22","33.09","33.55","32.23","31.35","3047800"
"MPC","2011-11-23","32.98","33.43","32.49","30.7","4120100"
"MPC","2011-11-25","32.64","32.72","32.19","30.18","1366100"
"MPC","2011-11-28","33.62","34.19","32.67","31.13","3815500"
"MPC","2011-11-29","33.51","33.61","32.78","31.02","3813700"
"MPC","2011-11-30","34.11","34.53","32.45","31.23","6158700"
"MPC","2011-12-01","33.92","34.33","33.36","31.75","2998600"
"MPC","2011-12-02","34.42","34.77","33.13","31.15","3735600"
"MPC","2011-12-05","34.03","35.45","33.86","32.17","4556100"
"MPC","2011-12-06","34.57","34.78","34.0","32.4","2965300"
"MPC","2011-12-07","34.46","34.6","33.81","32.27","4015700"
"MPC","2011-12-08","34.33","34.57","33.49","31.82","4937400"
"MPC","2011-12-09","34.03","34.91","33.8","32.62","3189300"
"MPC","2011-12-12","34.42","34.59","33.9","32.35","5458200"
"MPC","2011-12-13","34.11","34.89","33.45","31.75","3691700"
"MPC","2011-12-14","33.67","33.84","32.03","30.56","3501900"
"MPC","2011-12-15","33.01","33.27","32.33","30.42","1747900"
"MPC","2011-12-16","32.85","33.25","31.79","29.89","4228400"
"MPC","2011-12-19","32.0","32.82","31.72","29.87","3137300"
"MPC","2011-12-20","32.67","32.96","31.81","30.12","3145500"
"MPC","2011-12-21","32.05","32.85","32.0","30.56","2154400"
"MPC","2011-12-22","32.93","33.41","32.67","31.15","1846500"
"MPC","2011-12-23","33.32","33.58","33.21","31.36","920500"
"MPC","2011-12-27","33.55","33.98","33.39","31.47","769900"
"MPC","2011-12-28","33.59","33.84","32.74","30.99","1642500"
"MPC","2011-12-29","33.35","33.36","32.86","31.13","1063500"
