"symbol","date","open","high","low","close","volume"
"MPCT","2016-04-22","48.46","48.46","48.4","48.4","321"
"MPCT","2016-04-25","48.5","48.52","48.5","48.52","1216"
"MPCT","2016-04-26","48.63","48.63","48.62","48.62","200"
"MPCT","2016-04-27","48.86","48.86","48.86","48.86","110"
"MPCT","2016-04-28","48.4","48.4","48.4","48.86","24"
"MPCT","2016-04-29","48.83","48.83","47.98","47.98","200"
"MPCT","2016-05-02","48.17","48.95","48.14","48.95","1851"
"MPCT","2016-05-03","48.06","48.06","47.93","48.04","3804"
"MPCT","2016-05-04","47.35","47.35","47.35","47.35","215"
"MPCT","2016-05-10","47.76","47.76","47.76","47.76","1200"
"MPCT","2016-05-11","47.78","47.78","47.78","47.78","224"
"MPCT","2016-05-12","47.84","47.84","47.84","47.84","210"
"MPCT","2016-05-13","47.48","47.48","47.47","47.47","313"
"MPCT","2016-05-16","47.3","47.3","47.23","47.23","320"
"MPCT","2016-05-18","47.22","47.23","47.22","47.23","400"
"MPCT","2016-05-19","46.75","46.75","46.43","46.63","1034"
"MPCT","2016-05-20","46.96","46.96","46.96","46.96","214"
"MPCT","2016-05-23","47.0","47.0","47.0","47.0","160"
"MPCT","2016-05-24","47.57","47.57","47.56","47.56","426"
"MPCT","2016-05-26","48.17","48.23","48.13","48.23","916"
"MPCT","2016-05-27","48.1","48.14","48.06","48.14","2182"
"MPCT","2016-05-31","48.11","48.43","48.07","48.07","2997"
"MPCT","2016-06-02","48.34","48.48","48.34","48.48","250"
"MPCT","2016-06-06","49.02","49.26","49.02","49.26","203"
