"symbol","date","open","high","low","close","volume"
"MPX","2001-02-28","2.05","2.05","2.05","2.05","400"
"MPX","2001-03-01","4.8","5.09","4.2","1.39","34300"
"MPX","2001-03-02","4.34","4.34","4.05","1.34","25300"
"MPX","2001-03-05","4.2","4.2","3.5","1.2","53100"
"MPX","2001-03-06","3.8","3.84","3.16","1.09","274500"
"MPX","2001-03-07","3.59","3.59","2.98","0.99","87000"
"MPX","2001-03-08","3.09","3.34","3.02","1.11","222400"
"MPX","2001-03-09","3.5","3.91","3.41","1.16","180400"
"MPX","2001-03-12","3.5","3.8","3.45","1.14","49000"
"MPX","2001-03-13","3.3","3.36","3.0","1.0","110800"
"MPX","2001-03-14","3.03","3.03","2.75","0.91","92700"
"MPX","2001-03-15","2.8","2.95","2.8","0.96","23500"
"MPX","2001-03-16","2.91","2.91","2.91","0.96","24900"
"MPX","2001-03-19","2.91","2.95","2.84","0.94","32500"
"MPX","2001-03-20","2.91","2.95","2.84","0.94","27600"
"MPX","2001-03-21","2.8","2.8","2.7","0.91","54600"
"MPX","2001-03-22","2.75","2.75","2.72","0.9","6900"
"MPX","2001-03-23","2.72","2.75","2.72","0.9","51300"
"MPX","2001-03-26","2.66","2.7","2.41","0.8","103600"
"MPX","2001-03-27","2.41","2.8","2.41","0.93","132300"
"MPX","2001-03-28","2.8","2.84","2.8","0.93","9600"
"MPX","2001-03-29","2.84","3.09","2.84","0.96","28000"
"MPX","2001-03-30","3.0","3.0","2.41","0.88","89100"
"MPX","2001-04-02","2.66","2.8","2.66","0.9","50500"
"MPX","2001-04-03","2.7","2.72","2.55","0.86","55000"
"MPX","2001-04-04","2.59","2.7","2.59","0.9","8200"
"MPX","2001-04-05","2.8","3.13","2.8","1.04","23500"
"MPX","2001-04-06","3.13","3.13","3.13","1.04","0"
"MPX","2001-04-09","3.1","3.1","3.05","1.01","7300"
"MPX","2001-04-10","3.1","3.35","3.1","1.08","20200"
"MPX","2001-04-11","3.25","3.25","3.2","1.06","2200"
"MPX","2001-04-12","3.15","3.15","3.1","1.04","9100"
"MPX","2001-04-16","3.25","3.35","3.25","1.11","22500"
"MPX","2001-04-17","3.35","3.7","3.35","1.19","26500"
"MPX","2001-04-18","3.7","3.7","3.6","1.19","58500"
"MPX","2001-04-19","3.6","3.7","3.57","1.23","16300"
"MPX","2001-04-20","3.75","3.8","3.7","1.25","5100"
"MPX","2001-04-23","3.8","3.95","3.75","1.25","36000"
"MPX","2001-04-24","3.85","3.85","3.75","1.28","48600"
"MPX","2001-04-25","3.8","3.91","3.8","1.29","15000"
"MPX","2001-04-26","3.9","4.0","3.9","1.29","37900"
"MPX","2001-04-27","3.91","3.96","3.91","1.31","3100"
"MPX","2001-04-30","4.0","4.15","4.0","1.37","6400"
"MPX","2001-05-01","4.13","4.15","4.13","1.37","10000"
"MPX","2001-05-02","4.2","4.35","4.2","1.44","12300"
"MPX","2001-05-03","4.35","4.55","4.35","1.47","81100"
"MPX","2001-05-04","4.45","4.45","4.4","1.47","12600"
"MPX","2001-05-07","4.53","4.53","4.35","1.44","35500"
"MPX","2001-05-08","4.25","4.6","4.25","1.49","41100"
"MPX","2001-05-09","4.4","4.4","4.2","1.4","45400"
"MPX","2001-05-10","4.2","4.2","4.1","1.36","100800"
"MPX","2001-05-11","4.1","4.11","4.1","1.37","5100"
"MPX","2001-05-14","4.1","4.1","4.05","1.35","18400"
"MPX","2001-05-15","4.06","4.1","4.05","1.35","4500"
"MPX","2001-05-16","4.05","4.1","4.05","1.35","5800"
