"symbol","date","open","high","low","close","volume"
"MSI","1977-01-03","55.63","56.88","55.63","3.39","227800"
"MSI","1977-01-04","55.5","55.5","54.5","3.31","164100"
"MSI","1977-01-05","54.63","55.75","54.63","3.33","193000"
"MSI","1977-01-06","54.75","55.0","54.37","3.31","139200"
"MSI","1977-01-07","54.37","54.75","53.63","3.26","119300"
"MSI","1977-01-10","53.63","53.75","52.63","3.22","235700"
"MSI","1977-01-11","52.75","52.75","51.63","3.14","201900"
"MSI","1977-01-12","51.5","51.5","50.38","3.1","184000"
"MSI","1977-01-13","51.5","51.75","51.5","3.13","241700"
"MSI","1977-01-14","51.5","52.25","51.13","3.17","761100"
"MSI","1977-01-17","52.13","52.38","52.0","3.18","672600"
"MSI","1977-01-18","52.25","52.5","52.25","3.19","222800"
"MSI","1977-01-19","52.38","53.25","52.38","3.24","94500"
"MSI","1977-01-20","53.5","54.13","53.5","3.25","176100"
"MSI","1977-01-21","53.5","53.87","53.37","3.26","1066600"
"MSI","1977-01-24","53.63","54.0","53.25","3.25","511400"
"MSI","1977-01-25","53.5","53.5","52.0","3.16","317400"
"MSI","1977-01-26","52.0","52.5","51.75","3.16","117400"
"MSI","1977-01-27","51.25","51.25","50.0","3.06","254700"
"MSI","1977-01-28","50.5","51.25","50.5","3.1","112400"
"MSI","1977-01-31","51.0","51.0","49.62","3.06","202900"
"MSI","1977-02-01","50.25","50.75","50.12","3.07","81500"
"MSI","1977-02-02","50.5","50.88","49.88","3.03","538200"
"MSI","1977-02-03","49.88","50.0","49.62","3.02","126300"
"MSI","1977-02-04","49.62","49.62","47.75","2.92","359100"
"MSI","1977-02-07","48.0","48.0","46.25","2.81","299400"
"MSI","1977-02-08","46.25","47.25","46.25","2.85","422800"
"MSI","1977-02-09","46.88","46.88","46.0","2.8","14900"
"MSI","1977-02-10","46.0","46.25","45.63","2.77","269600"
"MSI","1977-02-11","45.63","46.0","45.63","2.8","292500"
"MSI","1977-02-14","46.0","46.5","45.63","2.83","306400"
"MSI","1977-02-15","46.5","46.63","46.25","2.81","502400"
"MSI","1977-02-16","46.25","46.75","46.25","2.83","328300"
"MSI","1977-02-17","46.25","46.25","45.63","2.78","142200"
"MSI","1977-02-18","45.5","45.5","43.5","2.73","305400"
"MSI","1977-02-22","44.87","45.0","44.5","2.72","133300"
"MSI","1977-02-23","44.75","44.75","44.37","2.71","69600"
"MSI","1977-02-24","44.37","44.37","43.63","2.66","154200"
"MSI","1977-02-25","43.75","44.25","43.5","2.69","309400"
"MSI","1977-02-28","44.13","44.13","44.0","2.68","140200"
"MSI","1977-03-01","44.13","45.37","44.13","2.76","340200"
"MSI","1977-03-02","45.37","45.75","45.25","2.76","327300"
"MSI","1977-03-03","45.5","47.25","45.5","2.86","267600"
"MSI","1977-03-04","47.0","47.13","46.63","2.87","217800"
"MSI","1977-03-07","47.25","47.75","47.25","2.9","143200"
"MSI","1977-03-08","47.75","47.75","47.0","2.87","295500"
"MSI","1977-03-09","46.75","46.75","46.0","2.81","114400"
"MSI","1977-03-10","46.13","46.5","45.37","2.83","264600"
"MSI","1977-03-11","46.5","46.75","46.38","2.82","92500"
"MSI","1977-03-14","46.5","47.75","46.5","2.89","175100"
"MSI","1977-03-15","47.75","48.5","47.75","2.93","298500"
"MSI","1977-03-16","48.12","48.62","48.12","2.95","240700"
"MSI","1977-03-17","48.5","49.25","48.38","2.98","266600"
"MSI","1977-03-18","49.0","49.5","49.0","2.98","200900"
"MSI","1977-03-21","49.0","49.12","48.25","2.94","324300"
"MSI","1977-03-22","48.38","48.5","47.75","2.96","175100"
"MSI","1977-03-23","48.5","48.5","46.75","2.86","193000"
"MSI","1977-03-24","46.88","47.5","46.0","2.82","309400"
"MSI","1977-03-25","46.25","46.25","45.75","2.81","163100"
"MSI","1977-03-28","45.88","45.88","45.5","2.79","188000"
"MSI","1977-03-29","45.63","46.25","45.63","2.79","239700"
"MSI","1977-03-30","45.63","46.38","45.63","2.79","210900"
"MSI","1977-03-31","45.63","46.25","45.63","2.81","67600"
"MSI","1977-04-01","46.0","46.5","45.75","2.84","163100"
"MSI","1977-04-04","46.5","46.75","45.75","2.79","119300"
"MSI","1977-04-05","45.75","46.0","45.63","2.81","130300"
"MSI","1977-04-06","46.0","46.0","45.63","2.79","171100"
"MSI","1977-04-07","45.63","45.75","45.5","2.78","92500"
"MSI","1977-04-11","45.5","45.63","45.0","2.75","433800"
"MSI","1977-04-12","45.0","45.0","44.5","2.73","153200"
"MSI","1977-04-13","44.63","44.75","44.5","2.73","90500"
"MSI","1977-04-14","45.0","46.25","45.0","2.82","573100"
"MSI","1977-04-15","46.13","46.25","45.88","2.82","115300"
"MSI","1977-04-18","46.13","46.13","45.63","2.82","140200"
"MSI","1977-04-19","46.0","46.0","45.0","2.75","121300"
"MSI","1977-04-20","45.0","45.5","44.63","2.74","364100"
"MSI","1977-04-21","44.87","44.87","43.63","2.67","152200"
"MSI","1977-04-22","43.75","43.75","42.0","2.58","239700"
"MSI","1977-04-25","42.37","43.13","42.37","2.6","167100"
"MSI","1977-04-26","42.63","42.87","42.25","2.58","121300"
"MSI","1977-04-27","42.25","43.5","42.25","2.66","214900"
"MSI","1977-04-28","43.5","43.63","43.0","2.63","329300"
"MSI","1977-04-29","43.0","43.5","43.0","2.65","107400"
"MSI","1977-05-02","43.37","43.75","43.25","2.67","205900"
"MSI","1977-05-03","43.75","43.75","43.13","2.63","420800"
"MSI","1977-05-04","43.13","43.87","43.0","2.65","1386000"
"MSI","1977-05-05","43.37","44.25","43.37","2.7","394000"
"MSI","1977-05-06","44.25","44.25","43.87","2.69","205900"
"MSI","1977-05-09","44.0","44.5","44.0","2.72","219800"
"MSI","1977-05-10","44.37","44.37","43.87","2.68","214900"
"MSI","1977-05-11","43.87","44.37","43.75","2.67","313400"
"MSI","1977-05-12","43.25","43.25","42.75","2.63","744200"
"MSI","1977-05-13","43.25","43.75","43.25","2.67","184000"
"MSI","1977-05-16","43.75","44.0","43.25","2.68","121300"
"MSI","1977-05-17","43.87","43.87","43.25","2.66","285500"
"MSI","1977-05-18","43.5","43.87","43.37","2.68","473600"
"MSI","1977-05-19","43.87","43.87","42.87","2.64","178100"
"MSI","1977-05-20","43.25","43.5","43.0","2.63","74600"
"MSI","1977-05-23","43.0","43.0","42.5","2.6","241700"
"MSI","1977-05-24","42.63","42.63","42.0","2.58","221800"
"MSI","1977-05-25","42.13","42.13","40.38","2.47","680500"
"MSI","1977-05-26","40.25","40.25","39.38","2.42","795900"
"MSI","1977-05-27","39.5","39.5","38.25","2.34","341200"
"MSI","1977-05-31","38.0","38.0","36.25","2.23","309400"
"MSI","1977-06-01","36.5","37.75","36.5","2.31","876500"
"MSI","1977-06-02","37.75","38.25","37.25","2.3","378000"
"MSI","1977-06-03","37.75","38.75","37.75","2.35","504400"
"MSI","1977-06-06","38.5","38.88","37.75","2.31","355200"
"MSI","1977-06-07","37.75","37.88","37.25","2.3","689500"
"MSI","1977-06-08","37.88","38.5","37.88","2.34","470600"
"MSI","1977-06-09","38.25","38.88","38.12","2.36","416800"
"MSI","1977-06-10","38.62","39.5","38.62","2.41","426800"
"MSI","1977-06-13","39.75","40.5","39.75","2.46","412900"
"MSI","1977-06-14","40.5","41.5","40.5","2.53","438700"
"MSI","1977-06-15","41.5","41.75","40.88","2.52","265600"
"MSI","1977-06-16","41.25","42.13","41.13","2.54","463600"
"MSI","1977-06-17","41.75","42.25","41.75","2.55","324300"
"MSI","1977-06-20","41.75","41.75","40.62","2.53","234800"
"MSI","1977-06-21","41.38","41.75","41.0","2.52","554200"
"MSI","1977-06-22","41.25","41.38","41.0","2.51","225800"
"MSI","1977-06-23","41.13","41.88","41.13","2.52","415900"
"MSI","1977-06-24","41.25","41.25","40.62","2.49","714400"
"MSI","1977-06-27","40.75","41.13","40.5","2.5","168100"
"MSI","1977-06-28","41.0","41.13","40.5","2.49","273600"
"MSI","1977-06-29","40.38","40.38","39.75","2.46","336300"
"MSI","1977-06-30","40.0","40.25","39.5","2.46","450700"
"MSI","1977-07-01","40.0","40.38","40.0","2.48","197900"
"MSI","1977-07-05","40.38","40.88","40.25","2.47","220800"
"MSI","1977-07-06","40.25","40.25","39.88","2.46","458700"
"MSI","1977-07-07","40.0","40.0","39.25","2.45","309400"
"MSI","1977-07-08","39.88","40.38","39.88","2.46","352200"
"MSI","1977-07-11","40.0","40.25","40.0","2.47","275500"
"MSI","1977-07-12","40.25","40.25","39.88","2.45","472600"
"MSI","1977-07-13","39.88","40.25","39.62","2.46","381000"
"MSI","1977-07-15","40.0","41.13","39.88","2.52","872600"
"MSI","1977-07-18","41.38","43.0","41.38","2.64","610900"
"MSI","1977-07-19","43.37","44.5","43.37","2.69","978000"
"MSI","1977-07-20","43.5","43.5","42.13","2.61","353200"
"MSI","1977-07-21","42.63","43.25","42.63","2.66","515300"
"MSI","1977-07-22","43.37","43.63","43.37","2.66","89500"
"MSI","1977-07-25","43.37","43.63","43.25","2.67","197000"
"MSI","1977-07-26","43.37","43.37","42.5","2.64","159100"
"MSI","1977-07-27","42.75","42.75","41.75","2.6","210900"
"MSI","1977-07-28","42.5","43.0","42.5","2.64","87500"
"MSI","1977-07-29","43.0","43.63","42.75","2.66","143200"
