"symbol","date","open","high","low","close","volume"
"MTRN","1984-09-07","37.5","38.12","37.5","25.36","20800"
"MTRN","1984-09-10","37.62","37.62","37.0","24.86","13500"
"MTRN","1984-09-11","37.12","37.62","37.12","25.28","8600"
"MTRN","1984-09-12","37.62","37.62","37.25","25.11","2600"
"MTRN","1984-09-13","37.38","37.38","36.38","24.77","15400"
"MTRN","1984-09-14","36.88","38.0","36.88","25.36","84100"
"MTRN","1984-09-17","37.75","38.38","37.75","25.53","21200"
"MTRN","1984-09-18","38.0","38.38","37.75","25.53","24900"
"MTRN","1984-09-19","38.0","38.0","37.5","25.28","14100"
"MTRN","1984-09-20","37.62","37.75","36.88","24.86","50300"
"MTRN","1984-09-21","37.12","37.62","37.12","25.03","96800"
"MTRN","1984-09-24","37.25","37.62","37.0","24.94","30100"
"MTRN","1984-09-25","36.88","36.88","35.88","24.19","5400"
"MTRN","1984-09-26","35.5","35.5","34.88","23.51","16500"
"MTRN","1984-09-27","35.0","35.0","34.25","23.01","12000"
"MTRN","1984-09-28","34.25","34.25","34.0","22.84","7400"
"MTRN","1984-10-01","33.75","33.75","33.38","22.42","3300"
"MTRN","1984-10-02","33.0","33.0","32.5","21.83","11900"
"MTRN","1984-10-03","32.5","33.0","29.0","22.17","146900"
"MTRN","1984-10-04","32.62","32.62","32.38","21.75","11600"
"MTRN","1984-10-05","32.38","32.38","32.12","21.58","2900"
"MTRN","1984-10-08","31.88","31.88","31.38","21.08","7900"
"MTRN","1984-10-09","31.38","31.88","31.0","20.83","6300"
"MTRN","1984-10-10","31.0","31.25","30.25","20.83","21400"
"MTRN","1984-10-11","31.25","31.62","31.25","21.25","15600"
"MTRN","1984-10-12","31.75","32.25","31.75","21.67","44900"
"MTRN","1984-10-15","32.25","32.5","32.0","21.5","6500"
"MTRN","1984-10-16","32.0","32.25","31.75","21.41","10700"
"MTRN","1984-10-17","31.88","32.38","31.75","21.75","26000"
"MTRN","1984-10-18","32.38","32.5","32.0","21.67","15900"
"MTRN","1984-10-19","33.0","33.5","33.0","22.51","77700"
"MTRN","1984-10-22","33.62","34.0","33.62","22.76","48900"
"MTRN","1984-10-23","33.88","34.12","33.5","22.51","14800"
"MTRN","1984-10-24","33.75","34.12","33.75","22.93","29800"
"MTRN","1984-10-25","34.12","34.88","34.0","23.26","20000"
"MTRN","1984-10-26","34.62","34.62","34.12","23.26","7500"
"MTRN","1984-10-29","34.38","34.38","34.12","23.01","26700"
"MTRN","1984-10-30","34.25","34.88","34.25","23.43","26800"
"MTRN","1984-10-31","35.0","35.62","35.0","23.68","12900"
"MTRN","1984-11-01","35.25","36.12","35.25","23.85","93500"
"MTRN","1984-11-02","35.38","35.38","35.0","23.77","56600"
"MTRN","1984-11-05","35.38","35.75","35.38","23.93","13800"
"MTRN","1984-11-06","35.62","35.88","35.62","24.02","64200"
"MTRN","1984-11-07","35.75","35.75","34.25","23.35","9800"
"MTRN","1984-11-08","34.75","35.38","34.25","23.77","9800"
"MTRN","1984-11-09","35.5","35.88","35.5","23.85","14000"
"MTRN","1984-11-12","35.5","35.88","35.0","24.02","19600"
"MTRN","1984-11-13","35.75","36.25","35.75","24.19","3800"
"MTRN","1984-11-14","36.0","36.0","35.5","23.85","6400"
"MTRN","1984-11-15","35.25","35.25","34.88","23.6","4500"
"MTRN","1984-11-16","34.62","34.62","34.38","23.18","11900"
"MTRN","1984-11-19","34.25","34.25","33.88","22.76","31000"
"MTRN","1984-11-20","33.88","33.88","33.5","22.51","13400"
"MTRN","1984-11-21","33.0","33.0","33.0","22.17","3300"
"MTRN","1984-11-23","33.0","34.25","33.0","23.01","5000"
"MTRN","1984-11-26","34.75","35.38","34.75","23.68","8100"
"MTRN","1984-11-27","35.25","35.38","35.0","23.77","5900"
"MTRN","1984-11-28","35.38","35.5","35.0","23.51","2900"
"MTRN","1984-11-29","35.0","35.0","34.0","22.84","4400"
"MTRN","1984-11-30","34.0","34.0","33.25","22.51","7300"
"MTRN","1984-12-03","33.5","33.5","33.38","22.42","4900"
"MTRN","1984-12-04","33.38","33.88","33.12","22.25","3000"
"MTRN","1984-12-05","33.12","33.25","32.75","22.0","2200"
"MTRN","1984-12-06","32.75","32.88","32.5","21.83","5600"
"MTRN","1984-12-07","32.5","32.62","32.25","21.67","5600"
"MTRN","1984-12-10","31.12","31.12","30.75","20.66","25800"
"MTRN","1984-12-11","30.88","31.5","30.88","21.16","10200"
"MTRN","1984-12-12","31.88","32.38","31.88","21.58","8700"
"MTRN","1984-12-13","32.12","32.62","32.0","21.83","28600"
"MTRN","1984-12-14","32.38","32.38","32.12","21.75","3000"
"MTRN","1984-12-17","32.38","33.25","32.25","22.17","14500"
"MTRN","1984-12-18","33.12","33.88","33.12","22.76","53000"
"MTRN","1984-12-19","33.88","35.12","33.88","23.35","74200"
"MTRN","1984-12-20","34.75","34.88","34.5","23.18","22100"
"MTRN","1984-12-21","34.5","34.62","34.0","22.84","22000"
"MTRN","1984-12-24","34.0","34.38","34.0","22.84","2700"
"MTRN","1984-12-26","34.0","34.5","34.0","23.18","7300"
"MTRN","1984-12-27","34.5","34.62","34.38","23.26","4100"
"MTRN","1984-12-28","34.38","34.38","34.0","23.01","5500"
"MTRN","1984-12-31","34.25","34.5","34.0","23.18","28700"
"MTRN","1985-01-02","34.5","34.5","33.88","22.76","36300"
"MTRN","1985-01-03","33.88","33.88","33.0","22.17","110000"
"MTRN","1985-01-04","33.0","33.62","33.0","22.34","15400"
"MTRN","1985-01-07","33.25","33.75","33.25","22.67","5400"
"MTRN","1985-01-08","33.75","33.75","33.0","22.17","88000"
"MTRN","1985-01-09","33.0","33.0","32.25","21.75","83500"
"MTRN","1985-01-10","32.62","33.25","32.62","22.09","39100"
"MTRN","1985-01-11","33.62","34.0","33.62","22.76","29200"
"MTRN","1985-01-14","34.0","34.62","34.0","23.26","32800"
"MTRN","1985-01-15","34.75","35.25","34.75","23.6","90100"
"MTRN","1985-01-16","35.0","35.0","34.62","23.35","28000"
"MTRN","1985-01-17","34.75","35.0","34.62","23.35","21000"
"MTRN","1985-01-18","34.75","35.12","34.75","23.35","30400"
"MTRN","1985-01-21","34.75","36.5","34.75","24.52","58200"
"MTRN","1985-01-22","37.5","38.5","37.5","25.87","121700"
"MTRN","1985-01-23","38.5","38.5","38.12","25.61","17100"
"MTRN","1985-01-24","38.12","39.38","38.12","26.45","39700"
"MTRN","1985-01-25","39.38","39.38","38.88","26.12","34400"
"MTRN","1985-01-28","38.88","39.38","38.5","26.45","14900"
"MTRN","1985-01-29","38.88","38.88","37.88","26.03","40700"
"MTRN","1985-01-30","38.75","39.25","38.62","26.2","42600"
"MTRN","1985-01-31","38.88","38.88","38.0","25.61","8500"
"MTRN","1985-02-01","37.75","37.75","37.38","25.19","12200"
"MTRN","1985-02-04","37.5","37.75","37.0","25.36","27700"
"MTRN","1985-02-05","37.75","38.0","37.38","25.11","17700"
"MTRN","1985-02-06","37.75","38.12","37.75","25.61","25300"
"MTRN","1985-02-07","38.12","38.5","38.12","25.87","13900"
