"symbol","date","open","high","low","close","volume"
"MTT","2009-03-27","20.0","20.1","20.0","15.47","265600"
"MTT","2009-03-30","19.8","20.03","19.8","15.49","100200"
"MTT","2009-03-31","18.6","20.1","18.6","15.47","23200"
"MTT","2009-04-01","20.05","20.14","20.0","15.55","11600"
"MTT","2009-04-02","20.15","20.15","20.0","15.47","13100"
"MTT","2009-04-03","20.01","20.02","20.0","15.47","18400"
"MTT","2009-04-06","20.13","20.13","20.0","15.47","36400"
"MTT","2009-04-07","20.01","20.12","20.0","15.47","46200"
"MTT","2009-04-08","20.13","20.13","20.0","15.47","31800"
"MTT","2009-04-09","20.01","20.2","20.01","15.55","19300"
"MTT","2009-04-13","20.05","20.15","20.0","15.55","28200"
"MTT","2009-04-14","20.01","20.15","20.0","15.51","33800"
"MTT","2009-04-15","20.05","20.15","20.0","15.48","20800"
"MTT","2009-04-16","20.01","20.04","20.0","15.47","18300"
"MTT","2009-04-17","20.02","20.05","20.0","15.48","6400"
"MTT","2009-04-20","20.03","20.04","20.0","15.47","11600"
"MTT","2009-04-21","20.01","20.01","20.0","15.47","14600"
"MTT","2009-04-22","20.0","20.03","20.0","15.47","28500"
"MTT","2009-04-23","20.0","20.01","20.0","15.47","4400"
"MTT","2009-04-24","20.0","20.03","20.0","15.47","32300"
"MTT","2009-04-27","20.0","20.03","20.0","15.47","100900"
"MTT","2009-04-28","20.0","20.03","20.0","15.47","49000"
"MTT","2009-04-29","20.0","20.01","20.0","15.47","35400"
"MTT","2009-04-30","20.0","20.02","20.0","15.47","26400"
"MTT","2009-05-01","20.0","20.0","20.0","15.47","30200"
"MTT","2009-05-04","20.0","20.01","20.0","15.47","47800"
"MTT","2009-05-05","20.03","20.05","20.0","15.51","6000"
"MTT","2009-05-06","20.01","20.05","20.01","15.51","8900"
"MTT","2009-05-07","20.02","20.04","20.02","15.5","13100"
"MTT","2009-05-08","20.04","20.04","19.9","15.46","25500"
"MTT","2009-05-11","19.99","20.02","19.96","15.46","10100"
"MTT","2009-05-12","20.01","20.14","20.0","15.54","34700"
"MTT","2009-05-13","20.03","20.03","19.98","15.46","13800"
"MTT","2009-05-14","20.03","20.03","19.95","15.45","6200"
"MTT","2009-05-15","20.0","20.0","19.85","15.39","9600"
"MTT","2009-05-18","19.6","20.01","19.6","15.39","47100"
"MTT","2009-05-19","19.9","20.01","19.9","15.47","21900"
"MTT","2009-05-20","20.0","20.03","19.95","15.53","27400"
"MTT","2009-05-21","19.13","20.09","19.13","15.46","35700"
"MTT","2009-05-22","19.9","19.91","19.52","15.22","23900"
"MTT","2009-05-26","19.5","19.75","19.41","15.35","38100"
"MTT","2009-05-27","19.67","19.75","19.56","15.33","37200"
"MTT","2009-05-28","19.7","19.96","19.7","15.51","39000"
"MTT","2009-05-29","19.92","20.06","19.91","15.54","18600"
"MTT","2009-06-01","19.98","20.06","19.94","15.53","12000"
"MTT","2009-06-02","19.98","20.11","19.98","15.58","29700"
"MTT","2009-06-03","20.02","20.1","19.98","15.53","15300"
"MTT","2009-06-04","19.98","20.15","19.95","15.66","22700"
"MTT","2009-06-05","19.91","20.1","19.91","15.56","18600"
"MTT","2009-06-08","20.09","20.15","19.89","15.47","13700"
"MTT","2009-06-09","19.51","20.12","19.51","15.49","42600"
"MTT","2009-06-10","19.51","19.93","19.51","15.36","38300"
"MTT","2009-06-11","19.51","19.75","19.38","15.15","23600"
"MTT","2009-06-12","19.7","20.1","19.6","15.29","23100"
