"symbol","date","open","high","low","close","volume"
"MTW","1990-03-26","21.25","21.5","21.0","1.06","50800"
"MTW","1990-03-27","21.75","21.75","21.25","1.07","188800"
"MTW","1990-03-28","21.25","21.75","21.25","1.06","648000"
"MTW","1990-03-29","21.75","21.75","21.62","1.07","29200"
"MTW","1990-03-30","21.75","21.75","21.25","1.05","134800"
"MTW","1990-04-02","21.5","21.75","21.25","1.07","99600"
"MTW","1990-04-03","21.5","22.0","21.5","1.08","100800"
"MTW","1990-04-04","21.75","22.0","21.5","1.06","137200"
"MTW","1990-04-05","21.75","21.75","21.5","1.06","52000"
"MTW","1990-04-06","21.5","21.5","20.5","1.01","311200"
"MTW","1990-04-09","20.25","20.75","20.25","1.0","130000"
"MTW","1990-04-10","20.25","20.25","19.5","0.97","350800"
"MTW","1990-04-11","19.75","19.75","19.5","0.97","48400"
"MTW","1990-04-12","19.5","20.5","19.5","0.98","157200"
"MTW","1990-04-16","20.5","20.5","20.0","0.98","32800"
"MTW","1990-04-17","20.0","20.5","20.0","1.01","115600"
"MTW","1990-04-18","20.75","20.75","20.25","1.0","30400"
"MTW","1990-04-19","20.25","20.5","20.0","1.0","25200"
"MTW","1990-04-20","20.5","20.5","20.0","1.01","24000"
"MTW","1990-04-23","20.5","20.5","20.0","1.0","48400"
"MTW","1990-04-24","20.25","20.25","20.0","0.98","25200"
"MTW","1990-04-25","20.25","20.5","20.0","0.98","146400"
"MTW","1990-04-26","20.0","20.0","19.75","0.97","124000"
"MTW","1990-04-27","19.87","20.0","19.75","0.98","248800"
"MTW","1990-04-30","20.25","20.25","20.0","0.98","291600"
"MTW","1990-05-01","20.0","20.5","20.0","1.0","259600"
"MTW","1990-05-02","20.75","20.75","20.25","1.0","135600"
"MTW","1990-05-03","20.25","20.75","20.25","1.02","30400"
"MTW","1990-05-04","20.75","20.75","20.25","1.0","34800"
"MTW","1990-05-07","20.25","20.75","20.25","1.0","70800"
"MTW","1990-05-08","20.75","21.12","20.63","1.04","196800"
"MTW","1990-05-09","21.0","21.25","20.75","1.05","110400"
"MTW","1990-05-10","20.75","21.37","20.75","1.05","144000"
"MTW","1990-05-11","21.0","21.5","21.0","1.03","54000"
"MTW","1990-05-14","21.5","22.0","21.25","1.06","364000"
"MTW","1990-05-15","21.5","22.13","21.5","1.08","766800"
"MTW","1990-05-16","21.75","22.0","21.75","1.07","38400"
"MTW","1990-05-17","21.75","22.0","21.75","1.08","170800"
"MTW","1990-05-18","21.75","22.0","21.5","1.06","700000"
"MTW","1990-05-21","21.5","21.75","21.5","1.06","48400"
"MTW","1990-05-22","22.0","22.0","21.5","1.07","578400"
"MTW","1990-05-23","22.0","22.0","21.75","1.07","65200"
"MTW","1990-05-24","21.75","22.0","21.75","1.08","248400"
"MTW","1990-05-25","21.5","21.75","21.12","1.06","313200"
"MTW","1990-05-29","21.0","21.25","20.5","1.04","172800"
"MTW","1990-05-30","20.88","21.0","20.5","1.05","52000"
"MTW","1990-05-31","20.5","21.0","20.5","1.05","5200"
"MTW","1990-06-01","20.5","20.63","20.5","1.03","5200"
"MTW","1990-06-04","20.63","21.0","20.5","1.02","97600"
"MTW","1990-06-05","20.5","21.0","20.5","1.05","186000"
"MTW","1990-06-06","20.75","21.0","20.75","1.03","188800"
"MTW","1990-06-07","20.75","21.0","20.75","1.05","5200"
"MTW","1990-06-08","21.0","22.25","21.0","1.09","929200"
"MTW","1990-06-11","22.0","22.0","21.75","1.09","529600"
"MTW","1990-06-12","22.0","22.25","22.0","1.09","372400"
"MTW","1990-06-13","22.0","22.25","21.87","1.09","307600"
"MTW","1990-06-14","21.87","22.25","21.87","1.09","214000"
"MTW","1990-06-15","21.87","22.25","21.87","1.09","1838400"
"MTW","1990-06-18","21.87","21.87","21.87","1.09","134800"
"MTW","1990-06-19","21.87","22.0","21.5","1.07","94000"
"MTW","1990-06-20","21.5","21.5","20.75","1.03","243600"
"MTW","1990-06-21","21.25","21.25","20.5","1.02","199600"
"MTW","1990-06-22","21.0","21.0","20.75","1.03","1053600"
"MTW","1990-06-25","20.5","20.75","20.5","1.03","50800"
"MTW","1990-06-26","20.5","20.75","20.5","1.02","46800"
"MTW","1990-06-27","20.5","20.5","20.0","1.0","178800"
"MTW","1990-06-28","20.0","20.25","20.0","1.0","419200"
"MTW","1990-06-29","20.0","20.25","20.0","1.0","486000"
"MTW","1990-07-02","20.0","20.25","20.0","1.01","423600"
"MTW","1990-07-03","20.25","20.25","20.0","1.0","570400"
"MTW","1990-07-05","20.12","20.25","20.0","1.01","49200"
"MTW","1990-07-06","20.0","20.25","20.0","1.01","99600"
"MTW","1990-07-09","20.75","20.75","20.25","1.03","37600"
"MTW","1990-07-10","20.5","20.5","20.38","1.01","40000"
"MTW","1990-07-11","20.38","20.63","20.38","1.01","27600"
"MTW","1990-07-12","20.63","20.75","20.38","1.03","26800"
"MTW","1990-07-13","20.75","21.0","20.5","1.05","181600"
"MTW","1990-07-16","21.0","21.5","21.0","1.07","126400"
"MTW","1990-07-17","21.12","21.75","21.12","1.05","91600"
"MTW","1990-07-18","21.12","21.5","21.0","1.07","172800"
"MTW","1990-07-19","21.25","21.75","21.25","1.07","124800"
"MTW","1990-07-20","21.25","22.0","21.25","1.06","18400"
"MTW","1990-07-23","21.25","21.5","21.0","1.06","505600"
"MTW","1990-07-24","21.25","21.25","21.25","1.06","50800"
"MTW","1990-07-25","21.25","21.5","21.25","1.06","451600"
"MTW","1990-07-26","21.25","21.37","21.0","1.05","192400"
"MTW","1990-07-27","20.75","21.0","20.75","1.03","88800"
"MTW","1990-07-30","20.75","21.25","20.5","1.03","360000"
"MTW","1990-07-31","20.5","20.5","20.0","1.01","332800"
"MTW","1990-08-01","20.25","20.25","20.0","1.0","291600"
"MTW","1990-08-02","20.0","20.5","20.0","1.02","84400"
"MTW","1990-08-03","20.25","20.25","20.12","1.0","43200"
"MTW","1990-08-06","20.12","20.25","19.87","0.99","278800"
"MTW","1990-08-07","20.0","20.12","19.87","1.0","264400"
"MTW","1990-08-08","20.25","21.0","20.25","1.02","252000"
"MTW","1990-08-09","20.5","21.0","20.5","1.05","8800"
"MTW","1990-08-10","20.5","20.75","20.25","1.02","116800"
"MTW","1990-08-13","20.25","20.25","20.25","1.01","38400"
"MTW","1990-08-14","20.5","20.5","20.25","1.01","113200"
"MTW","1990-08-15","20.5","20.5","20.25","1.01","8800"
"MTW","1990-08-16","20.25","20.25","20.0","1.0","162400"
"MTW","1990-08-17","20.0","20.0","19.75","1.0","324400"
"MTW","1990-08-20","19.75","20.25","19.75","1.01","13200"
"MTW","1990-08-21","19.75","20.25","19.75","0.98","151200"
"MTW","1990-08-22","19.75","20.0","19.5","0.97","99600"
"MTW","1990-08-23","19.25","19.25","17.25","0.86","702000"
"MTW","1990-08-24","17.75","18.0","17.5","0.88","124800"
"MTW","1990-08-27","18.25","18.25","17.87","0.91","38400"
"MTW","1990-08-28","18.25","18.25","18.25","0.92","38400"
"MTW","1990-08-29","18.25","18.25","18.0","0.92","43600"
"MTW","1990-08-30","18.5","18.5","18.5","0.93","6000"
"MTW","1990-08-31","18.75","19.25","18.63","0.97","160000"
"MTW","1990-09-04","18.75","18.75","18.75","0.95","94000"
"MTW","1990-09-05","18.5","19.0","18.5","0.96","64800"
"MTW","1990-09-06","19.25","19.75","19.0","0.99","114000"
"MTW","1990-09-07","20.0","20.0","19.75","1.0","79200"
"MTW","1990-09-10","20.0","20.5","20.0","1.02","50800"
