"symbol","date","open","high","low","close","volume"
"MWO","2003-08-08","22.55","23.34","22.55","23.05","99900"
"MWO","2003-08-11","23.07","23.15","22.66","23.0","49900"
"MWO","2003-08-12","22.8","23.0","22.75","22.85","292400"
"MWO","2003-08-13","22.75","22.75","22.4","22.4","128200"
"MWO","2003-08-14","22.5","22.55","22.15","22.33","170800"
"MWO","2003-08-15","22.3","22.5","22.24","22.4","23400"
"MWO","2003-08-18","22.4","22.55","22.4","22.5","93800"
"MWO","2003-08-19","22.4","22.67","22.3","22.65","77000"
"MWO","2003-08-20","22.74","22.85","22.65","22.76","58600"
"MWO","2003-08-21","22.85","22.92","22.7","22.71","43600"
"MWO","2003-08-22","22.8","22.9","22.7","22.85","43600"
"MWO","2003-08-25","22.87","23.0","22.85","22.97","44000"
"MWO","2003-08-26","22.9","23.07","22.87","23.06","76000"
"MWO","2003-08-27","23.06","23.4","23.06","23.13","64400"
"MWO","2003-08-28","23.19","23.38","23.19","23.29","120500"
"MWO","2003-08-29","23.36","23.39","23.22","23.34","53200"
"MWO","2003-09-02","23.4","23.47","23.3","23.31","167200"
"MWO","2003-09-03","23.3","23.43","23.2","23.29","77200"
"MWO","2003-09-04","23.3","23.37","23.17","23.37","54900"
"MWO","2003-09-05","23.37","23.44","23.26","23.3","37800"
"MWO","2003-09-08","23.38","23.44","23.25","23.41","60000"
"MWO","2003-09-09","23.43","23.44","23.33","23.35","36500"
"MWO","2003-09-10","23.34","23.45","23.34","23.45","30600"
"MWO","2003-09-11","23.46","23.46","23.35","23.46","29500"
"MWO","2003-09-12","23.45","23.75","23.37","23.67","44000"
"MWO","2003-09-15","23.73","23.8","23.55","23.65","58700"
"MWO","2003-09-16","23.62","23.83","23.6","23.7","35200"
"MWO","2003-09-17","23.82","24.0","23.78","23.95","38300"
"MWO","2003-09-18","23.95","24.0","23.81","23.94","39300"
"MWO","2003-09-19","23.99","24.06","23.81","23.96","41200"
"MWO","2003-09-22","23.92","23.95","23.7","23.78","33300"
"MWO","2003-09-23","23.7","23.78","23.45","23.69","148300"
"MWO","2003-09-24","23.75","23.87","23.66","23.84","31100"
"MWO","2003-09-25","23.84","23.9","23.75","23.9","88200"
"MWO","2003-09-26","23.5","23.79","23.5","23.72","31000"
"MWO","2003-09-29","23.75","23.75","23.57","23.63","369700"
"MWO","2003-09-30","23.64","23.8","23.56","23.66","88400"
"MWO","2003-10-01","23.6","23.75","23.5","23.65","48600"
"MWO","2003-10-02","23.7","23.73","23.57","23.6","40500"
"MWO","2003-10-03","23.67","23.7","23.26","23.31","42600"
"MWO","2003-10-06","23.35","23.48","23.3","23.4","29200"
"MWO","2003-10-07","23.45","23.5","23.28","23.44","80300"
"MWO","2003-10-08","23.35","23.47","23.31","23.4","153300"
"MWO","2003-10-09","23.47","23.49","23.18","11.18","105900"
"MWO","2003-10-10","23.22","23.49","23.22","11.28","267800"
"MWO","2003-10-13","23.39","23.6","23.37","11.33","79800"
"MWO","2003-10-14","23.69","23.69","23.35","11.22","61900"
"MWO","2003-10-15","23.38","23.38","23.25","11.17","44800"
"MWO","2003-10-16","23.33","23.37","23.1","11.13","42200"
"MWO","2003-10-17","23.19","23.2","23.01","11.08","43400"
"MWO","2003-10-20","23.06","23.1","23.0","11.08","57300"
"MWO","2003-10-21","23.1","23.1","22.97","11.06","115600"
"MWO","2003-10-22","23.1","23.11","22.94","11.08","231000"
"MWO","2003-10-23","23.07","23.13","23.03","11.1","127300"
"MWO","2003-10-24","23.12","23.21","23.08","11.14","78300"
"MWO","2003-10-27","23.18","23.35","23.15","11.17","82300"
"MWO","2003-10-28","23.25","23.38","23.22","11.19","180100"
"MWO","2003-10-29","23.38","23.56","23.38","11.28","125900"
"MWO","2003-10-30","23.44","23.7","23.42","11.37","87000"
"MWO","2003-10-31","23.68","23.79","23.56","11.43","47200"
"MWO","2003-11-03","23.8","23.8","23.66","11.4","65900"
"MWO","2003-11-04","23.75","23.79","23.63","11.4","70700"
"MWO","2003-11-05","23.7","23.84","23.62","11.45","53000"
"MWO","2003-11-06","23.9","23.9","23.72","11.42","57800"
"MWO","2003-11-07","23.75","23.8","23.72","11.4","77600"
"MWO","2003-11-10","23.74","23.83","23.73","11.43","72600"
"MWO","2003-11-11","23.83","23.89","23.75","11.46","47000"
"MWO","2003-11-12","23.89","23.9","23.77","11.45","43300"
"MWO","2003-11-13","23.9","24.03","23.83","11.54","89400"
"MWO","2003-11-14","24.04","24.04","23.7","11.55","44600"
"MWO","2003-11-17","24.04","24.05","23.87","11.51","53200"
"MWO","2003-11-18","24.0","24.1","23.91","11.49","75400"
"MWO","2003-11-19","23.96","24.03","23.8","11.43","36800"
"MWO","2003-11-20","23.9","24.0","23.85","11.48","35500"
"MWO","2003-11-21","23.9","24.05","23.89","11.5","49400"
"MWO","2003-11-24","23.92","24.05","23.9","11.51","60800"
"MWO","2003-11-25","24.0","24.05","23.89","11.53","37500"
"MWO","2003-11-26","23.97","24.3","23.91","11.62","60500"
"MWO","2003-11-28","24.25","24.25","24.0","11.61","20000"
"MWO","2003-12-01","24.12","24.15","23.97","11.55","84000"
"MWO","2003-12-02","24.03","24.12","23.95","11.58","234800"
"MWO","2003-12-03","24.07","24.12","24.02","11.56","53100"
"MWO","2003-12-04","24.05","24.05","23.95","11.54","100700"
"MWO","2003-12-05","24.0","24.02","23.96","11.54","21200"
"MWO","2003-12-08","24.0","24.02","23.91","11.52","57600"
"MWO","2003-12-09","23.95","24.0","23.9","11.5","123800"
"MWO","2003-12-10","23.9","24.06","23.9","11.55","52400"
"MWO","2003-12-11","24.05","24.08","23.93","11.53","44800"
"MWO","2003-12-12","24.0","24.05","23.93","11.5","33200"
"MWO","2003-12-15","23.95","24.0","23.91","11.49","68700"
"MWO","2003-12-16","24.0","24.2","23.94","11.61","80800"
"MWO","2003-12-17","24.2","24.24","24.08","11.63","60500"
"MWO","2003-12-18","24.11","25.28","24.09","11.7","154700"
"MWO","2003-12-19","24.4","24.5","24.25","11.77","46400"
"MWO","2003-12-22","24.42","24.57","24.34","11.7","61100"
"MWO","2003-12-23","24.4","24.5","24.35","11.72","54300"
"MWO","2003-12-24","24.47","24.55","24.43","11.76","61700"
"MWO","2003-12-26","24.51","24.53","24.45","11.77","21700"
"MWO","2003-12-29","24.04","24.1","24.02","11.74","123100"
"MWO","2003-12-30","24.04","24.15","23.95","11.77","70900"
"MWO","2003-12-31","24.12","24.15","24.08","11.76","39000"
"MWO","2004-01-02","24.17","24.17","24.09","11.77","32100"
"MWO","2004-01-05","24.14","24.14","23.97","11.75","52700"
"MWO","2004-01-06","24.1","24.25","24.1","11.8","249500"
"MWO","2004-01-07","24.23","24.35","24.22","11.86","187700"
"MWO","2004-01-08","24.32","24.4","24.26","11.88","111800"
"MWO","2004-01-09","24.38","24.49","24.35","11.92","68500"
"MWO","2004-01-12","24.37","24.46","24.3","11.89","116300"
"MWO","2004-01-13","24.35","24.48","24.33","11.93","110100"
"MWO","2004-01-14","24.5","24.55","24.4","11.95","170400"
"MWO","2004-01-15","24.5","24.6","24.5","11.99","57300"
"MWO","2004-01-16","24.59","24.65","24.52","12.01","213000"
"MWO","2004-01-20","24.62","24.65","24.5","11.99","143600"
"MWO","2004-01-21","24.59","24.68","24.51","12.02","94200"
"MWO","2004-01-22","24.62","24.68","24.57","12.02","128700"
"MWO","2004-01-23","24.7","24.73","24.63","12.02","86100"
"MWO","2004-01-26","24.62","24.74","24.62","12.01","60400"
"MWO","2004-01-27","24.69","24.69","24.57","12.01","172600"
"MWO","2004-01-28","24.65","24.72","24.56","12.01","160500"
"MWO","2004-01-29","24.53","24.65","24.52","11.96","187700"
"MWO","2004-01-30","24.65","24.65","24.55","11.97","157600"
"MWO","2004-02-02","24.59","24.62","24.38","11.95","105500"
"MWO","2004-02-03","24.52","24.61","24.5","11.99","66400"
"MWO","2004-02-04","24.58","24.58","24.5","11.96","128200"
"MWO","2004-02-05","24.55","24.55","24.51","11.95","109300"
"MWO","2004-02-06","24.51","24.63","24.51","12.01","150600"
"MWO","2004-02-09","24.54","24.59","24.5","11.96","101200"
"MWO","2004-02-10","24.45","24.52","24.41","11.92","81600"
"MWO","2004-02-11","24.51","24.55","24.44","11.94","75200"
"MWO","2004-02-12","24.54","24.59","24.4","11.92","91200"
"MWO","2004-02-13","24.42","24.52","24.4","11.94","62900"
"MWO","2004-02-17","24.42","24.51","24.41","11.93","96600"
"MWO","2004-02-18","24.47","24.52","24.43","11.94","88600"
"MWO","2004-02-19","24.5","24.55","24.45","11.94","138700"
"MWO","2004-02-20","24.53","24.55","24.48","11.94","48800"
"MWO","2004-02-23","24.53","24.6","24.48","11.99","45000"
"MWO","2004-02-24","24.6","24.62","24.4","11.99","87100"
"MWO","2004-02-25","24.52","24.59","24.45","11.96","59700"
"MWO","2004-02-26","24.56","24.57","24.49","11.97","31300"
"MWO","2004-02-27","24.58","24.63","24.52","11.96","47300"
"MWO","2004-03-01","24.58","24.69","24.58","12.03","115600"
"MWO","2004-03-02","24.63","24.75","24.61","12.01","59800"
"MWO","2004-03-03","24.72","24.74","24.65","12.04","42000"
"MWO","2004-03-04","24.74","24.74","24.67","12.04","67600"
"MWO","2004-03-05","24.7","24.85","24.7","12.08","47900"
"MWO","2004-03-08","24.78","24.88","24.78","12.09","41000"
"MWO","2004-03-09","24.81","24.89","24.79","12.08","102000"
"MWO","2004-03-10","24.85","24.88","24.78","12.09","68600"
"MWO","2004-03-11","24.8","24.88","24.8","12.11","67200"
"MWO","2004-03-12","24.88","24.9","24.82","12.12","62200"
"MWO","2004-03-15","24.9","24.97","24.86","12.14","88600"
"MWO","2004-03-16","24.94","24.96","24.87","12.15","65200"
"MWO","2004-03-17","24.96","25.0","24.8","12.17","132900"
"MWO","2004-03-18","24.92","24.97","24.87","12.16","79900"
"MWO","2004-03-19","24.97","24.97","24.88","12.14","54400"
"MWO","2004-03-22","24.95","24.95","24.85","12.13","39500"
"MWO","2004-03-23","24.9","25.03","24.9","12.19","139900"
"MWO","2004-03-24","25.03","25.05","24.98","12.2","79600"
"MWO","2004-03-25","25.0","25.02","24.93","12.18","71600"
"MWO","2004-03-26","24.96","25.05","24.95","12.19","61000"
"MWO","2004-03-29","24.66","24.73","24.64","12.22","122700"
"MWO","2004-03-30","24.71","24.74","24.67","12.23","81300"
"MWO","2004-03-31","24.74","24.75","24.68","12.24","80100"
"MWO","2004-04-01","24.74","24.74","24.64","12.21","55000"
"MWO","2004-04-02","24.5","24.5","24.26","12.09","85400"
"MWO","2004-04-05","24.4","24.46","24.1","12.0","45600"
"MWO","2004-04-06","24.31","24.38","24.28","12.05","106500"
"MWO","2004-04-07","24.3","24.41","24.3","12.06","37000"
"MWO","2004-04-08","24.32","24.44","24.22","12.02","33500"
"MWO","2004-04-12","24.3","24.33","24.08","11.94","166000"
"MWO","2004-04-13","24.08","24.08","23.67","11.73","56300"
"MWO","2004-04-14","23.6","23.6","23.06","11.61","105800"
"MWO","2004-04-15","23.25","23.56","23.2","11.55","59400"
"MWO","2004-04-16","23.5","23.63","23.47","11.68","59800"
"MWO","2004-04-19","23.57","23.8","23.51","11.63","33100"
"MWO","2004-04-20","23.5","23.63","23.36","11.55","58200"
"MWO","2004-04-21","23.21","23.28","23.0","11.43","56000"
