"symbol","date","open","high","low","close","volume"
"NBIX","1996-05-23","12.0","13.25","11.0","12.5","4194100"
"NBIX","1996-05-24","12.25","13.0","11.75","11.75","623500"
"NBIX","1996-05-28","11.75","12.12","10.75","10.88","592500"
"NBIX","1996-05-29","10.75","11.12","10.75","10.88","225500"
"NBIX","1996-05-30","10.75","11.0","10.5","10.75","157400"
"NBIX","1996-05-31","10.88","11.5","10.62","11.0","410600"
"NBIX","1996-06-03","11.0","11.25","10.5","10.75","129200"
"NBIX","1996-06-04","10.62","11.25","10.5","11.0","33500"
"NBIX","1996-06-05","10.94","11.25","10.62","11.25","31800"
"NBIX","1996-06-06","11.0","11.25","10.5","10.5","125700"
"NBIX","1996-06-07","10.5","10.88","10.5","10.5","104200"
"NBIX","1996-06-10","10.69","10.88","10.5","10.62","80900"
"NBIX","1996-06-11","11.0","11.0","10.5","10.5","14600"
"NBIX","1996-06-12","10.94","11.0","10.5","10.62","67200"
"NBIX","1996-06-13","10.5","11.0","10.5","10.5","26000"
"NBIX","1996-06-14","10.75","11.25","10.75","11.0","37000"
"NBIX","1996-06-17","11.25","11.25","10.75","11.12","131600"
"NBIX","1996-06-18","11.88","12.0","11.25","11.62","213400"
"NBIX","1996-06-19","11.75","11.75","10.5","10.5","200600"
"NBIX","1996-06-20","10.75","10.75","9.5","10.0","307500"
"NBIX","1996-06-21","10.0","10.0","9.5","10.0","74200"
"NBIX","1996-06-24","9.5","9.75","9.0","9.5","70800"
"NBIX","1996-06-25","9.5","10.0","9.0","9.38","113000"
"NBIX","1996-06-26","9.5","9.75","9.0","9.0","84800"
"NBIX","1996-06-27","9.5","9.5","8.25","8.25","91800"
"NBIX","1996-06-28","8.88","8.88","8.12","8.88","89200"
"NBIX","1996-07-01","8.5","8.75","8.0","8.69","89800"
"NBIX","1996-07-02","8.75","8.75","8.0","8.0","71500"
"NBIX","1996-07-03","8.0","8.5","7.75","7.88","160000"
"NBIX","1996-07-05","8.0","8.06","8.0","8.0","3300"
"NBIX","1996-07-08","8.0","8.25","7.75","8.25","21200"
"NBIX","1996-07-09","7.75","8.25","7.75","8.25","4800"
"NBIX","1996-07-10","7.88","8.25","7.75","8.25","115100"
"NBIX","1996-07-11","8.0","8.25","7.75","8.0","37800"
"NBIX","1996-07-12","8.25","8.25","7.0","7.25","53000"
"NBIX","1996-07-15","7.5","7.5","6.75","7.0","42300"
"NBIX","1996-07-16","6.5","7.0","6.5","7.0","91600"
"NBIX","1996-07-17","7.25","7.88","7.0","7.88","311800"
"NBIX","1996-07-18","7.38","7.88","7.38","7.62","290900"
"NBIX","1996-07-19","7.56","9.25","7.56","8.88","88900"
"NBIX","1996-07-22","8.75","9.5","8.75","9.0","78500"
"NBIX","1996-07-23","8.75","9.5","8.75","8.75","33000"
"NBIX","1996-07-24","8.5","9.0","8.5","8.75","9000"
"NBIX","1996-07-25","8.75","9.0","8.25","8.5","145100"
"NBIX","1996-07-26","8.25","8.25","7.75","8.0","35100"
"NBIX","1996-07-29","8.25","8.25","7.75","7.75","11900"
"NBIX","1996-07-30","8.25","8.25","7.75","7.75","47000"
"NBIX","1996-07-31","8.25","8.25","8.0","8.0","33900"
"NBIX","1996-08-01","8.25","8.25","8.0","8.0","48100"
"NBIX","1996-08-02","8.25","8.5","8.0","8.12","48700"
"NBIX","1996-08-05","8.38","8.38","8.0","8.38","43800"
"NBIX","1996-08-06","8.38","8.38","8.0","8.12","32300"
"NBIX","1996-08-07","8.62","8.62","8.0","8.0","43500"
"NBIX","1996-08-08","8.5","8.5","8.0","8.5","17800"
"NBIX","1996-08-09","8.0","8.5","8.0","8.5","28900"
"NBIX","1996-08-12","8.5","8.5","8.25","8.5","14300"
"NBIX","1996-08-13","8.5","8.5","8.25","8.38","35800"
"NBIX","1996-08-14","8.5","8.5","8.25","8.25","14600"
"NBIX","1996-08-15","8.38","8.5","8.38","8.5","4900"
"NBIX","1996-08-16","8.5","9.0","8.25","9.0","46300"
"NBIX","1996-08-19","9.25","9.25","8.88","8.88","10300"
"NBIX","1996-08-20","9.25","9.25","8.75","8.94","44800"
"NBIX","1996-08-21","9.12","9.12","8.62","8.88","33900"
"NBIX","1996-08-22","8.88","9.12","8.62","8.75","15800"
"NBIX","1996-08-23","9.12","9.12","8.5","9.0","24200"
"NBIX","1996-08-26","9.0","9.0","8.5","8.75","43500"
"NBIX","1996-08-27","8.88","8.88","8.5","8.62","58600"
"NBIX","1996-08-28","8.88","8.88","8.38","8.38","19400"
"NBIX","1996-08-29","8.88","8.88","8.38","8.62","11700"
"NBIX","1996-08-30","8.38","8.88","8.38","8.5","5900"
"NBIX","1996-09-03","8.88","8.88","8.38","8.5","37200"
"NBIX","1996-09-04","8.88","8.88","8.38","8.38","8000"
"NBIX","1996-09-05","8.75","8.75","8.38","8.44","11600"
"NBIX","1996-09-06","8.38","8.75","8.38","8.38","4500"
"NBIX","1996-09-09","8.5","8.75","8.38","8.75","10600"
"NBIX","1996-09-10","8.75","8.75","8.25","8.38","39300"
"NBIX","1996-09-11","8.62","8.62","8.12","8.5","48100"
"NBIX","1996-09-12","8.62","9.12","8.5","8.62","175200"
"NBIX","1996-09-13","9.0","9.0","8.5","8.69","148000"
"NBIX","1996-09-16","8.75","8.88","8.5","8.75","372200"
"NBIX","1996-09-17","9.0","9.38","8.88","9.25","457200"
"NBIX","1996-09-18","9.25","10.38","9.12","10.38","332400"
"NBIX","1996-09-19","10.5","11.25","10.5","10.75","356500"
"NBIX","1996-09-20","11.0","11.75","10.62","10.94","212000"
"NBIX","1996-09-23","11.0","11.38","10.62","10.88","57500"
"NBIX","1996-09-24","11.0","11.25","10.62","10.62","103400"
"NBIX","1996-09-25","10.38","10.75","10.12","10.62","40600"
"NBIX","1996-09-26","10.62","10.62","10.12","10.62","117400"
"NBIX","1996-09-27","10.38","11.25","10.38","11.0","29100"
"NBIX","1996-09-30","10.75","12.38","10.75","11.38","145200"
"NBIX","1996-10-01","11.38","11.38","10.88","11.38","77700"
"NBIX","1996-10-02","11.38","12.0","11.0","11.5","102500"
"NBIX","1996-10-03","11.5","12.0","11.0","12.0","105300"
"NBIX","1996-10-04","11.75","12.5","11.75","12.44","137200"
"NBIX","1996-10-07","12.75","13.0","12.5","13.0","159600"
"NBIX","1996-10-08","13.0","13.0","12.0","12.38","116700"
"NBIX","1996-10-09","12.0","12.0","10.5","11.0","137100"
"NBIX","1996-10-10","10.88","12.25","10.88","11.88","195600"
"NBIX","1996-10-11","12.0","12.0","11.0","11.5","31400"
"NBIX","1996-10-14","11.5","11.5","11.0","11.25","14300"
"NBIX","1996-10-15","11.25","11.62","11.0","11.12","23800"
"NBIX","1996-10-16","11.38","11.38","10.75","10.75","23800"
"NBIX","1996-10-17","10.88","11.12","10.62","10.94","73900"
"NBIX","1996-10-18","11.12","11.12","10.62","10.75","102700"
"NBIX","1996-10-21","11.38","12.62","11.12","11.12","300200"
"NBIX","1996-10-22","11.38","11.62","10.75","10.88","269200"
"NBIX","1996-10-23","11.25","11.25","10.62","11.12","142100"
"NBIX","1996-10-24","11.38","11.38","10.88","11.12","155100"
"NBIX","1996-10-25","10.88","11.38","10.88","11.12","11300"
"NBIX","1996-10-28","11.12","11.12","10.62","10.94","65700"
"NBIX","1996-10-29","10.62","11.0","10.12","10.25","36600"
"NBIX","1996-10-30","10.12","10.5","10.12","10.38","9500"
"NBIX","1996-10-31","10.5","11.0","10.25","11.0","47900"
"NBIX","1996-11-01","11.0","11.0","10.62","10.75","75600"
"NBIX","1996-11-04","10.62","11.0","10.62","10.88","125600"
"NBIX","1996-11-05","11.0","11.0","10.62","10.75","15600"
"NBIX","1996-11-06","10.88","11.25","10.75","11.0","121900"
"NBIX","1996-11-07","11.0","11.5","11.0","11.12","84100"
"NBIX","1996-11-08","11.0","11.38","11.0","11.38","27700"
"NBIX","1996-11-11","11.38","11.5","11.0","11.12","40800"
"NBIX","1996-11-12","11.12","11.25","11.0","11.06","107400"
"NBIX","1996-11-13","11.25","11.25","10.38","10.38","74600"
"NBIX","1996-11-14","10.38","10.75","10.0","10.12","27800"
