"symbol","date","open","high","low","close","volume"
"NCBS","2016-02-24","32.0","32.5","32.0","32.49","2210"
"NCBS","2016-02-25","32.6","32.89","32.0","32.1","2846"
"NCBS","2016-02-26","31.76","31.76","31.0","31.0","3480"
"NCBS","2016-03-04","31.39","31.4","31.39","31.4","3016"
"NCBS","2016-03-07","31.75","31.75","31.4","31.5","2803"
"NCBS","2016-03-08","31.5","31.9","31.47","31.9","7522"
"NCBS","2016-03-10","31.91","32.75","31.91","32.75","1725"
"NCBS","2016-03-14","33.5","33.5","33.2","33.24","2861"
"NCBS","2016-03-15","33.39","33.5","33.28","33.5","5095"
"NCBS","2016-03-16","33.49","34.38","33.49","34.38","593"
"NCBS","2016-03-17","34.38","35.02","34.38","35.0","2686"
"NCBS","2016-03-18","35.0","35.5","35.0","35.01","3183"
"NCBS","2016-03-21","35.0","36.0","35.0","35.0","5549"
"NCBS","2016-03-22","35.96","35.96","35.0","35.7","2009"
"NCBS","2016-03-23","35.75","38.0","35.75","38.0","3785"
"NCBS","2016-03-24","37.45","37.45","37.2","37.2","1460"
"NCBS","2016-03-28","37.25","37.41","36.96","36.96","17053"
"NCBS","2016-03-29","37.88","37.9","37.14","37.9","1367"
"NCBS","2016-03-30","38.0","38.91","38.0","38.1","3739"
"NCBS","2016-03-31","38.4","38.9","37.95","38.85","5484"
"NCBS","2016-04-01","37.97","38.1","37.04","38.1","4487"
"NCBS","2016-04-04","38.98","38.98","38.0","38.3","6017"
"NCBS","2016-04-05","37.4","37.99","37.4","37.43","2430"
"NCBS","2016-04-06","37.89","37.89","37.0","37.19","4859"
"NCBS","2016-04-07","37.38","37.38","36.0","36.99","1897"
"NCBS","2016-04-08","37.29","37.29","37.0","37.28","2008"
"NCBS","2016-04-11","37.23","37.23","36.0","36.0","2950"
"NCBS","2016-04-12","37.05","37.69","36.99","37.29","5412"
"NCBS","2016-04-13","37.23","37.23","33.72","35.3","6874"
"NCBS","2016-04-14","37.33","37.7","36.95","37.25","6085"
"NCBS","2016-04-15","37.6","37.9","37.19","37.19","3779"
"NCBS","2016-04-18","37.93","37.99","37.49","37.5","3510"
"NCBS","2016-04-19","37.75","37.89","37.16","37.43","5183"
"NCBS","2016-04-20","35.58","38.39","35.58","38.32","4817"
"NCBS","2016-04-21","37.26","38.38","37.02","38.0","3546"
"NCBS","2016-04-22","37.01","37.9","37.01","37.86","2619"
"NCBS","2016-04-25","37.45","38.0","37.04","38.0","3548"
"NCBS","2016-04-26","37.8","38.5","37.21","38.5","9170"
"NCBS","2016-04-27","37.68","39.0","37.68","39.0","30865"
"NCBS","2016-04-28","38.36","39.3","38.36","38.85","40527"
"NCBS","2016-04-29","38.85","41.84","38.5","38.5","38123"
"NCBS","2016-05-02","39.5","47.0","39.5","45.5","82652"
"NCBS","2016-05-03","44.5","45.72","42.4","45.09","483793"
"NCBS","2016-05-04","44.78","45.0","39.75","44.65","168684"
"NCBS","2016-05-05","44.99","44.99","43.86","44.4","70030"
"NCBS","2016-05-06","44.4","44.95","43.22","44.7","65934"
"NCBS","2016-05-09","44.51","45.0","43.51","44.86","45475"
"NCBS","2016-05-10","44.86","44.94","44.56","44.9","34234"
"NCBS","2016-05-11","44.07","44.85","43.88","44.03","33143"
"NCBS","2016-05-12","43.78","44.0","42.3","43.48","27284"
"NCBS","2016-05-13","42.99","43.46","42.27","42.55","30916"
"NCBS","2016-05-16","42.13","42.75","42.13","42.46","30201"
"NCBS","2016-05-17","42.42","42.49","39.02","39.15","55014"
"NCBS","2016-05-18","40.31","40.31","39.07","39.35","35107"
"NCBS","2016-05-19","39.25","39.26","38.15","38.8","34386"
"NCBS","2016-05-20","38.74","39.33","38.35","38.86","20360"
"NCBS","2016-05-23","38.21","38.86","35.76","36.16","50531"
"NCBS","2016-05-24","36.16","37.5","36.01","36.39","26357"
"NCBS","2016-05-25","35.85","36.48","35.21","35.44","9878"
"NCBS","2016-05-26","36.0","37.68","35.37","37.34","18005"
"NCBS","2016-05-27","37.35","38.61","36.8","36.97","14013"
"NCBS","2016-05-31","37.05","38.18","35.79","38.0","25832"
"NCBS","2016-06-01","37.09","38.91","37.03","37.07","13042"
"NCBS","2016-06-02","37.27","37.54","36.61","37.08","10496"
"NCBS","2016-06-03","36.98","38.25","36.14","37.86","14332"
"NCBS","2016-06-06","39.5","40.01","37.48","37.67","29352"
"NCBS","2016-06-07","37.67","37.67","36.83","37.0","2486"
