"symbol","date","open","high","low","close","volume"
"NEE","1983-06-10","35.5","35.62","35.38","1.86","1200000"
"NEE","1983-06-13","35.75","35.75","35.5","1.86","922000"
"NEE","1983-06-14","35.75","36.25","35.75","1.88","555200"
"NEE","1983-06-15","36.12","36.5","36.0","1.9","438800"
"NEE","1983-06-16","36.5","36.62","36.25","1.89","1814000"
"NEE","1983-06-17","36.38","36.38","36.0","1.9","432800"
"NEE","1983-06-20","36.38","36.38","36.0","1.88","1311200"
"NEE","1983-06-21","36.0","36.0","35.62","1.87","1586000"
"NEE","1983-06-22","35.88","36.0","35.75","1.87","818400"
"NEE","1983-06-23","35.88","35.88","35.62","1.86","232800"
"NEE","1983-06-24","35.62","35.88","35.62","1.86","213200"
"NEE","1983-06-27","35.75","36.12","35.62","1.87","207600"
"NEE","1983-06-28","35.88","35.88","35.5","1.86","954400"
"NEE","1983-06-29","35.5","35.62","35.5","1.86","274400"
"NEE","1983-06-30","35.75","35.88","35.5","1.86","942400"
"NEE","1983-07-01","35.75","35.75","35.5","1.86","784000"
"NEE","1983-07-05","35.5","35.5","35.25","1.84","342400"
"NEE","1983-07-06","35.25","35.5","35.25","1.85","674400"
"NEE","1983-07-07","35.5","35.5","35.38","1.84","214800"
"NEE","1983-07-08","35.5","35.75","35.0","1.86","1296400"
"NEE","1983-07-11","35.75","35.88","35.5","1.85","252000"
"NEE","1983-07-12","35.62","35.88","35.62","1.87","606000"
"NEE","1983-07-13","36.0","36.25","36.0","1.88","631200"
"NEE","1983-07-14","36.12","36.5","36.12","1.9","706800"
"NEE","1983-07-15","36.38","36.5","36.25","1.89","135600"
"NEE","1983-07-18","36.38","36.5","36.25","1.9","616800"
"NEE","1983-07-19","36.5","36.62","36.38","1.91","1185600"
"NEE","1983-07-20","36.88","37.5","36.88","1.94","1650400"
"NEE","1983-07-21","37.38","37.38","37.25","1.95","463600"
"NEE","1983-07-22","37.25","37.38","37.0","1.94","350800"
"NEE","1983-07-25","37.25","37.38","37.12","1.94","185200"
"NEE","1983-07-26","37.25","37.38","37.12","1.95","562800"
"NEE","1983-07-27","37.25","37.38","37.25","1.95","476800"
"NEE","1983-07-28","37.62","37.88","37.25","1.95","602400"
"NEE","1983-07-29","37.5","37.5","36.88","1.94","316000"
"NEE","1983-08-01","37.25","37.5","37.12","1.96","654800"
"NEE","1983-08-02","37.5","37.75","37.25","1.97","171600"
"NEE","1983-08-03","37.75","37.75","37.38","1.96","118400"
"NEE","1983-08-04","37.62","37.75","37.25","1.95","490000"
"NEE","1983-08-05","37.25","37.38","37.0","1.94","154000"
"NEE","1983-08-08","37.12","37.25","37.0","1.94","142800"
"NEE","1983-08-09","37.0","37.25","37.0","1.94","539200"
"NEE","1983-08-10","37.12","37.38","37.0","1.95","292400"
"NEE","1983-08-11","37.38","37.62","37.38","1.96","1874000"
"NEE","1983-08-12","37.5","37.62","37.5","1.96","378800"
"NEE","1983-08-15","37.62","37.75","37.5","1.96","1738400"
"NEE","1983-08-16","37.62","37.62","37.5","1.96","150800"
"NEE","1983-08-17","37.62","37.62","37.5","1.96","178000"
