"symbol","date","open","high","low","close","volume"
"NEN","1995-08-18","6.63","6.63","6.63","0.94","1800"
"NEN","1995-08-21","6.25","6.63","6.25","0.94","10200"
"NEN","1995-08-22","6.63","6.63","6.63","0.94","0"
"NEN","1995-08-23","6.63","6.63","6.59","0.93","18600"
"NEN","1995-08-24","6.25","6.25","6.25","0.89","1500"
"NEN","1995-08-25","6.63","6.63","6.63","0.94","4800"
"NEN","1995-08-28","6.63","6.63","6.63","0.94","0"
"NEN","1995-08-29","6.25","6.25","6.25","0.89","1800"
"NEN","1995-08-30","6.25","6.25","6.25","0.89","0"
"NEN","1995-08-31","6.25","6.25","6.25","0.89","0"
"NEN","1995-09-01","6.25","6.25","6.25","0.89","0"
"NEN","1995-09-05","6.25","6.25","6.25","0.89","0"
"NEN","1995-09-06","6.25","6.25","6.25","0.89","4200"
"NEN","1995-09-07","6.63","6.63","6.63","0.94","11700"
"NEN","1995-09-08","6.63","6.63","6.38","0.9","18600"
"NEN","1995-09-11","6.63","6.63","6.63","0.94","6600"
"NEN","1995-09-12","6.25","6.63","6.25","0.94","77400"
"NEN","1995-09-13","6.63","6.63","6.63","0.96","0"
"NEN","1995-09-14","6.38","6.5","6.38","0.95","5100"
"NEN","1995-09-15","6.38","6.38","6.38","0.93","1800"
"NEN","1995-09-18","6.38","6.63","6.38","0.96","24000"
"NEN","1995-09-19","6.63","6.63","6.63","0.96","11700"
"NEN","1995-09-20","6.63","6.63","6.38","0.93","5100"
"NEN","1995-09-21","6.38","6.38","6.38","0.93","4800"
"NEN","1995-09-22","6.63","6.63","6.63","0.96","9900"
"NEN","1995-09-25","6.25","6.38","6.25","0.93","4200"
"NEN","1995-09-26","6.25","6.25","6.25","0.91","900"
"NEN","1995-09-27","6.25","6.25","6.25","0.91","0"
"NEN","1995-09-28","6.25","6.25","6.25","0.91","900"
"NEN","1995-09-29","6.25","6.25","6.25","0.91","0"
"NEN","1995-10-02","6.38","6.38","6.38","0.93","11700"
"NEN","1995-10-03","6.38","6.38","6.38","0.93","0"
"NEN","1995-10-04","6.25","6.25","6.25","0.91","3600"
"NEN","1995-10-05","6.25","6.25","6.25","0.91","600"
"NEN","1995-10-06","6.25","6.25","6.25","0.91","0"
"NEN","1995-10-09","6.25","6.25","6.25","0.91","0"
"NEN","1995-10-10","6.25","6.63","6.25","0.96","7500"
"NEN","1995-10-11","6.63","6.63","6.63","0.96","10200"
"NEN","1995-10-12","6.25","6.25","6.25","0.91","14100"
"NEN","1995-10-13","6.25","6.25","6.25","0.91","0"
"NEN","1995-10-16","6.25","6.25","6.25","0.91","0"
"NEN","1995-10-17","6.25","6.25","6.25","0.91","4200"
"NEN","1995-10-18","6.13","6.13","6.13","0.89","4800"
"NEN","1995-10-19","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-20","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-23","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-24","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-25","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-26","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-27","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-30","6.13","6.13","6.13","0.89","0"
"NEN","1995-10-31","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-01","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-02","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-03","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-06","6.13","6.13","6.13","0.89","2700"
"NEN","1995-11-07","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-08","6.13","6.13","6.13","0.89","600"
"NEN","1995-11-09","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-10","6.25","6.25","6.13","0.89","1500"
"NEN","1995-11-13","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-14","6.13","6.13","6.13","0.89","0"
"NEN","1995-11-15","6.19","6.25","6.13","0.91","21000"
"NEN","1995-11-16","6.25","6.25","6.25","0.91","0"
"NEN","1995-11-17","6.38","6.38","6.25","0.91","5100"
"NEN","1995-11-20","6.25","6.25","6.25","0.91","0"
"NEN","1995-11-21","6.0","6.0","6.0","0.87","1800"
"NEN","1995-11-22","6.0","6.0","6.0","0.87","0"
"NEN","1995-11-24","6.0","6.0","6.0","0.87","0"
"NEN","1995-11-27","6.25","6.25","5.88","0.85","1500"
"NEN","1995-11-28","5.88","6.13","5.88","0.89","6600"
"NEN","1995-11-29","6.13","6.25","5.88","0.91","36000"
"NEN","1995-11-30","5.88","5.88","5.88","0.85","1800"
"NEN","1995-12-01","5.88","5.88","5.88","0.85","0"
"NEN","1995-12-04","5.88","5.88","5.88","0.85","900"
"NEN","1995-12-05","6.25","6.25","6.25","0.91","600"
"NEN","1995-12-06","6.0","6.75","6.0","0.95","86400"
"NEN","1995-12-07","6.5","6.5","6.5","0.95","3300"
"NEN","1995-12-08","6.5","6.5","6.5","0.95","4800"
"NEN","1995-12-11","6.38","6.38","6.38","0.93","3300"
