"symbol","date","open","high","low","close","volume"
"NEOT","2014-11-20","14.0","14.1","11.27","12.0","3113581"
"NEOT","2014-11-21","11.82","12.0","11.17","11.25","212496"
"NEOT","2014-11-24","11.1","11.17","10.63","11.0","35419"
"NEOT","2014-11-25","11.0","11.26","11.0","11.13","5773"
"NEOT","2014-11-26","11.09","11.13","10.5","10.59","76520"
"NEOT","2014-11-28","10.78","10.97","10.55","10.785","6273"
"NEOT","2014-12-01","10.65","10.83","10.0","10.17","114737"
"NEOT","2014-12-02","10.5","10.5","9.27","9.6","70574"
"NEOT","2014-12-03","9.83","9.83","8.55","8.75","121337"
"NEOT","2014-12-04","8.68","9.25","8.0","8.7","152708"
"NEOT","2014-12-05","8.5","8.5","8.0","8.38","95705"
"NEOT","2014-12-08","8.04","8.15","7.4","7.7","90783"
"NEOT","2014-12-09","7.71","7.71","7.43","7.55","47480"
"NEOT","2014-12-10","7.7","8.9","7.46","8.5","123380"
"NEOT","2014-12-11","8.73","8.73","7.57","7.97","40508"
"NEOT","2014-12-12","7.98","7.98","7.44","7.49","32446"
"NEOT","2014-12-15","8.0","8.0","7.28","7.41","136149"
"NEOT","2014-12-16","7.5","7.58","7.41","7.45","70462"
"NEOT","2014-12-17","7.45","7.58","6.93","7.1","38167"
"NEOT","2014-12-18","7.1","7.29","6.95","6.99","34419"
"NEOT","2014-12-19","6.94","6.94","6.34","6.57","78298"
"NEOT","2014-12-22","6.5","6.5","6.32","6.47","32844"
"NEOT","2014-12-23","6.45","6.51","6.11","6.4","21385"
"NEOT","2014-12-24","6.36","6.74","6.24","6.65","26036"
"NEOT","2014-12-26","6.54","7.24","6.47","7.15","47474"
"NEOT","2014-12-29","7.3","7.3","6.87","6.87","32195"
"NEOT","2014-12-30","6.7","7.0","6.6","6.869","43514"
"NEOT","2014-12-31","6.9","7.54","6.9","7.48","145167"
"NEOT","2015-01-02","7.5","7.59","7.26","7.36","20055"
"NEOT","2015-01-05","7.4","7.4","7.17","7.34","12505"
"NEOT","2015-01-06","7.5","7.78","7.07","7.24","24672"
"NEOT","2015-01-07","7.25","7.25","6.8","7.12","30827"
"NEOT","2015-01-08","7.12","7.34","6.91","7.12","20078"
"NEOT","2015-01-09","7.25","7.47","7.03","7.42","12850"
"NEOT","2015-01-12","7.19","7.5","6.91","7.41","26172"
"NEOT","2015-01-13","7.5","7.5","6.9","6.99","19610"
"NEOT","2015-01-14","7.08","7.08","6.76","6.99","43607"
"NEOT","2015-01-15","7.27","7.27","6.87","6.872","18407"
"NEOT","2015-01-16","6.88","7.01","6.67","6.77","18853"
"NEOT","2015-01-20","6.78","6.92","6.68","6.85","5336"
"NEOT","2015-01-21","6.84","6.85","6.67","6.74","19201"
"NEOT","2015-01-22","6.74","6.75","6.45","6.75","21905"
"NEOT","2015-01-23","6.79","6.8","6.51","6.69","17178"
"NEOT","2015-01-26","6.77","6.96","6.7","6.92","15283"
"NEOT","2015-01-27","6.89","7.17","6.82","6.87","18525"
"NEOT","2015-01-28","6.78","7.0","6.42","6.46","36204"
"NEOT","2015-01-29","6.5","6.66","6.45","6.6","68045"
"NEOT","2015-01-30","6.59","6.87","6.52","6.67","5076"
"NEOT","2015-02-02","6.58","6.73","6.57","6.57","10860"
"NEOT","2015-02-03","6.7","7.0","6.57","6.62","36122"
"NEOT","2015-02-04","6.61","6.96","6.6","6.9","29384"
"NEOT","2015-02-05","6.95","7.04","6.82","6.82","18696"
"NEOT","2015-02-06","7.02","7.02","6.61","6.71","48802"
"NEOT","2015-02-09","6.72","6.84","6.64","6.75","11359"
"NEOT","2015-02-10","6.62","6.9","6.62","6.79","6136"
"NEOT","2015-02-11","6.8","6.8","6.71","6.71","8246"
"NEOT","2015-02-12","6.78","6.99","6.71","6.73","9277"
"NEOT","2015-02-13","6.76","6.8","6.66","6.69","8287"
"NEOT","2015-02-17","6.65","6.8","6.56","6.67","29397"
"NEOT","2015-02-18","6.7","6.79","6.68","6.72","33696"
"NEOT","2015-02-19","6.69","6.78","6.56","6.73","21473"
"NEOT","2015-02-20","6.75","6.8","6.56","6.805","18620"
"NEOT","2015-02-23","6.68","6.82","6.66","6.8","7769"
"NEOT","2015-02-24","6.8","6.82","6.76","6.8","24654"
"NEOT","2015-02-25","6.8","6.81","6.75","6.79","41157"
"NEOT","2015-02-26","6.8","6.9","6.68","6.76","36390"
"NEOT","2015-02-27","6.76","6.79","6.61","6.71","17202"
"NEOT","2015-03-02","6.93","6.93","6.63","6.66","55730"
"NEOT","2015-03-03","6.75","6.82","6.58","6.72","28992"
"NEOT","2015-03-04","6.67","6.85","6.66","6.8","22244"
"NEOT","2015-03-05","7.14","7.63","6.9","7.56","243376"
"NEOT","2015-03-06","7.71","8.15","7.6","7.78","113332"
"NEOT","2015-03-09","8.04","8.88","7.81","8.21","191632"
"NEOT","2015-03-10","8.21","8.3","7.63","7.77","60789"
"NEOT","2015-03-11","7.82","7.9","7.19","7.52","50692"
"NEOT","2015-03-12","7.66","7.66","7.05","7.2","37552"
"NEOT","2015-03-13","7.24","7.63","7.24","7.35","40003"
"NEOT","2015-03-16","7.57","7.57","7.31","7.55","55632"
"NEOT","2015-03-17","7.49","8.19","7.49","7.91","82534"
"NEOT","2015-03-18","7.92","8.29","7.83","7.97","43102"
"NEOT","2015-03-19","7.99","8.19","7.51","7.9","43271"
"NEOT","2015-03-20","7.93","8.38","7.51","7.51","87560"
"NEOT","2015-03-23","7.54","7.61","7.1","7.37","62538"
"NEOT","2015-03-24","7.74","7.92","7.4","7.41","29681"
"NEOT","2015-03-25","7.42","7.84","7.1","7.18","87375"
"NEOT","2015-03-26","7.28","7.47","7.17","7.44","85445"
"NEOT","2015-03-27","7.49","7.75","7.43","7.65","57471"
"NEOT","2015-03-30","7.63","8.16","7.55","8.16","66655"
"NEOT","2015-03-31","8.23","8.5","8.0","8.21","58295"
"NEOT","2015-04-01","8.24","8.53","7.78","8.15","94285"
"NEOT","2015-04-02","8.14","8.28","8.1","8.13","22407"
"NEOT","2015-04-06","8.1","8.25","8.1","8.24","28493"
"NEOT","2015-04-07","8.26","8.45","7.95","8.09","54581"
"NEOT","2015-04-08","8.09","8.15","7.82","7.93","21668"
"NEOT","2015-04-09","7.92","8.3","7.65","7.87","69707"
"NEOT","2015-04-10","8.16","8.19","8.0","8.14","43788"
"NEOT","2015-04-13","8.41","8.58","8.05","8.5","68561"
"NEOT","2015-04-14","8.59","9.05","8.13","8.17","287028"
"NEOT","2015-04-15","8.4","8.69","8.25","8.4","113837"
"NEOT","2015-04-16","8.5","8.5","7.84","7.989","304169"
"NEOT","2015-04-17","8.01","8.04","7.53","7.71","110124"
"NEOT","2015-04-20","7.74","7.82","7.35","7.66","210379"
"NEOT","2015-04-21","7.72","7.92","7.5","7.66","36357"
"NEOT","2015-04-22","7.73","7.78","7.47","7.65","54675"
"NEOT","2015-04-23","7.68","7.68","7.5","7.55","46065"
"NEOT","2015-04-24","7.5","7.59","7.42","7.477","29901"
"NEOT","2015-04-27","7.56","7.63","7.3","7.58","85892"
"NEOT","2015-04-28","7.54","7.58","7.3","7.44","44639"
"NEOT","2015-04-29","7.44","7.65","7.3","7.47","60672"
"NEOT","2015-04-30","7.38","7.46","6.27","7.07","211457"
"NEOT","2015-05-01","7.03","7.3","6.97","7.07","30837"
"NEOT","2015-05-04","7.11","7.32","7.06","7.118","16840"
"NEOT","2015-05-05","7.01","7.01","6.6","6.72","52498"
"NEOT","2015-05-06","6.72","6.72","6.35","6.39","35379"
"NEOT","2015-05-07","6.39","6.67","6.19","6.67","34478"
"NEOT","2015-05-08","6.65","6.65","6.44","6.61","11140"
"NEOT","2015-05-11","6.48","6.63","6.4","6.59","13927"
