"symbol","date","open","high","low","close","volume"
"NFBK","2007-11-08","10.02","10.58","10.0","6.64","1349500"
"NFBK","2007-11-09","10.65","10.67","10.3","6.72","292300"
"NFBK","2007-11-12","10.65","10.75","10.3","6.79","328500"
"NFBK","2007-11-13","10.72","10.99","10.6","6.99","275100"
"NFBK","2007-11-14","11.0","11.4","10.95","7.18","286400"
"NFBK","2007-11-15","11.25","12.0","11.05","7.42","379600"
"NFBK","2007-11-16","11.8","11.87","11.5","7.33","208700"
"NFBK","2007-11-19","11.25","11.34","10.68","6.99","213800"
"NFBK","2007-11-20","11.04","11.4","10.87","7.09","94200"
"NFBK","2007-11-21","11.2","11.2","10.67","6.83","111900"
"NFBK","2007-11-23","10.65","10.75","10.6","6.82","64800"
"NFBK","2007-11-26","10.6","10.8","10.45","6.71","210800"
"NFBK","2007-11-27","10.55","10.65","10.45","6.74","120300"
"NFBK","2007-11-28","10.75","10.79","10.45","6.83","143500"
"NFBK","2007-11-29","10.8","10.8","10.65","6.77","66200"
"NFBK","2007-11-30","10.73","10.79","10.5","6.79","56500"
"NFBK","2007-12-03","10.59","10.59","10.46","6.67","54000"
"NFBK","2007-12-04","10.5","10.58","10.46","6.72","46800"
"NFBK","2007-12-05","10.46","10.62","10.46","6.67","48900"
"NFBK","2007-12-06","10.5","10.59","10.5","6.69","16200"
"NFBK","2007-12-07","10.47","10.54","10.45","6.67","51300"
"NFBK","2007-12-10","10.47","10.65","10.47","6.77","91700"
"NFBK","2007-12-11","10.7","10.7","10.5","6.72","63800"
"NFBK","2007-12-12","10.55","10.62","10.52","6.74","52600"
"NFBK","2007-12-13","10.5","10.6","10.35","6.64","141500"
"NFBK","2007-12-14","10.5","10.6","10.38","6.64","54100"
"NFBK","2007-12-17","10.43","10.46","10.39","6.6","38000"
"NFBK","2007-12-18","10.3","10.35","9.45","6.34","590700"
"NFBK","2007-12-19","10.0","10.03","9.77","6.36","225400"
"NFBK","2007-12-20","10.0","10.0","9.8","6.33","197100"
"NFBK","2007-12-21","10.0","10.45","9.9","6.64","1537100"
"NFBK","2007-12-24","10.44","10.85","10.3","6.89","168300"
"NFBK","2007-12-26","10.62","10.99","10.49","6.93","154400"
"NFBK","2007-12-27","10.82","11.0","10.27","6.67","175300"
"NFBK","2007-12-28","10.31","10.69","10.25","6.55","148200"
"NFBK","2007-12-31","10.23","10.84","10.23","6.88","437900"
"NFBK","2008-01-02","10.77","10.77","10.35","6.64","49900"
"NFBK","2008-01-03","10.32","10.4","10.0","6.41","225500"
"NFBK","2008-01-04","10.24","10.24","10.04","6.43","122100"
"NFBK","2008-01-07","10.19","10.29","10.0","6.43","78800"
"NFBK","2008-01-08","10.32","10.45","9.95","6.37","69300"
"NFBK","2008-01-09","10.05","10.3","10.03","6.48","88500"
"NFBK","2008-01-10","10.11","10.29","9.9","6.44","210800"
"NFBK","2008-01-11","10.02","10.18","9.9","6.42","90200"
"NFBK","2008-01-14","10.19","10.32","10.0","6.51","104300"
"NFBK","2008-01-15","10.08","10.22","9.9","6.49","92500"
"NFBK","2008-01-16","10.12","10.15","10.01","6.44","97600"
"NFBK","2008-01-17","10.1","10.2","10.0","6.44","173300"
"NFBK","2008-01-18","10.13","10.13","10.0","6.37","116700"
"NFBK","2008-01-22","10.0","10.2","9.8","6.37","183000"
"NFBK","2008-01-23","9.95","10.39","9.8","6.55","218500"
"NFBK","2008-01-24","10.25","10.25","10.0","6.48","80900"
"NFBK","2008-01-25","10.18","10.25","9.95","6.51","132100"
"NFBK","2008-01-28","10.24","10.45","10.17","6.64","161000"
"NFBK","2008-01-29","10.32","10.61","10.25","6.71","112900"
"NFBK","2008-01-30","10.46","10.49","10.1","6.6","93000"
"NFBK","2008-01-31","10.14","10.51","10.09","6.68","168700"
"NFBK","2008-02-01","10.53","10.53","10.27","6.64","63800"
"NFBK","2008-02-04","10.41","10.52","10.3","6.6","70500"
"NFBK","2008-02-05","10.25","10.46","10.23","6.52","36100"
"NFBK","2008-02-06","10.39","10.43","10.35","6.62","64600"
