"symbol","date","open","high","low","close","volume"
"NGHCO","2015-03-30","24.9","24.95","24.85","24.9","642837"
"NGHCO","2015-03-31","24.92","24.97","24.9","24.92","281052"
"NGHCO","2015-04-01","24.94","24.97","24.87","24.92","252234"
"NGHCO","2015-04-02","24.92","24.93","24.87","24.9","98001"
"NGHCO","2015-04-06","24.87","24.88","24.79","24.82","107132"
"NGHCO","2015-04-07","24.84","24.89","24.82","24.87","117818"
"NGHCO","2015-04-08","24.82","24.88","24.81","24.83","109548"
"NGHCO","2015-04-09","24.84","24.84","24.76","24.78","71565"
"NGHCO","2015-04-13","24.82","24.82","24.7","24.76","129764"
"NGHCO","2015-04-14","24.73","24.87","24.73","24.87","127117"
"NGHCO","2015-04-15","24.9","24.9","24.83","24.85","92702"
"NGHCO","2015-04-16","24.89","24.89","24.81","24.85","76861"
"NGHCO","2015-04-20","24.85","24.88","24.81","24.83","36980"
"NGHCO","2015-04-21","24.85","24.88","24.83","24.83","41902"
"NGHCO","2015-04-22","24.88","24.88","24.7","24.75","104706"
"NGHCO","2015-04-23","24.8","24.83","24.75","24.78","41791"
"NGHCO","2015-04-24","24.85","24.95","24.77","24.839","127452"
"NGHCO","2015-04-27","24.83","24.9","24.8","24.841","24582"
"NGHCO","2015-04-28","24.85","24.9","24.81","24.85","38196"
"NGHCO","2015-04-29","24.81","24.83","24.75","24.78","26062"
"NGHCO","2015-04-30","24.75","24.82","24.62","24.69","31351"
"NGHCO","2015-05-01","24.7","24.74","24.48","24.66","21290"
"NGHCO","2015-05-04","24.65","24.7","24.54","24.697","10257"
"NGHCO","2015-05-05","24.7","24.8","24.61","24.8","38372"
"NGHCO","2015-05-06","24.8","24.8","24.36","24.5","59052"
"NGHCO","2015-05-07","24.41","24.6","24.28","24.49","24053"
"NGHCO","2015-05-08","24.6","24.7","24.5","24.6","30485"
"NGHCO","2015-05-11","24.6","24.7","24.51","24.7","34087"
"NGHCO","2015-05-12","24.65","24.7","24.5","24.7","19846"
"NGHCO","2015-05-13","24.73","24.8","24.59","24.795","30599"
"NGHCO","2015-05-14","24.71","24.89","24.71","24.88","15789"
"NGHCO","2015-05-15","24.89","24.89","24.77","24.8","20800"
"NGHCO","2015-05-18","24.85","24.93","24.85","24.92","30594"
"NGHCO","2015-05-19","24.9","24.9","24.84","24.9","25860"
"NGHCO","2015-05-20","24.86","24.9","24.75","24.86","46538"
"NGHCO","2015-05-21","24.86","24.89","24.8","24.8","43300"
"NGHCO","2015-05-22","24.9","24.94","24.83","24.9","93742"
"NGHCO","2015-05-26","24.95","24.95","24.85","24.85","21065"
"NGHCO","2015-05-27","24.86","25.01","24.85","24.96","47869"
"NGHCO","2015-05-28","24.87","24.97","24.8","24.911","43967"
"NGHCO","2015-05-29","24.83","24.97","24.81","24.81","20430"
"NGHCO","2015-06-01","24.88","24.95","24.84","24.87","8211"
"NGHCO","2015-06-02","24.87","24.9","24.79","24.85","37452"
"NGHCO","2015-06-03","24.85","24.85","24.53","24.6996","27520"
"NGHCO","2015-06-04","24.98","25.05","24.9","25.05","331541"
"NGHCO","2015-06-05","25.05","25.18","24.96","25.05","123157"
"NGHCO","2015-06-08","25.2","25.2","25.03","25.09","90205"
"NGHCO","2015-06-09","25.07","25.07","25.0","25.04","127466"
"NGHCO","2015-06-10","25.04","25.05","25.0","25.04","74352"
"NGHCO","2015-06-11","25.07","25.07","24.9","24.97","132748"
"NGHCO","2015-06-12","25.09","25.1","24.98","25.05","39130"
"NGHCO","2015-06-15","25.06","25.13","25.0","25.13","33667"
"NGHCO","2015-06-16","25.15","25.18","25.07","25.15","51330"
"NGHCO","2015-06-17","25.18","25.2","25.09","25.14","70466"
"NGHCO","2015-06-18","25.15","25.52","25.15","25.25","86531"
"NGHCO","2015-06-19","25.35","25.55","25.25","25.4","86343"
"NGHCO","2015-06-22","25.8","25.8","25.2","25.37","118227"
"NGHCO","2015-06-23","25.41","25.5","25.3","25.37","70190"
"NGHCO","2015-06-24","25.5","25.5","25.26","25.49","97876"
"NGHCO","2015-06-25","25.5","25.67","25.36","25.5","68917"
"NGHCO","2015-06-26","25.5","25.62","25.4","25.6","42686"
"NGHCO","2015-06-29","25.19","25.25","24.85","24.99","77095"
"NGHCO","2015-06-30","24.99","25.05","24.92","25.02","138938"
"NGHCO","2015-07-01","25.09","25.19","25.01","25.19","55327"
"NGHCO","2015-07-02","25.17","25.26","25.07","25.23","53777"
"NGHCO","2015-07-06","25.23","25.73","25.15","25.69","98907"
"NGHCO","2015-07-07","25.65","25.69","25.51","25.6","53058"
"NGHCO","2015-07-08","25.5","25.57","25.29","25.57","41261"
"NGHCO","2015-07-09","25.43","25.48","25.4","25.44","66382"
"NGHCO","2015-07-10","25.48","25.5","25.43","25.45","37331"
"NGHCO","2015-07-13","25.5","25.5","25.41","25.47","49808"
"NGHCO","2015-07-14","25.5","25.69","25.46","25.6","113820"
"NGHCO","2015-07-15","25.69","25.69","25.45","25.46","94836"
"NGHCO","2015-07-16","25.46","25.58","25.39","25.43","58745"
"NGHCO","2015-07-17","25.54","25.63","25.23","25.38","158771"
"NGHCO","2015-07-20","25.4","25.4","25.31","25.4","85845"
"NGHCO","2015-07-21","25.51","25.52","25.34","25.42","45696"
"NGHCO","2015-07-22","25.41","25.41","25.26","25.4","38757"
"NGHCO","2015-07-23","25.35","25.65","25.3","25.44","251809"
"NGHCO","2015-07-24","25.45","25.45","25.26","25.38","28384"
"NGHCO","2015-07-27","25.34","25.37","25.13","25.14","30975"
"NGHCO","2015-07-28","25.29","25.29","25.07","25.12","48252"
"NGHCO","2015-07-29","25.19","25.29","25.11","25.12","39509"
"NGHCO","2015-07-30","25.12","25.28","25.11","25.11","20128"
"NGHCO","2015-07-31","25.2","25.3","25.15","25.27","10956"
"NGHCO","2015-08-03","25.29","25.32","25.15","25.27","13713"
"NGHCO","2015-08-04","25.25","25.3","25.23","25.27","6486"
"NGHCO","2015-08-05","25.3","25.3","25.02","25.17","94876"
"NGHCO","2015-08-06","25.17","25.17","24.96","25.01","44185"
"NGHCO","2015-08-07","25.0","25.14","24.98","25.08","40618"
"NGHCO","2015-08-10","25.17","25.2","25.12","25.2","22342"
"NGHCO","2015-08-11","25.12","25.16","24.91","25.08","83271"
"NGHCO","2015-08-12","25.18","25.18","25.0","25.01","21701"
"NGHCO","2015-08-13","25.01","25.03","24.84","24.84","35791"
"NGHCO","2015-08-14","24.75","25.09","24.73","24.98","76167"
"NGHCO","2015-08-17","24.98","25.11","24.73","24.94","64160"
"NGHCO","2015-08-18","24.96","24.97","24.79","24.95","28169"
"NGHCO","2015-08-19","24.72","24.92","24.72","24.85","33329"
