"symbol","date","open","high","low","close","volume"
"NGHCZ","2015-08-19","24.5","24.55","24.0","24.18","154615"
"NGHCZ","2015-08-20","24.01","24.82","24.01","24.22","90870"
"NGHCZ","2015-08-21","24.2","24.2","23.61","23.85","117460"
"NGHCZ","2015-08-24","23.85","23.85","22.75","22.9","131046"
"NGHCZ","2015-08-25","23.03","23.32","23.0","23.06","99522"
"NGHCZ","2015-08-26","23.25","23.5","23.16","23.5","38774"
"NGHCZ","2015-08-27","23.5","23.7","23.27","23.7","79245"
"NGHCZ","2015-08-28","23.7","23.94","23.4","23.65","44824"
"NGHCZ","2015-08-31","23.61","23.75","23.31","23.7","30849"
"NGHCZ","2015-09-01","23.65","23.67","23.5","23.65","30923"
"NGHCZ","2015-09-02","23.74","23.74","23.5","23.73","27013"
"NGHCZ","2015-09-03","23.7","23.8","23.61","23.75","33087"
"NGHCZ","2015-09-04","23.8","23.9","23.76","23.9","27837"
"NGHCZ","2015-09-08","23.95","24.1","23.55","23.58","92229"
"NGHCZ","2015-09-09","23.68","23.73","23.37","23.59","40865"
"NGHCZ","2015-09-10","23.26","23.5","23.05","23.43","48737"
"NGHCZ","2015-09-11","23.3","23.5","23.17","23.27","21850"
"NGHCZ","2015-09-14","23.47","23.55","23.3","23.52","34621"
"NGHCZ","2015-09-15","23.51","23.74","23.47","23.57","51641"
"NGHCZ","2015-09-16","23.44","23.6","23.4","23.5","27200"
"NGHCZ","2015-09-17","23.6","23.75","23.49","23.6","58895"
"NGHCZ","2015-09-18","23.74","23.89","23.61","23.84","102225"
"NGHCZ","2015-09-21","23.77","24.2","23.77","24.19","68647"
"NGHCZ","2015-09-22","24.19","24.19","23.8","23.99","79961"
"NGHCZ","2015-09-23","23.99","23.99","23.81","23.9","29138"
"NGHCZ","2015-09-24","23.81","23.88","23.65","23.84","59641"
"NGHCZ","2015-09-25","23.88","24.13","23.85","24.02","45010"
"NGHCZ","2015-09-28","23.92","23.97","23.81","23.93","10817"
"NGHCZ","2015-09-29","23.96","23.96","23.68","23.68","42615"
"NGHCZ","2015-09-30","23.82","23.82","23.41","23.42","92535"
"NGHCZ","2015-10-01","23.56","23.57","23.31","23.42","57145"
"NGHCZ","2015-10-02","23.36","23.46","23.32","23.46","66997"
"NGHCZ","2015-10-05","23.35","23.7","23.35","23.7","21502"
