"symbol","date","open","high","low","close","volume"
"NHI","1991-10-09","20.38","20.5","20.25","3.39","83400"
"NHI","1991-10-10","20.38","20.5","20.38","3.39","47500"
"NHI","1991-10-11","20.38","20.5","20.38","3.39","5000"
"NHI","1991-10-14","20.38","20.38","20.38","3.39","2000"
"NHI","1991-10-15","20.38","20.62","20.38","3.43","26100"
"NHI","1991-10-16","20.62","20.75","20.62","3.43","11200"
"NHI","1991-10-17","20.62","21.12","20.38","3.47","51900"
"NHI","1991-10-18","20.88","21.25","20.88","3.47","9800"
"NHI","1991-10-21","20.88","21.0","20.38","3.41","27600"
"NHI","1991-10-22","20.5","20.75","20.5","3.41","11600"
"NHI","1991-10-23","20.5","20.62","20.5","3.41","8000"
"NHI","1991-10-24","20.5","20.62","20.38","3.39","6600"
"NHI","1991-10-25","20.38","20.5","20.38","3.39","10700"
"NHI","1991-10-28","20.38","20.5","20.38","3.39","5700"
"NHI","1991-10-29","20.38","20.5","20.38","3.39","5600"
"NHI","1991-10-30","20.38","20.38","20.38","3.39","3000"
"NHI","1991-10-31","20.38","20.38","20.38","3.39","2400"
"NHI","1991-11-01","20.38","20.38","20.12","3.39","5600"
"NHI","1991-11-04","20.25","20.25","20.0","3.35","5200"
"NHI","1991-11-05","20.25","20.38","20.25","3.37","27400"
"NHI","1991-11-06","20.38","20.5","20.38","3.39","33000"
"NHI","1991-11-07","20.38","20.5","20.25","3.41","28400"
"NHI","1991-11-08","20.62","20.75","20.62","3.45","10100"
"NHI","1991-11-11","20.75","20.75","20.5","3.45","5100"
"NHI","1991-11-12","20.75","20.75","20.62","3.45","2800"
"NHI","1991-11-13","20.75","20.88","20.62","3.45","10900"
"NHI","1991-11-14","20.75","20.88","20.75","3.47","5800"
"NHI","1991-11-15","20.88","21.25","20.88","3.47","17700"
"NHI","1991-11-18","20.75","20.75","20.38","3.45","5700"
"NHI","1991-11-19","20.75","20.75","20.62","3.45","3500"
"NHI","1991-11-20","20.75","20.75","20.62","3.45","2300"
"NHI","1991-11-21","20.75","20.88","20.75","3.47","11600"
"NHI","1991-11-22","20.88","21.0","20.88","3.49","10000"
"NHI","1991-11-25","21.0","21.12","21.0","3.51","5900"
"NHI","1991-11-26","21.25","21.38","21.25","3.53","8900"
"NHI","1991-11-27","21.25","21.25","21.25","3.53","3500"
"NHI","1991-11-29","21.25","21.38","21.0","3.55","8400"
"NHI","1991-12-02","21.12","21.12","21.0","3.49","8200"
"NHI","1991-12-03","21.12","21.38","21.12","3.55","5000"
"NHI","1991-12-04","21.38","21.38","21.38","3.55","2600"
"NHI","1991-12-05","21.38","21.5","21.12","3.51","3500"
"NHI","1991-12-06","21.0","21.0","20.88","3.49","6000"
"NHI","1991-12-09","21.0","21.12","21.0","3.49","3100"
"NHI","1991-12-10","21.0","21.0","20.88","3.49","1700"
"NHI","1991-12-11","21.0","21.0","21.0","3.49","41700"
"NHI","1991-12-12","21.0","21.0","21.0","3.49","15500"
"NHI","1991-12-13","21.0","21.12","21.0","3.49","25700"
"NHI","1991-12-16","21.0","21.25","21.0","3.53","13900"
"NHI","1991-12-17","21.25","21.25","21.12","3.53","18100"
"NHI","1991-12-18","21.38","21.38","21.38","3.55","2800"
"NHI","1991-12-19","21.38","21.38","21.25","3.55","20900"
"NHI","1991-12-20","21.5","21.75","21.5","3.6","22800"
"NHI","1991-12-23","21.75","22.0","21.75","3.66","22700"
"NHI","1991-12-24","21.88","21.88","21.62","3.69","21000"
"NHI","1991-12-26","21.75","22.12","21.75","3.75","20000"
"NHI","1991-12-27","22.12","22.5","22.12","3.81","32700"
"NHI","1991-12-30","22.62","23.5","22.62","3.98","46900"
"NHI","1991-12-31","23.62","24.12","23.62","4.07","17800"
"NHI","1992-01-02","24.0","24.12","23.0","4.09","33200"
"NHI","1992-01-03","24.12","24.12","23.75","4.07","8600"
"NHI","1992-01-06","24.0","24.38","23.88","4.13","5100"
"NHI","1992-01-07","24.38","24.5","24.25","4.15","11300"
"NHI","1992-01-08","24.5","24.5","24.25","4.13","8900"
"NHI","1992-01-09","24.5","24.62","24.5","4.15","19300"
"NHI","1992-01-10","24.5","24.62","24.5","4.18","13500"
"NHI","1992-01-13","24.75","24.88","24.75","4.22","8100"
"NHI","1992-01-14","24.88","24.88","24.75","4.22","11800"
"NHI","1992-01-15","24.88","25.0","24.75","4.2","11900"
"NHI","1992-01-16","24.75","25.0","24.38","4.2","55700"
"NHI","1992-01-17","24.75","24.88","24.75","4.22","7800"
"NHI","1992-01-20","24.88","24.88","24.88","4.22","72900"
"NHI","1992-01-21","24.88","24.88","24.5","4.18","31300"
"NHI","1992-01-22","24.62","24.62","24.62","4.18","3500"
"NHI","1992-01-23","24.62","24.62","24.5","4.18","1000"
"NHI","1992-01-24","24.62","24.75","24.62","4.2","4500"
"NHI","1992-01-27","24.75","24.75","24.5","4.15","23200"
"NHI","1992-01-28","24.5","24.62","24.5","4.15","4900"
"NHI","1992-01-29","24.5","24.5","24.5","4.15","1100"
"NHI","1992-01-30","24.5","24.5","24.25","4.13","2000"
"NHI","1992-01-31","24.25","24.25","24.0","4.07","2700"
"NHI","1992-02-03","23.88","23.88","23.75","4.03","4400"
"NHI","1992-02-04","23.88","24.0","23.88","4.05","25800"
"NHI","1992-02-05","24.0","24.0","24.0","4.07","400"
"NHI","1992-02-06","24.0","24.12","24.0","4.09","1600"
"NHI","1992-02-07","24.12","24.25","24.0","4.11","4900"
"NHI","1992-02-10","24.25","24.38","24.12","4.13","3300"
"NHI","1992-02-11","24.38","24.5","24.25","4.13","35400"
"NHI","1992-02-12","24.38","24.5","24.25","4.15","2300"
"NHI","1992-02-13","24.5","24.5","24.25","4.11","4800"
"NHI","1992-02-14","24.25","24.5","24.25","4.15","10800"
"NHI","1992-02-18","24.5","24.5","24.25","4.13","5100"
"NHI","1992-02-19","24.25","24.25","24.0","4.09","9300"
"NHI","1992-02-20","24.0","24.0","23.5","4.03","7500"
"NHI","1992-02-21","23.75","23.75","23.5","4.01","5400"
"NHI","1992-02-24","23.62","23.62","23.25","3.94","4400"
"NHI","1992-02-25","23.25","23.25","23.12","3.94","2200"
"NHI","1992-02-26","23.38","23.5","23.25","3.94","26600"
"NHI","1992-02-27","23.38","23.38","23.25","3.94","700"
"NHI","1992-02-28","23.38","23.62","23.25","3.96","1300"
"NHI","1992-03-02","23.25","23.38","23.25","3.96","1700"
"NHI","1992-03-03","23.5","23.5","23.25","3.96","1900"
"NHI","1992-03-04","23.38","23.38","23.0","3.92","3700"
"NHI","1992-03-05","23.12","23.62","23.12","3.96","21100"
"NHI","1992-03-06","23.25","23.38","23.25","3.96","1200"
"NHI","1992-03-09","23.38","23.38","23.25","3.96","6000"
"NHI","1992-03-10","23.12","23.25","23.0","3.9","25500"
"NHI","1992-03-11","22.88","23.0","22.75","3.86","7100"
"NHI","1992-03-12","23.0","23.0","23.0","3.9","2000"
"NHI","1992-03-13","23.12","23.12","22.88","3.9","113300"
"NHI","1992-03-16","23.62","23.62","23.0","3.9","24100"
"NHI","1992-03-17","23.0","23.12","23.0","3.92","3000"
"NHI","1992-03-18","23.12","23.25","23.12","3.92","61200"
"NHI","1992-03-19","23.0","23.0","22.88","3.9","2600"
"NHI","1992-03-20","23.0","23.12","23.0","3.92","6100"
"NHI","1992-03-23","23.0","23.12","23.0","3.92","1900"
"NHI","1992-03-24","23.12","23.25","22.88","3.94","17700"
"NHI","1992-03-25","22.62","22.88","22.62","3.96","2900"
"NHI","1992-03-26","22.75","22.75","22.5","3.94","5700"
"NHI","1992-03-27","22.38","22.38","22.25","3.88","8500"
"NHI","1992-03-30","22.38","22.38","22.12","3.83","6500"
"NHI","1992-03-31","22.25","22.25","22.25","3.86","3400"
"NHI","1992-04-01","22.25","22.25","22.12","3.83","1600"
"NHI","1992-04-02","22.25","22.38","22.25","3.88","7100"
"NHI","1992-04-03","22.38","22.38","22.12","3.86","8600"
"NHI","1992-04-06","22.12","22.12","22.0","3.81","5000"
"NHI","1992-04-07","22.12","22.12","22.0","3.83","2600"
"NHI","1992-04-08","22.0","22.0","21.88","3.81","5600"
"NHI","1992-04-09","21.88","21.88","21.62","3.77","13500"
"NHI","1992-04-10","21.75","21.88","21.75","3.79","3200"
"NHI","1992-04-13","21.75","22.5","21.62","3.9","11800"
"NHI","1992-04-14","22.5","22.5","22.12","3.83","2500"
"NHI","1992-04-15","22.12","22.25","22.12","3.86","1200"
"NHI","1992-04-16","22.38","22.5","22.38","3.9","4800"
"NHI","1992-04-20","22.38","22.5","22.12","3.9","9100"
"NHI","1992-04-21","22.38","22.5","22.38","3.88","2500"
"NHI","1992-04-22","22.5","22.5","22.25","3.86","2900"
"NHI","1992-04-23","22.38","22.38","22.38","3.88","700"
"NHI","1992-04-24","22.25","22.25","22.25","3.86","1000"
"NHI","1992-04-27","22.38","22.5","22.12","3.86","4700"
"NHI","1992-04-28","22.25","22.25","22.0","3.81","7300"
"NHI","1992-04-29","22.25","22.38","22.0","3.86","7100"
"NHI","1992-04-30","22.0","22.12","22.0","3.81","3500"
"NHI","1992-05-01","22.0","22.12","21.75","3.81","21800"
"NHI","1992-05-04","22.0","22.12","21.88","3.83","1800"
"NHI","1992-05-05","22.38","22.62","22.38","3.92","4900"
"NHI","1992-05-06","22.88","23.12","22.75","3.99","19400"
"NHI","1992-05-07","23.0","23.25","22.88","3.99","4800"
"NHI","1992-05-08","22.88","22.88","22.75","3.96","2600"
"NHI","1992-05-11","23.0","23.25","23.0","4.03","2100"
"NHI","1992-05-12","23.5","23.88","23.38","4.05","25900"
"NHI","1992-05-13","23.38","23.62","23.38","4.09","3000"
"NHI","1992-05-14","23.62","23.88","23.62","4.14","2400"
"NHI","1992-05-15","23.88","23.88","23.38","4.07","5800"
"NHI","1992-05-18","23.5","23.62","23.38","4.09","7900"
"NHI","1992-05-19","23.75","23.75","23.75","4.12","2000"
"NHI","1992-05-20","23.75","23.88","23.38","4.14","4500"
"NHI","1992-05-21","23.88","23.88","23.88","4.14","800"
"NHI","1992-05-22","23.88","23.88","23.88","4.14","900"
"NHI","1992-05-26","23.88","23.88","23.88","4.14","2000"
"NHI","1992-05-27","23.88","23.88","23.5","4.07","4100"
"NHI","1992-05-28","23.62","23.75","23.62","4.09","1400"
"NHI","1992-05-29","23.88","23.88","23.5","4.07","26200"
"NHI","1992-06-01","23.62","23.62","23.5","4.09","2300"
"NHI","1992-06-02","23.75","23.75","23.38","4.05","2000"
"NHI","1992-06-03","23.62","23.75","23.5","4.07","12300"
"NHI","1992-06-04","23.62","23.62","23.38","4.09","800"
"NHI","1992-06-05","23.5","23.75","23.5","4.12","2500"
"NHI","1992-06-08","23.5","23.62","23.5","4.09","11500"
"NHI","1992-06-09","23.62","23.62","23.5","4.07","2000"
"NHI","1992-06-10","23.62","23.62","23.12","4.05","4800"
"NHI","1992-06-11","23.5","23.62","23.5","4.07","1300"
"NHI","1992-06-12","23.62","23.62","23.62","4.09","200"
"NHI","1992-06-15","23.5","23.5","23.25","4.05","5200"
"NHI","1992-06-16","23.38","23.5","23.25","4.05","3400"
"NHI","1992-06-17","23.38","23.62","23.38","4.07","4100"
"NHI","1992-06-18","23.62","23.62","23.5","4.07","1200"
"NHI","1992-06-19","23.62","23.75","23.62","4.12","1200"
"NHI","1992-06-22","23.62","23.62","23.5","4.09","6500"
