"symbol","date","open","high","low","close","volume"
"NHTC","1995-06-22","5.5","9.0","5.5","14699.02","1000"
"NHTC","1995-06-23","6.75","7.25","6.5","13951.61","0"
"NHTC","1995-06-26","7.0","7.0","6.5","12955.06","0"
"NHTC","1995-06-27","6.5","7.0","6.5","12955.06","0"
"NHTC","1995-06-28","6.5","7.0","6.44","13951.61","0"
"NHTC","1995-06-29","6.63","7.0","6.63","13204.2","0"
"NHTC","1995-06-30","6.63","7.0","6.5","12986.21","0"
"NHTC","1995-07-03","6.5","6.5","6.5","12955.06","0"
"NHTC","1995-07-05","6.5","7.0","6.5","12955.06","0"
"NHTC","1995-07-06","6.5","6.75","6.44","12955.06","0"
"NHTC","1995-07-07","6.75","6.75","6.5","12955.06","0"
"NHTC","1995-07-10","6.75","6.75","6.5","13453.34","0"
"NHTC","1995-07-11","6.75","6.75","6.5","12955.06","0"
"NHTC","1995-07-12","6.5","7.0","6.5","12955.06","0"
"NHTC","1995-07-13","7.0","7.0","6.5","13951.61","0"
"NHTC","1995-07-14","7.0","7.0","6.5","12955.06","0"
"NHTC","1995-07-17","6.5","7.0","6.5","12955.06","0"
"NHTC","1995-07-18","6.5","7.0","6.0","12955.06","0"
"NHTC","1995-07-19","7.0","7.0","6.25","12456.79","100"
"NHTC","1995-07-20","6.25","7.0","6.25","12456.79","100"
"NHTC","1995-07-21","6.13","7.25","6.13","12456.79","0"
"NHTC","1995-07-24","6.25","7.25","6.13","14449.88","0"
"NHTC","1995-07-25","6.25","7.25","6.25","14449.88","0"
"NHTC","1995-07-26","6.25","7.25","6.25","12705.93","0"
"NHTC","1995-07-27","6.5","7.25","6.5","12955.06","0"
"NHTC","1995-07-28","6.5","6.5","6.5","12955.06","0"
"NHTC","1995-07-31","6.5","6.5","6.38","12705.93","0"
"NHTC","1995-08-01","7.25","7.25","6.38","12955.06","0"
"NHTC","1995-08-02","6.38","7.75","6.38","15446.42","0"
"NHTC","1995-08-03","7.13","7.75","6.88","14449.88","0"
"NHTC","1995-08-04","7.75","7.75","6.88","13827.04","0"
"NHTC","1995-08-07","7.75","7.75","6.88","13702.47","0"
"NHTC","1995-08-08","6.88","7.75","6.75","15446.42","0"
"NHTC","1995-08-09","6.75","7.75","6.75","15197.29","0"
"NHTC","1995-08-10","7.75","7.75","6.75","15446.42","0"
"NHTC","1995-08-11","6.75","7.5","6.75","14449.88","0"
"NHTC","1995-08-14","7.5","7.75","6.75","15446.42","0"
"NHTC","1995-08-15","7.75","7.75","6.75","14574.45","0"
"NHTC","1995-08-16","6.75","7.75","6.75","15446.42","0"
"NHTC","1995-08-17","6.75","7.75","6.75","13453.34","0"
"NHTC","1995-08-18","7.75","8.25","6.75","16442.97","0"
"NHTC","1995-08-21","8.0","8.25","7.25","16193.83","0"
"NHTC","1995-08-22","8.25","8.25","7.25","16442.97","0"
"NHTC","1995-08-23","7.25","8.5","7.25","16941.24","0"
