"symbol","date","open","high","low","close","volume"
"NJV","2009-04-28","15.0","15.0","14.21","11.13","105500"
"NJV","2009-04-29","15.01","15.04","14.9","11.16","44300"
"NJV","2009-04-30","15.0","15.0","14.98","11.13","13700"
"NJV","2009-05-01","15.0","15.0","14.99","11.12","17100"
"NJV","2009-05-04","15.0","15.0","14.99","11.12","6000"
"NJV","2009-05-05","14.99","14.99","14.99","11.12","0"
"NJV","2009-05-06","14.9","14.9","14.9","11.05","18700"
"NJV","2009-05-07","14.9","14.9","14.9","11.05","1700"
"NJV","2009-05-08","14.9","14.9","14.9","11.05","0"
"NJV","2009-05-11","14.9","14.9","14.85","11.02","29500"
"NJV","2009-05-12","14.85","14.85","14.28","11.02","4600"
"NJV","2009-05-13","14.85","14.85","14.85","11.02","3000"
"NJV","2009-05-14","14.94","15.0","14.94","11.13","3100"
"NJV","2009-05-15","15.0","15.0","15.0","11.13","0"
"NJV","2009-05-18","15.0","15.0","15.0","11.13","0"
"NJV","2009-05-19","14.99","14.99","14.94","11.08","1100"
"NJV","2009-05-20","15.02","15.02","15.02","11.14","400"
"NJV","2009-05-21","15.05","15.05","15.05","11.17","700"
"NJV","2009-05-22","15.05","15.05","15.05","11.17","700"
"NJV","2009-05-26","15.05","15.05","15.0","11.17","3700"
"NJV","2009-05-27","15.1","15.1","15.1","11.2","700"
"NJV","2009-05-28","14.98","14.98","14.98","11.11","700"
"NJV","2009-05-29","14.88","14.97","14.85","11.03","11100"
"NJV","2009-06-01","14.87","14.93","14.86","11.08","8600"
"NJV","2009-06-02","14.95","14.95","14.95","11.09","800"
"NJV","2009-06-03","14.95","14.95","14.95","11.09","2200"
"NJV","2009-06-04","14.9","14.9","14.9","11.05","300"
"NJV","2009-06-05","15.02","15.04","15.02","11.16","2600"
"NJV","2009-06-08","15.14","15.2","14.85","11.11","1800"
"NJV","2009-06-09","14.97","14.97","14.97","11.11","0"
"NJV","2009-06-10","15.9","15.9","14.99","11.16","6600"
"NJV","2009-06-11","15.04","15.04","15.04","11.21","0"
"NJV","2009-06-12","15.0","15.0","15.0","11.18","500"
"NJV","2009-06-15","15.0","15.0","15.0","11.18","0"
"NJV","2009-06-16","15.0","15.0","15.0","11.18","0"
"NJV","2009-06-17","14.85","14.85","14.65","11.01","900"
"NJV","2009-06-18","14.77","14.77","14.77","11.01","600"
"NJV","2009-06-19","14.77","14.77","14.77","11.01","0"
"NJV","2009-06-22","14.69","14.69","14.45","10.77","900"
"NJV","2009-06-23","14.5","14.5","14.5","10.8","600"
"NJV","2009-06-24","14.62","14.62","14.5","10.8","600"
"NJV","2009-06-25","14.38","14.38","14.0","10.68","2500"
"NJV","2009-06-26","14.21","14.4","14.09","10.62","3100"
"NJV","2009-06-29","14.2","14.2","14.2","10.58","200"
"NJV","2009-06-30","14.08","14.51","13.33","10.54","11600"
"NJV","2009-07-01","14.31","14.31","13.58","10.36","1200"
"NJV","2009-07-02","13.79","14.03","13.79","10.36","1700"
"NJV","2009-07-06","13.79","14.48","13.79","10.43","4800"
"NJV","2009-07-07","14.11","14.25","13.99","10.43","2700"
"NJV","2009-07-08","13.66","14.16","13.51","10.55","2500"
"NJV","2009-07-09","14.21","14.21","14.21","10.59","300"
"NJV","2009-07-10","14.21","14.64","14.2","10.62","2900"
"NJV","2009-07-13","14.3","14.79","14.2","10.89","14400"
"NJV","2009-07-14","14.55","14.55","14.55","10.89","0"
"NJV","2009-07-15","14.55","14.67","14.55","10.91","1800"
"NJV","2009-07-16","14.79","14.94","14.74","11.18","1000"
"NJV","2009-07-17","15.05","15.05","15.0","11.23","6600"
"NJV","2009-07-20","15.0","15.0","14.11","11.11","3500"
"NJV","2009-07-21","14.82","14.84","14.59","11.01","1800"
"NJV","2009-07-22","14.59","14.59","14.15","10.91","900"
"NJV","2009-07-23","14.5","14.5","14.5","10.85","1000"
"NJV","2009-07-24","14.38","14.38","13.9","10.63","17400"
"NJV","2009-07-27","14.11","14.16","14.11","10.6","400"
"NJV","2009-07-28","14.0","14.11","14.0","10.56","2500"
"NJV","2009-07-29","14.13","14.13","14.13","10.58","400"
"NJV","2009-07-30","14.16","14.22","14.16","10.64","300"
"NJV","2009-07-31","14.27","14.34","14.25","10.67","800"
"NJV","2009-08-03","14.34","14.34","14.25","10.67","600"
"NJV","2009-08-04","14.34","14.36","14.17","10.75","2200"
"NJV","2009-08-05","14.03","14.25","13.91","10.48","7900"
"NJV","2009-08-06","14.11","14.4","14.11","10.78","5600"
"NJV","2009-08-07","14.46","14.46","14.0","10.63","4500"
"NJV","2009-08-10","14.01","14.15","13.92","10.48","3900"
"NJV","2009-08-11","14.2","14.2","13.92","10.48","10800"
"NJV","2009-08-12","14.03","14.03","13.92","10.53","6200"
"NJV","2009-08-13","14.3","14.3","13.95","10.64","5400"
"NJV","2009-08-14","14.1","14.15","14.1","10.64","400"
"NJV","2009-08-17","14.3","14.3","14.13","10.71","800"
"NJV","2009-08-18","14.35","14.52","14.35","10.9","2400"
"NJV","2009-08-19","14.55","14.55","14.2","10.9","1500"
"NJV","2009-08-20","14.55","14.55","14.47","10.91","1000"
"NJV","2009-08-21","14.6","14.6","14.55","10.94","600"
"NJV","2009-08-24","14.61","14.61","14.51","10.92","1800"
"NJV","2009-08-25","14.63","14.63","14.3","10.9","4400"
"NJV","2009-08-26","14.53","14.53","14.21","10.81","4500"
"NJV","2009-08-27","14.43","14.48","14.31","10.89","3400"
"NJV","2009-08-28","14.49","14.49","14.28","10.74","7100"
"NJV","2009-08-31","14.46","14.46","13.93","10.7","4200"
"NJV","2009-09-01","14.33","14.41","14.1","10.84","6100"
"NJV","2009-09-02","14.43","14.43","14.11","10.85","2100"
"NJV","2009-09-03","14.48","14.5","14.16","10.76","9200"
"NJV","2009-09-04","14.21","14.35","14.15","10.79","2200"
"NJV","2009-09-08","14.06","14.31","13.81","10.68","8800"
"NJV","2009-09-09","14.25","14.35","14.2","10.79","5100"
"NJV","2009-09-10","14.44","14.5","14.39","10.87","5600"
"NJV","2009-09-11","14.43","14.46","14.28","10.79","1500"
"NJV","2009-09-14","14.35","14.49","14.2","10.72","4000"
"NJV","2009-09-15","14.4","14.5","14.33","10.91","1700"
"NJV","2009-09-16","14.5","14.7","14.5","11.09","4000"
"NJV","2009-09-17","14.74","15.0","14.54","11.22","10200"
"NJV","2009-09-18","15.0","15.0","14.75","11.29","7800"
"NJV","2009-09-21","14.96","15.0","14.6","11.12","16000"
"NJV","2009-09-22","14.85","14.85","14.35","11.12","12900"
"NJV","2009-09-23","14.73","14.89","14.61","11.18","11600"
"NJV","2009-09-24","14.89","14.99","14.6","11.09","7100"
"NJV","2009-09-25","14.7","14.85","14.69","11.1","2300"
"NJV","2009-09-28","14.85","15.0","14.75","11.25","6400"
"NJV","2009-09-29","15.76","15.76","14.98","11.37","4200"
"NJV","2009-09-30","15.05","15.05","14.94","11.33","4400"
"NJV","2009-10-01","15.01","15.01","14.79","11.25","6500"
"NJV","2009-10-02","14.92","14.99","14.9","11.32","3900"
"NJV","2009-10-05","15.01","15.04","15.0","11.36","2600"
"NJV","2009-10-06","15.04","15.05","15.04","11.37","300"
"NJV","2009-10-07","15.14","15.3","15.1","11.48","6800"
"NJV","2009-10-08","15.1","15.19","15.1","11.47","500"
"NJV","2009-10-09","15.39","15.39","14.81","11.25","2900"
"NJV","2009-10-12","14.95","15.0","14.8","11.25","2500"
"NJV","2009-10-13","14.93","14.98","14.93","11.36","1700"
"NJV","2009-10-14","15.1","15.1","14.58","11.13","7900"
"NJV","2009-10-15","14.75","15.24","14.74","11.19","8000"
"NJV","2009-10-16","15.05","15.05","14.9","11.3","2000"
"NJV","2009-10-19","15.11","15.41","15.0","11.38","2000"
