"symbol","date","open","high","low","close","volume"
"NM","2004-12-13","6.02","6.05","6.0","6.02","3398200"
"NM","2004-12-14","6.0","6.15","6.0","6.15","1599200"
"NM","2004-12-15","6.1","6.25","6.1","6.25","175900"
"NM","2004-12-16","6.5","6.5","6.2","6.35","150300"
"NM","2004-12-17","6.5","6.57","6.4","6.5","266500"
"NM","2004-12-20","6.55","6.55","6.45","6.49","436300"
"NM","2004-12-21","6.55","6.55","6.49","6.5","315000"
"NM","2004-12-22","6.51","6.51","6.5","6.5","3800"
"NM","2004-12-23","6.5","6.7","6.45","6.7","221100"
"NM","2004-12-27","6.5","6.9","6.5","6.6","37500"
"NM","2004-12-28","0.0","0.0","0.0","6.6","0"
"NM","2004-12-29","6.51","6.6","6.5","6.51","61600"
"NM","2004-12-30","6.46","6.6","6.46","6.6","50600"
"NM","2004-12-31","6.51","6.65","6.5","6.6","27000"
"NM","2005-01-03","6.65","6.8","6.5","6.8","127300"
"NM","2005-01-04","6.6","6.85","6.6","6.84","405300"
"NM","2005-01-05","6.75","6.85","6.6","6.6","30100"
"NM","2005-01-06","5.2","5.3","5.2","3.49","205000"
"NM","2005-01-07","5.35","5.4","5.35","3.59","26000"
"NM","2005-01-10","5.45","5.65","5.39","3.58","80500"
"NM","2005-01-11","5.45","5.45","5.32","3.59","17500"
"NM","2005-01-12","5.4","5.4","5.25","3.49","151100"
"NM","2005-01-13","5.32","5.4","5.32","3.59","7500"
"NM","2005-01-14","5.4","5.4","5.4","3.59","0"
"NM","2005-01-18","5.32","5.35","5.32","3.56","16000"
"NM","2005-01-19","5.41","5.5","5.4","3.66","30600"
"NM","2005-01-20","5.48","5.48","5.35","3.6","86800"
"NM","2005-01-21","5.47","5.5","5.41","3.65","41700"
"NM","2005-01-24","5.5","5.53","5.45","3.62","47000"
"NM","2005-01-25","5.42","5.45","5.42","3.62","18500"
"NM","2005-01-26","5.46","5.46","5.35","3.56","78500"
"NM","2005-01-27","5.35","5.4","5.25","3.59","203700"
"NM","2005-01-28","5.4","5.4","5.4","3.59","0"
"NM","2005-01-31","5.45","5.6","5.45","3.72","168300"
"NM","2005-02-01","5.6","5.6","5.5","3.66","14500"
"NM","2005-02-02","5.6","5.65","5.4","3.59","17500"
"NM","2005-02-03","5.5","5.6","5.5","3.72","295300"
"NM","2005-02-04","5.6","5.6","5.6","3.72","17000"
"NM","2005-02-07","5.65","5.75","5.65","3.82","173200"
"NM","2005-02-08","5.7","5.8","5.7","3.82","76200"
"NM","2005-02-09","5.75","5.95","5.75","3.92","693600"
"NM","2005-02-10","5.93","6.2","5.9","3.92","924700"
"NM","2005-02-11","6.02","6.04","5.97","4.0","195900"
"NM","2005-02-14","6.01","6.01","5.98","3.98","28500"
"NM","2005-02-15","5.95","5.97","5.85","3.89","33500"
"NM","2005-02-16","5.8","5.8","5.65","3.79","190600"
"NM","2005-02-17","5.75","5.8","5.75","3.85","72900"
"NM","2005-02-18","5.8","5.8","5.75","3.82","12700"
"NM","2005-02-22","5.79","5.85","5.78","3.86","110800"
"NM","2005-02-23","5.8","5.9","5.8","3.92","937600"
"NM","2005-02-24","5.9","6.0","5.9","3.99","91000"
"NM","2005-02-25","6.0","6.0","5.95","3.96","36300"
"NM","2005-02-28","5.95","5.97","5.85","3.97","29400"
"NM","2005-03-01","5.95","6.35","5.93","4.2","914800"
"NM","2005-03-02","6.35","7.04","6.35","4.45","1733600"
"NM","2005-03-03","6.69","6.7","6.65","4.45","511000"
"NM","2005-03-04","6.7","6.7","6.66","4.43","130900"
"NM","2005-03-07","6.66","6.66","6.4","4.29","155500"
"NM","2005-03-08","6.5","6.5","6.15","4.12","216800"
"NM","2005-03-09","6.2","6.25","6.2","4.15","179600"
"NM","2005-03-10","6.2","6.24","6.1","4.09","70800"
"NM","2005-03-11","6.1","6.13","5.98","4.03","152500"
"NM","2005-03-14","6.08","6.08","5.8","3.86","70600"
"NM","2005-03-15","5.87","6.0","5.87","3.99","64000"
"NM","2005-03-16","6.0","6.05","5.95","3.96","16200"
"NM","2005-03-17","5.94","5.95","5.9","3.94","59500"
"NM","2005-03-18","5.9","5.97","5.9","3.96","165100"
"NM","2005-03-21","5.95","6.0","5.95","3.98","7600"
"NM","2005-03-22","5.99","6.2","5.98","4.09","66000"
"NM","2005-03-23","6.11","6.11","6.03","4.06","241900"
"NM","2005-03-24","6.13","6.13","6.1","4.06","13100"
"NM","2005-03-28","6.1","6.1","5.9","3.96","116300"
"NM","2005-03-29","5.95","5.97","5.91","3.95","19900"
"NM","2005-03-30","5.94","5.94","5.94","3.95","0"
"NM","2005-03-31","5.95","6.12","5.95","4.04","139800"
"NM","2005-04-01","6.1","6.1","5.96","3.99","47400"
"NM","2005-04-04","6.02","6.1","6.0","4.06","13100"
"NM","2005-04-05","6.05","6.05","6.0","3.99","37900"
"NM","2005-04-06","5.96","5.98","5.92","3.97","6500"
"NM","2005-04-07","5.98","6.0","5.91","3.99","36600"
"NM","2005-04-08","6.0","6.1","6.0","4.06","54900"
"NM","2005-04-11","6.1","6.1","6.05","4.02","1200"
"NM","2005-04-12","6.06","6.06","6.02","4.0","4000"
"NM","2005-04-13","6.05","6.05","6.0","4.0","16400"
"NM","2005-04-14","5.96","5.96","5.9","3.95","21900"
"NM","2005-04-15","5.9","5.95","5.71","3.86","44400"
"NM","2005-04-18","5.76","5.77","5.75","3.82","34000"
"NM","2005-04-19","5.77","5.95","5.77","3.94","80500"
"NM","2005-04-20","5.95","6.1","5.9","3.99","353000"
"NM","2005-04-21","5.98","6.15","5.98","4.06","358800"
"NM","2005-04-22","6.1","6.17","6.1","4.09","182900"
"NM","2005-04-25","6.17","6.17","6.05","4.02","174100"
"NM","2005-04-26","6.03","6.1","5.95","4.02","132400"
"NM","2005-04-27","6.05","6.05","6.01","4.0","7800"
"NM","2005-04-28","6.03","6.03","5.88","3.91","40200"
"NM","2005-04-29","5.85","6.01","5.8","3.99","233000"
"NM","2005-05-02","6.0","6.0","5.85","3.91","53400"
"NM","2005-05-03","5.86","5.86","5.71","3.82","93300"
"NM","2005-05-04","5.72","5.85","5.69","3.89","22500"
"NM","2005-05-05","5.9","5.9","5.8","3.89","2700"
"NM","2005-05-06","5.8","5.87","5.7","3.9","19400"
"NM","2005-05-09","5.85","5.9","5.7","3.92","8700"
"NM","2005-05-10","5.9","5.9","5.9","3.92","7000"
"NM","2005-05-11","5.93","5.93","5.8","3.86","10200"
"NM","2005-05-12","5.79","5.79","5.72","3.8","5000"
"NM","2005-05-13","5.72","5.85","5.71","3.82","41500"
"NM","2005-05-16","5.75","5.75","5.6","3.72","30800"
"NM","2005-05-17","5.65","5.68","5.6","3.78","200000"
"NM","2005-05-18","5.68","5.75","5.64","3.81","182200"
"NM","2005-05-19","5.71","5.74","5.64","3.75","225900"
"NM","2005-05-20","5.67","5.81","5.67","3.82","188000"
"NM","2005-05-23","5.73","5.73","5.7","3.79","1500"
"NM","2005-05-24","5.65","5.7","5.65","3.76","95500"
"NM","2005-05-25","5.66","5.69","5.58","3.74","74100"
"NM","2005-05-26","5.63","5.7","5.57","3.79","60700"
"NM","2005-05-27","5.8","5.8","5.79","3.86","6700"
"NM","2005-05-31","5.77","5.8","5.75","3.84","25400"
"NM","2005-06-01","5.75","5.75","5.75","3.82","1500"
"NM","2005-06-02","5.73","5.75","5.73","3.82","77000"
"NM","2005-06-03","5.73","5.75","5.72","3.82","93800"
"NM","2005-06-06","5.71","5.73","5.61","3.74","321100"
"NM","2005-06-07","5.63","5.68","5.62","3.74","84000"
"NM","2005-06-08","5.62","5.68","5.6","3.78","70600"
"NM","2005-06-09","5.65","5.72","5.65","3.8","35600"
"NM","2005-06-10","5.72","5.72","5.7","3.79","26500"
"NM","2005-06-13","5.69","5.7","5.68","3.78","137600"
"NM","2005-06-14","5.68","5.68","5.6","3.76","341500"
"NM","2005-06-15","5.67","5.69","5.67","3.78","155500"
"NM","2005-06-16","5.68","5.7","5.66","3.78","168500"
"NM","2005-06-17","5.68","5.69","5.65","3.77","16100"
"NM","2005-06-20","5.69","5.69","5.66","3.76","3300"
"NM","2005-06-21","5.66","5.69","5.62","3.74","39600"
"NM","2005-06-22","5.61","5.7","5.46","3.76","144300"
"NM","2005-06-23","5.65","5.69","5.6","3.78","659200"
"NM","2005-06-24","5.65","5.7","5.65","3.78","214500"
"NM","2005-06-27","5.66","5.68","5.65","3.76","103700"
"NM","2005-06-28","5.65","5.68","5.61","3.74","37200"
"NM","2005-06-29","5.66","5.66","5.6","3.73","29700"
"NM","2005-06-30","5.65","5.72","5.65","3.79","1447100"
"NM","2005-07-01","5.71","5.73","5.66","3.81","22800"
"NM","2005-07-05","5.73","5.75","5.72","3.82","31000"
"NM","2005-07-06","5.75","5.93","5.72","3.92","93200"
"NM","2005-07-07","5.86","5.9","5.84","3.92","102000"
"NM","2005-07-08","5.88","5.91","5.88","3.92","33600"
"NM","2005-07-11","5.9","5.9","5.88","3.92","28200"
"NM","2005-07-12","5.89","5.9","5.87","3.91","55500"
"NM","2005-07-13","5.88","5.92","5.83","3.94","35300"
"NM","2005-07-14","5.9","5.9","5.8","3.86","11500"
"NM","2005-07-15","5.8","5.81","5.65","3.86","54100"
"NM","2005-07-18","5.8","5.85","5.8","3.89","13300"
"NM","2005-07-19","5.85","5.86","5.75","3.82","14800"
"NM","2005-07-20","5.73","5.79","5.73","3.84","38200"
"NM","2005-07-21","5.83","5.9","5.8","3.9","194900"
"NM","2005-07-22","5.88","6.14","5.85","4.08","174200"
"NM","2005-07-25","6.19","6.19","5.95","4.02","203700"
"NM","2005-07-26","6.08","6.08","6.0","3.99","332300"
"NM","2005-07-27","5.97","6.0","5.9","3.94","57700"
"NM","2005-07-28","5.9","5.98","5.71","3.88","132900"
"NM","2005-07-29","5.87","5.91","5.81","3.92","83600"
"NM","2005-08-01","5.85","5.9","5.8","3.89","95300"
"NM","2005-08-02","5.85","5.85","5.81","3.89","51000"
"NM","2005-08-03","5.84","5.85","5.77","3.89","148500"
"NM","2005-08-04","5.85","5.89","5.83","3.92","68700"
"NM","2005-08-05","5.9","5.93","5.89","3.92","61200"
"NM","2005-08-08","5.9","5.95","5.9","3.94","135300"
"NM","2005-08-09","5.9","5.9","5.9","3.92","61500"
"NM","2005-08-10","5.9","6.0","5.9","3.92","196800"
"NM","2005-08-11","5.93","5.93","5.76","3.83","70300"
"NM","2005-08-12","5.82","5.83","5.77","3.84","32100"
"NM","2005-08-15","5.78","5.8","5.77","3.86","13700"
"NM","2005-08-16","5.8","5.8","5.75","3.84","60100"
"NM","2005-08-17","5.77","5.83","5.75","3.82","20000"
"NM","2005-08-18","5.79","5.89","5.72","3.92","129000"
"NM","2005-08-19","5.89","5.89","5.84","3.88","51000"
"NM","2005-08-22","5.83","5.87","5.83","3.88","82700"
"NM","2005-08-23","5.81","5.94","5.63","3.95","161000"
"NM","2005-08-24","5.91","6.1","5.91","4.04","315900"
"NM","2005-08-25","6.04","6.05","6.0","3.99","183700"
"NM","2005-08-26","5.95","6.0","5.94","3.95","25900"
"NM","2005-08-29","5.93","6.0","5.86","3.94","27600"
"NM","2005-08-30","6.0","6.0","5.92","3.94","33500"
"NM","2005-08-31","5.9","5.96","5.8","3.96","32200"
"NM","2005-09-01","5.92","5.95","5.87","3.94","31400"
"NM","2005-09-02","5.9","5.9","5.75","3.89","31700"
"NM","2005-09-06","5.8","5.87","5.79","3.89","73500"
"NM","2005-09-07","5.81","5.95","5.8","3.96","50700"
"NM","2005-09-08","5.95","6.02","5.95","4.0","62300"
"NM","2005-09-09","6.0","6.03","5.99","3.98","41500"
"NM","2005-09-12","6.0","6.04","5.9","3.94","35300"
"NM","2005-09-13","5.9","5.98","5.85","3.92","29500"
"NM","2005-09-14","5.93","5.97","5.93","3.97","6000"
"NM","2005-09-15","5.98","6.03","5.91","3.94","130200"
"NM","2005-09-16","5.92","5.92","5.8","3.9","71300"
"NM","2005-09-19","5.82","5.92","5.82","3.92","73400"
"NM","2005-09-20","5.9","5.92","5.89","3.92","52500"
"NM","2005-09-21","5.88","6.0","5.82","3.99","18300"
"NM","2005-09-22","5.97","6.0","5.97","3.99","5800"
"NM","2005-09-23","5.99","6.0","5.9","3.98","20000"
"NM","2005-09-26","5.95","5.99","5.85","3.89","11500"
"NM","2005-09-27","5.9","5.91","5.9","3.93","11000"
"NM","2005-09-28","5.94","5.95","5.93","3.94","39800"
"NM","2005-09-29","5.92","5.92","5.9","3.93","13000"
"NM","2005-09-30","5.85","5.9","5.82","3.92","17100"
"NM","2005-10-03","5.9","5.95","5.9","3.96","265000"
"NM","2005-10-04","5.92","5.94","5.85","3.92","64300"
"NM","2005-10-05","5.9","5.9","5.77","3.86","46300"
"NM","2005-10-06","5.8","5.85","5.74","3.82","49100"
"NM","2005-10-07","5.77","5.8","5.73","3.81","138900"
"NM","2005-10-10","5.75","5.77","5.7","3.84","84700"
"NM","2005-10-11","5.77","5.78","5.75","3.82","9900"
"NM","2005-10-12","5.75","5.75","5.75","3.82","0"
"NM","2005-10-13","5.7","5.71","5.65","3.76","19600"
"NM","2005-10-14","5.63","5.63","5.23","3.5","141800"
"NM","2005-10-17","5.3","5.48","5.3","3.64","25000"
"NM","2005-10-18","5.37","5.38","5.32","3.54","4500"
"NM","2005-10-19","5.3","5.3","5.24","3.5","9000"
"NM","2005-10-20","5.24","5.25","5.11","3.41","10200"
"NM","2005-10-21","5.11","5.11","4.93","3.32","42900"
"NM","2005-10-24","5.05","5.13","5.05","3.38","45000"
"NM","2005-10-25","5.1","5.1","5.08","3.38","8800"
"NM","2005-10-26","5.08","5.28","5.08","3.51","21500"
"NM","2005-10-27","5.23","5.35","5.2","3.51","16500"
"NM","2005-10-28","5.27","5.4","5.27","3.58","113000"
"NM","2005-10-31","5.4","5.45","5.3","3.58","117600"
"NM","2005-11-01","5.42","5.5","5.4","3.62","106300"
"NM","2005-11-02","5.43","5.48","5.39","3.62","58900"
"NM","2005-11-03","5.55","5.55","5.34","3.64","111700"
"NM","2005-11-04","5.41","5.46","5.11","3.59","14200"
"NM","2005-11-07","5.43","5.45","5.17","3.54","28000"
"NM","2005-11-08","5.33","5.33","5.06","3.46","40300"
"NM","2005-11-09","5.17","5.38","4.85","3.32","570600"
"NM","2005-11-10","5.06","5.46","5.06","3.62","1043400"
"NM","2005-11-11","5.47","5.47","5.31","3.6","60200"
"NM","2005-11-14","5.3","5.36","5.25","3.52","32800"
"NM","2005-11-15","5.25","5.31","4.91","3.31","32900"
"NM","2005-11-16","5.1","5.2","5.05","3.46","27500"
"NM","2005-11-17","5.2","5.27","5.06","3.5","50200"
"NM","2005-11-18","5.2","5.28","5.02","3.5","75600"
"NM","2005-11-21","5.28","5.28","5.12","3.46","106400"
"NM","2005-11-22","5.21","5.28","5.11","3.51","9300"
"NM","2005-11-23","5.31","5.44","5.23","3.53","39700"
"NM","2005-11-25","5.37","5.42","5.15","3.57","4500"
"NM","2005-11-28","5.36","5.36","5.04","3.46","30200"
"NM","2005-11-29","5.33","5.33","5.06","3.42","83000"
"NM","2005-11-30","5.1","5.12","5.05","3.38","56300"
"NM","2005-12-01","5.05","5.15","4.95","3.42","383800"
"NM","2005-12-02","5.1","5.2","5.07","3.46","176200"
"NM","2005-12-05","5.15","5.15","4.99","3.36","220900"
"NM","2005-12-06","5.05","5.08","4.94","3.36","4283300"
"NM","2005-12-07","5.08","5.17","4.99","3.34","340800"
"NM","2005-12-08","5.04","5.17","4.95","3.33","138700"
"NM","2005-12-09","5.08","5.19","5.01","3.36","23600"
"NM","2005-12-12","5.07","5.15","4.95","3.31","138700"
"NM","2005-12-13","4.98","5.1","4.95","3.39","114300"
"NM","2005-12-14","5.02","5.1","4.98","3.36","28600"
"NM","2005-12-15","5.1","5.16","5.0","3.4","48900"
"NM","2005-12-16","5.19","5.19","5.1","3.4","21400"
"NM","2005-12-19","5.12","5.16","4.95","3.32","337000"
"NM","2005-12-20","5.0","5.4","4.91","3.31","570000"
"NM","2005-12-21","4.98","4.98","4.82","3.24","136500"
"NM","2005-12-22","4.89","5.0","4.71","3.3","122800"
"NM","2005-12-23","4.9","4.9","4.67","3.18","56100"
"NM","2005-12-27","4.78","4.88","4.62","3.2","49200"
"NM","2005-12-28","4.72","4.83","4.61","3.12","32400"
"NM","2005-12-29","4.68","4.68","4.54","3.05","34900"
"NM","2005-12-30","4.65","4.83","4.51","3.07","56700"
"NM","2006-01-03","4.8","4.8","4.36","2.93","223000"
"NM","2006-01-04","4.5","4.59","4.37","3.02","134600"
"NM","2006-01-05","4.57","4.62","4.37","2.94","133700"
"NM","2006-01-06","4.4","4.59","4.34","2.99","65600"
"NM","2006-01-09","4.5","4.5","4.34","2.93","18400"
"NM","2006-01-10","4.41","4.69","4.41","3.09","26800"
"NM","2006-01-11","4.65","4.65","4.54","3.02","13200"
"NM","2006-01-12","4.59","4.59","4.4","2.98","152200"
"NM","2006-01-13","4.48","4.53","4.41","3.01","474500"
"NM","2006-01-17","4.45","4.52","4.4","2.99","4200"
"NM","2006-01-18","4.5","4.5","4.41","2.96","6300"
"NM","2006-01-19","4.42","4.57","4.42","2.98","1224200"
"NM","2006-01-20","4.55","4.55","4.4","2.95","39300"
"NM","2006-01-23","4.4","4.6","4.4","3.02","32100"
"NM","2006-01-24","4.55","4.7","4.47","3.0","114800"
"NM","2006-01-25","4.58","4.58","4.43","3.0","102000"
"NM","2006-01-26","4.41","4.52","4.41","2.97","3600"
"NM","2006-01-27","4.46","4.52","4.46","2.97","2400"
"NM","2006-01-30","4.46","4.52","4.36","2.95","70800"
"NM","2006-01-31","4.45","4.64","4.44","3.0","1262200"
"NM","2006-02-01","4.51","4.55","4.49","3.02","7000"
"NM","2006-02-02","4.55","4.64","4.4","2.97","16300"
"NM","2006-02-03","4.42","4.49","4.4","2.93","14400"
"NM","2006-02-06","4.4","4.5","4.4","2.96","6400"
"NM","2006-02-07","4.45","4.61","4.38","3.06","19500"
"NM","2006-02-08","4.58","4.6","4.48","3.04","17200"
"NM","2006-02-09","4.48","4.74","4.42","3.12","106900"
"NM","2006-02-10","4.66","4.67","4.61","3.08","18900"
"NM","2006-02-13","4.69","4.7","4.56","3.04","22100"
"NM","2006-02-14","4.54","4.7","4.54","3.02","22400"
"NM","2006-02-15","4.54","4.69","4.47","3.0","13600"
"NM","2006-02-16","4.61","4.7","4.56","3.06","280600"
"NM","2006-02-17","4.57","4.59","4.48","3.01","119800"
"NM","2006-02-21","4.53","4.69","4.51","3.06","171600"
"NM","2006-02-22","4.68","4.68","4.6","3.08","22000"
"NM","2006-02-23","4.65","4.84","4.6","3.25","51800"
"NM","2006-02-24","4.75","4.82","4.55","3.22","26200"
"NM","2006-02-27","4.82","4.82","4.68","3.16","4800"
"NM","2006-02-28","4.64","4.75","4.6","3.2","6400"
"NM","2006-03-01","4.6","4.76","4.6","3.21","2100"
"NM","2006-03-02","4.79","4.91","4.65","3.16","23700"
"NM","2006-03-03","4.65","4.74","4.65","3.2","16200"
"NM","2006-03-06","4.79","4.9","4.7","3.27","29000"
"NM","2006-03-07","4.71","4.85","4.7","3.27","4200"
"NM","2006-03-08","4.85","4.85","4.78","3.22","5300"
"NM","2006-03-09","4.78","4.95","4.7","3.2","18700"
"NM","2006-03-10","5.02","5.02","4.71","3.26","12000"
"NM","2006-03-13","4.9","4.9","4.83","3.26","4900"
"NM","2006-03-14","5.12","5.12","4.79","3.27","24600"
"NM","2006-03-15","4.83","4.83","4.7","3.22","7500"
"NM","2006-03-16","4.8","4.8","4.7","3.2","39400"
"NM","2006-03-17","4.84","4.89","4.52","3.21","24700"
"NM","2006-03-20","4.65","4.77","4.54","3.18","26200"
"NM","2006-03-21","4.72","4.89","4.72","3.3","8800"
"NM","2006-03-22","4.8","4.88","4.5","3.09","30900"
"NM","2006-03-23","4.55","4.58","4.42","3.04","447500"
"NM","2006-03-24","4.62","4.89","4.55","3.24","204100"
"NM","2006-03-27","4.73","4.77","4.69","3.2","3600"
"NM","2006-03-28","4.63","4.99","4.62","3.36","50100"
"NM","2006-03-29","4.95","4.97","4.85","3.34","8300"
"NM","2006-03-30","4.9","4.92","4.82","3.27","15600"
"NM","2006-03-31","4.87","4.94","4.78","3.22","8000"
"NM","2006-04-03","4.78","4.95","4.75","3.31","29400"
"NM","2006-04-04","4.76","4.82","4.55","3.23","31200"
"NM","2006-04-05","4.78","4.89","4.7","3.19","4700"
"NM","2006-04-06","4.75","4.85","4.75","3.27","10100"
"NM","2006-04-07","4.73","5.0","4.73","3.37","63500"
"NM","2006-04-10","4.96","5.24","4.91","3.34","45400"
"NM","2006-04-11","4.93","4.93","4.74","3.22","25400"
"NM","2006-04-12","4.77","4.78","4.74","3.2","15800"
"NM","2006-04-13","4.75","4.77","4.74","3.2","2200"
"NM","2006-04-17","4.76","4.8","4.74","3.2","3700"
"NM","2006-04-18","4.74","4.77","4.74","3.2","12700"
"NM","2006-04-19","4.75","4.8","4.7","3.21","60200"
"NM","2006-04-20","4.76","4.86","4.66","3.24","126600"
"NM","2006-04-21","4.78","5.0","4.76","3.27","5200"
"NM","2006-04-24","4.8","4.8","4.71","3.2","8800"
"NM","2006-04-25","4.75","4.97","4.7","3.2","29400"
"NM","2006-04-26","4.75","4.9","4.71","3.21","4700"
"NM","2006-04-27","4.9","4.9","4.7","3.2","32900"
"NM","2006-04-28","4.71","5.0","4.71","3.32","115600"
"NM","2006-05-01","4.93","4.93","4.77","3.24","15100"
"NM","2006-05-02","4.75","4.77","4.68","3.18","41100"
"NM","2006-05-03","4.67","4.85","4.67","3.24","191200"
"NM","2006-05-04","4.8","4.81","4.47","3.24","72500"
"NM","2006-05-05","4.8","4.84","4.72","3.24","12200"
"NM","2006-05-08","4.78","4.88","4.75","3.25","9800"
"NM","2006-05-09","4.82","4.85","4.81","3.24","2000"
"NM","2006-05-10","4.75","4.8","4.72","3.22","9800"
"NM","2006-05-11","4.74","4.85","4.56","3.2","111700"
"NM","2006-05-12","4.72","4.85","4.68","3.24","65200"
"NM","2006-05-15","4.75","4.8","4.69","3.2","8800"
"NM","2006-05-16","4.74","4.75","4.65","3.2","11100"
"NM","2006-05-17","4.71","4.8","4.69","3.21","47900"
"NM","2006-05-18","4.73","4.77","4.72","3.21","19600"
"NM","2006-05-19","4.7","4.78","4.55","3.2","69000"
"NM","2006-05-22","4.73","4.81","4.63","3.2","24600"
"NM","2006-05-23","4.73","4.75","4.71","3.2","1900"
"NM","2006-05-24","4.75","4.85","4.66","3.25","24500"
