"symbol","date","open","high","low","close","volume"
"NQ","2011-05-05","11.5","11.9","8.31","9.3","2710000"
"NQ","2011-05-06","9.35","10.25","8.4","8.4","1678800"
"NQ","2011-05-09","8.65","8.75","8.2","8.25","244000"
"NQ","2011-05-10","8.3","8.49","7.6","7.66","376800"
"NQ","2011-05-11","7.51","8.09","7.51","8.0","605500"
"NQ","2011-05-12","8.07","8.17","6.75","6.99","609000"
"NQ","2011-05-13","7.07","7.5","6.82","7.44","169500"
"NQ","2011-05-16","7.25","8.08","7.25","7.97","444600"
"NQ","2011-05-17","8.08","8.09","7.4","7.64","235400"
"NQ","2011-05-18","7.58","7.66","7.0","7.09","335100"
"NQ","2011-05-19","7.1","7.1","6.0","6.0","1295900"
"NQ","2011-05-20","6.25","6.36","5.94","6.07","567000"
"NQ","2011-05-23","5.97","6.01","5.67","5.7","439600"
"NQ","2011-05-24","5.75","5.8","5.44","5.64","396900"
"NQ","2011-05-25","5.72","6.01","5.28","5.36","475400"
"NQ","2011-05-26","5.46","5.73","5.06","5.34","671400"
"NQ","2011-05-27","5.43","5.84","5.3","5.65","279900"
"NQ","2011-05-31","5.75","6.35","5.64","6.06","738000"
"NQ","2011-06-01","6.15","6.15","5.9","6.07","358800"
"NQ","2011-06-02","6.59","6.6","6.26","6.42","722600"
"NQ","2011-06-03","6.17","6.28","5.71","5.74","670300"
"NQ","2011-06-06","5.73","5.73","5.1","5.24","322300"
"NQ","2011-06-07","5.25","5.31","4.82","5.19","274500"
"NQ","2011-06-08","5.16","5.19","5.05","5.12","133300"
"NQ","2011-06-09","5.1","5.17","4.82","4.9","544500"
"NQ","2011-06-10","4.82","4.82","4.53","4.64","188800"
"NQ","2011-06-13","4.6","4.6","3.95","4.02","566600"
"NQ","2011-06-14","4.63","4.96","4.46","4.66","1058600"
"NQ","2011-06-15","4.64","4.84","4.22","4.37","416000"
"NQ","2011-06-16","4.6","4.75","4.35","4.42","270100"
"NQ","2011-06-17","4.67","4.67","4.38","4.49","178600"
