"symbol","date","open","high","low","close","volume"
"NQM","1990-06-22","15.0","15.0","15.0","3.02","135600"
"NQM","1990-06-25","15.0","15.0","15.0","3.02","31100"
"NQM","1990-06-26","15.0","15.0","15.0","3.02","28000"
"NQM","1990-06-27","15.0","15.0","15.0","3.02","19900"
"NQM","1990-06-28","15.0","15.0","15.0","3.02","23600"
"NQM","1990-06-29","15.0","15.0","15.0","3.02","60700"
"NQM","1990-07-02","15.12","15.12","15.0","3.02","21400"
"NQM","1990-07-03","15.0","15.12","15.0","3.02","27800"
"NQM","1990-07-05","15.0","15.12","15.0","3.02","25900"
"NQM","1990-07-06","15.0","15.12","15.0","3.02","26900"
"NQM","1990-07-09","15.0","15.12","15.0","3.02","47800"
"NQM","1990-07-10","15.0","15.0","15.0","3.02","59000"
"NQM","1990-07-11","15.0","15.0","15.0","3.02","33000"
"NQM","1990-07-12","15.12","15.12","15.0","3.02","13600"
"NQM","1990-07-13","15.0","15.12","15.0","3.02","77200"
"NQM","1990-07-16","15.0","15.12","15.0","3.02","27100"
"NQM","1990-07-17","15.0","15.12","15.0","3.02","20200"
"NQM","1990-07-18","15.0","15.12","15.0","3.02","13400"
"NQM","1990-07-19","15.12","15.12","15.0","3.05","34800"
"NQM","1990-07-20","15.0","15.12","15.0","3.02","12800"
"NQM","1990-07-23","15.0","15.0","14.75","2.97","310600"
"NQM","1990-07-24","14.75","14.75","14.75","2.97","88300"
"NQM","1990-07-25","14.75","14.88","14.75","3.0","26600"
"NQM","1990-07-26","14.88","14.88","14.75","3.0","9900"
"NQM","1990-07-27","14.88","14.88","14.75","3.0","42300"
"NQM","1990-07-30","14.88","14.88","14.62","2.97","28500"
"NQM","1990-07-31","14.75","14.75","14.62","2.97","21400"
"NQM","1990-08-01","14.75","14.75","14.62","2.97","16800"
"NQM","1990-08-02","14.62","14.75","14.62","2.97","22400"
"NQM","1990-08-03","14.75","14.75","14.62","2.97","16800"
"NQM","1990-08-06","14.62","14.75","14.5","2.92","66100"
"NQM","1990-08-07","14.5","14.75","14.5","2.95","15400"
"NQM","1990-08-08","14.75","14.75","14.62","2.97","17900"
"NQM","1990-08-09","14.75","14.75","14.62","2.95","11100"
"NQM","1990-08-10","14.62","14.75","14.62","2.97","7400"
"NQM","1990-08-13","14.75","14.75","14.62","2.95","16600"
"NQM","1990-08-14","14.75","14.75","14.62","2.95","23700"
"NQM","1990-08-15","14.75","14.75","14.5","2.95","23700"
"NQM","1990-08-16","14.5","14.62","14.38","2.9","33100"
"NQM","1990-08-17","14.38","14.5","14.38","2.9","18700"
"NQM","1990-08-20","14.38","14.5","14.38","2.9","11500"
"NQM","1990-08-21","14.38","14.5","14.38","2.9","8700"
"NQM","1990-08-22","14.25","14.5","14.25","2.87","31400"
"NQM","1990-08-23","14.38","14.38","14.25","2.87","20300"
"NQM","1990-08-24","14.25","14.5","14.25","2.9","33900"
"NQM","1990-08-27","14.25","14.38","14.25","2.87","8000"
"NQM","1990-08-28","14.38","14.38","14.12","2.85","26700"
"NQM","1990-08-29","14.25","14.25","14.12","2.85","11900"
"NQM","1990-08-30","14.25","14.25","14.12","2.87","12800"
"NQM","1990-08-31","14.25","14.38","14.12","2.85","36200"
"NQM","1990-09-04","14.12","14.38","14.12","2.87","10500"
"NQM","1990-09-05","14.25","14.38","14.12","2.85","13900"
"NQM","1990-09-06","14.12","14.25","14.12","2.87","35200"
"NQM","1990-09-07","14.12","14.38","14.12","2.9","30500"
"NQM","1990-09-10","14.25","14.38","14.12","2.89","17100"
"NQM","1990-09-11","14.38","14.38","14.12","2.86","26700"
"NQM","1990-09-12","14.12","14.25","14.12","2.86","11100"
"NQM","1990-09-13","14.25","14.25","14.12","2.89","12600"
"NQM","1990-09-14","14.25","14.38","14.12","2.86","20200"
"NQM","1990-09-17","14.25","14.25","14.12","2.89","19000"
"NQM","1990-09-18","14.25","14.25","14.12","2.86","22500"
"NQM","1990-09-19","14.25","14.25","14.12","2.86","30500"
"NQM","1990-09-20","14.12","14.25","14.12","2.89","21600"
"NQM","1990-09-21","14.25","14.38","14.0","2.84","72400"
"NQM","1990-09-24","14.12","14.12","14.0","2.84","21100"
"NQM","1990-09-25","14.12","14.12","14.0","2.84","24000"
"NQM","1990-09-26","14.0","14.12","14.0","2.84","18300"
"NQM","1990-09-27","14.12","14.12","14.0","2.84","20400"
"NQM","1990-09-28","14.12","14.25","14.12","2.86","32100"
"NQM","1990-10-01","14.38","14.38","14.25","2.91","28100"
"NQM","1990-10-02","14.25","14.38","14.12","2.86","33000"
"NQM","1990-10-03","14.12","14.25","14.12","2.89","30300"
"NQM","1990-10-04","14.25","14.25","14.12","2.89","37400"
"NQM","1990-10-05","14.12","14.25","14.12","2.86","25400"
"NQM","1990-10-08","14.12","14.25","14.12","2.86","14400"
"NQM","1990-10-09","14.12","14.25","14.12","2.88","24900"
"NQM","1990-10-10","14.12","14.25","14.12","2.88","19500"
"NQM","1990-10-11","14.12","14.25","14.0","2.86","51400"
"NQM","1990-10-12","14.12","14.12","14.0","2.86","17400"
"NQM","1990-10-15","14.0","14.12","14.0","2.86","25600"
"NQM","1990-10-16","14.0","14.0","14.0","2.86","35300"
"NQM","1990-10-17","14.0","14.12","14.0","2.86","24200"
"NQM","1990-10-18","14.0","14.12","14.0","2.88","20700"
"NQM","1990-10-19","14.0","14.12","14.0","2.86","23700"
"NQM","1990-10-22","14.12","14.12","14.12","2.88","43500"
"NQM","1990-10-23","14.12","14.25","14.12","2.91","26600"
"NQM","1990-10-24","14.25","14.25","14.12","2.91","36900"
"NQM","1990-10-25","14.25","14.25","14.12","2.91","26500"
"NQM","1990-10-26","14.12","14.25","14.12","2.88","24300"
"NQM","1990-10-29","14.12","14.25","14.12","2.91","32500"
"NQM","1990-10-30","14.25","14.38","14.12","2.91","21500"
"NQM","1990-10-31","14.25","14.25","14.12","2.91","24600"
"NQM","1990-11-01","14.12","14.25","14.12","2.91","17100"
"NQM","1990-11-02","14.12","14.38","14.12","2.93","20700"
"NQM","1990-11-05","14.25","14.38","14.12","2.88","17800"
"NQM","1990-11-06","14.25","14.38","14.12","2.93","18000"
"NQM","1990-11-07","14.25","14.38","14.12","2.91","25600"
"NQM","1990-11-08","14.0","14.12","14.0","2.9","32500"
"NQM","1990-11-09","14.0","14.12","14.0","2.9","29300"
"NQM","1990-11-12","14.0","14.12","14.0","2.9","23800"
"NQM","1990-11-13","14.12","14.12","14.0","2.87","29800"
"NQM","1990-11-14","14.12","14.25","14.12","2.9","30500"
"NQM","1990-11-15","14.25","14.25","14.12","2.9","20200"
"NQM","1990-11-16","14.12","14.25","14.12","2.93","40300"
"NQM","1990-11-19","14.25","14.25","14.12","2.93","23600"
"NQM","1990-11-20","14.12","14.25","14.12","2.93","58600"
"NQM","1990-11-21","14.12","14.25","14.12","2.9","48900"
"NQM","1990-11-23","14.25","14.38","14.25","2.95","13600"
"NQM","1990-11-26","14.38","14.38","14.25","2.95","36000"
"NQM","1990-11-27","14.25","14.38","14.25","2.95","17900"
"NQM","1990-11-28","14.25","14.38","14.25","2.95","36400"
"NQM","1990-11-29","14.25","14.38","14.25","2.95","42700"
"NQM","1990-11-30","14.38","14.38","14.25","2.93","40800"
"NQM","1990-12-03","14.38","14.38","14.25","2.93","23900"
"NQM","1990-12-04","14.38","14.38","14.25","2.95","40200"
"NQM","1990-12-05","14.38","14.5","14.25","2.98","39900"
"NQM","1990-12-06","14.5","14.62","14.38","2.98","40100"
"NQM","1990-12-07","14.62","14.62","14.5","2.98","31600"
"NQM","1990-12-10","14.38","14.5","14.38","2.97","40300"
"NQM","1990-12-11","14.38","14.5","14.38","2.97","50700"
"NQM","1990-12-12","14.38","14.5","14.38","3.0","51000"
"NQM","1990-12-13","14.5","14.62","14.38","3.02","39500"
