"symbol","date","open","high","low","close","volume"
"NRE","2000-01-03","0.14","0.14","0.14","0.12","264600"
"NRE","2000-01-04","0.14","0.14","0.14","0.12","132300"
"NRE","2000-01-05","0.14","0.14","0.14","0.12","1896300"
"NRE","2000-01-06","0.14","0.14","0.14","0.12","0"
"NRE","2000-01-07","0.14","0.14","0.14","0.12","0"
"NRE","2000-01-10","0.14","0.14","0.14","0.12","0"
"NRE","2000-01-11","0.14","0.14","0.14","0.12","132300"
"NRE","2000-01-12","0.14","0.14","0.14","0.11","882000"
"NRE","2000-01-13","0.14","0.14","0.14","0.11","0"
"NRE","2000-01-14","0.14","0.14","0.14","0.11","0"
"NRE","2000-01-17","0.14","0.14","0.14","0.11","198400"
"NRE","2000-01-18","0.14","0.14","0.14","0.11","44100"
"NRE","2000-01-19","0.14","0.14","0.14","0.11","88200"
"NRE","2000-01-20","0.14","0.14","0.14","0.11","0"
"NRE","2000-01-21","0.14","0.14","0.14","0.11","0"
"NRE","2000-01-24","0.14","0.14","0.13","0.11","242500"
"NRE","2000-01-25","0.14","0.14","0.14","0.11","88200"
"NRE","2000-01-26","0.13","0.13","0.13","0.11","44100"
"NRE","2000-01-27","0.13","0.13","0.13","0.11","0"
"NRE","2000-01-28","0.13","0.13","0.13","0.11","0"
"NRE","2000-01-31","0.14","0.14","0.14","0.11","264600"
"NRE","2000-02-01","0.14","0.14","0.14","0.11","418900"
"NRE","2000-02-02","0.14","0.14","0.14","0.11","110200"
"NRE","2000-02-03","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-04","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-07","0.13","0.13","0.13","0.11","110200"
"NRE","2000-02-08","0.14","0.14","0.13","0.11","1102500"
"NRE","2000-02-09","0.14","0.14","0.14","0.11","926100"
"NRE","2000-02-10","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-11","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-14","0.14","0.14","0.14","0.12","308700"
"NRE","2000-02-15","0.14","0.14","0.14","0.11","176400"
"NRE","2000-02-16","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-17","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-18","0.14","0.14","0.14","0.11","0"
"NRE","2000-02-21","0.14","0.14","0.14","0.11","44100"
"NRE","2000-02-22","0.13","0.14","0.13","0.11","0"
"NRE","2000-02-23","0.13","0.13","0.13","0.11","66100"
"NRE","2000-02-24","0.13","0.13","0.13","0.11","0"
"NRE","2000-02-25","0.13","0.13","0.13","0.11","0"
"NRE","2000-02-28","0.13","0.13","0.13","0.11","220500"
"NRE","2000-02-29","0.13","0.13","0.13","0.11","44100"
"NRE","2000-03-01","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-02","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-03","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-06","0.13","0.14","0.13","0.11","0"
"NRE","2000-03-07","0.13","0.14","0.13","0.11","0"
"NRE","2000-03-08","0.13","0.13","0.13","0.11","441000"
"NRE","2000-03-09","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-10","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-13","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-14","0.13","0.13","0.13","0.11","132300"
"NRE","2000-03-15","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-16","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-17","0.13","0.13","0.13","0.11","0"
"NRE","2000-03-20","0.13","0.13","0.13","0.11","352800"
