"symbol","date","open","high","low","close","volume"
"NRIM","1993-10-25","8.5","9.0","8.5","3.57","6700"
"NRIM","1993-10-26","8.75","9.0","8.75","3.47","1600"
"NRIM","1993-10-27","9.0","9.0","8.75","3.57","5200"
"NRIM","1993-10-28","8.75","9.0","8.75","3.57","9600"
"NRIM","1993-10-29","8.5","8.75","8.5","3.47","14000"
"NRIM","1993-11-01","9.0","9.0","8.63","3.57","4600"
"NRIM","1993-11-02","9.0","9.12","8.63","3.47","12100"
"NRIM","1993-11-03","8.75","8.87","8.75","3.47","12900"
"NRIM","1993-11-04","8.87","8.87","8.5","3.52","13900"
"NRIM","1993-11-05","8.5","8.5","8.5","3.37","800"
"NRIM","1993-11-08","9.0","9.0","9.0","3.57","2200"
"NRIM","1993-11-09","9.0","9.0","9.0","3.57","200"
"NRIM","1993-11-10","9.0","9.0","8.63","3.42","23000"
"NRIM","1993-11-11","9.0","9.0","8.63","3.42","300"
"NRIM","1993-11-12","9.0","9.0","8.63","3.42","3100"
"NRIM","1993-11-15","9.0","9.0","9.0","3.57","500"
"NRIM","1993-11-16","8.63","9.0","8.5","3.57","18500"
"NRIM","1993-11-17","8.5","9.0","8.5","3.47","1200"
"NRIM","1993-11-18","8.5","9.0","8.5","3.52","10400"
"NRIM","1993-11-19","8.5","8.63","8.5","3.42","4200"
"NRIM","1993-11-22","8.75","9.0","8.63","3.57","16100"
"NRIM","1993-11-23","8.75","8.75","8.75","3.47","1100"
"NRIM","1993-11-24","9.12","9.12","8.75","3.47","3500"
"NRIM","1993-11-26","8.87","8.87","8.87","3.52","500"
"NRIM","1993-11-29","8.87","8.87","8.87","3.52","0"
"NRIM","1993-11-30","8.87","9.12","8.75","3.47","1200"
"NRIM","1993-12-01","9.12","9.12","8.87","3.52","1100"
"NRIM","1993-12-02","8.87","8.87","8.87","3.52","0"
"NRIM","1993-12-03","9.12","9.12","8.63","3.42","700"
"NRIM","1993-12-06","9.12","9.12","8.63","3.42","600"
"NRIM","1993-12-07","8.75","8.87","8.63","3.42","1400"
"NRIM","1993-12-08","8.75","8.75","8.75","3.47","500"
"NRIM","1993-12-09","8.75","8.75","8.63","3.42","1400"
"NRIM","1993-12-10","8.75","9.12","8.75","3.62","700"
"NRIM","1993-12-13","8.75","8.75","8.75","3.47","200"
"NRIM","1993-12-14","9.12","9.12","8.87","3.52","1800"
"NRIM","1993-12-15","8.87","8.87","8.87","3.52","0"
"NRIM","1993-12-16","8.63","8.63","8.63","3.42","20600"
"NRIM","1993-12-17","8.63","9.0","8.63","3.57","1300"
"NRIM","1993-12-20","8.63","8.87","8.63","3.52","3000"
"NRIM","1993-12-21","9.25","9.25","8.87","3.52","400"
"NRIM","1993-12-22","8.87","8.87","8.87","3.52","0"
"NRIM","1993-12-23","9.25","9.25","8.63","3.42","3000"
"NRIM","1993-12-27","9.25","9.25","8.63","3.42","700"
"NRIM","1993-12-28","8.63","9.0","8.63","3.52","3200"
"NRIM","1993-12-29","9.12","9.12","8.63","3.42","300"
"NRIM","1993-12-30","8.63","8.63","8.63","3.42","1100"
"NRIM","1993-12-31","8.63","8.63","8.63","3.42","500"
"NRIM","1994-01-03","8.75","8.75","8.63","3.47","5900"
"NRIM","1994-01-04","8.75","8.75","8.75","3.47","0"
"NRIM","1994-01-05","8.63","8.75","8.5","3.37","10000"
"NRIM","1994-01-06","8.5","8.63","8.5","3.42","3100"
"NRIM","1994-01-07","8.37","8.63","8.37","3.42","600"
"NRIM","1994-01-10","8.63","8.63","8.5","3.42","1400"
"NRIM","1994-01-11","8.37","8.5","8.37","3.32","19600"
"NRIM","1994-01-12","8.5","8.5","8.12","3.32","1800"
"NRIM","1994-01-13","8.5","8.5","8.5","3.37","100"
"NRIM","1994-01-14","8.12","8.37","8.12","3.22","21400"
"NRIM","1994-01-17","8.0","8.0","8.0","3.17","300"
"NRIM","1994-01-18","7.75","8.25","7.75","3.27","10800"
"NRIM","1994-01-19","8.25","8.25","8.25","3.27","3600"
"NRIM","1994-01-20","8.25","8.25","8.25","3.27","1300"
"NRIM","1994-01-21","8.25","8.25","8.25","3.27","200"
"NRIM","1994-01-24","8.25","8.25","8.25","3.27","0"
"NRIM","1994-01-25","7.75","8.12","7.5","2.97","6500"
"NRIM","1994-01-26","7.5","7.5","7.5","2.97","800"
"NRIM","1994-01-27","7.5","7.5","7.5","2.97","0"
"NRIM","1994-01-28","7.75","8.25","7.5","3.27","3000"
"NRIM","1994-01-31","7.5","8.25","7.5","3.27","400"
"NRIM","1994-02-01","8.25","8.25","8.25","3.27","200"
"NRIM","1994-02-02","8.25","8.25","8.0","3.17","5900"
"NRIM","1994-02-03","7.5","7.75","7.5","2.97","1600"
"NRIM","1994-02-04","8.0","8.0","8.0","3.17","1200"
"NRIM","1994-02-07","8.0","8.0","8.0","3.17","0"
"NRIM","1994-02-08","8.0","8.0","8.0","3.17","0"
"NRIM","1994-02-09","7.75","8.0","7.75","3.17","3700"
"NRIM","1994-02-10","7.5","8.0","7.5","3.07","4800"
"NRIM","1994-02-11","8.0","8.0","7.5","3.02","5900"
"NRIM","1994-02-14","8.0","8.0","8.0","3.17","300"
"NRIM","1994-02-15","7.5","7.5","7.5","2.97","14800"
"NRIM","1994-02-16","7.25","7.25","7.25","2.87","4000"
"NRIM","1994-02-17","7.25","7.5","6.5","2.58","16900"
"NRIM","1994-02-18","7.0","7.12","6.88","2.82","21400"
"NRIM","1994-02-22","6.88","7.37","6.88","2.92","5000"
