"symbol","date","open","high","low","close","volume"
"NXRT","2015-04-01","14.0","14.0","13.65","13.85","73819"
"NXRT","2015-04-02","13.5","14.09","13.23","13.91","174092"
"NXRT","2015-04-06","13.63","14.56","13.63","14.56","239080"
"NXRT","2015-04-07","14.45","14.65","14.32","14.55","84532"
"NXRT","2015-04-08","14.4","14.56","14.38","14.44","76541"
"NXRT","2015-04-09","14.28","14.5","14.21","14.24","133749"
"NXRT","2015-04-10","14.25","14.33","14.01","14.03","266007"
"NXRT","2015-04-13","14.01","14.15","13.8","13.86","288540"
"NXRT","2015-04-14","13.9","13.95","13.8","13.87","104481"
"NXRT","2015-04-15","13.85","14.04","13.85","13.94","155354"
"NXRT","2015-04-16","13.94","14.03","13.81","13.95","177353"
"NXRT","2015-04-17","13.87","14.05","13.86","13.96","212771"
"NXRT","2015-04-20","13.95","14.09","13.95","14.01","119709"
"NXRT","2015-04-21","13.96","14.13","13.87","13.94","403713"
"NXRT","2015-04-22","14.0","14.02","13.87","13.95","377705"
"NXRT","2015-04-23","13.95","14.0","13.85","13.87","581968"
"NXRT","2015-04-24","14.0","14.12","13.93","13.97","538405"
"NXRT","2015-04-27","13.96","14.01","13.96","13.96","222025"
"NXRT","2015-04-28","13.95","14.0","13.9","13.96","131078"
"NXRT","2015-04-29","14.0","14.0","13.86","13.93","152989"
"NXRT","2015-04-30","13.85","14.2","13.85","14.14","127869"
"NXRT","2015-05-01","14.1","14.34","13.92","14.3","339184"
"NXRT","2015-05-04","14.05","14.28","14.05","14.27","87152"
"NXRT","2015-05-05","14.29","14.29","14.15","14.23","78050"
"NXRT","2015-05-06","14.15","14.24","14.08","14.13","80174"
"NXRT","2015-05-07","14.09","14.11","14.0","14.06","168093"
"NXRT","2015-05-08","14.08","14.32","14.02","14.29","149932"
"NXRT","2015-05-11","14.15","14.45","14.15","14.44","111301"
"NXRT","2015-05-12","14.2","14.45","14.2","14.42","108004"
"NXRT","2015-05-13","14.19","14.55","14.19","14.54","149938"
"NXRT","2015-05-14","14.18","14.72","14.18","14.4","372874"
"NXRT","2015-05-15","14.37","14.66","14.37","14.57","68115"
"NXRT","2015-05-18","14.5","14.62","14.5","14.61","155905"
"NXRT","2015-05-19","14.55","14.74","14.55","14.72","159163"
"NXRT","2015-05-20","14.67","14.75","14.67","14.7","118585"
"NXRT","2015-05-21","14.76","14.95","14.68","14.82","236596"
"NXRT","2015-05-22","14.75","14.95","14.75","14.9","96960"
"NXRT","2015-05-26","14.92","14.93","14.85","14.91","70648"
"NXRT","2015-05-27","14.98","15.16","14.88","15.04","155224"
"NXRT","2015-05-28","14.97","15.21","14.97","15.19","109077"
"NXRT","2015-05-29","15.21","15.24","15.13","15.14","89532"
"NXRT","2015-06-01","15.14","15.32","15.07","15.3","94394"
"NXRT","2015-06-02","15.21","15.25","15.04","15.14","89569"
"NXRT","2015-06-03","15.05","15.2","14.88","15.04","92298"
"NXRT","2015-06-04","14.92","15.06","14.7","14.87","131109"
"NXRT","2015-06-05","14.72","14.86","14.56","14.81","269588"
"NXRT","2015-06-08","14.8","14.97","14.8","14.94","126284"
"NXRT","2015-06-09","15.0","15.18","14.96","15.06","158550"
"NXRT","2015-06-10","15.15","15.15","14.97","15.0","152363"
"NXRT","2015-06-11","14.86","14.95","14.49","14.83","144121"
"NXRT","2015-06-12","14.76","14.83","14.51","14.66","118934"
"NXRT","2015-06-15","14.58","14.78","14.5","14.56","127679"
"NXRT","2015-06-16","14.5","14.7","14.5","14.65","122225"
"NXRT","2015-06-17","14.63","14.78","14.62","14.71","134234"
"NXRT","2015-06-18","14.66","14.75","14.5","14.53","361465"
"NXRT","2015-06-19","14.53","14.89","14.53","14.75","784275"
"NXRT","2015-06-22","14.72","14.83","14.49","14.51","131947"
"NXRT","2015-06-23","14.58","14.67","14.5","14.54","147280"
"NXRT","2015-06-24","14.51","14.6","14.28","14.47","142717"
"NXRT","2015-06-25","14.4","14.5","13.85","13.99","294551"
