"symbol","date","open","high","low","close","volume"
"NYMT","2004-06-24","87.5","89.9","86.9","89.4","448500"
"NYMT","2004-06-25","89.2","91.5","89.2","89.8","80700"
"NYMT","2004-06-28","90.0","90.4","89.5","89.9","66400"
"NYMT","2004-06-29","89.8","89.8","88.0","88.1","11200"
"NYMT","2004-06-30","88.0","89.1","88.0","88.6","15600"
"NYMT","2004-07-01","88.7","89.0","87.8","87.9","28200"
"NYMT","2004-07-02","88.0","88.5","87.0","88.0","13200"
"NYMT","2004-07-06","87.5","87.8","87.5","87.5","800"
"NYMT","2004-07-07","88.0","88.5","88.0","88.0","10000"
"NYMT","2004-07-08","88.0","88.0","87.5","87.9","16300"
"NYMT","2004-07-09","87.9","88.2","87.3","88.0","13800"
"NYMT","2004-07-12","88.0","88.2","88.0","88.0","23500"
"NYMT","2004-07-13","87.8","87.9","87.0","87.0","21300"
"NYMT","2004-07-14","87.8","90.1","87.3","90.0","39500"
"NYMT","2004-07-15","90.5","90.5","89.8","90.5","26500"
"NYMT","2004-07-16","90.5","92.0","90.4","92.0","17300"
"NYMT","2004-07-19","92.0","94.2","92.0","93.6","4500"
"NYMT","2004-07-20","93.6","93.7","92.9","93.0","7300"
"NYMT","2004-07-21","93.0","93.5","91.5","91.5","3100"
"NYMT","2004-07-22","91.0","91.0","89.9","89.9","3400"
"NYMT","2004-07-23","89.9","90.0","89.7","89.9","3700"
"NYMT","2004-07-26","8.98","9.0","8.9","25.39","1000"
"NYMT","2004-07-27","8.92","8.92","8.85","25.14","900"
"NYMT","2004-07-28","8.85","8.87","8.83","25.11","1200"
"NYMT","2004-07-29","8.84","8.9","8.8","25.08","1300"
"NYMT","2004-07-30","8.75","8.76","8.7","24.77","8000"
"NYMT","2004-08-02","8.75","8.77","8.65","24.8","1400"
"NYMT","2004-08-03","8.77","8.8","8.74","24.88","11400"
"NYMT","2004-08-04","8.8","8.93","8.8","25.31","1100"
"NYMT","2004-08-05","8.94","8.98","8.88","25.17","2200"
"NYMT","2004-08-06","8.9","8.94","8.88","25.17","2800"
"NYMT","2004-08-09","8.88","8.88","8.65","24.88","900"
"NYMT","2004-08-10","8.7","8.78","8.65","24.85","500"
"NYMT","2004-08-11","8.75","8.85","8.7","24.66","1400"
"NYMT","2004-08-12","8.75","8.75","8.65","24.51","1400"
"NYMT","2004-08-13","8.65","8.75","8.65","24.51","1400"
"NYMT","2004-08-16","8.7","8.7","8.65","24.6","1000"
"NYMT","2004-08-17","8.7","8.7","8.6","24.37","500"
"NYMT","2004-08-18","8.65","8.65","8.55","24.23","3800"
"NYMT","2004-08-19","8.55","8.65","8.55","24.49","1200"
"NYMT","2004-08-20","8.65","8.7","8.6","24.66","3000"
"NYMT","2004-08-23","8.65","8.8","8.65","24.94","2400"
"NYMT","2004-08-24","8.82","8.95","8.82","25.22","1100"
"NYMT","2004-08-25","8.95","8.95","8.9","25.28","7000"
"NYMT","2004-08-26","8.9","8.94","8.9","25.22","2200"
"NYMT","2004-08-27","8.9","9.05","8.9","25.31","5400"
"NYMT","2004-08-30","8.95","9.0","8.93","25.34","16100"
"NYMT","2004-08-31","8.95","9.1","8.95","25.73","8700"
"NYMT","2004-09-01","9.1","9.23","9.1","26.1","34200"
"NYMT","2004-09-02","9.2","9.3","9.15","25.93","4400"
"NYMT","2004-09-03","9.2","9.35","9.2","26.5","14100"
"NYMT","2004-09-07","9.4","9.65","9.4","27.21","12800"
"NYMT","2004-09-08","9.6","9.7","9.6","27.32","26900"
"NYMT","2004-09-09","9.63","9.65","9.45","26.92","6200"
"NYMT","2004-09-10","9.5","9.65","9.5","27.07","9700"
"NYMT","2004-09-13","9.53","9.58","9.5","27.07","13400"
"NYMT","2004-09-14","9.5","9.6","9.45","27.21","1900"
