"symbol","date","open","high","low","close","volume"
"DBD","1981-12-31","47.06","47.25","46.88","2.2193","49500"
"DBD","1982-01-04","47.0","47.0","46.88","2.2075","322200"
"DBD","1982-01-05","46.5","47.12","45.75","2.1545","58000"
"DBD","1982-01-06","45.88","46.25","45.5","2.1663","143700"
"DBD","1982-01-07","45.63","46.0","45.12","2.1428","61600"
"DBD","1982-01-08","45.63","45.75","45.37","2.1545","39300"
"DBD","1982-01-11","46.0","46.5","45.5","2.1604","222900"
"DBD","1982-01-12","45.37","45.63","45.0","2.1428","502300"
"DBD","1982-01-13","44.38","45.5","43.25","2.0368","246300"
"DBD","1982-01-14","44.13","44.75","43.5","2.1016","263400"
"DBD","1982-01-15","44.88","45.0","44.63","2.1192","109500"
"DBD","1982-01-18","45.75","46.5","45.0","2.1899","253000"
"DBD","1982-01-19","47.25","48.0","46.5","2.2487","143700"
"DBD","1982-01-20","47.63","47.88","47.25","2.2487","26200"
"DBD","1982-01-21","47.5","47.75","47.25","2.237","681700"
"DBD","1982-01-22","47.88","48.38","47.38","2.2723","46500"
"DBD","1982-01-25","47.88","48.25","47.5","2.2487","217500"
"DBD","1982-01-26","48.0","48.25","47.75","2.2605","85000"
"DBD","1982-01-27","48.5","48.87","48.0","2.3017","286800"
"DBD","1982-01-28","50.0","51.0","49.0","2.4018","145000"
"DBD","1982-01-29","51.5","52.25","50.75","2.4606","368500"
"DBD","1982-02-01","52.75","53.38","52.0","2.5019","382900"
"DBD","1982-02-02","53.88","54.25","53.38","2.5431","602700"
"DBD","1982-02-03","53.63","54.25","53.0","2.496","205800"
"DBD","1982-02-04","51.75","52.75","50.63","2.4194","121600"
"DBD","1982-02-05","51.88","52.5","51.25","2.4606","986400"
"DBD","1982-02-08","52.25","52.38","52.0","2.4583","81900"
"DBD","1982-02-09","51.88","52.0","51.63","2.4583","21600"
"DBD","1982-02-10","51.63","52.13","51.12","2.4169","391000"
"DBD","1982-02-11","50.75","51.5","50.0","2.3874","311800"
"DBD","1982-02-12","51.5","51.88","51.0","2.4524","99100"
"DBD","1982-02-16","51.88","52.0","51.63","2.4583","157200"
"DBD","1982-02-17","52.13","52.25","52.0","2.4583","328000"
"DBD","1982-02-18","52.25","52.38","52.0","2.4701","75700"
"DBD","1982-02-19","52.0","52.25","51.75","2.4583","281700"
"DBD","1982-02-22","52.0","52.38","51.5","2.4346","276700"
"DBD","1982-02-23","51.0","51.5","50.5","2.4228","182200"
"DBD","1982-02-24","51.5","51.75","51.12","2.4346","129600"
"DBD","1982-02-25","52.13","52.75","51.5","2.476","414400"
"DBD","1982-02-26","53.88","55.0","52.63","2.5883","178300"
"DBD","1982-03-01","55.0","55.25","54.75","2.6119","347500"
"DBD","1982-03-02","55.13","55.5","54.75","2.5883","255300"
"DBD","1982-03-03","54.5","55.5","53.5","2.6237","203400"
"DBD","1982-03-04","55.13","55.88","54.25","2.5647","907200"
"DBD","1982-03-05","54.25","54.5","54.0","2.5647","219600"
"DBD","1982-03-08","53.0","54.25","51.63","2.4406","403800"
"DBD","1982-03-09","49.75","50.87","48.5","2.3756","874900"
"DBD","1982-03-10","49.63","50.25","49.0","2.3165","313200"
"DBD","1982-03-11","47.88","48.75","47.0","2.2219","976200"
"DBD","1982-03-12","45.75","46.75","44.75","2.1628","230800"
"DBD","1982-03-15","45.88","46.25","45.37","2.1865","413100"
"DBD","1982-03-16","46.38","46.75","46.0","2.1865","113500"
"DBD","1982-03-17","46.75","47.0","46.5","2.216","85000"
"DBD","1982-03-18","47.25","47.63","46.88","2.2515","423100"
"DBD","1982-03-19","48.75","49.25","48.0","2.3283","742500"
"DBD","1982-03-22","51.38","53.0","49.75","2.4819","230800"
"DBD","1982-03-23","52.38","52.75","52.0","2.4701","64000"
"DBD","1982-03-24","52.13","52.5","51.75","2.4642","67600"
"DBD","1982-03-25","52.5","53.25","51.75","2.4937","209400"
"DBD","1982-03-26","52.25","52.5","52.0","2.4642","284800"
"DBD","1982-03-29","51.63","51.75","51.5","2.4465","29700"
"DBD","1982-03-30","51.63","51.75","51.5","2.4465","157900"
"DBD","1982-03-31","52.5","53.0","52.0","2.4701","421300"
"DBD","1982-04-01","53.0","53.25","52.63","2.5174","120700"
