"symbol","date","open","high","low","close","volume"
"DCTH","2001-10-23","1.59","1.59","1.25","1.25","2300"
"DCTH","2001-10-24","1.25","1.75","1.2","1.75","3000"
"DCTH","2001-10-25","1.75","1.75","1.2","1.2","1500"
"DCTH","2001-10-26","1.75","1.75","1.75","1.75","400"
"DCTH","2001-10-29","1.85","1.9","1.0","1.0","9000"
"DCTH","2001-10-30","1.1","1.1","1.0","1.0","12600"
"DCTH","2001-10-31","1.05","1.05","1.0","1.0","2500"
"DCTH","2001-11-01","1.0","1.0","1.0","1.0","5000"
"DCTH","2001-11-02","0.0","0.0","0.0","1.0","0"
"DCTH","2001-11-05","1.0","1.03","1.0","1.0","13500"
"DCTH","2001-11-06","0.95","0.95","0.7","0.7","21500"
"DCTH","2001-11-07","0.7","0.85","0.7","0.7","28100"
"DCTH","2001-11-08","0.7","0.7","0.56","0.56","24300"
"DCTH","2001-11-09","0.6","0.6","0.57","0.57","2200"
"DCTH","2001-11-12","0.57","0.6","0.55","0.6","11200"
"DCTH","2001-11-13","0.6","0.63","0.6","0.63","3900"
"DCTH","2001-11-14","0.6","0.63","0.6","0.63","1600"
"DCTH","2001-11-15","0.62","0.8","0.62","0.8","6200"
"DCTH","2001-11-16","0.79","0.79","0.7","0.7","6900"
"DCTH","2001-11-19","0.76","0.76","0.76","0.76","200"
"DCTH","2001-11-20","0.79","0.79","0.76","0.76","3300"
"DCTH","2001-11-21","0.78","0.85","0.78","0.85","4900"
"DCTH","2001-11-23","0.8","0.8","0.8","0.8","1000"
"DCTH","2001-11-26","0.83","0.89","0.82","0.89","2900"
"DCTH","2001-11-27","0.9","1.0","0.9","1.0","2900"
"DCTH","2001-11-28","1.0","1.41","1.0","1.03","24400"
"DCTH","2001-11-29","1.0","1.0","0.95","0.95","7100"
"DCTH","2001-11-30","0.93","0.93","0.92","0.92","6000"
"DCTH","2001-12-03","0.92","0.92","0.8","0.8","2900"
"DCTH","2001-12-04","0.8","1.0","0.8","0.92","8000"
"DCTH","2001-12-05","0.0","0.0","0.0","0.92","0"
"DCTH","2001-12-06","0.0","0.0","0.0","0.92","0"
"DCTH","2001-12-07","0.92","0.92","0.92","0.92","400"
"DCTH","2001-12-10","0.0","0.0","0.0","0.92","0"
"DCTH","2001-12-11","0.92","0.94","0.9","0.92","6900"
"DCTH","2001-12-12","0.92","0.92","0.92","0.92","400"
"DCTH","2001-12-13","0.0","0.0","0.0","0.92","0"
"DCTH","2001-12-14","0.92","0.92","0.7","0.75","16800"
"DCTH","2001-12-17","0.75","0.85","0.6","0.85","9800"
"DCTH","2001-12-18","0.75","0.75","0.75","0.75","200"
"DCTH","2001-12-19","0.75","0.75","0.75","0.75","2200"
"DCTH","2001-12-20","0.74","0.74","0.74","0.74","17800"
"DCTH","2001-12-21","0.75","0.75","0.75","0.75","6300"
"DCTH","2001-12-24","0.0","0.0","0.0","0.75","0"
"DCTH","2001-12-26","0.81","0.9","0.78","0.86","4400"
"DCTH","2001-12-27","0.91","1.09","0.91","1.05","19300"
"DCTH","2001-12-28","1.05","1.05","1.0","1.0","7000"
"DCTH","2001-12-31","0.9","1.15","0.89","1.12","17900"
"DCTH","2002-01-02","0.0","0.0","0.0","1.12","0"
"DCTH","2002-01-03","0.0","0.0","0.0","1.12","0"
"DCTH","2002-01-04","1.18","1.18","1.12","1.12","4200"
"DCTH","2002-01-07","1.12","1.15","1.12","1.15","5200"
"DCTH","2002-01-08","1.11","1.2","1.11","1.2","2000"
"DCTH","2002-01-09","1.2","1.5","1.2","1.2","6500"
"DCTH","2002-01-10","1.3","1.3","1.25","1.3","1000"
"DCTH","2002-01-11","1.2","1.2","1.18","1.18","1200"
"DCTH","2002-01-14","1.21","1.21","1.21","1.21","100"
"DCTH","2002-01-15","1.21","1.21","1.2","1.2","5600"
"DCTH","2002-01-16","1.27","1.48","1.25","1.4","9900"
"DCTH","2002-01-17","1.35","1.35","1.32","1.35","1200"
"DCTH","2002-01-18","1.48","1.98","1.48","1.7","8700"
"DCTH","2002-01-22","1.7","2.15","1.7","2.15","11100"
"DCTH","2002-01-23","2.2","2.9","2.2","2.54","67800"
"DCTH","2002-01-24","2.56","2.9","2.56","2.85","71500"
"DCTH","2002-01-25","2.85","2.85","2.37","2.4","25100"
