"symbol","date","open","high","low","close","volume"
"DOV","1985-07-01","37.37","38.0","37.37","2.29","75100"
"DOV","1985-07-02","37.5","38.25","37.25","2.33","481000"
"DOV","1985-07-03","38.25","38.38","38.0","2.34","354700"
"DOV","1985-07-05","38.5","39.13","38.5","2.36","127200"
"DOV","1985-07-08","38.75","39.0","38.75","2.38","378800"
"DOV","1985-07-09","39.0","39.37","38.88","2.39","365300"
"DOV","1985-07-10","39.13","39.37","38.5","2.35","434700"
"DOV","1985-07-11","38.75","39.87","38.75","2.42","443400"
"DOV","1985-07-12","39.63","40.0","38.88","2.38","889700"
"DOV","1985-07-15","39.13","39.5","39.13","2.41","731600"
"DOV","1985-07-16","39.5","39.75","39.25","2.42","807800"
"DOV","1985-07-17","39.63","40.0","39.5","2.42","648700"
"DOV","1985-07-18","39.63","39.75","39.0","2.39","354700"
"DOV","1985-07-19","39.13","39.37","38.88","2.38","181200"
"DOV","1985-07-22","38.88","38.88","38.13","2.35","860800"
"DOV","1985-07-23","38.5","38.75","38.38","2.34","422200"
"DOV","1985-07-24","38.38","38.62","37.75","2.33","438600"
"DOV","1985-07-25","38.5","39.0","38.5","2.37","230300"
"DOV","1985-07-26","38.88","39.25","38.5","2.35","131100"
"DOV","1985-07-29","38.5","38.75","38.0","2.32","227500"
"DOV","1985-07-30","38.0","38.25","37.75","2.3","624600"
"DOV","1985-07-31","37.75","38.0","37.63","2.32","1192400"
"DOV","1985-08-01","38.0","38.0","37.75","2.31","318100"
"DOV","1985-08-02","37.87","38.0","37.63","2.32","166700"
"DOV","1985-08-05","37.87","37.87","37.63","2.31","148400"
"DOV","1985-08-06","37.87","37.87","37.5","2.29","431800"
"DOV","1985-08-07","37.5","37.75","37.25","2.28","187900"
"DOV","1985-08-08","37.37","37.87","37.25","2.31","357600"
"DOV","1985-08-09","37.87","38.5","37.63","2.3","276600"
"DOV","1985-08-12","37.63","37.63","37.12","2.27","557100"
"DOV","1985-08-13","37.12","37.37","37.12","2.27","57800"
"DOV","1985-08-14","37.25","37.5","37.0","2.26","169600"
"DOV","1985-08-15","37.0","37.12","36.75","2.25","940800"
"DOV","1985-08-16","36.88","37.37","36.88","2.25","164800"
"DOV","1985-08-19","36.88","37.37","36.88","2.28","179300"
"DOV","1985-08-20","37.37","37.5","37.0","2.27","136800"
"DOV","1985-08-21","37.25","37.5","37.25","2.29","102100"
"DOV","1985-08-22","37.5","37.63","37.12","2.28","294900"
"DOV","1985-08-23","37.12","37.5","36.88","2.28","229400"
"DOV","1985-08-26","37.12","37.63","36.75","2.27","109800"
"DOV","1985-08-27","37.0","37.63","37.0","2.3","333500"
"DOV","1985-08-28","37.5","37.5","37.25","2.3","370100"
"DOV","1985-08-29","37.5","37.5","37.37","2.29","385600"
"DOV","1985-08-30","37.37","37.63","37.37","2.3","380700"
"DOV","1985-09-03","37.5","37.5","37.12","2.29","107900"
"DOV","1985-09-04","37.37","37.5","37.25","2.29","167700"
"DOV","1985-09-05","37.37","37.37","37.0","2.27","71300"
"DOV","1985-09-06","37.0","37.25","36.88","2.27","178300"
"DOV","1985-09-09","37.0","37.0","36.75","2.26","210100"
"DOV","1985-09-10","36.88","36.88","35.75","2.19","1621400"
"DOV","1985-09-11","35.75","36.0","35.5","2.21","96400"
"DOV","1985-09-12","35.63","35.63","35.0","2.15","1190500"
"DOV","1985-09-13","35.0","35.25","34.88","2.16","335400"
"DOV","1985-09-16","35.25","35.5","34.75","2.13","234200"
"DOV","1985-09-17","34.75","34.75","33.75","2.07","1282100"
"DOV","1985-09-18","33.75","34.0","33.0","2.03","1365900"
"DOV","1985-09-19","33.12","33.62","33.12","2.06","442400"
"DOV","1985-09-20","33.62","33.75","33.5","2.06","383600"
"DOV","1985-09-23","33.62","33.62","33.12","2.06","319000"
"DOV","1985-09-24","33.62","33.87","33.5","2.07","413500"
"DOV","1985-09-25","33.62","33.62","33.25","2.06","478100"
"DOV","1985-09-26","33.5","33.5","32.13","1.98","243800"
"DOV","1985-09-30","32.25","33.0","32.25","2.03","798100"
"DOV","1985-10-01","33.0","33.0","32.63","2.03","286300"
"DOV","1985-10-02","33.0","33.12","32.5","1.99","768300"
"DOV","1985-10-03","32.63","33.62","32.63","2.06","1168300"
"DOV","1985-10-04","33.62","33.62","33.25","2.05","209100"
"DOV","1985-10-07","33.38","33.38","33.0","2.05","134900"
"DOV","1985-10-08","33.38","33.75","33.25","2.07","408700"
"DOV","1985-10-09","33.75","34.5","33.62","2.12","80900"
"DOV","1985-10-10","34.5","35.5","34.5","2.18","67400"
"DOV","1985-10-11","35.5","36.0","35.5","2.18","253500"
"DOV","1985-10-14","35.75","36.25","35.75","2.21","115600"
"DOV","1985-10-15","36.0","36.0","34.13","2.09","586100"
"DOV","1985-10-16","33.87","33.87","33.0","2.03","1221300"
"DOV","1985-10-17","33.12","33.62","32.88","2.03","741300"
"DOV","1985-10-18","33.25","33.75","33.25","2.07","186000"
"DOV","1985-10-21","33.75","34.5","33.75","2.07","618800"
"DOV","1985-10-22","33.75","35.25","33.5","2.15","312300"
"DOV","1985-10-23","35.0","35.5","34.75","2.15","699800"
"DOV","1985-10-24","35.38","36.25","35.38","2.18","2565200"
"DOV","1985-10-25","35.63","35.87","35.63","2.19","1402600"
"DOV","1985-10-28","35.63","35.75","35.63","2.19","227500"
"DOV","1985-10-29","35.63","35.75","35.25","2.17","805900"
"DOV","1985-10-30","35.38","35.5","34.62","2.15","4117200"
"DOV","1985-10-31","35.25","36.37","35.25","2.23","1425700"
"DOV","1985-11-01","36.37","36.62","36.0","2.22","122400"
"DOV","1985-11-04","36.13","36.13","35.5","2.19","72300"
"DOV","1985-11-05","35.75","35.87","35.5","2.19","293000"
"DOV","1985-11-06","35.63","35.63","34.88","2.16","1034300"
"DOV","1985-11-07","35.12","35.5","35.12","2.17","700800"
"DOV","1985-11-08","35.5","36.37","35.5","2.23","1135500"
"DOV","1985-11-11","36.5","37.0","36.5","2.27","1604000"
"DOV","1985-11-12","37.0","37.5","37.0","2.29","650700"
"DOV","1985-11-13","37.25","37.5","37.12","2.29","594700"
"DOV","1985-11-14","37.25","38.0","37.25","2.31","753800"
"DOV","1985-11-15","37.63","38.0","37.37","2.31","929200"
"DOV","1985-11-18","37.63","37.75","37.37","2.32","276600"
"DOV","1985-11-19","37.75","38.0","37.5","2.31","635200"
"DOV","1985-11-20","37.63","37.87","37.63","2.31","138800"
"DOV","1985-11-21","37.63","38.13","37.63","2.34","272800"
"DOV","1985-11-22","38.13","38.38","37.87","2.34","666100"
"DOV","1985-11-25","38.13","38.5","38.0","2.33","391300"
