"symbol","date","open","high","low","close","volume"
"DPW","1997-05-05","8.25","8.25","8.0","8.0","17000"
"DPW","1997-05-06","8.0","8.25","8.0","8.12","10200"
"DPW","1997-05-07","8.25","8.62","8.25","8.25","9800"
"DPW","1997-05-08","8.25","8.25","8.0","8.0","3100"
"DPW","1997-05-09","8.0","8.19","8.0","8.19","6000"
"DPW","1997-05-12","8.06","8.06","8.06","8.06","7000"
"DPW","1997-05-13","8.0","8.06","7.75","7.88","10700"
"DPW","1997-05-14","7.88","8.0","7.75","8.0","12000"
"DPW","1997-05-15","7.88","8.25","7.75","8.25","28100"
"DPW","1997-05-16","8.12","8.94","8.12","8.81","71700"
"DPW","1997-05-19","8.69","8.69","8.0","8.25","22500"
"DPW","1997-05-20","8.12","8.12","8.0","8.0","2700"
"DPW","1997-05-21","8.0","8.12","8.0","8.12","5800"
"DPW","1997-05-22","8.0","8.0","7.94","8.0","10400"
"DPW","1997-05-23","8.0","8.0","8.0","8.0","0"
"DPW","1997-05-27","7.88","7.88","7.62","7.62","12000"
"DPW","1997-05-28","7.62","7.62","7.5","7.5","11800"
"DPW","1997-05-29","7.62","8.12","7.62","8.12","20000"
"DPW","1997-05-30","8.12","8.12","7.88","8.12","22300"
"DPW","1997-06-02","8.12","8.25","8.12","8.25","9200"
"DPW","1997-06-03","8.25","8.88","8.25","8.81","50900"
"DPW","1997-06-04","8.75","9.12","8.62","8.75","39800"
"DPW","1997-06-05","8.75","8.75","8.38","8.44","17300"
"DPW","1997-06-06","8.62","8.62","8.5","8.62","5500"
"DPW","1997-06-09","8.62","8.69","8.5","8.56","3400"
"DPW","1997-06-10","8.62","8.62","8.38","8.38","9100"
"DPW","1997-06-11","8.62","9.0","8.5","9.0","24600"
"DPW","1997-06-12","9.0","9.12","8.75","8.88","16000"
"DPW","1997-06-13","8.88","8.94","8.75","8.88","10000"
"DPW","1997-06-16","9.0","9.0","8.75","8.94","18200"
"DPW","1997-06-17","8.88","8.94","8.62","8.62","34900"
"DPW","1997-06-18","8.69","9.06","8.69","9.06","22700"
"DPW","1997-06-19","9.12","11.0","9.12","10.12","310900"
"DPW","1997-06-20","10.0","10.31","9.75","10.25","81500"
"DPW","1997-06-23","10.19","10.19","9.75","9.81","47800"
"DPW","1997-06-24","9.88","9.88","9.25","9.56","58600"
"DPW","1997-06-25","9.56","9.56","9.25","9.38","13100"
"DPW","1997-06-26","9.25","9.62","9.25","9.5","56300"
"DPW","1997-06-27","9.75","9.94","9.5","9.75","69100"
"DPW","1997-06-30","9.62","9.94","9.5","9.88","132100"
