"symbol","date","open","high","low","close","volume"
"DTF","1991-11-22","15.0","15.12","15.0","4.09","36200"
"DTF","1991-11-25","15.12","15.12","15.0","4.09","16600"
"DTF","1991-11-26","15.12","15.12","15.0","4.09","11200"
"DTF","1991-11-27","15.12","15.12","15.0","4.06","7700"
"DTF","1991-11-29","15.12","15.12","15.0","4.09","71400"
"DTF","1991-12-02","15.12","15.12","15.0","4.06","9100"
"DTF","1991-12-03","15.0","15.12","15.0","4.09","20400"
"DTF","1991-12-04","15.12","15.12","15.0","4.09","22300"
"DTF","1991-12-05","15.12","15.25","15.0","4.12","68400"
"DTF","1991-12-06","15.25","15.25","15.12","4.12","11800"
"DTF","1991-12-09","15.25","15.25","15.12","4.09","17400"
"DTF","1991-12-10","15.12","15.25","15.12","4.12","4800"
"DTF","1991-12-11","15.12","15.38","15.0","4.16","28900"
"DTF","1991-12-12","15.38","15.38","15.12","4.09","10100"
"DTF","1991-12-13","15.12","15.25","15.12","4.12","4500"
"DTF","1991-12-16","15.25","15.25","15.12","4.12","4500"
"DTF","1991-12-17","15.12","15.25","15.12","4.09","19700"
"DTF","1991-12-18","15.25","15.25","15.12","4.12","10600"
"DTF","1991-12-19","15.0","15.0","14.75","3.99","82900"
"DTF","1991-12-20","14.88","14.88","14.75","3.99","14000"
"DTF","1991-12-23","14.88","14.88","14.75","4.02","24100"
"DTF","1991-12-24","14.88","14.88","14.75","3.99","16500"
"DTF","1991-12-26","14.88","14.88","14.75","3.99","10200"
"DTF","1991-12-27","14.88","14.88","14.75","3.99","14500"
"DTF","1991-12-30","14.88","14.88","14.75","4.02","7000"
"DTF","1991-12-31","14.88","14.88","14.75","4.02","7400"
"DTF","1992-01-02","14.88","14.88","14.75","4.02","55000"
"DTF","1992-01-03","14.75","14.88","14.75","4.02","23800"
"DTF","1992-01-06","14.75","14.88","14.75","3.99","11500"
"DTF","1992-01-07","14.88","14.88","14.75","4.02","5400"
"DTF","1992-01-08","14.88","14.88","14.75","4.02","31300"
"DTF","1992-01-09","14.88","14.88","14.75","4.02","11900"
"DTF","1992-01-10","14.88","14.88","14.75","4.02","31000"
"DTF","1992-01-13","14.75","14.88","14.75","4.02","50300"
"DTF","1992-01-14","14.88","15.0","14.88","4.02","21300"
"DTF","1992-01-15","15.0","15.12","14.88","4.09","21800"
"DTF","1992-01-16","15.0","15.25","15.0","4.06","29900"
"DTF","1992-01-17","15.12","15.12","14.88","4.06","82100"
"DTF","1992-01-20","15.0","15.0","14.88","4.06","28500"
"DTF","1992-01-21","15.0","15.12","15.0","4.09","11400"
"DTF","1992-01-22","15.12","15.12","14.88","4.09","29000"
"DTF","1992-01-23","15.12","15.12","15.0","4.09","27500"
"DTF","1992-01-24","15.12","15.12","15.0","4.09","14400"
"DTF","1992-01-27","15.12","15.12","15.0","4.06","13200"
"DTF","1992-01-28","15.12","15.25","15.0","4.12","11900"
"DTF","1992-01-29","15.25","15.25","15.12","4.09","13700"
"DTF","1992-01-30","15.25","15.25","15.12","4.12","9400"
"DTF","1992-01-31","15.25","15.25","15.12","4.12","14700"
"DTF","1992-02-03","15.12","15.25","15.12","4.12","15600"
"DTF","1992-02-04","15.25","15.25","15.12","4.09","17500"
"DTF","1992-02-05","15.25","15.38","15.12","4.16","20500"
"DTF","1992-02-06","15.38","15.5","15.25","4.19","44000"
"DTF","1992-02-07","15.38","15.75","15.38","4.23","34400"
"DTF","1992-02-10","15.5","15.5","15.38","4.22","49200"
"DTF","1992-02-11","15.38","15.5","15.38","4.26","34000"
"DTF","1992-02-12","15.5","15.5","15.25","4.19","25700"
"DTF","1992-02-13","15.25","15.25","15.12","4.15","12700"
"DTF","1992-02-14","15.0","15.12","15.0","4.15","24400"
"DTF","1992-02-18","15.0","15.12","15.0","4.12","20800"
"DTF","1992-02-19","14.88","15.0","14.88","4.12","21500"
"DTF","1992-02-20","15.0","15.0","14.88","4.09","13500"
"DTF","1992-02-21","15.0","15.0","14.88","4.12","15000"
"DTF","1992-02-24","14.88","15.0","14.88","4.12","14700"
"DTF","1992-02-25","15.0","15.0","14.88","4.09","7000"
"DTF","1992-02-26","15.0","15.0","14.88","4.09","7400"
"DTF","1992-02-27","15.0","15.0","14.88","4.12","3500"
"DTF","1992-02-28","15.0","15.25","14.88","4.19","18900"
"DTF","1992-03-02","15.25","15.25","15.0","4.12","21100"
"DTF","1992-03-03","15.12","15.12","15.0","4.12","12100"
"DTF","1992-03-04","15.0","15.0","14.88","4.12","6500"
"DTF","1992-03-05","14.88","15.0","14.88","4.09","7300"
"DTF","1992-03-06","15.0","15.0","14.88","4.09","8700"
"DTF","1992-03-09","14.88","15.0","14.88","4.12","6000"
"DTF","1992-03-10","14.75","15.0","14.75","4.11","16300"
"DTF","1992-03-11","15.0","15.0","14.88","4.11","18300"
"DTF","1992-03-12","14.75","15.0","14.75","4.11","5800"
"DTF","1992-03-13","14.88","15.0","14.75","4.14","7500"
"DTF","1992-03-16","14.75","15.0","14.75","4.07","6600"
"DTF","1992-03-17","14.88","15.0","14.75","4.11","4200"
"DTF","1992-03-18","15.0","15.0","14.88","4.11","3600"
"DTF","1992-03-19","14.88","14.88","14.75","4.07","5400"
"DTF","1992-03-20","15.0","15.0","14.75","4.07","6800"
"DTF","1992-03-23","14.88","14.88","14.75","4.07","8200"
"DTF","1992-03-24","14.88","14.88","14.75","4.11","5800"
"DTF","1992-03-25","15.0","15.0","14.88","4.14","5600"
"DTF","1992-03-26","15.0","15.0","14.88","4.11","5200"
"DTF","1992-03-27","14.88","15.0","14.75","4.11","6800"
"DTF","1992-03-30","15.0","15.0","14.88","4.11","10600"
"DTF","1992-03-31","14.88","15.0","14.88","4.11","4900"
"DTF","1992-04-01","15.0","15.12","15.0","4.18","7200"
"DTF","1992-04-02","15.0","15.12","15.0","4.14","15400"
"DTF","1992-04-03","15.0","15.12","14.88","4.11","5200"
"DTF","1992-04-06","14.88","15.0","14.88","4.11","6400"
"DTF","1992-04-07","14.88","15.12","14.88","4.11","20900"
"DTF","1992-04-08","15.0","15.0","15.0","4.14","7500"
"DTF","1992-04-09","15.0","15.0","14.75","4.13","6300"
"DTF","1992-04-10","15.0","15.0","14.88","4.16","3300"
"DTF","1992-04-13","15.0","15.0","14.88","4.16","16700"
"DTF","1992-04-14","15.0","15.12","14.88","4.16","12800"
"DTF","1992-04-15","15.12","15.12","14.88","4.13","18000"
"DTF","1992-04-16","15.0","15.0","14.88","4.16","10600"
"DTF","1992-04-20","15.0","15.0","14.88","4.13","8700"
"DTF","1992-04-21","15.0","15.0","14.88","4.13","8100"
"DTF","1992-04-22","14.88","15.0","14.88","4.13","11800"
"DTF","1992-04-23","14.75","15.0","14.75","4.13","13500"
"DTF","1992-04-24","14.88","14.88","14.62","4.06","10200"
"DTF","1992-04-27","14.88","14.88","14.88","4.13","5400"
"DTF","1992-04-28","14.88","15.0","14.75","4.16","7900"
"DTF","1992-04-29","15.0","15.0","14.88","4.13","6600"
"DTF","1992-04-30","14.75","15.0","14.75","4.13","11500"
"DTF","1992-05-01","15.0","15.0","14.75","4.13","6100"
"DTF","1992-05-04","14.88","14.88","14.75","4.09","4300"
"DTF","1992-05-05","14.75","15.0","14.75","4.16","6500"
"DTF","1992-05-06","15.0","15.0","14.75","4.16","31500"
"DTF","1992-05-07","14.88","15.0","14.88","4.16","10800"
"DTF","1992-05-08","14.88","15.0","14.88","4.16","8500"
"DTF","1992-05-11","14.75","14.88","14.62","4.08","5200"
"DTF","1992-05-12","14.62","14.75","14.62","4.12","3100"
"DTF","1992-05-13","14.75","14.88","14.62","4.12","6700"
"DTF","1992-05-14","14.75","15.0","14.75","4.15","4600"
"DTF","1992-05-15","14.88","15.0","14.75","4.12","6300"
"DTF","1992-05-18","14.88","14.88","14.75","4.12","7200"
"DTF","1992-05-19","14.88","14.88","14.75","4.15","12800"
"DTF","1992-05-20","14.88","15.0","14.75","4.19","8900"
"DTF","1992-05-21","14.88","15.0","14.88","4.19","6600"
"DTF","1992-05-22","15.0","15.0","14.88","4.19","6200"
"DTF","1992-05-26","14.88","15.0","14.88","4.15","6700"
"DTF","1992-05-27","15.0","15.0","14.88","4.15","8700"
"DTF","1992-05-28","14.88","14.88","14.75","4.15","13400"
"DTF","1992-05-29","14.88","15.0","14.88","4.15","7800"
"DTF","1992-06-01","15.0","15.0","14.88","4.19","11900"
"DTF","1992-06-02","15.0","15.12","15.0","4.19","12200"
"DTF","1992-06-03","15.0","15.12","15.0","4.19","9000"
"DTF","1992-06-04","15.0","15.12","14.88","4.19","13500"
"DTF","1992-06-05","15.0","15.0","14.88","4.19","8200"
"DTF","1992-06-08","15.0","15.0","14.88","4.19","4300"
"DTF","1992-06-09","15.0","15.0","15.0","4.21","17400"
"DTF","1992-06-10","15.0","15.0","14.88","4.21","7000"
"DTF","1992-06-11","15.0","15.0","14.88","4.21","7200"
"DTF","1992-06-12","15.0","15.0","14.88","4.17","8900"
"DTF","1992-06-15","15.0","15.0","15.0","4.21","1900"
"DTF","1992-06-16","15.0","15.0","14.88","4.21","13600"
"DTF","1992-06-17","14.88","15.0","14.88","4.21","7000"
"DTF","1992-06-18","14.88","15.0","14.88","4.21","13000"
"DTF","1992-06-19","14.88","14.88","14.88","4.17","13100"
"DTF","1992-06-22","14.88","14.88","14.75","4.17","8700"
"DTF","1992-06-23","14.88","15.0","14.88","4.17","4400"
"DTF","1992-06-24","14.88","15.0","14.88","4.21","3700"
"DTF","1992-06-25","14.88","15.0","14.88","4.21","3500"
"DTF","1992-06-26","15.0","15.0","14.88","4.17","4100"
"DTF","1992-06-29","15.0","15.0","14.88","4.21","13500"
"DTF","1992-06-30","14.88","15.0","14.88","4.17","10800"
"DTF","1992-07-01","15.0","15.0","14.88","4.21","19800"
"DTF","1992-07-02","15.12","15.25","15.0","4.24","24000"
"DTF","1992-07-06","15.12","15.25","15.12","4.28","8500"
"DTF","1992-07-07","15.38","15.88","15.38","4.35","25600"
"DTF","1992-07-08","15.75","15.75","15.38","4.35","35700"
"DTF","1992-07-09","15.25","15.5","15.25","4.37","22300"
"DTF","1992-07-10","15.38","15.5","15.38","4.37","15400"
"DTF","1992-07-13","15.62","15.62","15.38","4.37","12200"
"DTF","1992-07-14","15.5","15.5","15.25","4.3","14800"
"DTF","1992-07-15","15.38","15.5","15.25","4.3","9700"
"DTF","1992-07-16","15.25","15.38","15.25","4.3","9600"
"DTF","1992-07-17","15.25","15.38","15.25","4.3","23500"
"DTF","1992-07-20","15.38","15.38","15.25","4.34","21000"
"DTF","1992-07-21","15.25","15.5","15.25","4.37","18000"
"DTF","1992-07-22","15.5","15.5","15.38","4.37","3900"
"DTF","1992-07-23","15.38","15.5","15.38","4.37","5100"
"DTF","1992-07-24","15.75","15.75","15.5","4.41","24100"
"DTF","1992-07-27","15.5","15.62","15.5","4.37","6400"
"DTF","1992-07-28","15.62","16.0","15.62","4.48","21800"
