"symbol","date","open","high","low","close","volume"
"DVAX","2004-02-19","8.3","9.98","8.05","94.0","260500"
"DVAX","2004-02-20","9.54","9.57","8.54","90.0","63400"
"DVAX","2004-02-23","9.25","9.25","8.04","86.0","12300"
"DVAX","2004-02-24","8.39","9.0","8.22","85.5","6500"
"DVAX","2004-02-25","8.5","8.75","8.5","86.0","6700"
"DVAX","2004-02-26","8.74","9.0","8.5","88.0","6300"
"DVAX","2004-02-27","9.0","9.15","8.24","84.0","5400"
"DVAX","2004-03-01","8.51","8.51","8.15","82.1","6900"
"DVAX","2004-03-02","8.3","8.4","7.91","82.0","4700"
"DVAX","2004-03-03","8.2","8.2","8.0","81.5","9900"
"DVAX","2004-03-04","8.11","9.0","7.91","88.5","2800"
"DVAX","2004-03-05","8.3","9.2","7.88","82.4","2400"
"DVAX","2004-03-08","8.24","8.3","7.9","82.0","1100"
"DVAX","2004-03-09","8.28","8.28","7.73","80.0","1200"
"DVAX","2004-03-10","8.11","8.42","8.0","81.5","5400"
"DVAX","2004-03-11","8.19","8.27","7.88","80.0","2100"
"DVAX","2004-03-12","7.8","8.2","7.8","80.5","1600"
"DVAX","2004-03-15","8.15","8.15","7.8","80.5","700"
"DVAX","2004-03-16","7.95","7.95","7.76","77.6","1100"
"DVAX","2004-03-17","8.05","8.05","7.75","79.9","700"
"DVAX","2004-03-18","7.8","8.0","7.52","78.4","1400"
"DVAX","2004-03-19","7.79","8.0","7.51","75.5","1200"
"DVAX","2004-03-22","7.55","7.73","7.36","73.8","3500"
"DVAX","2004-03-23","7.5","7.53","7.37","74.1","500"
"DVAX","2004-03-24","7.4","7.4","7.12","72.0","2000"
"DVAX","2004-03-25","7.1","7.4","7.1","72.0","600"
"DVAX","2004-03-26","7.15","7.57","7.15","73.9","3500"
"DVAX","2004-03-29","7.17","7.69","7.17","76.3","1100"
"DVAX","2004-03-30","7.72","7.73","7.55","77.0","400"
"DVAX","2004-03-31","8.4","8.4","7.48","75.8","11200"
"DVAX","2004-04-01","7.5","7.58","7.46","74.8","1000"
"DVAX","2004-04-02","7.88","7.88","7.36","74.7","2300"
"DVAX","2004-04-05","7.88","7.88","7.6","77.4","1600"
"DVAX","2004-04-06","7.4","7.7","7.3","76.0","2600"
"DVAX","2004-04-07","7.32","7.5","6.91","69.6","3500"
"DVAX","2004-04-08","7.48","7.5","6.5","66.9","4700"
"DVAX","2004-04-12","7.2","7.2","6.6","72.0","2900"
"DVAX","2004-04-13","7.15","7.15","6.65","68.8","1000"
"DVAX","2004-04-14","6.63","7.19","6.63","71.3","20300"
"DVAX","2004-04-15","6.21","7.18","6.21","71.5","900"
"DVAX","2004-04-16","7.15","7.29","7.15","71.5","1600"
"DVAX","2004-04-19","6.75","7.25","6.75","70.0","2800"
"DVAX","2004-04-20","6.95","7.1","6.7","67.5","3500"
"DVAX","2004-04-21","6.76","6.92","6.01","63.3","6000"
"DVAX","2004-04-22","6.68","7.15","6.15","66.7","1600"
"DVAX","2004-04-23","6.8","7.15","6.45","64.5","1100"
"DVAX","2004-04-26","7.0","7.0","6.5","65.6","1800"
"DVAX","2004-04-27","6.99","6.99","6.5","67.2","200"
"DVAX","2004-04-28","6.51","6.71","6.5","65.0","200"
"DVAX","2004-04-29","6.52","6.88","6.5","65.0","1000"
"DVAX","2004-04-30","6.51","7.0","6.51","69.8","5300"
"DVAX","2004-05-03","6.61","7.0","6.5","65.0","3300"
"DVAX","2004-05-04","6.75","6.75","6.4","65.0","1200"
"DVAX","2004-05-05","6.26","6.5","6.26","64.7","800"
"DVAX","2004-05-06","6.55","6.75","6.3","66.4","2000"
"DVAX","2004-05-07","6.75","6.75","6.28","63.1","1100"
"DVAX","2004-05-10","6.69","6.69","6.2","62.5","2000"
"DVAX","2004-05-11","6.5","6.5","6.2","65.0","4800"
"DVAX","2004-05-12","6.4","7.55","6.16","75.5","2500"
"DVAX","2004-05-13","7.3","7.7","6.6","69.8","200"
"DVAX","2004-05-14","6.72","7.99","6.72","79.5","2900"
"DVAX","2004-05-17","7.8","8.05","7.59","80.0","2600"
"DVAX","2004-05-18","8.0","8.25","7.95","81.1","700"
"DVAX","2004-05-19","8.0","8.0","7.5","75.0","200"
"DVAX","2004-05-20","8.0","8.0","7.99","80.0","200"
"DVAX","2004-05-21","7.71","8.75","7.59","87.5","2300"
"DVAX","2004-05-24","8.3","8.92","8.3","86.9","4600"
"DVAX","2004-05-25","8.89","8.92","7.6","87.5","2000"
"DVAX","2004-05-26","8.9","9.0","8.75","90.0","1100"
"DVAX","2004-05-27","8.97","9.11","8.65","90.5","1200"
"DVAX","2004-05-28","8.9","9.3","8.87","93.0","600"
"DVAX","2004-06-01","9.3","9.35","9.2","92.2","4400"
"DVAX","2004-06-02","9.23","9.34","8.87","92.7","1300"
"DVAX","2004-06-03","9.25","9.26","9.0","90.0","800"
"DVAX","2004-06-04","9.15","9.25","9.02","90.2","2100"
"DVAX","2004-06-07","9.04","9.15","8.53","90.0","2200"
"DVAX","2004-06-08","8.99","9.0","8.79","87.9","1700"
"DVAX","2004-06-09","9.0","9.14","8.93","89.3","3800"
"DVAX","2004-06-10","8.23","8.99","8.23","89.0","1800"
"DVAX","2004-06-14","9.0","9.0","8.75","89.6","2700"
"DVAX","2004-06-15","8.93","9.04","8.68","90.4","2900"
"DVAX","2004-06-16","8.93","9.07","8.55","87.6","3600"
"DVAX","2004-06-17","9.03","9.04","8.6","88.5","7900"
"DVAX","2004-06-18","9.01","9.01","8.45","87.4","4500"
"DVAX","2004-06-21","8.44","9.01","8.44","88.9","5400"
"DVAX","2004-06-22","8.89","9.0","8.66","87.0","13900"
"DVAX","2004-06-23","8.77","8.96","8.56","89.6","9500"
"DVAX","2004-06-24","8.94","8.97","8.69","88.2","2700"
"DVAX","2004-06-25","8.76","8.92","5.14","81.4","23900"
"DVAX","2004-06-28","8.15","8.29","7.47","75.8","2100"
"DVAX","2004-06-29","7.73","8.0","7.03","70.3","1800"
"DVAX","2004-06-30","7.08","7.16","6.59","66.6","2400"
