"symbol","date","open","high","low","close","volume"
"DXGE","2013-10-17","25.1","25.25","25.1","24.87","0"
"DXGE","2013-10-18","25.35","25.39","25.25","25.03","13000"
"DXGE","2013-10-21","25.4","25.44","25.31","24.97","11900"
"DXGE","2013-10-22","25.52","25.63","25.49","25.16","15100"
"DXGE","2013-10-23","25.53","25.54","25.32","25.09","4400"
"DXGE","2013-10-24","25.78","25.84","25.6","25.27","26500"
"DXGE","2013-10-25","25.72","25.73","25.59","25.28","13200"
"DXGE","2013-10-28","25.64","25.64","25.52","25.16","21700"
"DXGE","2013-10-29","25.71","25.76","25.6","25.27","4500"
"DXGE","2013-10-30","25.86","25.86","25.5","25.14","24600"
"DXGE","2013-10-31","25.61","25.72","25.54","25.31","28000"
"DXGE","2013-11-01","25.56","25.67","25.55","25.3","7700"
"DXGE","2013-11-04","25.73","25.73","25.64","25.31","6500"
"DXGE","2013-11-05","25.56","25.61","25.56","25.23","2400"
"DXGE","2013-11-06","25.75","25.75","25.68","25.35","5400"
"DXGE","2013-11-07","25.85","25.85","25.44","25.08","33300"
"DXGE","2013-11-08","25.45","25.68","25.45","25.31","5000"
"DXGE","2013-11-11","25.71","25.72","25.71","25.35","2700"
"DXGE","2013-11-12","25.62","25.62","25.59","25.23","10100"
"DXGE","2013-11-13","25.37","25.61","25.37","25.23","3300"
"DXGE","2013-11-14","25.55","25.65","25.53","25.29","21700"
"DXGE","2013-11-15","25.72","25.79","25.7","25.42","10400"
"DXGE","2013-11-18","25.9","26.01","25.9","25.58","1100"
"DXGE","2013-11-19","25.95","25.97","25.89","25.52","26900"
"DXGE","2013-11-20","25.96","25.98","25.93","25.56","1500"
"DXGE","2013-11-21","25.95","26.02","25.92","25.65","2500"
"DXGE","2013-11-22","26.02","26.04","25.96","25.66","6100"
"DXGE","2013-11-25","26.22","26.22","26.1","25.73","31600"
"DXGE","2013-11-26","26.21","26.23","26.21","25.86","600"
"DXGE","2013-11-27","26.3","26.34","26.3","25.96","28100"
"DXGE","2013-11-29","26.46","26.52","26.46","26.11","5400"
"DXGE","2013-12-02","26.53","26.53","26.42","26.07","27100"
