"symbol","date","open","high","low","close","volume"
"DYN","2001-01-02","280.32","280.32","255.0","256.56","262160"
"DYN","2001-01-03","263.75","266.88","242.19","243.75","563320"
"DYN","2001-01-04","220.0","235.0","190.0","228.12","2033420"
"DYN","2001-01-05","232.5","240.94","228.75","232.5","348020"
"DYN","2001-01-08","235.94","241.25","220.0","232.82","294340"
"DYN","2001-01-09","235.62","235.62","222.5","230.32","521220"
"DYN","2001-01-10","222.82","225.32","212.5","216.56","847740"
"DYN","2001-01-11","219.06","221.25","193.75","196.25","1114160"
"DYN","2001-01-12","201.88","215.0","197.19","215.0","843880"
"DYN","2001-01-16","210.62","213.12","205.62","210.62","506220"
"DYN","2001-01-17","208.12","218.44","207.82","218.44","643980"
"DYN","2001-01-18","218.44","229.69","213.12","229.06","596100"
"DYN","2001-01-19","228.75","236.88","228.12","235.94","391060"
"DYN","2001-01-22","235.94","245.0","231.56","243.75","368500"
"DYN","2001-01-23","253.44","254.69","245.0","251.25","575460"
"DYN","2001-01-24","250.94","259.38","248.44","249.38","329420"
"DYN","2001-01-25","249.38","249.38","238.12","243.75","500260"
"DYN","2001-01-26","247.5","253.12","238.12","253.12","221160"
"DYN","2001-01-29","252.5","254.95","250.05","250.55","146600"
"DYN","2001-01-30","250.55","251.75","242.5","243.75","174620"
"DYN","2001-01-31","245.0","247.5","238.75","243.5","235360"
"DYN","2001-02-01","242.5","245.0","240.0","244.05","272940"
"DYN","2001-02-02","247.5","255.0","247.5","251.75","289400"
"DYN","2001-02-05","251.75","262.95","251.75","260.7","231480"
"DYN","2001-02-06","260.05","260.7","254.45","258.75","302920"
"DYN","2001-02-07","258.75","264.45","258.25","264.05","191840"
"DYN","2001-02-08","264.05","267.65","261.75","261.95","188780"
"DYN","2001-02-09","261.95","270.0","258.95","265.75","213200"
"DYN","2001-02-12","265.75","265.75","253.0","256.75","342860"
"DYN","2001-02-13","256.8","262.05","254.25","257.05","270620"
"DYN","2001-02-14","259.5","259.5","255.25","256.15","109120"
"DYN","2001-02-15","254.95","261.0","254.4","260.05","229520"
"DYN","2001-02-16","262.0","265.0","255.0","257.5","199980"
"DYN","2001-02-20","248.0","252.3","248.0","250.75","419960"
"DYN","2001-02-21","250.75","259.35","249.75","249.8","171880"
"DYN","2001-02-22","248.8","250.5","240.25","241.8","300480"
"DYN","2001-02-23","242.8","247.25","227.5","235.25","384860"
"DYN","2001-02-26","237.5","243.6","237.5","243.6","247820"
"DYN","2001-02-27","242.7","246.75","236.7","245.0","206140"
"DYN","2001-02-28","245.5","246.0","231.25","235.0","471140"
"DYN","2001-03-01","235.0","235.5","230.15","234.5","557840"
"DYN","2001-03-02","234.5","240.75","231.25","239.55","203200"
"DYN","2001-03-05","239.55","245.5","238.5","242.45","195880"
"DYN","2001-03-06","243.75","250.0","243.0","246.0","175520"
"DYN","2001-03-07","246.75","262.5","246.75","262.5","294160"
"DYN","2001-03-08","262.5","265.0","257.0","265.0","303740"
"DYN","2001-03-09","265.0","265.0","253.0","253.55","203720"
"DYN","2001-03-12","248.75","249.75","240.5","242.6","275740"
"DYN","2001-03-13","242.6","242.6","231.0","233.75","470740"
"DYN","2001-03-14","227.5","231.5","225.0","227.75","488920"
"DYN","2001-03-15","236.25","242.5","233.4","241.6","397020"
"DYN","2001-03-16","241.6","245.5","232.1","233.4","506420"
"DYN","2001-03-19","235.0","236.5","231.4","236.5","101220"
"DYN","2001-03-20","240.0","255.0","235.5","241.7","356300"
"DYN","2001-03-21","242.95","247.0","233.75","233.8","463600"
"DYN","2001-03-22","235.0","235.0","212.0","222.5","834380"
"DYN","2001-03-23","222.5","232.95","222.5","232.5","359120"
"DYN","2001-03-26","237.5","246.25","235.0","246.0","288000"
"DYN","2001-03-27","247.0","252.0","239.55","241.85","232960"
"DYN","2001-03-28","239.0","250.0","239.0","240.75","304280"
"DYN","2001-03-29","240.8","252.55","230.25","246.25","639320"
"DYN","2001-03-30","251.25","263.45","250.65","255.05","574260"
"DYN","2001-04-02","265.0","267.5","255.25","259.5","372900"
"DYN","2001-04-03","257.0","257.0","245.25","251.5","371400"
"DYN","2001-04-04","251.45","252.0","244.5","244.55","456420"
"DYN","2001-04-05","244.55","254.95","244.15","254.6","471720"
"DYN","2001-04-06","250.25","259.0","230.0","237.5","847360"
"DYN","2001-04-09","239.0","250.0","237.5","250.0","403840"
"DYN","2001-04-10","257.0","262.0","255.75","259.0","239960"
"DYN","2001-04-11","265.0","265.0","257.55","260.95","241020"
"DYN","2001-04-12","260.25","262.4","257.4","257.45","252620"
